* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/max_aig.bench.
* Number of faults detected by each test pattern:

test    1: 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 1495 faults detected
test    2: 10111001010101111101000100001011101101011101001101100110000001110101111001110110100110010111110101110011011010100000100100011110100010010101010100111111001000011100101010100110001101101011011111011111111110011010101000010111011001100100011010001010011100111010111010011000111010001010001111010111101101110100100100011010110000000111110001100001000001101100111010100011101000110011001100100001100001100111100100111101001000100101100111000101110000001010000101111110101111100111000101110000110011101001111001111101 110110010110011001100100001010100000001101111011001011101011000010100110011000011110010101111011110010101010011100101111110001100  530 faults detected
test    3: 11111011101010110000000101001001010011110111111101000011001001111011000011101001001111011010011111011011010101111001010100111101011000000100010000100101000000110100101010100100011110010001110100001111101101011000000110000001100010111110101001110000100010000100100100110001000111101011011110001111101011111001111111000001100010011110111110010000111011010110100001110100111010111010011001100110100011010000011110000001001010111111001101100000100111010000111010010101000100011010000000000011010101011000101010100101 001011001001100111100010001010011000011001011100100000100111100001011011011000011001110100001001110011010001110100100010101010101  309 faults detected
test    4: 01001100001100111110011011101100001011000011000101001110001011100010010011110110111100110110101110111111111100001110011101101111100101111011010011011110010001100001111110000101111000011000010111010100111111101011111001011101001010110010000111101100111101011011111000011000001000011000111101011011010001101010011010111101011110100110001011001001000011001011110101011011101110000001011111000101010010110000000111000010001111000100100010011001011101110100110101011010100001010101100110100000101011101110011111001111 111010100000110111001110000111101111010101101011101011111111110110111011111000100111110100010010001101110001101101010101101101111  407 faults detected
test    5: 10000110001010100101010000011101100011000000010011011001101111010000000010010101101011101011011001001110000010001110000010101000110111010001110001010100100111111000110010110010000110110100011010011011110101010101011111101001001111111100111101101010010010101111000001000111110000111011101001100010110000011100111110001011110111011001111100100110101100100010000100101110110000000111011111111000000010111110110010101111110011101011000001011110011010100000000100000010000110001100001011110000010100010000100101101010 001111111011011100110001011110100000001000111100001000000101101100111101001001011110110101100001010111110110100101000010000110000  181 faults detected
test    6: 00111000011010010001010110011000110011100000111100000101000011010100011101111101010000101100110100111001000110110100111110101110111101010111001011111000000000000011100011100111101011001100110010110110110111100001010001001001011110000110110111110111101011101010110010001011001101001000010100110001101110111010110111111011011111010111001001100010110011001011000011001010100010101111101001111011101100001000111011101110011111011010110000110111110001101010001100111101001110001111010101000010011010000110010000111111 110001000100001110001111011101001101100110111000100011000101011000001110010011010110110001101100101000110110111001000010101111100  301 faults detected
test    7: 11010011110010000110110101001101100110011111001000110000011010101000000001100100000011010111000110100100101111010001100000101110110011100001001111100100101101100010110011100101010001101010110010011111011001010011000010000100100101001010001010011110001001000110011001001111010010100001011000110100110111011001111010110001101011010101101110001001101111100010001111111000111000010110101110100010101111001111011000111001001000000000000101100111000101000110001101101101100011111011100101000010101100100100111011111101 010001010110010111101001010101000110101101011100100100111001101101000100000100000000001000010011110111001011110110001011110100000  184 faults detected
test    8: 10000100101001111101011001011111011110101010011101110010000000100101110101100011010000100101010000101111000111011001111010110111111101110111110000010111110000101000101010110001000010011010011010010010111111001111011001110110110001011010000101111111010101101001111001101100111010001010010111111101001001011101011011111111100011101101101000111110000101010100100010001111010100011000010000000100100001001101000111011010000110111000000101101000001101110111001011011111000010010000100101100011111110101100001000100110 010011100001100000011010101110110010010110100101001111111100000110011011111001000100101110101011111111010001100101010000111111101   93 faults detected
test    9: 10001010110011100101001100111110011001010100000111001111011000010000100000000110000100001100010010111111110001100100001000000110101110110100111111010110101010010110101011001000101111011111101011111010001101101101101101001000110001110110011101100010100101101011111100001100110101001010011110110010001001011110100100010100011011101001010100100011110111110100000101000101001011001110000111101010111111110001001101000010110111101000011100000000001001100101110000111101110000000011100100110100110101100100001000001011 010110011011100111110011101110000011101100010011001111001110001000001000001101001001110110100000100111101011100011101100001101101   67 faults detected
test   10: 01000111010100111100000101011101110000101000101010100110000010110001010001011011001001111111011111001001110111010101010000110000100011000001000100010110110010011000101001110000101110011111101100000111100110101100010000100111110111100001000111000100101010110011100100111101111111011111010011010001100001111110001011000100101110000110001111101111011000011010001010011010011100100011111010000000010101000101011100010110100001100101101000111101000110010101010110001011010001111001000100000001110010001101010111000110 101101101001011000101001100000100000111111111110110011010011111101001010101001100100010111010000100011100000100101011100000111100   80 faults detected
test   11: 01111010010111100011000100010111110010111010001110000111100011111000010000101010010110000110110010000110100001001100101011100100111100010000001001000001100011011111111011100100110111111011100010011100011101110011001000101000010100010001101110101001100011100001110111000110010101101111001011001010000100100000100110001010010100110001011110110000011110110011000000110101001101000100010011101010000001011100101001001011111110011100011000100100101010011000110101110101101010000010011001111101101110000001011111100000 011101110100100101000010111101011110101100100101000110101000011010100000011001001110110100001000110011101100101000110010011111100   39 faults detected
test   12: 01111001001111001101111001101000001100110011010000101010111111100100110000000001011000011001000010110000000001111101101110010010110110010101011001100111101011000101100010000001001011001010101110010101110010110101110011100111101111110010010111100111110100100000001001101110101100101100111101000110101001010010001010110010010000101000111011001001000011111000010110110111000011011000010110101001111111101111011001001101101101111010101110101001010100101011001010110010001000101000110001000111001100110111111110111111 010110100010111010111100000110010111000000110110011001100011001000111001101100101010000000001000010110110101010001010000110111101  136 faults detected
test   13: 11100110111100001000000110111101101110011111010010001001000011110001101000010110110001111011010011010000001111111001110000101111100101001001111011101011000000110000101101101000001100111001001010110001100010111111001101110111100111101011010000010101100110001100001100010111010011011001010101000101010010110001101110100100001110000110111010101110101101010000000111110111110100010111110111101001010000001100100001111010101011011101100110011011000101000101110001001001101010111000000001010101000010101010111010100101 001111011010001010001100101111110000000111111110101110000011010110011010001101001100010000000011010111011000101101100011111110101   64 faults detected
test   14: 00100001100101011000110110111110010010001101010010000100101011000111010111100000011100100110000110100001111010000000011010011101001000011001010010110001111000100110110110100111001011011001000100001011110111110001011111100010010100111010101010001110110110110010010111110110010110001111111110010010011111110011010010000101111011000000101001100011010001000010111011001001100010011100011110111001001110111000000001000001011101000001111111000100011011001111001010011101110100100010010100011000010000110110000110001010 011111100111001101000100101001010100100100001111011011110110100110110011001100100011000001100001101011100001010100000010100000101   38 faults detected
test   15: 11010000101101101000110111000110101101010010101101111010100110111111111101001010110110110000101011011001111110110001010101110110001100011001100111111101101111111101111111010101011111110001101000001111100101000101100101100010010100110010111000000011001110110011010111111110010100001010110111010100101100111001110100010011101010011000001000111001111110110000100110111111111100111000100010101100011111001001111000110001010100100101110010010010010110000010111110101110000001111101001011110111100011110100111110001111 101111111110111111101010111001110010110011011010101000010110000100110000101011111101001010001000111101011110110010110011100001100   23 faults detected
test   16: 11010101001011011001000100010110001111110001111011110010001111100001011100001001101010000010011010000010000001100111111001010010001000111010011000010110100100110011110111100100100101000111110100001011011000011011001111000000000110111001111011001111111001100000001011100100001001111111010111111110110010101011001001010001101111101010101010111111000001001101110001110011111001011111000000010000011001111101010100110001000110110100000111100011111011100111001100010111000111001100110110100101100111110111111010010100 011011010001111111101001000001110110111101101100010000011101001111010001101011010011010101100010111111111010100011010000110110001   54 faults detected
test   17: 00101010000100110000011000101110100111010111101111110101101111110111111010101010110000101111100110010011111011110001111010100010000111101000000100010111000110101110100010100010010111100010000100101100001000110111101000011001011110011101001010011110011001011010101001101101101101111011101100110010011011010101110000000111101010110001000001111011001111011100010101000110010110100011101101010101011100110011001111111000111001111001101110101010000001000101111000000001010001100111011110011000000100010100011010100110 100110011011010110011111001101001000000111011010100000000111011001100100010100010100111010111010001001010000110101010001000010101   35 faults detected
test   18: 10011101011110010100011100111110111101011000010000111000101010010111110001100111101111100100001011101011001011011000010000011011110001000111001001001111010000100110110111101001110111101000010000000011000110110101111011001101111101100101000011010110110010000000001001101011110010010111100011011111110001000100011000001000110101111101011110110010101100101101111000110101101100000111110100101000101011110000111000001010000011010111110101000101010010101110110110101001110010010100111010101000011011110001111101100010 001000111100110000111101001001100001001101101001110100001011101100111001101110010010100000000001011001111010010101111000110110000   64 faults detected
test   19: 01000000010000110101110001110000100011101011100110011010001011010000011100011001010001000000001110110100011110101001011111100110100101000101100000100101111011010010010010000111110000000000101110100101010101100101001001000011101100110111001110001110110101110110000001101101101100100011110000001111000100101110010111010111100011010010110000000111100010110101001011100011100111001101100010000110100011100111100111011111111011000111111101101111101010010101000100011001100101110000100100111001000011111011000011101100 001010010111001010010000000110111100000000111100101111100111000000010100001010000011110001010111011000110111010011000001100101101   21 faults detected
test   20: 00101111111101000000000000110100111110110010010010101100011011011101010001001011101001101000011010110010000110100010000011101101110100000101100111110001011010100100011101111001100011000000011011000111110110011110010110100001011111000000101011100100010101010001010100111001111011101010101000110000010101000010000001001000100100010111001101110011001000000001101101111000000011111010100010001100011001110111101010101010111110110000001011001111010111010101111000000011100101101100010110110110110000100000011100011010 001101111010001110010000100101110001010001010100110101110111001110101101000100011011011011110010111100100000000010011110101001101   11 faults detected
