benchmark_id	state_id	candidate_strategy	node	type	action_key	oracle_delta_tc	reward_pred	guarded_reward	hard_reduction_total_pred	hybrid_pred	status
b15_C	initial	cached_stride	__buf_split_1	control0	__buf_split_1::control0	0.030590000000000006	0.2648739218711853	0.2239551991224289	-0.06434640288352966	-5.945811167359352	ok
b15_C	initial	cached_stride	__buf_split_1	control1	__buf_split_1::control1	0.030590000000000006	0.2781575322151184	0.23377731442451477	-0.05738551542162895	-5.226616695523262	ok
b15_C	initial	cached_stride	__buf_split_1	observe	__buf_split_1::observe	3.0000000000085514e-05	0.24225468933582306	0.20539213716983795	-0.06980307400226593	-6.532660573720932	ok
b15_C	initial	cached_stride	N17981	control0	N17981::control0	0.030590000000000006	0.2756608724594116	0.23041412234306335	-0.05755883827805519	-5.249808833003044	ok
b15_C	initial	cached_stride	N17981	control1	N17981::control1	0.030550000000000077	0.2888715863227844	0.24190770089626312	-0.051648762077093124	-4.634096920490265	ok
b15_C	initial	cached_stride	N17981	observe	N17981::observe	3.0000000000085514e-05	0.25512832403182983	0.2149062305688858	-0.06361708045005798	-5.891673490405083	ok
b15_C	initial	cached_stride	__buf_split_2536	control0	__buf_split_2536::control0	0.028960000000000097	0.24363009631633759	0.2059410959482193	-0.07111003994941711	-6.6614328026771545	ok
b15_C	initial	cached_stride	__buf_split_2536	control1	__buf_split_2536::control1	0.03266000000000013	0.24084042012691498	0.20072822272777557	-0.06942112743854523	-6.500544100999832	ok
b15_C	initial	cached_stride	__buf_split_2536	observe	__buf_split_2536::observe	3.0000000000085514e-05	0.23960331082344055	0.1992996484041214	-0.07024946808815002	-6.5860438495874405	ok
b15_C	initial	cached_stride	N11452	control0	N11452::control0	0.030590000000000006	0.3248786926269531	0.2700484097003937	-0.02455953136086464	-1.8610260337591171	ok
b15_C	initial	cached_stride	N11452	control1	N11452::control1	0.030590000000000006	0.29649579524993896	0.23880299925804138	-0.04509502276778221	-3.974203482270241	ok
b15_C	initial	cached_stride	N11452	observe	N11452::observe	3.0000000000085514e-05	0.3362833857536316	0.2720240652561188	-0.013949129730463028	-0.7866055220365524	ok
b15_C	initial	cached_stride	__buf_split_4089	control0	__buf_split_4089::control0	0.030590000000000006	0.3230608105659485	0.2720950245857239	-0.024977032095193863	-1.902547374367714	ok
b15_C	initial	cached_stride	__buf_split_4089	control1	__buf_split_4089::control1	0.030590000000000006	0.3094530701637268	0.2634602189064026	-0.03519722446799278	-2.946809157729149	ok
b15_C	initial	cached_stride	__buf_split_4089	observe	__buf_split_4089::observe	3.0000000000085514e-05	0.23133596777915955	0.18684032559394836	-0.07046638429164886	-6.628462135791779	ok
b15_C	initial	cached_stride	__buf_split_4693	control0	__buf_split_4693::control0	0.03064000000000011	0.2050730288028717	0.16852426528930664	-0.06930550932884216	-6.556953638792038	ok
b15_C	initial	cached_stride	__buf_split_4693	control1	__buf_split_4693::control1	0.030590000000000006	0.20385955274105072	0.16834744811058044	-0.0703277438879013	-6.6605673879384995	ok
b15_C	initial	cached_stride	__buf_split_4693	observe	__buf_split_4693::observe	3.0000000000085514e-05	0.23296019434928894	0.18729525804519653	-0.07028420269489288	-6.608164817094803	ok
