[gmean] 2026-07-12T23:41:12 out_dir=autoresearch/exact-itc99-current-best-q-lcb-260712/b22_C
[gmean] 2026-07-12T23:41:12 budgets=iscas99__b22:915
[gmean] 2026-07-12T23:41:12 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-12T23:41:12 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_pred_lcb
[plan iscas99__b22] [plan] ensemble_checkpoints=3 score_field=q_pred_lcb lcb_alpha=0.75
[plan iscas99__b22] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b22_C/exact_candidate_nodes.txt nodes=28412
[plan iscas99__b22] [plan] step=1 node=N2030 type=observe q_pred_lcb=0.260171 sequence=0.260171
[plan iscas99__b22] [plan] step=2 node=N1995 type=observe q_pred_lcb=0.438185 sequence=0.698356
[plan iscas99__b22] [plan] step=3 node=N2039 type=observe q_pred_lcb=0.458313 sequence=1.156669
[plan iscas99__b22] [plan] step=4 node=N2037 type=observe q_pred_lcb=0.411932 sequence=1.568601
[plan iscas99__b22] [plan] step=5 node=N2041 type=observe q_pred_lcb=0.575498 sequence=2.144099
[plan iscas99__b22] [plan] step=6 node=N14399 type=observe q_pred_lcb=0.592619 sequence=2.736718
[plan iscas99__b22] [plan] step=7 node=N14401 type=observe q_pred_lcb=0.591147 sequence=3.327865
[plan iscas99__b22] [plan] step=8 node=N1996 type=observe q_pred_lcb=0.622295 sequence=3.950160
[plan iscas99__b22] [plan] step=9 node=N2043 type=observe q_pred_lcb=1.189784 sequence=5.139944
[plan iscas99__b22] [plan] step=10 node=N1990 type=observe q_pred_lcb=0.913399 sequence=6.053343
[plan iscas99__b22] [plan] step=11 node=N2047 type=observe q_pred_lcb=1.280705 sequence=7.334049
[plan iscas99__b22] [plan] step=12 node=N1986 type=observe q_pred_lcb=1.142942 sequence=8.476991
[plan iscas99__b22] [plan] step=13 node=N14397 type=observe q_pred_lcb=0.999489 sequence=9.476480
[plan iscas99__b22] [plan] step=14 node=N1989 type=observe q_pred_lcb=0.979418 sequence=10.455898
[plan iscas99__b22] [plan] step=15 node=N1992 type=observe q_pred_lcb=0.980311 sequence=11.436209
[plan iscas99__b22] [plan] step=16 node=N1753 type=observe q_pred_lcb=1.063155 sequence=12.499364
[plan iscas99__b22] [plan] step=17 node=N1758 type=observe q_pred_lcb=1.173419 sequence=13.672783
[plan iscas99__b22] [plan] step=18 node=N1997 type=observe q_pred_lcb=1.172176 sequence=14.844959
[plan iscas99__b22] [plan] step=19 node=N2059 type=observe q_pred_lcb=1.072436 sequence=15.917395
[plan iscas99__b22] [plan] step=20 node=N2035 type=observe q_pred_lcb=0.879611 sequence=16.797006
[plan iscas99__b22] [plan] step=21 node=N2033 type=observe q_pred_lcb=0.742278 sequence=17.539284
[plan iscas99__b22] [plan] step=22 node=N14396 type=observe q_pred_lcb=0.546631 sequence=18.085915
[plan iscas99__b22] [plan] step=23 node=N2144 type=observe q_pred_lcb=0.460577 sequence=18.546493
[plan iscas99__b22] [plan] step=24 node=N2060 type=observe q_pred_lcb=0.334533 sequence=18.881026
[plan iscas99__b22] [plan] step=25 node=N14398 type=observe q_pred_lcb=0.263699 sequence=19.144725
[plan iscas99__b22] [plan] step=26 node=N2168 type=observe q_pred_lcb=0.258366 sequence=19.403091
[plan iscas99__b22] [plan] step=27 node=N2919 type=observe q_pred_lcb=0.221220 sequence=19.624311
[plan iscas99__b22] [plan] step=28 node=N14456 type=observe q_pred_lcb=0.274147 sequence=19.898458
[plan iscas99__b22] [plan] step=29 node=N2061 type=observe q_pred_lcb=0.275987 sequence=20.174445
[plan iscas99__b22] [plan] step=30 node=N14453 type=observe q_pred_lcb=0.207093 sequence=20.381538
[plan iscas99__b22] [plan] step=31 node=N14447 type=observe q_pred_lcb=0.291027 sequence=20.672565
[plan iscas99__b22] [plan] step=32 node=N14471 type=observe q_pred_lcb=0.344147 sequence=21.016712
[plan iscas99__b22] [plan] step=33 node=N1991 type=observe q_pred_lcb=0.366965 sequence=21.383678
[plan iscas99__b22] [plan] step=34 node=N1987 type=observe q_pred_lcb=0.343269 sequence=21.726947
[plan iscas99__b22] [plan] step=35 node=N1985 type=observe q_pred_lcb=0.332230 sequence=22.059177
[plan iscas99__b22] [plan] step=36 node=N14412 type=observe q_pred_lcb=0.326748 sequence=22.385925
[plan iscas99__b22] [plan] step=37 node=N14410 type=observe q_pred_lcb=0.322705 sequence=22.708630
[plan iscas99__b22] [plan] step=38 node=N2044 type=observe q_pred_lcb=0.337447 sequence=23.046077
