node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
N6116,2,1,1,0,0
N6117,2,1,1,0,0
N6118,2,1,1,0,0
N6119,2,1,1,0,0
N6120,2,1,1,0,0
N6121,2,1,1,0,0
N6531,2,1,1,0,0
N6532,2,1,1,0,0
N6533,2,1,1,0,0
N6534,2,1,1,0,0
N6535,2,1,1,0,0
N6538,2,1,1,0,0
N6581,2,1,1,0,0
N6750,2,1,1,0,0
N6837,2,1,1,0,0
N6855,2,1,1,0,0
N6952,2,1,1,0,0
N7079,2,1,1,0,0
N7452,2,1,1,0,0
N7453,2,1,1,0,0
N7454,2,1,1,0,0
N8125,2,1,1,0,0
N8129,2,1,1,0,0
N8138,2,1,1,0,0
N8139,2,1,1,0,0
N8149,2,1,1,0,0
N8151,2,1,1,0,0
N8153,2,1,1,0,0
N8163,2,1,1,0,0
N8165,2,1,1,0,0
N8167,2,1,1,0,0
N8171,2,1,1,0,0
N8173,2,1,1,0,0
N8175,2,1,1,0,0
N8177,2,1,1,0,0
N8179,2,1,1,0,0
N8212,2,1,1,0,0
N8213,2,1,1,0,0
N8215,2,1,1,0,0
N8219,2,1,1,0,0
N8220,2,1,1,0,0
N8225,2,1,1,0,0
N8226,2,1,1,0,0
N8227,2,1,1,0,0
N8231,2,1,1,0,0
N8232,2,1,1,0,0
N8233,2,1,1,0,0
N8234,2,1,1,0,0
N8236,2,1,1,0,0
N8237,2,1,1,0,0
N8238,2,1,1,0,0
N8239,2,1,1,0,0
N8240,2,1,1,0,0
N10156,1,0,1,0,0
N10157,1,0,1,0,0
N10171,1,0,1,0,0
N10179,1,0,1,0,0
N10183,1,0,1,0,0
N10184,1,0,1,0,0
N10185,1,0,1,0,0
N10186,1,0,1,0,0
N10191,1,0,1,0,0
N10193,1,0,1,0,0
N10194,1,0,1,0,0
N10199,1,0,1,0,0
N10201,1,0,1,0,0
N10203,1,0,1,0,0
N10207,1,0,1,0,0
N10211,1,0,1,0,0
N10217,1,0,1,0,0
N10241,1,0,1,0,0
N10242,1,0,1,0,0
N10243,1,0,1,0,0
N10245,1,0,1,0,0
N10246,1,0,1,0,0
N10247,1,0,1,0,0
N10248,1,0,1,0,0
N10249,1,0,1,0,0
N10250,1,0,1,0,0
N10251,1,0,1,0,0
N10253,1,0,1,0,0
N10254,1,0,1,0,0
N10255,1,0,1,0,0
N10256,1,0,1,0,0
N10257,1,0,1,0,0
N10258,1,0,1,0,0
N10259,1,0,1,0,0
N10261,1,0,1,0,0
N10262,1,0,1,0,0
N10263,1,0,1,0,0
N10264,1,0,1,0,0
N10265,1,0,1,0,0
N10266,1,0,1,0,0
N10267,1,0,1,0,0
N10268,1,0,1,0,0
N10269,1,0,1,0,0
N10270,1,0,1,0,0
N10271,1,0,1,0,0
N10272,1,0,1,0,0
N10273,1,0,1,0,0
N10274,1,0,1,0,0
N10275,1,0,1,0,0
N10279,1,0,1,0,0
N10280,1,0,1,0,0
N10281,1,0,1,0,0
N10282,1,0,1,0,0
N10283,1,0,1,0,0
N10284,1,0,1,0,0
N10287,1,0,1,0,0
N10288,1,0,1,0,0
N10289,1,0,1,0,0
N10290,1,0,1,0,0
N10291,1,0,1,0,0
N10295,1,0,1,0,0
N10296,1,0,1,0,0
N10297,1,0,1,0,0
N10298,1,0,1,0,0
N10299,1,0,1,0,0
N10300,1,0,1,0,0
N10303,1,0,1,0,0
N10304,1,0,1,0,0
N10305,1,0,1,0,0
N10306,1,0,1,0,0
N10307,1,0,1,0,0
N10308,1,0,1,0,0
N10309,1,0,1,0,0
N10310,1,0,1,0,0
N10321,1,0,1,0,0
N10322,1,0,1,0,0
N10323,1,0,1,0,0
N10325,1,0,1,0,0
N10326,1,0,1,0,0
N10329,1,0,1,0,0
N10330,1,0,1,0,0
N10331,1,0,1,0,0
N10332,1,0,1,0,0
N10333,1,0,1,0,0
N10334,1,0,1,0,0
N10335,1,0,1,0,0
N10336,1,0,1,0,0
N10337,1,0,1,0,0
N10338,1,0,1,0,0
N10339,1,0,1,0,0
N10340,1,0,1,0,0
N10341,1,0,1,0,0
N10342,1,0,1,0,0
N10344,1,0,1,0,0
N10345,1,0,1,0,0
N10346,1,0,1,0,0
N10347,1,0,1,0,0
N10348,1,0,1,0,0
N10349,1,0,1,0,0
N10352,1,0,1,0,0
N10353,1,0,1,0,0
N10354,1,0,1,0,0
N10356,1,0,1,0,0
N10357,1,0,1,0,0
N10358,1,0,1,0,0
N10359,1,0,1,0,0
N10360,1,0,1,0,0
N10361,1,0,1,0,0
N10362,1,0,1,0,0
N10364,1,0,1,0,0
N10365,1,0,1,0,0
N10366,1,0,1,0,0
N10367,1,0,1,0,0
N10368,1,0,1,0,0
N10369,1,0,1,0,0
N10370,1,0,1,0,0
N10371,1,0,1,0,0
N10372,1,0,1,0,0
N10373,1,0,1,0,0
N10387,1,0,1,0,0
N10388,1,0,1,0,0
N10389,1,0,1,0,0
N10390,1,0,1,0,0
N10391,1,0,1,0,0
N10392,1,0,1,0,0
N10397,1,0,1,0,0
N10398,1,0,1,0,0
N10399,1,0,1,0,0
N10400,1,0,1,0,0
N10401,1,0,1,0,0
N10402,1,0,1,0,0
N10403,1,0,1,0,0
N10404,1,0,1,0,0
N10405,1,0,1,0,0
N10406,1,0,1,0,0
N10407,1,0,1,0,0
N10408,1,0,1,0,0
N10411,1,0,1,0,0
N10412,1,0,1,0,0
N10413,1,0,1,0,0
N10414,1,0,1,0,0
N10417,1,0,1,0,0
N10418,1,0,1,0,0
N10419,1,0,1,0,0
N10420,1,0,1,0,0
N10421,1,0,1,0,0
N10422,1,0,1,0,0
N10423,1,0,1,0,0
N10424,1,0,1,0,0
N10427,1,0,1,0,0
N10428,1,0,1,0,0
N10429,1,0,1,0,0
N10430,1,0,1,0,0
N10431,1,0,1,0,0
N10432,1,0,1,0,0
N10433,1,0,1,0,0
N10434,1,0,1,0,0
N10435,1,0,1,0,0
N10436,1,0,1,0,0
N10437,1,0,1,0,0
N10438,1,0,1,0,0
N10439,1,0,1,0,0
N10440,1,0,1,0,0
N10441,1,0,1,0,0
N10442,1,0,1,0,0
N10443,1,0,1,0,0
N10444,1,0,1,0,0
N10445,1,0,1,0,0
N10446,1,0,1,0,0
N10447,1,0,1,0,0
N10448,1,0,1,0,0
N10449,1,0,1,0,0
N10450,1,0,1,0,0
N10586,1,0,1,0,0
N10615,1,0,1,0,0
N10616,1,0,1,0,0
N10621,1,0,1,0,0
N10624,1,0,1,0,0
N10645,1,0,1,0,0
N10659,1,0,1,0,0
N10788,1,0,1,0,0
N10792,1,0,1,0,0
N10793,1,0,1,0,0
N10794,1,0,1,0,0
N10795,1,0,1,0,0
N10796,1,0,1,0,0
N10797,1,0,1,0,0
N10798,1,0,1,0,0
N10799,1,0,1,0,0
N10800,1,0,1,0,0
N10801,1,0,1,0,0
N10818,1,0,1,0,0
N10820,1,0,1,0,0
N10822,1,0,1,0,0
N10823,1,0,1,0,0
N10824,1,0,1,0,0
N10825,1,0,1,0,0
N10827,1,0,1,0,0
N10829,1,0,1,0,0
N10830,1,0,1,0,0
N10831,1,0,1,0,0
N10901,1,0,1,0,0
N10909,1,0,1,0,0
N10910,1,0,1,0,0
N10912,1,0,1,0,0
N10913,1,0,1,0,0
N10914,1,0,1,0,0
N10915,1,0,1,0,0
N10916,1,0,1,0,0
N10917,1,0,1,0,0
N10936,1,0,1,0,0
N10972,1,0,1,0,0
N11317,1,0,1,0,0
N11318,1,0,1,0,0
N11361,1,0,1,0,0
N11362,1,0,1,0,0
N11363,1,0,1,0,0
N11364,1,0,1,0,0
N11365,1,0,1,0,0
N11366,1,0,1,0,0
N11367,1,0,1,0,0
N11368,1,0,1,0,0
N13336,1,0,1,0,0
N13337,1,0,1,0,0
N13570,1,0,1,0,0
N13571,1,0,1,0,0
N1372,1,0,1,0,0
N1437,1,0,1,0,0
N14635,1,0,1,0,0
N14636,1,0,1,0,0
N14992,1,0,1,0,0
N14996,1,0,1,0,0
N15000,1,0,1,0,0
N15019,1,0,1,0,0
N15020,1,0,1,0,0
N15047,1,0,1,0,0
N15048,1,0,1,0,0
N1532,1,0,1,0,0
N15695,1,0,1,0,0
N1599,1,0,1,0,0
N16639,1,0,1,0,0
N16640,1,0,1,0,0
N16642,1,0,1,0,0
N16643,1,0,1,0,0
N16645,1,0,1,0,0
N16646,1,0,1,0,0
N16648,1,0,1,0,0
N16649,1,0,1,0,0
N16651,1,0,1,0,0
N16652,1,0,1,0,0
N16654,1,0,1,0,0
N16655,1,0,1,0,0
N16657,1,0,1,0,0
N16658,1,0,1,0,0
N16660,1,0,1,0,0
N16661,1,0,1,0,0
N16663,1,0,1,0,0
N16664,1,0,1,0,0
N16666,1,0,1,0,0
N16667,1,0,1,0,0
N16669,1,0,1,0,0
N16670,1,0,1,0,0
N16672,1,0,1,0,0
N16673,1,0,1,0,0
N16675,1,0,1,0,0
N16676,1,0,1,0,0
N16678,1,0,1,0,0
N16679,1,0,1,0,0
N16681,1,0,1,0,0
N16682,1,0,1,0,0
N16684,1,0,1,0,0
N16685,1,0,1,0,0
N16687,1,0,1,0,0
N16688,1,0,1,0,0
N16690,1,0,1,0,0
N16691,1,0,1,0,0
N16693,1,0,1,0,0
N16694,1,0,1,0,0
N16696,1,0,1,0,0
N16697,1,0,1,0,0
N16706,1,0,1,0,0
N16709,1,0,1,0,0
N16715,1,0,1,0,0
N16723,1,0,1,0,0
N16729,1,0,1,0,0
N16792,1,0,1,0,0
N16793,1,0,1,0,0
N16795,1,0,1,0,0
N16856,1,0,1,0,0
N16881,1,0,1,0,0
N16888,1,0,1,0,0
N16889,1,0,1,0,0
N16896,1,0,1,0,0
N16897,1,0,1,0,0
N16904,1,0,1,0,0
N16905,1,0,1,0,0
N16912,1,0,1,0,0
N16913,1,0,1,0,0
N16920,1,0,1,0,0
N16921,1,0,1,0,0
N16928,1,0,1,0,0
N16936,1,0,1,0,0
N16937,1,0,1,0,0
N16944,1,0,1,0,0
N16945,1,0,1,0,0
N16952,1,0,1,0,0
N16953,1,0,1,0,0
N16960,1,0,1,0,0
N16961,1,0,1,0,0
N16968,1,0,1,0,0
N16976,1,0,1,0,0
N16977,1,0,1,0,0
N16984,1,0,1,0,0
N16985,1,0,1,0,0
N16992,1,0,1,0,0
N16993,1,0,1,0,0
N17000,1,0,1,0,0
N17001,1,0,1,0,0
N17031,1,0,1,0,0
N17034,1,0,1,0,0
N17037,1,0,1,0,0
N17197,1,0,1,0,0
N17224,1,0,1,0,0
N17238,1,0,1,0,0
N17246,1,0,1,0,0
N17247,1,0,1,0,0
N17248,1,0,1,0,0
N17249,1,0,1,0,0
N17251,1,0,1,0,0
N17252,1,0,1,0,0
N17253,1,0,1,0,0
N17254,1,0,1,0,0
N17257,1,0,1,0,0
N17258,1,0,1,0,0
N17259,1,0,1,0,0
N17260,1,0,1,0,0
N17263,1,0,1,0,0
N17264,1,0,1,0,0
N17265,1,0,1,0,0
N17266,1,0,1,0,0
N17270,1,0,1,0,0
N17271,1,0,1,0,0
N17272,1,0,1,0,0
N17273,1,0,1,0,0
N17276,1,0,1,0,0
N17277,1,0,1,0,0
N17278,1,0,1,0,0
N17279,1,0,1,0,0
N17282,1,0,1,0,0
N17283,1,0,1,0,0
N17284,1,0,1,0,0
N17285,1,0,1,0,0
N17288,1,0,1,0,0
N17289,1,0,1,0,0
N17290,1,0,1,0,0
N17291,1,0,1,0,0
N17295,1,0,1,0,0
N17296,1,0,1,0,0
N17297,1,0,1,0,0
N17299,1,0,1,0,0
N17300,1,0,1,0,0
N17301,1,0,1,0,0
N17302,1,0,1,0,0
N17306,1,0,1,0,0
N17307,1,0,1,0,0
N17308,1,0,1,0,0
N17313,1,0,1,0,0
N17314,1,0,1,0,0
N17315,1,0,1,0,0
N17319,1,0,1,0,0
N17320,1,0,1,0,0
N17321,1,0,1,0,0
N17324,1,0,1,0,0
N17325,1,0,1,0,0
N17326,1,0,1,0,0
N17327,1,0,1,0,0
N17331,1,0,1,0,0
N17332,1,0,1,0,0
N17333,1,0,1,0,0
N17336,1,0,1,0,0
N17337,1,0,1,0,0
N17338,1,0,1,0,0
N17339,1,0,1,0,0
N17342,1,0,1,0,0
N17343,1,0,1,0,0
N17345,1,0,1,0,0
N17347,1,0,1,0,0
N17348,1,0,1,0,0
N17349,1,0,1,0,0
N17350,1,0,1,0,0
N17353,1,0,1,0,0
N17354,1,0,1,0,0
N17356,1,0,1,0,0
N17360,1,0,1,0,0
N17361,1,0,1,0,0
N17363,1,0,1,0,0
N17366,1,0,1,0,0
N17367,1,0,1,0,0
N17369,1,0,1,0,0
N17372,1,0,1,0,0
N17373,1,0,1,0,0
N17375,1,0,1,0,0
N17378,1,0,1,0,0
N17379,1,0,1,0,0
N17381,1,0,1,0,0
N17384,1,0,1,0,0
N17385,1,0,1,0,0
N17387,1,0,1,0,0
N17390,1,0,1,0,0
N17391,1,0,1,0,0
N17395,1,0,1,0,0
N17396,1,0,1,0,0
N17397,1,0,1,0,0
N17402,1,0,1,0,0
N17403,1,0,1,0,0
N17409,1,0,1,0,0
N17410,1,0,1,0,0
N17415,1,0,1,0,0
N17416,1,0,1,0,0
N17421,1,0,1,0,0
N17426,1,0,1,0,0
N17427,1,0,1,0,0
N17428,1,0,1,0,0
N17433,1,0,1,0,0
N17438,1,0,1,0,0
N17440,1,0,1,0,0
N17443,1,0,1,0,0
N17445,1,0,1,0,0
N17446,1,0,1,0,0
N17449,1,0,1,0,0
N17451,1,0,1,0,0
N17455,1,0,1,0,0
N17457,1,0,1,0,0
N17462,1,0,1,0,0
N17463,1,0,1,0,0
N17464,1,0,1,0,0
N17468,1,0,1,0,0
N17470,1,0,1,0,0
N17474,1,0,1,0,0
N17476,1,0,1,0,0
N17480,1,0,1,0,0
N17482,1,0,1,0,0
N17487,1,0,1,0,0
N17488,1,0,1,0,0
N17489,1,0,1,0,0
N17493,1,0,1,0,0
N17494,1,0,1,0,0
N17499,1,0,1,0,0
N17500,1,0,1,0,0
N17501,1,0,1,0,0
N17505,1,0,1,0,0
N17506,1,0,1,0,0
N17511,1,0,1,0,0
N17512,1,0,1,0,0
N17513,1,0,1,0,0
N17516,1,0,1,0,0
N17518,1,0,1,0,0
N17519,1,0,1,0,0
N17523,1,0,1,0,0
N17524,1,0,1,0,0
N17525,1,0,1,0,0
N17528,1,0,1,0,0
N17529,1,0,1,0,0
N17530,1,0,1,0,0
N17531,1,0,1,0,0
N17534,1,0,1,0,0
N17535,1,0,1,0,0
N17536,1,0,1,0,0
N17537,1,0,1,0,0
N17539,1,0,1,0,0
N17540,1,0,1,0,0
N17541,1,0,1,0,0
N17542,1,0,1,0,0
N17546,1,0,1,0,0
N17547,1,0,1,0,0
N17548,1,0,1,0,0
N17549,1,0,1,0,0
N17552,1,0,1,0,0
N17553,1,0,1,0,0
N17554,1,0,1,0,0
N17555,1,0,1,0,0
N17558,1,0,1,0,0
N17559,1,0,1,0,0
N17560,1,0,1,0,0
N17561,1,0,1,0,0
N17564,1,0,1,0,0
N17565,1,0,1,0,0
N17566,1,0,1,0,0
N17567,1,0,1,0,0
N17570,1,0,1,0,0
