benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
epfl__arithmetic__max__max	initial	heuristic_recall_pool	1	N1508	observe	N1508::observe	ok	0.008070000000000022	0.008070000000000022	0	0.6060300000000001	0.6060300000000001	3058	3058			0.4061410129070282	0.4061410129070282	-0.04761310666799545	-0.00047613106667995455	-0.04761310666799545	0.7670410871505737	-0.00881373230367899	-0.16194524988532066	-0.7015162352472544	0.01374986581504345	1.374986581504345	-0.06260675191879272	-0.04951958358287811	-0.04057949781417847	0.0006467841449193656	0.023115167394280434	11392.298828125	11235.65625
epfl__arithmetic__max__max	initial	heuristic_recall_pool	2	N1509	observe	N1509::observe	ok	0.01527999999999996	0.01527999999999996	0	0.61324	0.61324	3002	3002			0.4067090153694153	0.4067090153694153	-0.03165913373231888	-0.00031659133732318877	-0.03165913373231888	0.7673827409744263	-0.008902506902813911	-0.15452708303928375	-0.7063197884708643	0.01591227948665619	1.591227948665619	-0.06541092693805695	-0.04753609746694565	-0.03800007700920105	0.005286119878292084	0.02350781485438347	11392.353515625	11211.0751953125
epfl__arithmetic__max__max	initial	heuristic_recall_pool	3	N1568	observe	N1568::observe	ok	0.0136099999999999	0.0136099999999999	0	0.61157	0.61157	3015	3015			0.40358737111091614	0.40358737111091614	-0.07620865851640701	-0.0007620865851640701	-0.07620865851640701	0.7651492357254028	-0.00869138166308403	-0.1801975890994072	-0.6969030220061541	0.01014159806072712	1.014159806072712	-0.06453399360179901	-0.05225326493382454	-0.04413450509309769	-0.006429108791053295	0.02198449708521366	11392.396484375	11276.859375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	4	N1643	observe	N1643::observe	ok	0.0136099999999999	0.0136099999999999	0	0.61157	0.61157	3015	3015			0.406514436006546	0.406514436006546	-0.05847068876028061	-0.0005847068876028061	-0.05847068876028061	0.7669912576675415	-0.008775591850280762	-0.16903861612081528	-0.700429042801261	0.011898810043931007	1.1898810043931007	-0.06366086006164551	-0.050371743738651276	-0.04168768227100372	-0.0027880154084414244	0.022395135834813118	11392.2890625	11256.734375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	5	N6369	control1	N6369::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.40153706073760986	0.40153706073760986	-0.05472662299871445	-0.0005472662299871445	-0.05472662299871445	0.7594112753868103	-0.008753741160035133	-0.17068946361541748	-0.6992029529064894	0.011975552886724472	1.1975552886724472	-0.07348157465457916	-0.050859954208135605	-0.04232257604598999	-0.0040796613320708275	0.02344878576695919	11392.10546875	11255.6787109375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	6	N6360	control1	N6360::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4014211893081665	0.4014211893081665	-0.05506112426519394	-0.0005506112426519393	-0.05506112426519394	0.7594634294509888	-0.008752708323299885	-0.17086852714419365	-0.6991702560335398	0.01196650043129921	1.196650043129921	-0.0735681802034378	-0.05088304355740547	-0.04235260188579559	-0.004090314731001854	0.023440998047590256	11392.154296875	11255.830078125
epfl__arithmetic__max__max	initial	heuristic_recall_pool	7	N6366	control1	N6366::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4014214873313904	0.4014214873313904	-0.05506136268377304	-0.0005506136268377304	-0.05506136268377304	0.7594634294509888	-0.008752704598009586	-0.1708683930337429	-0.6991699431091547	0.011966245248913765	1.1966245248913765	-0.07356792688369751	-0.05088312178850174	-0.04235270619392395	-0.004090521484613419	0.023440705612301826	11392.15234375	11255.8310546875
epfl__arithmetic__max__max	initial	heuristic_recall_pool	8	N6369	control0	N6369::control0	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4020983874797821	0.4020983874797821	-0.07782124727964401	-0.0007782124727964402	-0.07782124727964401	0.7623271942138672	-0.008670930750668049	-0.1825871281325817	-0.6959665883332491	0.00926637090742588	0.926637090742588	-0.06970067322254181	-0.052710194140672684	-0.04472871124744415	-0.009428265504539013	0.022625764831900597	11392.10546875	11286.5419921875
epfl__arithmetic__max__max	initial	heuristic_recall_pool	9	N6357	control1	N6357::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4019317626953125	0.4019317626953125	-0.054477982223033905	-0.0005447798222303391	-0.054477982223033905	0.7596846222877502	-0.008756267838180065	-0.17042014375329018	-0.6993251238018274	0.011969712562859058	1.1969712562859058	-0.07157810032367706	-0.05080351233482361	-0.0422491729259491	-0.004069362301379442	0.02343139424920082	11392.1162109375	11255.755859375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	10	N6363	control1	N6363::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4019317328929901	0.4019317328929901	-0.054477982223033905	-0.0005447798222303391	-0.054477982223033905	0.7596846222877502	-0.008756267838180065	-0.17042014375329018	-0.6993251238018274	0.011969542130827904	1.1969542130827904	-0.07157810032367706	-0.05080351233482361	-0.0422491729259491	-0.0040694656781852245	0.02343131974339485	11392.115234375	11255.7568359375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	11	N6360	control0	N6360::control0	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4018998444080353	0.4018998444080353	-0.07824211567640305	-0.0007824211567640304	-0.07824211567640305	0.7624067068099976	-0.008669067174196243	-0.18274212628602982	-0.6958655696362257	0.009264531545341015	0.9264531545341015	-0.0698264092206955	-0.0527518168091774	-0.044782839715480804	-0.009430122561752796	0.022624077275395393	11392.154296875	11286.611328125
epfl__arithmetic__max__max	initial	heuristic_recall_pool	12	N6366	control0	N6366::control0	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.40190014243125916	0.40190014243125916	-0.07824242860078812	-0.0007824242860078812	-0.07824242860078812	0.7624066472053528	-0.008669063448905945	-0.18274212628602982	-0.6958652902394533	0.00926436111330986	0.926436111330986	-0.06982603669166565	-0.05275190621614456	-0.044782958924770355	-0.009430226869881153	0.022623931989073753	11392.15234375	11286.611328125
epfl__arithmetic__max__max	initial	heuristic_recall_pool	13	N6345	control1	N6345::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4019306004047394	0.4019306004047394	-0.054409705102443695	-0.000544097051024437	-0.054409705102443695	0.7596914172172546	-0.008756566792726517	-0.17037496715784073	-0.6993362512439489	0.011973852291703224	1.1973852291703224	-0.07158936560153961	-0.05079684406518936	-0.04224050045013428	-0.004042321816086769	0.023419326171278954	11392.091796875	11255.6845703125
epfl__arithmetic__max__max	initial	heuristic_recall_pool	14	N6354	control1	N6354::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4013884663581848	0.4013884663581848	-0.053299687802791595	-0.000532996878027916	-0.053299687802791595	0.7589560151100159	-0.008754082955420017	-0.16975196823477745	-0.6989942137151957	0.011980066075921059	1.1980066075921059	-0.07342784106731415	-0.05085233226418495	-0.042312659323215485	-0.0041418964974582195	0.023501360788941383	11392.1337890625	11255.6552734375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	15	N6357	control0	N6357::control0	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4022788107395172	0.4022788107395172	-0.07773631066083908	-0.0007773631066083908	-0.07773631066083908	0.762414813041687	-0.008673565462231636	-0.18267804384231567	-0.6961869206279516	0.00926070474088192	0.926070474088192	-0.0682334452867508	-0.05265132337808609	-0.04465215653181076	-0.009424631483852863	0.022613516077399254	11392.1162109375	11286.6171875
epfl__arithmetic__max__max	initial	heuristic_recall_pool	16	N6363	control0	N6363::control0	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.4022787809371948	0.4022787809371948	-0.0777362808585167	-0.0007773628085851669	-0.0777362808585167	0.7624147534370422	-0.008673565462231636	-0.18267807364463806	-0.6961869280785322	0.00926061999052763	0.926061999052763	-0.0682334452867508	-0.05265132337808609	-0.04465215653181076	-0.009424734860658646	0.022613516077399254	11392.115234375	11286.6171875
epfl__arithmetic__max__max	initial	heuristic_recall_pool	17	N6342	control1	N6342::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.40153083205223083	0.40153083205223083	-0.05473247915506363	-0.0005473247915506363	-0.05473247915506363	0.7594497799873352	-0.008755051530897617	-0.17078785225749016	-0.6993258278816938	0.01198193896561861	1.198193896561861	-0.07354138791561127	-0.05083068460226059	-0.042284511029720306	-0.00401607621461153	0.023414371535182	11392.146484375	11255.646484375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	18	N6348	control1	N6348::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.40153130888938904	0.40153130888938904	-0.05473270267248154	-0.0005473270267248154	-0.05473270267248154	0.7594496011734009	-0.008755046874284744	-0.17078778892755508	-0.6993254628032446	0.011981768533587456	1.1981768533587456	-0.0735412985086441	-0.05083077773451805	-0.04228463023900986	-0.004016076680272818	0.02341408096253872	11392.1455078125	11255.6474609375
epfl__arithmetic__max__max	initial	heuristic_recall_pool	19	N6339	control1	N6339::control1	ok	0.00035999999999991594	0.00035999999999991594	0	0.59832	0.59832	3117	3117			0.40357422828674316	0.40357422828674316	-0.052500806748867035	-0.0005250080674886703	-0.052500806748867035	0.760704755783081	-0.008768722414970398	-0.16866829246282578	-0.6998212542384863	0.011963343247771263	1.1963343247771263	-0.07133536040782928	-0.0505252331495285	-0.04188728332519531	-0.00404316233471036	0.023401733487844467	11392.05859375	11255.771484375
