dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
main_labels_100k	ALL	undetected_fault_count	test_coverage	100131	37.94879707583066	0.9255037123368387	-0.8762331930965048	-0.8539072600644384	0	340	0.31908	1.0
main_labels_100k	ALL	undetected_fault_count	fault_coverage	100131	37.94879707583066	0.9255037123368387	-0.8762331930965048	-0.8539072600644384	0	340	0.31908	1.0
main_labels_100k	ALL	undetected_fault_count	delta_test_coverage	100131	37.94879707583066	0.006507703108927283	-0.0035902996022052058	-0.01621453170451394	0	340	-0.2739999999999999	0.39644
main_labels_100k	ALL	undetected_fault_count	delta_fault_coverage	100131	37.94879707583066	0.006507703108927283	-0.0035902996022052058	-0.01621453170451394	0	340	-0.2739999999999999	0.39644
main_labels_100k	ALL	undetected_fault_count	baseline_test_coverage	100131	37.94879707583066	0.9189960092279114	-0.8429660716495975	-0.7402167248143235	0	340	0.3277	0.98993
main_labels_100k	subckt_0001	undetected_fault_count	test_coverage	926	45.570194384449245	0.9164260043196545	-0.9992251557896142	-0.9970992962598206	19	64	0.8832099999999999	0.9657
main_labels_100k	subckt_0001	undetected_fault_count	fault_coverage	926	45.570194384449245	0.9164260043196545	-0.9992251557896142	-0.9970992962598206	19	64	0.8832099999999999	0.9657
main_labels_100k	subckt_0001	undetected_fault_count	delta_test_coverage	926	45.570194384449245	0.017176004319654416	-0.9992251557896142	-0.9970992962598206	19	64	-0.01604	0.0664499999999999
main_labels_100k	subckt_0001	undetected_fault_count	delta_fault_coverage	926	45.570194384449245	0.017176004319654416	-0.9992251557896142	-0.9970992962598206	19	64	-0.01604	0.0664499999999999
main_labels_100k	subckt_0001	undetected_fault_count	baseline_test_coverage	926	45.570194384449245	0.8992500000000001	2.7593345773153427e-16		19	64	0.89925	0.89925
main_labels_100k	subckt_0008	undetected_fault_count	test_coverage	461	31.14533622559653	0.8509567028199567	-0.9980504295302519	-0.9922910445027189	0	48	0.7714300000000001	1.0
main_labels_100k	subckt_0008	undetected_fault_count	fault_coverage	461	31.14533622559653	0.8509567028199567	-0.9980504295302519	-0.9922910445027189	0	48	0.7714300000000001	1.0
main_labels_100k	subckt_0008	undetected_fault_count	delta_test_coverage	461	31.14533622559653	0.03595670281995665	-0.998050429530252	-0.9922910445027189	0	48	-0.0435699999999998	0.185
main_labels_100k	subckt_0008	undetected_fault_count	delta_fault_coverage	461	31.14533622559653	0.03595670281995665	-0.998050429530252	-0.9922910445027189	0	48	-0.0435699999999998	0.185
main_labels_100k	subckt_0008	undetected_fault_count	baseline_test_coverage	461	31.14533622559653	0.8149999999999996	6.131916284314388e-17		0	48	0.815	0.815
main_labels_100k	subckt_0010	undetected_fault_count	test_coverage	936	91.9198717948718	0.8413822863247863	-0.9980679766036087	-0.9803712358992386	34	107	0.81678	0.94198
main_labels_100k	subckt_0010	undetected_fault_count	fault_coverage	936	91.9198717948718	0.8413822863247863	-0.9980679766036087	-0.9803712358992386	34	107	0.81678	0.94198
main_labels_100k	subckt_0010	undetected_fault_count	delta_test_coverage	936	91.9198717948718	0.02384228632478624	-0.9980679766036087	-0.9803712358992386	34	107	-0.00076	0.1244399999999998
main_labels_100k	subckt_0010	undetected_fault_count	delta_fault_coverage	936	91.9198717948718	0.02384228632478624	-0.9980679766036087	-0.9803712358992386	34	107	-0.00076	0.1244399999999998
main_labels_100k	subckt_0010	undetected_fault_count	baseline_test_coverage	936	91.9198717948718	0.8175399999999998	-1.3768126690560292e-15		34	107	0.81754	0.81754
main_labels_100k	subckt_0011	undetected_fault_count	test_coverage	746	41.711796246648795	0.8700383109919572	-0.998630899879809	-0.9953811705360918	5	61	0.8117300000000001	0.98485
