step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N24081,observe,0.7517187595367432,0.7517187595367432,0.06523500382900238,0.0006523500382900238,-0.16054044663906097,0.15468738973140717,0.06523500382900238,-0.013014830648899078,-0.2068331241607666,-0.048903193324804306,28310.99609375,372.3209533691406,27938.67578125,31258.712890625,244.1080780029297,31014.60546875,-0.10411915183067322,0.34436115622520447,-0.11009576171636581,-10.411915183067322,-1.0815606713294983,-1.2465024664998055,0.06523500382900238,0.06523500382900238,0.06523500382900238,greedy,0.06523500382900238,0.0,heuristic_recall_pool
2,N42299,observe,0.7454042434692383,0.7454042434692383,0.06830606609582901,0.0006830606609582901,-0.1555711179971695,0.1794399619102478,0.06830606609582901,-0.013454359024763107,-0.2053513526916504,-0.04754152521491051,31258.208984375,243.8063201904297,31014.40234375,31995.70703125,278.9783630371094,31716.728515625,-0.023593740537762642,-0.14426222443580627,-0.022645162418484688,-2.359374053776264,-1.097689874470234,-1.2834993954747915,0.06830606609582901,0.1335410699248314,0.1335410699248314,greedy,0.06830606609582901,0.0,heuristic_recall_pool
3,__buf_split_217,control0,0.7179970741271973,0.7179970741271973,0.04699006676673889,0.0004699006676673889,-0.16782058775424957,0.2221280336380005,0.04699006676673889,-0.015529181808233261,-0.1984865963459015,-0.034470777958631516,31983.13671875,278.5787353515625,31704.55859375,32562.09765625,387.05877685546875,32175.0390625,-0.018102068454027176,-0.3894053101539612,-0.01483952160924673,-1.8102068454027176,-1.2838000804185867,-1.4856386557221413,0.04699006676673889,0.18053113669157028,0.18053113669157028,greedy,0.04699006676673889,0.0,heuristic_recall_pool
4,N48467,observe,0.6764616966247559,0.6764616966247559,0.19222572445869446,0.0019222572445869446,-0.1847841590642929,0.31738877296447754,0.19222572445869446,-0.0024053677916526794,-0.2089625895023346,-0.01674662157893181,32570.6015625,387.06219482421875,32183.5390625,33186.9609375,467.819091796875,32719.140625,-0.018923794850707054,-0.20864062011241913,-0.016642097383737564,-1.8923794850707054,0.26907771825790405,-0.11313315480947495,0.19222572445869446,0.37275686115026474,0.37275686115026474,greedy,0.19222572445869446,0.0,heuristic_recall_pool
5,__buf_split_217,control1,0.6862493753433228,0.6862493753433228,0.21828705072402954,0.0021828705072402953,-0.19649066030979156,0.3300429582595825,0.21828705072402954,0.0006228014826774597,-0.21691712737083435,-0.015972673892974854,33178.21484375,467.53643798828125,32710.6796875,33726.51953125,568.606689453125,33157.9140625,-0.01652604527771473,-0.21617619693279266,-0.013672427274286747,-1.652604527771473,0.610610157251358,0.199362650513649,0.21828705072402954,0.5910439118742943,0.5910439118742943,greedy,0.21828705072402954,0.0,heuristic_recall_pool
6,__buf_split_184,control1,0.6960809230804443,0.6960809230804443,0.24196386337280273,0.0024196386337280275,-0.20167149603366852,0.3380199670791626,0.24196386337280273,0.003147091716527939,-0.22515404224395752,-0.014907483011484146,33726.29296875,568.39208984375,33157.90234375,34099.90625,681.4780883789062,33418.4296875,-0.011077804490923882,-0.19895772635936737,-0.007857171818614006,-1.1077804490923882,0.8946930021047592,0.4597051292657852,0.24196386337280273,0.833007775247097,0.833007775247097,greedy,0.24196386337280273,0.0,heuristic_recall_pool
7,__buf_split_184,control0,0.6957739591598511,0.6957739591598511,0.26748454570770264,0.0026748454570770263,-0.19152072072029114,0.32303574681282043,0.26748454570770264,0.005025539547204971,-0.22889775037765503,-0.015330303460359573,34099.90625,681.4780883789062,33418.4296875,34286.953125,779.052978515625,33507.8984375,-0.005485260859131813,-0.14318126440048218,-0.0026772278361022472,-0.5485260859131813,1.0930742472410202,0.6501840278506279,0.26748454570770264,1.1004923209547997,1.1004923209547997,greedy,0.26748454570770264,0.0,heuristic_recall_pool
8,N826,observe,0.7118617296218872,0.7118617296218872,0.30356210470199585,0.0030356210470199583,-0.2059514820575714,0.35953477025032043,0.30356210470199585,0.00741996243596077,-0.24267855286598206,-0.007836934179067612,34291.8125,778.8802490234375,33512.93359375,34399.2734375,848.656982421875,33550.6171875,-0.0031337200198322535,-0.08958595991134644,-0.0011244493070989847,-0.31337200198322535,1.4050931185483932,0.907770462334156,0.30356210470199585,1.4040544256567955,1.4040544256567955,greedy,0.30356210470199585,0.0,heuristic_recall_pool
9,N29757,observe,0.579789400100708,0.579789400100708,0.2503734230995178,0.0025037342309951784,-0.38801413774490356,0.4374755322933197,0.2503734230995178,-0.015981800854206085,-0.2324567437171936,0.02419067546725273,34394.6953125,848.3881225585938,33546.30859375,33219.09765625,633.2144775390625,32585.8828125,0.03417962044477463,0.25362643599510193,0.0286298505961895,3.4179620444774628,-0.910331130027771,-1.4262178465723991,0.2503734230995178,1.6544278487563133,1.6544278487563133,greedy,0.2503734230995178,0.0,heuristic_recall_pool
10,N29794,observe,0.5362510681152344,0.5362510681152344,0.45103102922439575,0.004510310292243957,-0.4721935987472534,0.5237016081809998,0.45103102922439575,-0.015712600201368332,-0.27062326669692993,0.03956441953778267,33218.33203125,633.2102661132812,32585.123046875,31812.2421875,458.9544677734375,31353.287109375,0.04232873022556305,0.2751941978931427,0.03780363127589226,4.232873022556305,-0.5965273827314377,-1.3275768607854843,0.45103102922439575,2.105458877980709,2.105458877980709,greedy,0.45103102922439575,0.0,heuristic_recall_pool
