metric_type	task	n	accuracy	balanced_accuracy	precision	recall	f1	positive_rate	pred_positive_rate
sign	hard_reduction_sa0_sign	4096	0.1474609375					0.055908203125	0.0
sign	hard_reduction_sa1_sign	4096	0.175048828125					0.2607421875	0.07080078125
sign	hard_reduction_total_sign	4096	0.269775390625					0.249267578125	0.056396484375
sign	return_pred_sign	4096	0.615966796875					0.78125	0.721435546875
sign	reward_pred_sign	4096	0.78125					0.78125	1.0
binary	hard_node_any	1991413	0.9160219402002497	0.8416774970151206	0.766352531839875	0.7289524450029202	0.7471847689537727	0.17023992511849625	
binary	hard_node_sa0	1991413	0.9943467276752738	0.8197010432979954	0.8365249620935588	0.6408811255001505	0.7257490864799024	0.011671612066407119	
binary	hard_node_sa1	1991413	0.9165522169434467	0.8375931323299006	0.7570664728212584	0.7203180907179481	0.7382352431553727	0.16335938351311355	
topk_recall	hard_node_top10_recall	4096	0.28604485482730385						
topk_recall	hard_node_top20_recall	4096	0.3345817958885104						
topk_recall	hard_node_top50_recall	4096	0.48639394084947557						
topk_recall	hard_node_top100_recall	4096	0.6658557094638367						
