variant	metric_type	task	n	accuracy	balanced_accuracy	precision	recall	f1	positive_rate	pred_positive_rate
v1_balanced	sign	hard_reduction_sa0_sign	4096	0.1474609375					0.055908203125	0.0
v1_balanced	sign	hard_reduction_sa1_sign	4096	0.1806640625					0.2607421875	0.4404296875
v1_balanced	sign	hard_reduction_total_sign	4096	0.220703125					0.249267578125	0.0
v1_balanced	sign	return_pred_sign	4096	0.775146484375					0.78125	0.990478515625
v1_balanced	sign	reward_pred_sign	4096	0.78125					0.78125	1.0
v1_balanced	binary	hard_node_any	1991413	0.5651896417267538	0.713956700977921	0.273662450672351	0.9395253349379679	0.4238631622861911	0.17023992511849625	
v1_balanced	binary	hard_node_sa0	1991413	0.9878789583074932	0.5646514673512714	0.4360622946135162	0.13130835090134665	0.2018385027445275	0.011671612066407119	
v1_balanced	binary	hard_node_sa1	1991413	0.5688347921802258	0.7285015647407413	0.2704395856039201	0.9656487845663908	0.4225420502922167	0.16335938351311355	
v1_balanced	topk_recall	hard_node_top10_recall	4096	0.278855279332477						
v1_balanced	topk_recall	hard_node_top20_recall	4096	0.38622601872598705						
v1_balanced	topk_recall	hard_node_top50_recall	4096	0.6190052171404935						
v1_balanced	topk_recall	hard_node_top100_recall	4096	0.7665641515263619						
v2_reward_return	sign	hard_reduction_sa0_sign	4096	0.12939453125					0.055908203125	0.27880859375
v2_reward_return	sign	hard_reduction_sa1_sign	4096	0.2314453125					0.2607421875	0.57763671875
v2_reward_return	sign	hard_reduction_total_sign	4096	0.232177734375					0.249267578125	0.679931640625
v2_reward_return	sign	return_pred_sign	4096	0.78125					0.78125	1.0
v2_reward_return	sign	reward_pred_sign	4096	0.76513671875					0.78125	0.9765625
v2_reward_return	binary	hard_node_any	1991413	0.3598369599877072	0.5763842100973232	0.1979787600040536	0.9047248228707621	0.32486753713064637	0.17023992511849625	
v2_reward_return	binary	hard_node_sa0	1991413	0.9876494730123786	0.5019948928272492	0.06997455470737914	0.00473260766682442	0.008865605480556114	0.011671612066407119	
v2_reward_return	binary	hard_node_sa1	1991413	0.3643176980365198	0.594119246430537	0.19642993156529698	0.9354350846561497	0.3246808533339023	0.16335938351311355	
v2_reward_return	topk_recall	hard_node_top10_recall	4096	0.06696244181055745						
v2_reward_return	topk_recall	hard_node_top20_recall	4096	0.20550722001170305						
v2_reward_return	topk_recall	hard_node_top50_recall	4096	0.48069571409042067						
v2_reward_return	topk_recall	hard_node_top100_recall	4096	0.6951572996433715						
v3_hard_precision	sign	hard_reduction_sa0_sign	4096	0.126953125					0.055908203125	0.150146484375
v3_hard_precision	sign	hard_reduction_sa1_sign	4096	0.260498046875					0.2607421875	0.861083984375
v3_hard_precision	sign	hard_reduction_total_sign	4096	0.22216796875					0.249267578125	0.715576171875
v3_hard_precision	sign	return_pred_sign	4096	0.78125					0.78125	1.0
v3_hard_precision	sign	reward_pred_sign	4096	0.5458984375					0.78125	0.6044921875
v3_hard_precision	binary	hard_node_any	1991413	0.876107567842532	0.675889337670297	0.7881741715113556	0.3723076650797303	0.5057266321953526	0.17023992511849625	
v3_hard_precision	binary	hard_node_sa0	1991413	0.9894250966524775	0.5659651112918362	0.7750629722921915	0.13238394355289765	0.22614191746591703	0.011671612066407119	
v3_hard_precision	binary	hard_node_sa1	1991413	0.8799545850107436	0.6774225828201282	0.7716245323659449	0.37660920458876906	0.5061702892413456	0.16335938351311355	
v3_hard_precision	topk_recall	hard_node_top10_recall	4096	0.3269230809792501						
v3_hard_precision	topk_recall	hard_node_top20_recall	4096	0.48304962345113095						
v3_hard_precision	topk_recall	hard_node_top50_recall	4096	0.6914815779080765						
v3_hard_precision	topk_recall	hard_node_top100_recall	4096	0.7909941007711753						
v4_reduction_sign	sign	hard_reduction_sa0_sign	4096	0.1474609375					0.055908203125	0.0
v4_reduction_sign	sign	hard_reduction_sa1_sign	4096	0.175048828125					0.2607421875	0.07080078125
v4_reduction_sign	sign	hard_reduction_total_sign	4096	0.269775390625					0.249267578125	0.056396484375
v4_reduction_sign	sign	return_pred_sign	4096	0.615966796875					0.78125	0.721435546875
v4_reduction_sign	sign	reward_pred_sign	4096	0.78125					0.78125	1.0
v4_reduction_sign	binary	hard_node_any	1991413	0.9160219402002497	0.8416774970151206	0.766352531839875	0.7289524450029202	0.7471847689537727	0.17023992511849625	
v4_reduction_sign	binary	hard_node_sa0	1991413	0.9943467276752738	0.8197010432979954	0.8365249620935588	0.6408811255001505	0.7257490864799024	0.011671612066407119	
v4_reduction_sign	binary	hard_node_sa1	1991413	0.9165522169434467	0.8375931323299006	0.7570664728212584	0.7203180907179481	0.7382352431553727	0.16335938351311355	
v4_reduction_sign	topk_recall	hard_node_top10_recall	4096	0.28604485482730385						
v4_reduction_sign	topk_recall	hard_node_top20_recall	4096	0.3345817958885104						
v4_reduction_sign	topk_recall	hard_node_top50_recall	4096	0.48639394084947557						
v4_reduction_sign	topk_recall	hard_node_top100_recall	4096	0.6658557094638367						
