step,node,type,planner,candidate_strategy
1,N26513,control1,portfolio,weighted_round_robin
2,N2731,control0,portfolio,weighted_round_robin
3,N7781,observe,portfolio,weighted_round_robin
4,N8089,observe,portfolio,weighted_round_robin
5,N9778,control1,portfolio,weighted_round_robin
6,N5319,control0,portfolio,weighted_round_robin
7,N6780,control0,portfolio,weighted_round_robin
8,N6992,control0,portfolio,weighted_round_robin
9,N27608,observe,portfolio,weighted_round_robin
10,N12071,control0,portfolio,weighted_round_robin
11,N11983,control0,portfolio,weighted_round_robin
12,N12015,control0,portfolio,weighted_round_robin
13,N7642,observe,portfolio,weighted_round_robin
14,N12055,control0,portfolio,weighted_round_robin
15,N11941,control0,portfolio,weighted_round_robin
16,N11975,control0,portfolio,weighted_round_robin
17,N7632,observe,portfolio,weighted_round_robin
18,N3774,observe,portfolio,weighted_round_robin
19,N9512,control1,portfolio,weighted_round_robin
20,N10044,control1,portfolio,weighted_round_robin
21,N7640,observe,portfolio,weighted_round_robin
22,N7680,control0,portfolio,weighted_round_robin
23,N7682,control0,portfolio,weighted_round_robin
24,N4256,control0,portfolio,weighted_round_robin
25,N19320,observe,portfolio,weighted_round_robin
26,N11952,control0,portfolio,weighted_round_robin
27,N12824,control0,portfolio,weighted_round_robin
28,N12791,control0,portfolio,weighted_round_robin
29,N19324,observe,portfolio,weighted_round_robin
30,N12866,control0,portfolio,weighted_round_robin
31,N12782,control0,portfolio,weighted_round_robin
32,N12863,control0,portfolio,weighted_round_robin
33,N19317,observe,portfolio,weighted_round_robin
34,N12806,control0,portfolio,weighted_round_robin
35,N12809,control0,portfolio,weighted_round_robin
36,N12836,control0,portfolio,weighted_round_robin
37,N19316,observe,portfolio,weighted_round_robin
38,N12830,control0,portfolio,weighted_round_robin
39,N12803,control0,portfolio,weighted_round_robin
40,N12797,control0,portfolio,weighted_round_robin
41,N24962,observe,portfolio,weighted_round_robin
42,N12794,control0,portfolio,weighted_round_robin
43,N12812,control0,portfolio,weighted_round_robin
44,N12821,control0,portfolio,weighted_round_robin
45,N19318,observe,portfolio,weighted_round_robin
46,N6892,control0,portfolio,weighted_round_robin
47,N6796,control0,portfolio,weighted_round_robin
48,N6868,control0,portfolio,weighted_round_robin
49,N19319,observe,portfolio,weighted_round_robin
50,N3880,observe,portfolio,weighted_round_robin
51,N12167,control0,portfolio,weighted_round_robin
52,N2200,control1,portfolio,weighted_round_robin
53,N19322,observe,portfolio,weighted_round_robin
54,N2201,control1,portfolio,weighted_round_robin
55,N7645,control0,portfolio,weighted_round_robin
56,N7643,control0,portfolio,weighted_round_robin
57,N19323,observe,portfolio,weighted_round_robin
58,N12208,control0,portfolio,weighted_round_robin
59,N6988,control0,portfolio,weighted_round_robin
60,N4557,control0,portfolio,weighted_round_robin
61,N19314,observe,portfolio,weighted_round_robin
62,N2192,control1,portfolio,weighted_round_robin
63,N4505,control0,portfolio,weighted_round_robin
64,N4609,control0,portfolio,weighted_round_robin
65,N19321,observe,portfolio,weighted_round_robin
66,N12143,control0,portfolio,weighted_round_robin
67,N7916,observe,portfolio,weighted_round_robin
68,N12135,control0,portfolio,weighted_round_robin
69,N3386,observe,portfolio,weighted_round_robin
70,N12095,control0,portfolio,weighted_round_robin
71,N12103,control0,portfolio,weighted_round_robin
72,N12039,control0,portfolio,weighted_round_robin
73,N19315,observe,portfolio,weighted_round_robin
74,N12111,control0,portfolio,weighted_round_robin
75,N12119,control0,portfolio,weighted_round_robin
76,N11923,control0,portfolio,weighted_round_robin
77,N3937,observe,portfolio,weighted_round_robin
78,N4761,control0,portfolio,weighted_round_robin
79,N4402,control0,portfolio,weighted_round_robin
80,N4813,control0,portfolio,weighted_round_robin
81,N28756,observe,portfolio,weighted_round_robin
82,N4660,control0,portfolio,weighted_round_robin
83,N4350,control0,portfolio,weighted_round_robin
84,N7064,control0,portfolio,weighted_round_robin
85,N28757,observe,portfolio,weighted_round_robin
86,N4453,control0,portfolio,weighted_round_robin
87,N4298,control0,portfolio,weighted_round_robin
88,N4709,control0,portfolio,weighted_round_robin
89,N28758,observe,portfolio,weighted_round_robin
90,N12330,control0,portfolio,weighted_round_robin
91,N12344,control0,portfolio,weighted_round_robin
92,N12392,control0,portfolio,weighted_round_robin
93,N28759,observe,portfolio,weighted_round_robin
94,N7344,control0,portfolio,weighted_round_robin
95,N12424,control0,portfolio,weighted_round_robin
96,N7376,control0,portfolio,weighted_round_robin
97,N28760,observe,portfolio,weighted_round_robin
98,N7324,control0,portfolio,weighted_round_robin
99,N7292,control0,portfolio,weighted_round_robin
100,N12465,control0,portfolio,weighted_round_robin
101,N28761,observe,portfolio,weighted_round_robin
102,N12369,control0,portfolio,weighted_round_robin
103,N12385,control0,portfolio,weighted_round_robin
104,N12417,control0,portfolio,weighted_round_robin
105,N28762,observe,portfolio,weighted_round_robin
106,N12401,control0,portfolio,weighted_round_robin
107,N12433,control0,portfolio,weighted_round_robin
108,N12448,control0,portfolio,weighted_round_robin
109,N9217,observe,portfolio,weighted_round_robin
110,N12611,control0,portfolio,weighted_round_robin
111,N12351,control0,portfolio,weighted_round_robin
112,N12569,control0,portfolio,weighted_round_robin
113,N28763,observe,portfolio,weighted_round_robin
114,N7112,control0,portfolio,weighted_round_robin
115,N7123,control0,portfolio,weighted_round_robin
116,N12607,control0,portfolio,weighted_round_robin
117,N28764,observe,portfolio,weighted_round_robin
118,N12570,control0,portfolio,weighted_round_robin
119,N7032,control0,portfolio,weighted_round_robin
120,N7280,control0,portfolio,weighted_round_robin
121,N28765,observe,portfolio,weighted_round_robin
122,N7067,control0,portfolio,weighted_round_robin
123,N7083,control0,portfolio,weighted_round_robin
124,N7131,control0,portfolio,weighted_round_robin
125,N3362,observe,portfolio,weighted_round_robin
126,N12706,control0,portfolio,weighted_round_robin
127,N7310,control0,portfolio,weighted_round_robin
128,N12740,control0,portfolio,weighted_round_robin
129,N3378,observe,portfolio,weighted_round_robin
130,N7268,control0,portfolio,weighted_round_robin
131,N7177,control0,portfolio,weighted_round_robin
132,N12216,control0,portfolio,weighted_round_robin
133,N3370,observe,portfolio,weighted_round_robin
134,N12312,control0,portfolio,weighted_round_robin
135,N12232,control0,portfolio,weighted_round_robin
136,N7225,control0,portfolio,weighted_round_robin
137,N7633,observe,portfolio,weighted_round_robin
138,N12248,control0,portfolio,weighted_round_robin
139,N12328,control0,portfolio,weighted_round_robin
140,N12280,control0,portfolio,weighted_round_robin
141,N3856,observe,portfolio,weighted_round_robin
142,N7151,control0,portfolio,weighted_round_robin
143,N7218,control0,portfolio,weighted_round_robin
144,N7277,control0,portfolio,weighted_round_robin
145,N3778,observe,portfolio,weighted_round_robin
146,N7222,control0,portfolio,weighted_round_robin
147,N12262,control0,portfolio,weighted_round_robin
148,N12294,control0,portfolio,weighted_round_robin
149,N1984,observe,portfolio,weighted_round_robin
150,N7199,control0,portfolio,weighted_round_robin
151,N12308,control0,portfolio,weighted_round_robin
152,N7274,control0,portfolio,weighted_round_robin
153,N7644,observe,portfolio,weighted_round_robin
154,N7162,control0,portfolio,weighted_round_robin
155,N7210,control0,portfolio,weighted_round_robin
156,N7049,control0,portfolio,weighted_round_robin
157,N3331,observe,portfolio,weighted_round_robin
158,N7115,control0,portfolio,weighted_round_robin
159,N7021,control0,portfolio,weighted_round_robin
160,N27225,control0,portfolio,weighted_round_robin
161,N3325,observe,portfolio,weighted_round_robin
162,N2849,control0,portfolio,weighted_round_robin
163,N26504,control1,portfolio,weighted_round_robin
164,N28737,control0,portfolio,weighted_round_robin
165,N3339,observe,portfolio,weighted_round_robin
166,N7669,control0,portfolio,weighted_round_robin
167,N20280,control0,portfolio,weighted_round_robin
168,N3964,control0,portfolio,weighted_round_robin
169,N3340,observe,portfolio,weighted_round_robin
170,N26515,control1,portfolio,weighted_round_robin
171,N26510,control1,portfolio,weighted_round_robin
172,N26506,control1,portfolio,weighted_round_robin
173,N3346,observe,portfolio,weighted_round_robin
174,N27350,control1,portfolio,weighted_round_robin
175,N27352,control1,portfolio,weighted_round_robin
176,N27356,control1,portfolio,weighted_round_robin
177,N3348,observe,portfolio,weighted_round_robin
178,N27355,control1,portfolio,weighted_round_robin
179,N27348,control1,portfolio,weighted_round_robin
180,N27347,control1,portfolio,weighted_round_robin
181,N3450,observe,portfolio,weighted_round_robin
182,N26517,control1,portfolio,weighted_round_robin
183,N26502,control1,portfolio,weighted_round_robin
184,N27361,control1,portfolio,weighted_round_robin
185,N3463,observe,portfolio,weighted_round_robin
186,N27358,control1,portfolio,weighted_round_robin
187,N12674,control0,portfolio,weighted_round_robin
188,N27346,control1,portfolio,weighted_round_robin
189,N3354,observe,portfolio,weighted_round_robin
190,N12158,control0,portfolio,weighted_round_robin
191,N12637,control0,portfolio,weighted_round_robin
192,N2898,control0,portfolio,weighted_round_robin
193,N3356,observe,portfolio,weighted_round_robin
194,N12641,control0,portfolio,weighted_round_robin
195,N8611,control0,portfolio,weighted_round_robin
196,N12671,control0,portfolio,weighted_round_robin
197,N3428,observe,portfolio,weighted_round_robin
198,N12656,control0,portfolio,weighted_round_robin
199,N30923,control0,portfolio,weighted_round_robin
200,N30922,control0,portfolio,weighted_round_robin
