step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N2219,control1,1.5957682132720947,5.431268702447415,1.5957682132720947,0.7163989543914795,3.5174139872193337,0.007163989543914795,0.3101164698600769,0.036327116191387177,0.036327116191387177,1.3065552526712416,0.07537908852100372,0.18683530390262604,0.051756273955106735,105212.25,42459.421875,62752.82421875,108084.578125,45592.5703125,62492.00390625,-0.02730032056570053,-0.07379159331321716,0.004156311973929405,-2.730032056570053,8.290634922683239,2.415964134633541,7.726090369746089,2.2127997955679892,5.431268702447415,5.431268702447415,5.431268702447415,greedy,5.431268702447415,0.0,hard_fault_cluster
2,N7781,observe,1.2202985286712646,1.3332977186888457,1.2202985286712646,0.6628060340881348,1.2368694411590695,0.006628060340881347,0.33376428484916687,0.022257739678025246,0.022257739678025246,-1.1824725456908345,0.06630244851112366,0.1702469438314438,0.048668600618839264,108084.3671875,45592.84375,62491.5234375,109982.2578125,46978.09375,63004.1640625,-0.017559343948960304,-0.03038305789232254,-0.008203363046050072,-1.7559343948960304,7.315308624878526,2.341115392372012,6.801510794553906,2.624349583312869,1.3332977186888457,6.76456642113626,6.76456642113626,greedy,1.3332977186888457,0.0,hard_fault_cluster
3,N5319,control0,1.0086472034454346,1.2438472524285316,1.0086472034454346,0.635861337184906,1.2610287949442864,0.00635861337184906,0.35791903734207153,0.023201191797852516,0.023201191797852516,0.6850513464212418,0.058006543666124344,0.16203106939792633,0.0435853973031044,109982.984375,46978.94140625,63004.0390625,109431.2265625,46540.15625,62891.0703125,0.005016756244003773,0.00934003945440054,0.0017930398462340236,0.5016756244003773,6.459716895595193,1.120616384744644,5.965419998858124,1.0581643664836882,1.2438472524285316,8.008413673564792,8.008413673564792,greedy,1.2438472524285316,0.0,hard_fault_cluster
4,N6992,control0,1.1280491352081299,1.1246121149975807,1.1280491352081299,0.6366419196128845,1.1041935470420867,0.006366419196128845,0.3809928297996521,0.021425524726510048,0.021425524726510048,0.2686061771959066,0.057034511119127274,0.16501447558403015,0.044826529920101166,109431.375,46540.125,62891.25,108940.640625,46158.296875,62782.34375,0.004484402947127819,0.008204277604818344,0.0017316597513854504,0.4484402947127819,6.361518556252122,0.9451340997591614,5.867967972997576,0.9325850630179048,1.1246121149975807,9.133025788562373,9.133025788562373,greedy,1.1246121149975807,0.0,hard_fault_cluster
5,N16937,control0,1.1823675632476807,1.7304254055023192,1.1823675632476807,0.6809224486351013,1.6973051071166991,0.006809224486351013,0.39135441184043884,0.021502243354916573,0.021502243354916573,0.2708494138717651,0.05527771636843681,0.1634756624698639,0.04370012879371643,108940.765625,46158.3984375,62782.3671875,108564.7421875,45921.1015625,62643.640625,0.0034516321029514074,0.005140925291925669,0.0022096422035247087,0.34516321029514074,6.230196328833699,1.2879163336753847,5.703377809841186,1.2728192520141604,1.7304254055023192,10.863451194064691,10.863451194064691,greedy,1.7304254055023192,0.0,hard_fault_cluster
6,N6780,control0,1.1926383972167969,2.036637813039124,1.1926383972167969,0.7206839323043823,2.163665530271828,0.007206839323043823,0.40552571415901184,0.023286672309041023,0.023286672309041023,0.5131508663296699,0.05620811879634857,0.16850988566875458,0.044723816215991974,108564.6171875,45921.1171875,62643.5,108383.28125,45771.23046875,62612.046875,0.0016703042201697826,0.0032640041317790747,0.000502097187563777,0.16703042201697826,6.3647824842482805,1.6236061705648899,5.806804530788213,1.5906141413748265,2.036637813039124,12.900089007103816,12.900089007103816,greedy,2.036637813039124,0.0,hard_fault_cluster
7,N13626,control0,1.1266839504241943,1.2621369333937764,1.1266839504241943,0.6902157664299011,1.1395114259794354,0.0069021576642990115,0.41202405095100403,0.023801127448678017,0.023801127448678017,0.34760253965854643,0.053129784762859344,0.1638319492340088,0.041301578283309937,108383.4296875,45771.40625,62612.0234375,107731.3203125,45340.3515625,62390.96875,0.006016688887029886,0.00941755436360836,0.003530547022819519,0.6016688887029886,6.026995370164514,1.0592003537714483,5.491482699755579,1.0473794831335546,1.2621369333937764,14.162225940497592,14.162225940497592,greedy,1.2621369333937764,0.0,hard_fault_cluster
8,N19193,control0,1.0507910251617432,1.4469066302757712,1.0507910251617432,0.6553633213043213,1.1422326024156062,0.006553633213043213,0.42183634638786316,0.022300058975815773,0.022300058975815773,0.2959133074432611,0.05075386166572571,0.15442772209644318,0.039363883435726166,107731.125,45340.0546875,62391.0703125,107304.171875,45059.12109375,62245.046875,0.003963136114180088,0.00619614589959383,0.0023404541425406933,0.3963136114180088,5.753049546852708,1.0480737897381185,5.244802011642605,0.9443892220128327,1.4469066302757712,15.609132570773363,15.609132570773363,greedy,1.4469066302757712,0.0,hard_fault_cluster
9,N8089,observe,1.0222716331481934,2.1778280385769904,1.0222716331481934,0.6283525824546814,1.4134570684935897,0.006283525824546814,0.4195844829082489,0.02103751339018345,0.02103751339018345,0.46796557530760763,0.057730697095394135,0.16493985056877136,0.03901806101202965,107303.6796875,45058.4765625,62245.203125,107927.84375,45498.296875,62429.54296875,-0.005816800054162741,-0.009761100634932518,-0.002961510792374611,-0.5816800054162741,6.422459805384278,3.8747985780984164,5.93541723350063,3.743419689014554,2.1778280385769904,17.786960609350352,17.786960609350352,greedy,2.1778280385769904,0.0,hard_fault_cluster
10,N11952,control0,1.0681743621826172,1.6806591704487799,1.0681743621826172,0.6536436080932617,1.5214455172419548,0.006536436080932617,0.42183271050453186,0.026665987446904182,0.026665987446904182,1.0573812216520309,0.05723626911640167,0.16696569323539734,0.03869966045022011,107928.5703125,45499.1796875,62429.390625,107558.609375,45290.9609375,62267.64453125,0.003427831456065178,0.004576318897306919,0.0025908644311130047,0.3427831456065178,6.403936507180333,1.5252639389038085,5.893704310525209,1.504129955768585,1.6806591704487799,19.467619779799133,19.467619779799133,greedy,1.6806591704487799,0.0,hard_fault_cluster
11,N18496,control1,0.8704214692115784,1.3169733464717865,0.8704214692115784,0.5902467370033264,1.105851588100195,0.005902467370033264,0.42625609040260315,0.02880811132490635,0.02880811132490635,0.975360344350338,0.053140416741371155,0.1602405160665512,0.03418710455298424,107555.015625,45285.25,62269.765625,107089.6328125,44969.64453125,62119.98828125,0.004326927941292524,0.006969277281314135,0.0024052979424595833,0.43269279412925243,5.933096522465348,1.1870766428112984,5.468805386219174,1.1875140216946602,1.3169733464717865,20.78459312627092,20.78459312627092,greedy,1.3169733464717865,0.0,hard_fault_cluster
12,N9512,control1,0.7083486914634705,1.7395521953701976,0.7083486914634705,0.5202659964561462,1.173785207271576,0.005202659964561462,0.4274384081363678,0.02914651669561863,0.02914651669561863,1.2571428814530372,0.050281450152397156,0.1479489654302597,0.031157732009887695,107094.265625,44975.22265625,62119.0390625,106833.3125,44859.4609375,61973.8515625,0.0024366676807403564,0.0025738999247550964,0.002337246434763074,0.24366676807403564,5.5775575283914804,1.3631966310739516,5.165498143527657,1.4192202883958815,1.7395521953701976,22.524145321641118,22.524145321641118,greedy,1.7395521953701976,0.0,hard_fault_cluster
13,N16901,control0,1.0403566360473633,3.1294442296028135,1.0403566360473633,0.5606674551963806,2.285002537369728,0.005606674551963806,0.4298897087574005,0.02823183871805668,0.02823183871805668,2.1485016775131225,0.05298231542110443,0.1609664112329483,0.03356596827507019,106831.4453125,44858.94921875,61972.49609375,106040.1875,44467.16015625,61573.0234375,0.007406600285321474,0.008733799681067467,0.00644596666097641,0.7406600285321474,5.88713083602488,2.2094101426005364,5.445456365589052,2.0979411122202873,3.1294442296028135,25.653589551243932,25.653589551243932,greedy,3.1294442296028135,0.0,hard_fault_cluster
14,N7633,control0,0.6383972764015198,1.0767887949943544,0.6383972764015198,0.4845882058143616,0.8250805563479662,0.004845882058143616,0.2977331876754761,0.012023890390992165,0.012023890390992165,0.9091493009030819,0.04222441464662552,0.0678166002035141,0.032286450266838074,106041.25,44468.0859375,61573.16015625,106009.203125,44536.75,61472.44921875,0.0003022114105988294,-0.0015441200230270624,0.0016356304986402392,0.03022114105988294,4.719053560867906,0.4380162749439478,4.34659448871389,0.4372223559767008,1.0767887949943544,26.730378346238286,26.730378346238286,greedy,1.0767887949943544,0.0,hard_fault_cluster
15,N18771,control0,0.5960737466812134,2.381798428595066,0.5960737466812134,0.4831565022468567,2.453531223982573,0.004831565022468567,0.16078466176986694,0.0035501234233379364,0.0035501234233379364,4.80972983494401,0.047691795974969864,0.121550053358078,0.02488868311047554,106008.328125,44535.91796875,61472.4140625,105357.171875,44147.828125,61209.34375,0.006142500787973404,0.008714086376130581,0.004279485438019037,0.6142500787973404,5.255886223167181,1.691782463043928,4.890856253914535,1.5993157510459421,2.381798428595066,29.11217677483335,29.11217677483335,greedy,2.381798428595066,0.0,hard_fault_cluster
16,N7680,control0,0.5555503368377686,2.66021155923605,0.5555503368377686,0.4687730073928833,2.2573320518434046,0.004687730073928833,0.06061115860939026,0.0020249448716640472,0.0020249448716640472,5.1147765369713305,0.04989607632160187,0.15309858322143555,0.02362552285194397,105357.6953125,44148.4453125,61209.25,104882.453125,43870.21875,61012.23828125,0.004510749597102404,0.006302069406956434,0.0032186591997742653,0.45107495971024036,5.460405584424734,1.957032864242792,5.107307120226324,1.9523412634432316,2.66021155923605,31.7723883340694,31.7723883340694,greedy,2.66021155923605,0.0,hard_fault_cluster
17,N19232,control0,0.6551524996757507,3.3823108851909636,0.6551524996757507,0.45538175106048584,2.3263518141210078,0.004553817510604859,0.060115158557891846,0.0038332436233758926,0.0038332436233758926,6.066682171672582,0.04818924516439438,0.15309768915176392,0.02264510840177536,104883.984375,43863.50390625,61020.4765625,104467.390625,43638.6484375,60828.73828125,0.0039719482883811,0.005126254167407751,0.0031421957537531853,0.39719482883810997,5.2781395111233,1.9772012253105637,4.933728265110403,1.9772060532867906,3.3823108851909636,35.154699219260365,35.154699219260365,greedy,3.3823108851909636,0.0,hard_fault_cluster
18,N18340,control0,0.6155224442481995,3.123196577429771,0.6155224442481995,0.4546496868133545,2.2355474251508713,0.004546496868133545,0.05375906825065613,0.007425742223858833,0.007425742223858833,3.7090891098976133,0.04651781916618347,0.1503358781337738,0.020967479795217514,104464.84375,43644.140625,60820.703125,104133.859375,43426.7734375,60707.0859375,0.0031683805864304304,0.004980443976819515,0.0018680676585063338,0.31683805864304304,5.1138573456555605,1.7855264449119566,4.7673007738776505,1.7617216610908506,3.123196577429771,38.27789579669014,38.27789579669014,greedy,3.123196577429771,0.0,hard_fault_cluster
19,N19222,control0,0.658476710319519,2.780509562790394,0.658476710319519,0.4337257742881775,1.6295780219137668,0.004337257742881775,0.053574949502944946,0.006919654086232185,0.006919654086232185,2.7910920280218123,0.04414663836359978,0.1476026028394699,0.019143231213092804,104137.7890625,43421.828125,60715.9609375,103878.140625,43255.453125,60622.68359375,0.0024933163076639175,0.0038315982092171907,0.0015362902777269483,0.24933163076639175,4.855309264734387,1.4228906194865703,4.52482519345358,1.4014138738811015,2.780509562790394,41.05840535948053,41.05840535948053,greedy,2.780509562790394,0.0,hard_fault_cluster
20,N19160,control0,0.6246106028556824,2.684205812215805,0.6246106028556824,0.429538369178772,1.8778736421465871,0.00429538369178772,0.04784876108169556,0.009496396407485008,0.009496396407485008,1.8471184891462324,0.0427672453224659,0.1407954841852188,0.017770670354366302,103875.46875,43261.34375,60614.125,103906.0703125,43273.71875,60632.3515625,-0.0002945985470432788,-0.00028605214902199805,-0.00030069827334955335,-0.02945985470432788,4.715759297832847,2.0981282612681387,4.386483223643154,2.043856563270092,2.684205812215805,43.74261117169634,43.74261117169634,greedy,2.684205812215805,0.0,hard_fault_cluster
21,N4557,control0,0.9148494601249695,3.5842093154788017,0.9148494601249695,0.4780770540237427,3.8133294329047205,0.004780770540237427,0.04573264718055725,0.006970362737774849,0.006970362737774849,1.55356681227684,0.04617050290107727,0.1448046863079071,0.021483443677425385,103905.9296875,43273.1171875,60632.8125,103473.4609375,43114.21484375,60359.24609375,0.004162118304520845,0.0036720798816531897,0.004511854145675898,0.41621183045208454,5.102097706869245,3.2751562774181364,4.738312144298106,3.339279741048813,3.5842093154788017,47.32682048717514,47.32682048717514,greedy,3.5842093154788017,0.0,hard_fault_cluster
