step,node,type,q_pred,q_pred_mean,q_pred_std,q_pred_lcb,q_pred_context,score_pred,score_pred_mean,score_pred_std,score_pred_lcb,reward_pred,reward_pred_mean,reward_pred_std,reward_pred_lcb,reward_pred_context,fc_pred,pattern_pred,return_pred,return_pred_mean,return_pred_std,return_pred_lcb,guarded_reward,guarded_reward_mean,guarded_reward_std,guarded_reward_lcb,guarded_reward_context,hard_reduction_total_pred,hard_reduction_total_pred_mean,hard_reduction_total_pred_std,hard_reduction_total_pred_lcb,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,derived_hard_reduction_hybrid_pred_mean,derived_hard_reduction_hybrid_pred_std,derived_hard_reduction_hybrid_pred_lcb,hybrid_pred,hybrid_pred_mean,hybrid_pred_std,hybrid_pred_lcb,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_mean,bounded_residual_hybrid_pred_std,bounded_residual_hybrid_pred_lcb,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N507,control1,0.7762839198112488,0.7762839198112488,0.11537514626979828,0.6897525601089001,1.8471526801586151,0.7762839198112488,0.7762839198112488,0.11537514626979828,0.6897525601089001,0.20914626121520996,0.20914626121520996,0.10916034877300262,0.127275999635458,1.5335851818323134,0.0020914626121520995,-0.6879563331604004,-0.09727645665407181,-0.09727645665407181,0.05160708352923393,-0.13598176930099726,-0.09727645665407181,-0.09727645665407181,0.05160708352923393,-0.13598176930099726,1.1432651895284653,0.022507011890411377,0.022507011890411377,0.025077061727643013,0.003699215594679117,-0.037530317902565,-0.008675860241055489,34830.8125,13820.275390625,21010.5390625,34477.078125,13870.380859375,20606.69921875,0.010155788622796535,-0.0036255044396966696,0.019220823422074318,0.2552398145198822,0.2552398145198822,1.0581480264663696,-0.538371205329895,2.3625707626342773,2.3625707626342773,2.6361236572265625,0.38547801971435547,1.4641033408045767,2.2786686420440674,2.2786686420440674,2.5397067070007324,0.37388861179351807,1.4807957407832144,0.6897525601089001,0.6897525601089001,0.6897525601089001,greedy,0.6897525601089001,0.0,hard_fault_cone
2,N493,control1,0.9728713631629944,0.9728713631629944,0.47855299711227417,0.6139566153287888,3.7122915256768465,0.9728713631629944,0.9728713631629944,0.47855299711227417,0.6139566153287888,0.21381449699401855,0.21381449699401855,0.11502021551132202,0.12754933536052704,2.740572829917073,0.0021381449699401857,-0.5697121620178223,-0.1357089728116989,-0.1357089728116989,0.09485546499490738,-0.20685057155787945,-0.1357089728116989,-0.1357089728116989,0.09485546499490738,-0.20685057155787945,0.6884875494241715,0.028138352558016777,0.028138352558016777,0.016452962532639503,0.01579863065853715,-0.012838765978813171,0.0028651542961597443,34482.40234375,13868.21484375,20614.1875,34332.7421875,13875.703125,20457.037109375,0.0043401895090937614,-0.0005399599904194474,0.007623409386724234,0.263914555311203,0.263914555311203,0.18226610124111176,0.1272149793803692,2.8919408321380615,2.8919408321380615,1.8198031187057495,1.5270884931087494,2.5296451646089553,2.8333616256713867,2.8333616256713867,1.688515305519104,1.5669751465320587,2.528376587033272,0.6139566153287888,1.3037091754376888,1.3037091754376888,greedy,0.6139566153287888,0.0,hard_fault_cone
3,N1540,control1,0.7227795720100403,0.7227795720100403,0.23991453647613525,0.5428436696529388,1.8449682891368864,0.7227795720100403,0.7227795720100403,0.23991453647613525,0.5428436696529388,0.17783503234386444,0.17783503234386444,0.13284826278686523,0.07819883525371552,1.2911963284015655,0.0017783503234386445,-0.522193193435669,-0.14323286712169647,-0.14323286712169647,0.0916428491473198,-0.21196500398218632,-0.14323286712169647,-0.14323286712169647,0.0916428491473198,-0.21196500398218632,0.015875270366668637,0.013384121470153332,0.013384121470153332,0.02720233052968979,-0.00701762642711401,-0.023515334352850914,-0.01808781921863556,34317.14453125,13874.9111328125,20442.234375,34304.734375,13876.1513671875,20428.583984375,0.00036163139156997204,-8.938683458836749e-05,0.000667754327878356,0.1396789848804474,0.1396789848804474,0.42168647050857544,-0.1765858680009842,1.3730143308639526,1.3730143308639526,2.901124954223633,-0.802829384803772,1.0274519085884095,1.347062587738037,1.347062587738037,2.765399932861328,-0.726987361907959,1.0298934936523438,0.5428436696529388,1.8465528450906277,1.8465528450906277,greedy,0.5428436696529388,0.0,hard_fault_cone
4,N2580,control1,0.7928704619407654,0.7928704619407654,0.2806764245033264,0.5823631435632706,1.9981021314859393,0.7928704619407654,0.7928704619407654,0.2806764245033264,0.5823631435632706,0.18666048347949982,0.18666048347949982,0.13131454586982727,0.08817457407712936,1.2863636389374733,0.001866604834794998,-0.527996301651001,-0.14782147109508514,-0.14782147109508514,0.09419555962085724,-0.21846814081072807,-0.14782147109508514,-0.14782147109508514,0.09419555962085724,-0.21846814081072807,-0.7479474046826362,0.014110730029642582,0.014110730029642582,0.032333746552467346,-0.010139579884707928,-0.023499349132180214,-0.018307842314243317,34306.3984375,13876.521484375,20429.87890625,34380.09375,13913.763671875,20466.330078125,-0.002148150699213147,-0.002683827420696616,-0.0017842089291661978,0.11559560149908066,0.11559560149908066,0.23909060657024384,-0.06372235342860222,1.4499120712280273,1.4499120712280273,3.4124765396118164,-1.109445333480835,0.9206299418210984,1.4207826852798462,1.4207826852798462,3.278089761734009,-1.0377846360206604,0.9239389830827713,0.5823631435632706,2.4289159886538982,2.4289159886538982,greedy,0.5823631435632706,0.0,hard_fault_cone
5,N2334,control1,0.8669821619987488,0.8669821619987488,0.45753875374794006,0.5238280966877937,2.5448989301919935,0.8669821619987488,0.8669821619987488,0.45753875374794006,0.5238280966877937,0.21081338822841644,0.21081338822841644,0.16690300405025482,0.08563613519072533,1.935005310177803,0.0021081338822841644,-0.5604979991912842,-0.1454138606786728,-0.1454138606786728,0.0996868759393692,-0.2201790176331997,-0.1454138606786728,-0.1454138606786728,0.0996868759393692,-0.2201790176331997,-0.5291798114776612,0.01645365171134472,0.01645365171134472,0.034938596189022064,-0.00975029543042183,-0.024563688784837723,-0.017527509480714798,34382.859375,13914.1875,20468.671875,34438.0625,13954.3828125,20483.681640625,-0.0016055420273914933,-0.0028888005763292313,-0.0007333043031394482,0.18065984547138214,0.18065984547138214,0.3521847724914551,-0.08347873389720917,1.7107645273208618,1.7107645273208618,3.70489239692688,-1.067904770374298,1.0195272234082222,1.6617149114608765,1.6617149114608765,3.5465688705444336,-0.9982117414474487,1.011504617035389,0.5238280966877937,2.952744085341692,2.952744085341692,greedy,0.5238280966877937,0.0,hard_fault_cone
6,N7471,control0,0.564711332321167,0.564711332321167,0.28257274627685547,0.3527817726135254,0.4914266489446163,0.564711332321167,0.564711332321167,0.28257274627685547,0.3527817726135254,0.16738808155059814,0.16738808155059814,0.1145177111029625,0.08149979822337627,0.09128556847572325,0.0016738808155059815,-0.5662504434585571,-0.14729702472686768,-0.14729702472686768,0.1055024042725563,-0.2264238279312849,-0.14729702472686768,-0.14729702472686768,0.1055024042725563,-0.2264238279312849,-1.0745812951028346,0.014572097919881344,0.014572097919881344,0.030785661190748215,-0.008517147973179817,-0.02351049892604351,-0.0189827810972929,34433.640625,13953.2470703125,20480.392578125,34345.3359375,13892.0791015625,20453.255859375,0.002564488910138607,0.004383780062198639,0.0013250097399577498,-0.4030114710330963,-0.4030114710330963,0.6431588530540466,-0.8853806108236313,1.477301001548767,1.477301001548767,3.234622001647949,-0.9486654996871948,0.1763758111000061,1.4622325897216797,1.4622325897216797,3.1174981594085693,-0.8758910298347473,0.16534109592437746,0.3527817726135254,3.3055258579552174,3.3055258579552174,greedy,0.3527817726135254,0.0,hard_fault_cone
7,N1353,control0,0.8857002258300781,0.8857002258300781,0.6207455396652222,0.4201410710811615,3.3545367270708084,0.8857002258300781,0.8857002258300781,0.6207455396652222,0.4201410710811615,0.19438545405864716,0.19438545405864716,0.07926218956708908,0.13493881188333035,1.8256047725677491,0.0019438545405864715,-0.582838773727417,-0.15137866139411926,-0.15137866139411926,0.10619233548641205,-0.2310229130089283,-0.15137866139411926,-0.15137866139411926,0.10619233548641205,-0.2310229130089283,-0.49222262918949133,0.01757868565618992,0.01757868565618992,0.027001159265637398,-0.00267218379303813,-0.009959666058421135,-0.005361327901482582,34349.25,13893.3134765625,20455.935546875,34257.140625,13805.9208984375,20451.21875,0.0026815542951226234,0.006290261633694172,0.00023058328952174634,-0.05385468527674675,-0.05385468527674675,0.3025343120098114,-0.2807554192841053,1.8008753061294556,1.8008753061294556,2.8515851497650146,-0.3378135561943054,1.0496158626675607,1.7686201333999634,1.7686201333999634,2.737877368927002,-0.2847878932952881,1.0371760752797128,0.4201410710811615,3.725666929036379,3.725666929036379,greedy,0.4201410710811615,0.0,hard_fault_cone
8,N1390,control0,0.6158146262168884,0.6158146262168884,0.3639008104801178,0.3428890183568001,1.7273788198828695,0.6158146262168884,0.6158146262168884,0.3639008104801178,0.3428890183568001,0.17274923622608185,0.17274923622608185,0.0844569206237793,0.10940654575824738,0.7875425584614276,0.0017274923622608185,-0.5863795280456543,-0.1536448746919632,-0.1536448746919632,0.1089867502450943,-0.23538493737578392,-0.1536448746919632,-0.1536448746919632,0.1089867502450943,-0.23538493737578392,-1.3447087843716146,0.010964189656078815,0.010964189656078815,0.025448057800531387,-0.008121853694319725,-0.021758312359452248,-0.017562568187713623,34270.25390625,13806.7958984375,20463.45703125,34320.24609375,13839.05859375,20481.1875,-0.0014587632613256574,-0.002336725825443864,-0.0008664454217068851,-0.14362017810344696,-0.14362017810344696,0.1928573101758957,-0.28826316073536873,1.1155234575271606,1.1155234575271606,2.6857597827911377,-0.8987963795661926,0.3289034721255302,1.101195216178894,1.101195216178894,2.5799262523651123,-0.8337494730949402,0.30162722297012806,0.3428890183568001,4.068555947393179,4.068555947393179,greedy,0.3428890183568001,0.0,hard_fault_cone
9,N865,observe,0.5395856499671936,0.5395856499671936,0.32211607694625854,0.2979985922574997,2.5037747055292128,0.5395856499671936,0.5395856499671936,0.32211607694625854,0.2979985922574997,0.19899515807628632,0.19899515807628632,0.15225498378276825,0.08480392023921013,2.96658379137516,0.0019899515807628634,-0.5461651086807251,-0.1408737748861313,-0.1408737748861313,0.12354214489459991,-0.23353038355708122,-0.1408737748861313,-0.1408737748861313,0.12354214489459991,-0.23353038355708122,2.8712056136131285,0.017559807747602463,0.017559807747602463,0.02674097567796707,-0.002495924010872841,-0.02182413823902607,-0.020222537219524384,34303.8125,13837.765625,20466.046875,34129.52734375,13726.2900390625,20403.23828125,0.005080635193735361,0.008055894635617733,0.0030689167324453592,0.6684843897819519,0.6684843897819519,0.300690621137619,0.44296642392873764,1.8141021728515625,1.8141021728515625,2.850682497024536,-0.3239096999168396,1.8414139452576639,1.7705111503601074,1.7705111503601074,2.7182199954986572,-0.2681538462638855,1.7791446152329446,0.2979985922574997,4.366554539650679,4.366554539650679,greedy,0.2979985922574997,0.0,hard_fault_cone
10,N1519,control1,0.40497246384620667,0.40497246384620667,0.3332606554031372,0.15502697229385376,0.5847818944603205,0.40497246384620667,0.40497246384620667,0.3332606554031372,0.15502697229385376,0.17821155488491058,0.17821155488491058,0.12731316685676575,0.08272667974233627,-0.1286519800312817,0.0017821155488491058,-0.5334165096282959,-0.12283629924058914,-0.12283629924058914,0.12102992832660675,-0.2136087454855442,-0.12363272905349731,-0.12363272905349731,0.12020128220319748,-0.21378369070589542,0.615545607637614,0.007298290263861418,0.007298290263861418,0.025805626064538956,-0.012055929284542799,-0.02905876748263836,-0.04841352999210358,34133.546875,13727.1689453125,20406.37890625,34255.3046875,13804.833984375,20450.47265625,-0.003567101201042533,-0.005657760892063379,-0.002160782692953944,0.02054131031036377,0.02054131031036377,0.8083480596542358,-0.5857197344303131,0.7852042317390442,0.7852042317390442,2.6387386322021484,-1.1938497424125671,0.5333885441999883,0.7436728477478027,0.7436728477478027,2.5950567722320557,-1.202619731426239,0.5312614630442113,0.15502697229385376,4.521581511944532,4.521581511944532,greedy,0.15502697229385376,0.0,hard_fault_cone
