step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N7405,observe,0.3954651355743408,0.32889669060707094,0.3954651355743408,0.17672869563102722,2.2347704868763683,0.0017672869563102721,-0.08901334553956985,0.8236933946609497,0.17672869563102722,2.9756509352475407,-0.008880897425115108,-0.0480189248919487,-0.03862796723842621,33288.0390625,13955.755859375,19332.283203125,32335.40234375,13719.095703125,18616.306640625,0.028617989271879196,0.01695788837969303,0.03703528270125389,2.8617989271879196,0.11233234778046608,5.162633168697357,-0.6379842199385166,6.298836648464203,0.17672869563102722,0.17672869563102722,0.37821993231773376,0.37821993231773376,cumulative,beam,0.17672869563102722,0.0,hard_fault_cluster
2,N8003,observe,0.36364853382110596,0.43654226396232837,0.36364853382110596,0.19911417365074158,1.6418507976224646,0.001991141736507416,-0.10768230259418488,0.8343935012817383,0.19911417365074158,1.8249522944889032,-0.008870011195540428,-0.051600128412246704,-0.0427568256855011,32335.951171875,13719.0546875,18616.896484375,32108.73828125,13693.748046875,18414.990234375,0.0070266337133944035,0.0018446344183757901,0.010845323093235493,0.7026633713394403,0.14650655537843704,4.031861677318811,-0.6286242008209229,4.066650571972131,0.19911417365074158,0.3758428692817688,0.4139326810836792,0.4139326810836792,cumulative,beam,0.19911417365074158,0.0,hard_fault_cluster
3,N767,observe,0.3683123290538788,0.5226093962788583,0.3683123290538788,0.21481850743293762,2.7792327305302025,0.0021481850743293764,-0.10750246047973633,0.8412530422210693,0.21481850743293762,3.344217743333429,-0.009467457421123981,-0.05202953889966011,-0.04113460332155228,32108.193359375,13693.310546875,18414.8828125,31903.935546875,13628.634765625,18275.30078125,0.0063615478575229645,0.004723166115581989,0.007579849101603031,0.6361547857522964,0.10932580754160881,3.863494912385941,-0.6827278546988964,3.4922758972644807,0.21481850743293762,0.5906613767147064,0.4431433081626892,0.4431433081626892,cumulative,beam,0.21481850743293762,0.0,hard_fault_cluster
4,N7433,observe,0.3608681261539459,0.8923675790801644,0.3608681261539459,0.2283248007297516,3.1738618662348017,0.0022832480072975158,-0.12343131005764008,0.8420180082321167,0.2283248007297516,3.2548963722935875,-0.00885535404086113,-0.04998920485377312,-0.04096870869398117,31903.712890625,13628.982421875,18274.73046875,31701.298828125,13551.57421875,18149.724609375,0.006344529800117016,0.005679675843566656,0.006840366870164871,0.6344529800117016,0.1848074048757553,3.2464125157892703,-0.6179497018456459,2.7255884648859503,0.2283248007297516,0.818986177444458,0.4657594859600067,0.4657594859600067,cumulative,beam,0.2283248007297516,0.0,hard_fault_cluster
5,N7510,control1,0.35022151470184326,-0.9348148593306542,0.35022151470184326,0.23743468523025513,2.7436667889356614,0.0023743468523025513,-0.13437168300151825,0.8409030437469482,0.23743468523025513,3.572070972919464,-0.008802543394267559,-0.0497695729136467,-0.040904588997364044,31701.8828125,13552.095703125,18149.787109375,31535.259765625,13494.4453125,18040.814453125,0.005255935247987509,0.004253983497619629,0.006004073657095432,0.5255935247987509,0.19808338955044746,3.657564127445221,-0.6106699071824551,-1.1514448136091233,0.23743468523025513,1.0564208626747131,0.47947612404823303,0.47947612404823303,cumulative,beam,0.23743468523025513,0.0,hard_fault_cluster
6,N8040,observe,0.3471994996070862,-0.14671231299638754,0.3471994996070862,0.2420414388179779,3.0193380430340766,0.002420414388179779,-0.13742735981941223,0.8450310826301575,0.2420414388179779,3.252225389927626,-0.008819889277219772,-0.049382008612155914,-0.040400587022304535,31535.333984375,13494.056640625,18041.27734375,31378.859375,13433.125,17945.734375,0.0049618822522461414,0.004515442997217178,0.005295798648148775,0.49618822522461414,0.20508359372615814,4.314592814445495,-0.6102207973599434,-1.4995910346508028,0.2420414388179779,1.298462301492691,0.48705217242240906,0.48705217242240906,cumulative,beam,0.2420414388179779,0.0,hard_fault_cluster
7,N7694,observe,0.3451877534389496,-1.1183084817230702,0.3451877534389496,0.24501073360443115,2.8085030928254127,0.0024501073360443117,-0.13661466538906097,0.8483008742332458,0.24501073360443115,3.1825970280170437,-0.008831490762531757,-0.04912280663847923,-0.04006350785493851,31378.1015625,13432.7197265625,17945.3828125,31235.95703125,13382.5263671875,17853.4296875,0.004530054982751608,0.003736648941412568,0.005124054849147797,0.4530054982751608,0.21016253158450127,3.4985369002819064,-0.6098211742937565,-1.5078902217745782,0.24501073360443115,1.5434730350971222,0.4941737651824951,0.4941737651824951,cumulative,beam,0.24501073360443115,0.0,hard_fault_cluster
8,N7500,observe,0.34625929594039917,-0.47266561150550845,0.34625929594039917,0.24916303157806396,3.066350957751274,0.00249163031578064,-0.13358168303966522,0.8502554893493652,0.24916303157806396,3.7986769530177114,-0.008853617124259472,-0.04862844571471214,-0.03942061960697174,31236.75,13382.900390625,17853.849609375,31106.73828125,13338.6875,17768.05078125,0.004162139724940062,0.00330368522554636,0.004805620759725571,0.41621397249400616,0.214056808501482,2.9358340549468993,-0.6105070821940899,-1.6757680201530456,0.24916303157806396,1.7926360666751862,0.46000659465789795,0.46000659465789795,cumulative,beam,0.24916303157806396,0.0,hard_fault_cluster
9,N6669,observe,0.39108914136886597,1.39202088303864,0.39108914136886597,0.21084356307983398,4.633709486946464,0.00210843563079834,-0.10766181349754333,0.8900343775749207,0.21084356307983398,5.129822696112097,-0.00883814599364996,-0.04897410795092583,-0.039870135486125946,31105.68359375,13338.4970703125,17767.1875,30969.83203125,13283.912109375,17685.919921875,0.004367419518530369,0.0040922872722148895,0.004574025981128216,0.4367419518530369,0.21706334128975868,2.1851529716327787,-0.6085951142013073,0.8347806646302341,0.21084356307983398,2.00347962975502,0.4169521927833557,0.4169521927833557,cumulative,beam,0.21084356307983398,0.0,hard_fault_cluster
10,N1409,control1,0.3885658085346222,-0.8830239029228687,0.3885658085346222,0.20610862970352173,1.7812578238546846,0.0020610862970352173,-0.10992680490016937,0.8923302292823792,0.20610862970352173,2.4950141722708943,-0.009102905169129372,-0.05146946385502815,-0.041784025728702545,30977.224609375,13280.0,17697.224609375,31001.181640625,13342.236328125,17658.9453125,-0.0007733756792731583,-0.0046864706091582775,0.002163011347874999,-0.07733756792731583,0.18814834207296371,2.0482206222414967,-0.635680802166462,2.331789874732494,0.20610862970352173,2.209588259458542,0.4070535749197006,0.4070535749197006,cumulative,beam,0.20610862970352173,0.0,hard_fault_cluster
