[gmean] 2026-07-16T14:50:27 out_dir=autoresearch/improve-260716-1344/round3_b17/context_recall_c192
[gmean] 2026-07-16T14:50:27 budgets=iscas99__b17:994
[gmean] 2026-07-16T14:50:27 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c192__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-16T14:50:27 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[plan iscas99__b17] [plan] step=1 node=N26515 type=control1 q_pred_context=6.842089 sequence=6.842089
[plan iscas99__b17] [plan] step=2 node=N26514 type=control1 q_pred_context=4.584654 sequence=11.426743
[plan iscas99__b17] [plan] step=3 node=N26512 type=control1 q_pred_context=3.527755 sequence=14.954498
[plan iscas99__b17] [plan] step=4 node=N29495 type=control1 q_pred_context=2.986952 sequence=17.941450
[plan iscas99__b17] [plan] step=5 node=N27560 type=control0 q_pred_context=2.868854 sequence=20.810304
[plan iscas99__b17] [plan] step=6 node=N27585 type=control0 q_pred_context=2.788112 sequence=23.598416
[plan iscas99__b17] [plan] step=7 node=N27587 type=control0 q_pred_context=2.599139 sequence=26.197555
[plan iscas99__b17] [plan] step=8 node=N27589 type=control0 q_pred_context=2.989790 sequence=29.187345
[plan iscas99__b17] [plan] step=9 node=N27570 type=control0 q_pred_context=2.986654 sequence=32.174000
[plan iscas99__b17] [plan] step=10 node=N26792 type=control0 q_pred_context=2.981180 sequence=35.155180
[plan iscas99__b17] [plan] step=11 node=N26771 type=control0 q_pred_context=3.490076 sequence=38.645256
[plan iscas99__b17] [plan] step=12 node=N26773 type=control0 q_pred_context=3.552609 sequence=42.197865
[plan iscas99__b17] [plan] step=13 node=N26775 type=control0 q_pred_context=3.264188 sequence=45.462052
[plan iscas99__b17] [plan] step=14 node=N27608 type=observe q_pred_context=4.418834 sequence=49.880887
[plan iscas99__b17] [plan] step=15 node=N26782 type=control0 q_pred_context=3.570937 sequence=53.451824
[plan iscas99__b17] [plan] step=16 node=N26784 type=control0 q_pred_context=4.137298 sequence=57.589122
[plan iscas99__b17] [plan] step=17 node=N7632 type=observe q_pred_context=3.721476 sequence=61.310598
[plan iscas99__b17] [plan] step=18 node=N26786 type=control0 q_pred_context=2.373336 sequence=63.683934
[plan iscas99__b17] [plan] step=19 node=N26788 type=control0 q_pred_context=1.884270 sequence=65.568204
[plan iscas99__b17] [plan] step=20 node=N26790 type=control0 q_pred_context=2.282855 sequence=67.851059
[plan iscas99__b17] [plan] step=21 node=N26794 type=control0 q_pred_context=2.975965 sequence=70.827024
[plan iscas99__b17] [plan] step=22 node=N9217 type=observe q_pred_context=2.899171 sequence=73.726195
[plan iscas99__b17] [plan] step=23 node=N26796 type=control0 q_pred_context=2.539588 sequence=76.265783
[plan iscas99__b17] [plan] step=24 node=N27572 type=control0 q_pred_context=2.614231 sequence=78.880014
[plan iscas99__b17] [plan] step=25 node=N7642 type=observe q_pred_context=2.618825 sequence=81.498839
[plan iscas99__b17] [plan] step=26 node=N28857 type=control0 q_pred_context=2.797761 sequence=84.296600
[plan iscas99__b17] [plan] step=27 node=N28859 type=control0 q_pred_context=3.256880 sequence=87.553479
[plan iscas99__b17] [plan] step=28 node=N7931 type=observe q_pred_context=1.997073 sequence=89.550552
