step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N12793,observe,0.4147522747516632,2.515545937418938,3.415010094642639,0.27943006455898284,1.6351048593223096,2.515545937418938,2.515545937418938,0.6285223539680848,0.0,3,3,1,0.0,0.4147522747516632,0.23835720121860504,1.5696808233857154,2.00058958530426,0.0023835720121860504,0.11478757858276367,0.08765039592981339,0.7594482898712158,1.2433664798736572,0.013651514425873756,0.00011589378118515015,0.027187135070562363,0.08765039592981339,1.3361418333649635,0.0648353099822998,0.07597693800926208,0.02541106939315796,67488.640625,26976.892578125,40511.74609375,71183.1484375,29962.205078125,41220.94140625,-0.054742660373449326,-0.1106618344783783,-0.017505917698144913,-5.474266037344933,6.809538595378399,1.2699567134678365,6.565032897517085,1.314448779374361,1.4974616482853889,2.2638827842473983,2.515545937418938,2.515545937418938,2.515545937418938,greedy,2.515545937418938,0.0,hard_fault_cluster,,False
2,N1674,control1,0.7199897766113281,4.154146265089512,3.8980745077133174,0.4332015183568001,2.700195072308183,4.154146265089512,4.154146265089512,0.53281854099621,0.0,3,3,1,0.0,0.7199897766113281,0.237742081284523,2.9787947595119477,2.8754976987838745,0.0023774208128452302,0.34957554936408997,0.03151848167181015,1.0599738359451294,1.3223116397857666,-0.03431164659559727,-0.061203137040138245,-0.00742015615105629,0.03151848167181015,0.979318123459816,0.07512874901294708,0.16154474020004272,0.04311246797442436,71183.234375,29962.234375,41221.00390625,71256.109375,30053.646484375,41202.46484375,-0.0010237663518637419,-0.003050911007449031,0.0004497479530982673,-0.10237663518637419,7.782135464251041,2.2451688043773173,7.5801900420337915,2.1757264129817484,3.2111405700445177,3.4306472504138945,4.154146265089512,6.66969220250845,6.66969220250845,greedy,4.154146265089512,0.0,hard_fault_cluster,,False
3,N4167,control0,0.7617968916893005,2.6224700851738456,3.5239234685897824,0.2583617617189884,1.7046055553629997,2.6224700851738456,2.6224700851738456,0.2711294242573561,0.0,3,3,1,0.0,0.7617968916893005,0.19391311705112457,1.6646729037165642,1.6774641036987303,0.0019391311705112457,0.368895024061203,0.025123393163084984,0.8720626831054688,1.0801942348480225,0.0025777705013751984,0.08066227287054062,-0.07550673186779022,0.025123393163084984,0.9352450942993163,0.07119718194007874,0.15950949490070343,0.04007001221179962,71255.8203125,30053.28125,41202.5390625,71187.859375,29911.365234375,41276.49609375,0.0009537598234601319,0.00472214724868536,-0.0017949629109352827,0.09537598234601319,7.338754704222083,2.191409977078438,7.174477321561426,2.102841826081276,1.993860924243927,2.76795687392354,2.6224700851738456,9.292162287682295,9.292162287682295,greedy,2.6224700851738456,0.0,hard_fault_cluster,,False
4,N4025,control0,0.8733910322189331,2.320026053786278,2.728838241100311,0.5480390495061874,1.5080169349610808,2.320026053786278,2.320026053786278,0.7803086020555617,0.0,3,3,1,0.0,0.8733910322189331,0.28409630060195923,2.9652655363082885,3.858664274215698,0.002840963006019592,0.37068605422973633,0.024920599535107613,0.8464601039886475,1.097489833831787,0.0030861832201480865,0.07344769686460495,-0.06727533042430878,0.024920599535107613,1.5247116184234617,0.06876906007528305,0.15377894043922424,0.038733743131160736,71187.796875,29911.29296875,41276.5,71450.109375,30076.1953125,41373.91015625,-0.0036847959272563457,-0.0055130464024841785,-0.002359942300245166,-0.3684795927256346,7.185922907665372,1.845699942111969,6.954160232562572,1.729672086238861,2.223832896351814,3.2172840762138364,2.320026053786278,11.612188341468574,11.612188341468574,greedy,2.320026053786278,0.0,hard_fault_cluster,,False
5,N905,observe,0.6470983624458313,1.3631630865857005,1.5926244616508483,0.2394495477899909,0.8860560062807054,1.3631630865857005,1.3631630865857005,0.8947693157969622,0.0,3,3,1,0.0,0.6470983624458313,0.2468435913324356,1.3530475463718175,1.7576820254325867,0.002468435913324356,0.3823741376399994,0.020826393738389015,0.9709837436676025,1.1383646726608276,0.02065991424024105,0.07984092086553574,-0.038521092385053635,0.020826393738389015,0.6876450519263744,0.06658488512039185,0.15176327526569366,0.03712673485279083,71450.5078125,30076.6796875,41373.828125,72062.0546875,30418.357421875,41643.6953125,-0.008559027686715126,-0.011360221542418003,-0.006522654555737972,-0.8559027686715126,6.926158497110009,1.8881906011700629,6.725406008306891,2.0261073210835456,1.2910241596400738,1.7861088963970542,1.3631630865857005,12.975351428054275,12.975351428054275,greedy,1.3631630865857005,0.0,hard_fault_cluster,,False
6,N3444,control0,0.6826668977737427,1.5142617981135846,2.658571636676788,0.2611534415185452,0.98427016877383,1.5142617981135846,1.5142617981135846,0.6516696976313311,0.0,3,3,1,0.0,0.6826668977737427,0.27479857206344604,1.6536343559622764,2.2702953100204466,0.0027479857206344606,0.37688711285591125,0.015094248577952385,0.778567910194397,1.1352719068527222,0.007774811238050461,0.08089534193277359,-0.06534571945667267,0.015094248577952385,0.4165011030435562,0.06114821135997772,0.14395272731781006,0.03148498386144638,72062.234375,30418.50390625,41643.734375,71337.78125,29851.66796875,41486.11328125,0.010053159669041634,0.018634576350450516,0.003784989472478628,1.0053159669041634,6.404713956639171,1.2026250207424165,6.187294341158122,1.18084752202034,1.5828027963638305,2.7209950518608093,1.5142617981135846,14.48961322616786,14.48961322616786,greedy,1.5142617981135846,0.0,hard_fault_cluster,,False
7,N3447,control0,0.894607424736023,1.5346757450699806,2.6698525190353393,0.26491432219743727,0.9975392342954874,1.5346757450699806,1.5346757450699806,0.5767598920280314,0.0,3,3,1,0.0,0.894607424736023,0.35543423891067505,1.8314940929412844,3.107233691215515,0.0035543423891067506,0.3804987967014313,0.010998448356986046,0.7996234893798828,1.1380654573440552,0.0038395561277866364,0.07605478912591934,-0.06837567687034607,0.010998448356986046,-0.08257590234279633,0.06008349359035492,0.1435452401638031,0.031203895807266235,71337.7578125,29851.67578125,41486.08203125,70856.09375,29496.99609375,41359.09375,0.00675188098102808,0.011881399899721146,0.0030609851237386465,0.675188098102808,6.374782046303153,1.1549246525764467,6.099957530852407,1.146319535970688,1.697947371006012,3.0217052471637724,1.5346757450699806,16.02428897123784,16.02428897123784,greedy,1.5346757450699806,0.0,hard_fault_cluster,,False
8,N2715,control0,0.4164702296257019,1.7159736496210096,-1.4616473793983458,0.9586988157033919,1.1153828722536563,1.7159736496210096,1.7159736496210096,-1.0,0.0,3,3,1,0.0,0.4164702296257019,0.45180410146713257,2.365878013074398,2.616609501838684,0.004518041014671325,-0.05073478817939758,0.09980283677577972,0.33313560485839844,0.6749247312545776,-0.029180241748690605,-0.021400563418865204,-0.036959920078516006,0.09980283677577972,5.3708450219035155,0.0337158627808094,0.021066144108772278,0.013570122420787811,70855.953125,29497.0546875,41358.8984375,71240.953125,29616.484375,41624.46484375,-0.005433558952063322,-0.004048868082463741,-0.006421022117137909,-0.5433558952063322,3.9231932163238525,-0.36728220403194445,3.5094880126416683,-0.764164499640465,0.7208447217941284,-0.2679147827625275,1.7159736496210096,17.74026262085885,17.74026262085885,greedy,1.7159736496210096,0.0,hard_fault_cluster,,False
9,N4039,control0,0.9609912037849426,2.1288180512189867,1.4484351634979247,0.41550682723522187,1.3837317332923413,2.1288180512189867,2.1288180512189867,-0.04188459411003553,0.0,3,3,1,0.0,0.9609912037849426,0.5710604190826416,1.956319597363472,1.3296090900897979,0.005710604190826416,-0.028336405754089355,0.09234081208705902,0.6136605739593506,1.0572606325149536,-0.027085131034255028,-0.01732029765844345,-0.036849964410066605,0.09234081208705902,1.1305394011735914,0.03757280483841896,0.01843322068452835,0.017006292939186096,71240.5546875,29615.849609375,41624.70703125,70972.171875,29460.35546875,41511.8203125,0.0037672757171094418,0.005250369198620319,0.002712012268602848,0.3767275717109442,4.420681715011597,1.4300660899281503,3.923130791634321,1.2953972032666208,1.8075240761041642,1.5695490254089237,2.1288180512189867,19.869080672077835,19.869080672077835,greedy,2.1288180512189867,0.0,hard_fault_cluster,,False
10,N4041,control0,1.1597442626953125,4.070144951641559,2.1605592727661134,1.2170027562975883,2.645594218567014,4.070144951641559,4.070144951641559,-0.5609438922563258,0.0,3,3,1,0.0,1.1597442626953125,0.6845911741256714,4.995127187669277,3.3039759576320646,0.006845911741256714,-0.01215362548828125,0.07663067430257797,0.720689058303833,1.3750190734863281,0.007121482864022255,0.011239521205425262,0.0030034445226192474,0.07663067430257797,4.029396803230047,0.03819970414042473,0.008844345808029175,0.02007238194346428,70972.125,29460.3671875,41511.7578125,70729.5625,29332.078125,41397.484375,0.0034177149645984173,0.004354631993919611,0.0027527969796210527,0.34177149645984173,4.581192262470722,2.0856606875360013,4.010275876149535,1.430641285032034,3.1727528169751165,2.388875920176506,4.070144951641559,23.939225623719395,23.939225623719395,greedy,4.070144951641559,0.0,hard_fault_cluster,,False
