[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 out_dir=autoresearch/improve-260721-0356/trust_round4_five/b20_C
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 budgets=iscas99__b20:616
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_typed_trust_context
[trust-five/b20_C] [plan iscas99__b20] [plan] torch_deterministic=true
[trust-five/b20_C] [plan iscas99__b20] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b20_C/exact_candidate_nodes.txt nodes=19175
[trust-five/b20_C] [plan iscas99__b20] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.929140
[trust-five/b20_C] [plan iscas99__b20] [plan] step=1 node=N1762 type=control0 q_typed_trust_context=6.737018 sequence=6.737018
[trust-five/b20_C] [plan iscas99__b20] [plan] step=2 node=N4805 type=control1 q_typed_trust_context=1.598784 sequence=8.335802
[trust-five/b20_C] [plan iscas99__b20] [plan] step=3 node=N1911 type=control0 q_typed_trust_context=2.125587 sequence=10.461389
[trust-five/b20_C] [plan iscas99__b20] [plan] step=4 node=N3980 type=control0 q_typed_trust_context=1.443426 sequence=11.904815
[trust-five/b20_C] [plan iscas99__b20] [plan] step=5 node=N4130 type=control0 q_typed_trust_context=1.247179 sequence=13.151994
[trust-five/b20_C] [plan iscas99__b20] [plan] step=6 node=N3410 type=control0 q_typed_trust_context=1.684976 sequence=14.836970
[trust-five/b20_C] [plan iscas99__b20] [plan] step=7 node=N5778 type=control0 q_typed_trust_context=1.597846 sequence=16.434816
[trust-five/b20_C] [plan iscas99__b20] [plan] step=8 node=N2900 type=control0 q_typed_trust_context=1.171175 sequence=17.605990
[trust-five/b20_C] [plan iscas99__b20] [plan] step=9 node=N4149 type=control1 q_typed_trust_context=2.357960 sequence=19.963950
[trust-five/b20_C] [plan iscas99__b20] [plan] step=10 node=N4587 type=observe q_typed_trust_context=1.370697 sequence=21.334647
[trust-five/b20_C] [plan iscas99__b20] [plan] step=11 node=N4561 type=observe q_typed_trust_context=1.236812 sequence=22.571458
[trust-five/b20_C] [plan iscas99__b20] [plan] step=12 node=N4175 type=observe q_typed_trust_context=1.765916 sequence=24.337374
[trust-five/b20_C] [plan iscas99__b20] [plan] step=13 node=N4144 type=observe q_typed_trust_context=2.158019 sequence=26.495394
[trust-five/b20_C] [plan iscas99__b20] [plan] step=14 node=N4618 type=control1 q_typed_trust_context=1.006188 sequence=27.501581
[trust-five/b20_C] [plan iscas99__b20] [plan] step=15 node=N4134 type=control0 q_typed_trust_context=1.314883 sequence=28.816465
[trust-five/b20_C] [plan iscas99__b20] [plan] step=16 node=N4145 type=observe q_typed_trust_context=1.142858 sequence=29.959323
[trust-five/b20_C] [plan iscas99__b20] [plan] step=17 node=N826 type=observe q_typed_trust_context=1.221325 sequence=31.180648
[trust-five/b20_C] [plan iscas99__b20] [plan] step=18 node=N4181 type=observe q_typed_trust_context=1.283903 sequence=32.464551
[trust-five/b20_C] [plan iscas99__b20] [plan] step=19 node=N3995 type=control0 q_typed_trust_context=1.265575 sequence=33.730125
[trust-five/b20_C] [plan iscas99__b20] [plan] step=20 node=N3408 type=control0 q_typed_trust_context=2.005320 sequence=35.735445
[trust-five/b20_C] [plan iscas99__b20] [plan] step=21 node=N4160 type=observe q_typed_trust_context=1.377954 sequence=37.113399
[trust-five/b20_C] [plan iscas99__b20] [plan] step=22 node=N4169 type=observe q_typed_trust_context=1.035896 sequence=38.149295
[trust-five/b20_C] [plan iscas99__b20] [plan] step=23 node=N3333 type=control0 q_typed_trust_context=1.916994 sequence=40.066289
