step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168158054351807,4.904951997846365,3.3065799117088317,0.6691068582236768,3.1882187986001376,1.1168158054351807,0.34677958488464355,4.697716038674116,3.540440744161606,0.0034677958488464355,0.28206971287727356,0.033641062676906586,0.033641062676906586,1.2612496943771838,0.06386369466781616,0.15087544918060303,0.03879368305206299,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.34375,17400.578125,-0.023408927023410797,-0.0730346292257309,0.010410735383629799,-2.3408927023410797,6.766790114343166,3.7997380444407463,6.481474628672004,3.693555183112621,4.387022591382266,3.1473852546885612,4.904951997846365,4.904951997846365,4.904951997846365,greedy,4.904951997846365,0.0,hard_fault_cluster,0.06500000000000039,True
2,N2151,observe,1.4883759021759033,3.277033021450043,2.085600757598877,0.6688906598091126,2.130071463942528,1.4883759021759033,0.433856725692749,3.350146523118019,2.5745518088340758,0.00433856725692749,0.3275706171989441,0.024608822539448738,0.024608822539448738,1.2658116561174393,0.06950369477272034,0.15559135377407074,0.04667039215564728,30261.63671875,12861.64453125,17399.9921875,30644.388671875,13181.9765625,17462.412109375,-0.012648091651499271,-0.024905992671847343,-0.0035873535089194775,-1.2648091651499271,7.4088350255042315,3.1714295411109927,7.064985864330083,3.2849268937110905,2.8986343413591387,2.364901702404022,3.277033021450043,8.181985019296409,8.181985019296409,greedy,3.277033021450043,0.0,hard_fault_cluster,0.06300000000000017,True
3,N502,control1,1.1399083137512207,2.051483744382858,2.085818016529083,0.036327475309371964,1.333464433848858,1.1399083137512207,0.37451303005218506,1.5671526908874511,1.927087903022766,0.0037451303005218506,0.34022068977355957,0.018878208473324776,0.018878208473324776,-2.5191829919815065,0.058774810284376144,0.13937191665172577,0.035921480506658554,30639.37890625,13175.154296875,17464.224609375,30658.8046875,13160.2470703125,17498.55859375,-0.0006340135587379336,0.001131465076468885,-0.001965960953384638,-0.06340135587379336,6.270872266963124,2.8249106216430664,5.975828838068992,2.825922565460205,2.3770971179008487,2.214756423048675,2.051483744382858,10.233468763679268,10.233468763679268,greedy,2.051483744382858,0.0,hard_fault_cluster,0.2670000000000001,True
4,N4520,control0,0.8597208261489868,1.5173384235799312,2.558768117427826,0.3447687189280987,0.9862699753269554,0.8597208261489868,0.3548576235771179,2.0398200213909146,2.2699233531951903,0.0035485762357711794,0.3592269718647003,0.02004733867943287,0.02004733867943287,-0.3669392648339272,0.05248899385333061,0.13290846347808838,0.0299944207072258,30664.541015625,13167.390625,17497.150390625,30649.123046875,13128.126953125,17520.99609375,0.000502794689964503,0.0029818869661539793,-0.0013628335436806083,0.050279468996450305,5.623804347589612,4.263788332343101,5.342625625897199,3.1581950801610947,1.8960670471191405,2.8634212678670883,1.5173384235799312,11.750807187259198,11.750807187259198,greedy,1.5173384235799312,0.0,hard_fault_cluster,0.31400000000000006,True
5,N766,control1,0.7039361596107483,1.0148024383932353,2.79433217048645,-0.2396587617695331,0.659621584955603,0.7039361596107483,0.3027520179748535,0.21646451577544212,1.9876947373151777,0.003027520179748535,0.37866082787513733,0.021162832155823708,0.021162832155823708,-1.9216358494758605,0.04807783663272858,0.12794600427150726,0.02631654217839241,30647.759765625,13126.677734375,17521.08203125,30518.107421875,13035.478515625,17482.62890625,0.004230401944369078,0.006947624031454325,0.0021946774795651436,0.42304019443690777,5.131698513403535,0.19300511240959173,4.888762375805527,0.192811014354229,0.98168236464262,2.637190745696425,1.0148024383932353,12.765609625652434,12.765609625652434,greedy,1.0148024383932353,0.0,hard_fault_cluster,0.4640000000000001,False
6,N3644,control0,0.7395443320274353,1.4283215145766737,2.892609119415283,0.014978957027196895,0.9284089844748379,0.7395443320274353,0.2993769645690918,0.8858432829380035,2.4012328445911404,0.002993769645690918,0.3933708071708679,0.020282218232750893,0.020282218232750893,-1.2524917796254158,0.04565930366516113,0.12814024090766907,0.02454306185245514,30519.431640625,13036.916015625,17482.515625,30309.013671875,12889.994140625,17419.01953125,0.006894557271152735,0.011269680224359035,0.0036319768987596035,0.6894557271152735,4.885589549317956,0.7410879600048065,4.645845162216574,0.7144699323177337,1.3607841163873673,2.7128809092380104,1.4283215145766737,14.193931140229108,14.193931140229108,greedy,1.4283215145766737,0.0,hard_fault_cluster,0.137,True
7,N3756,control0,0.5983479022979736,1.0012773061916234,2.3834107577800747,0.15984039302915334,0.6508302490245552,0.5983479022979736,0.3010159134864807,0.919485468044877,2.365728610754013,0.003010159134864807,0.4079147279262543,0.02252584882080555,0.02252584882080555,0.05127375185489652,0.04481545835733414,0.13176994025707245,0.024195723235607147,30309.1484375,12890.1435546875,17419.00390625,30275.2578125,12844.78515625,17430.47265625,0.0011181648587808013,0.0035188435576856136,-0.0006584044895134866,0.11181648587808013,4.8050875980407,0.9112965336441994,4.562431276310235,0.9324281027913094,0.93834208548069,2.4882350647449494,1.0012773061916234,15.19520844642073,15.19520844642073,greedy,1.0012773061916234,0.0,hard_fault_cluster,0.014000000000000012,True
8,N557,control1,0.6006532311439514,1.2011914619430901,1.0373733699321745,0.10187039863318204,0.7807744502630086,0.6006532311439514,0.23543508350849152,0.6123061091825366,0.42538055181503287,0.002354350835084915,0.4093950688838959,0.02327919937670231,0.02327919937670231,0.08559780597686767,0.042825810611248016,0.12916260957717896,0.02249263972043991,30279.53515625,12845.3720703125,17434.1640625,30189.45703125,12771.443359375,17418.013671875,0.002974884584546089,0.005755279678851366,0.0009263645042665303,0.2974884584546089,4.5412953440099955,0.6759546549618244,4.3472596318461,0.7309736759960651,0.9285568416118621,0.8272475516051053,1.2011914619430901,16.396399908363822,16.396399908363822,greedy,1.2011914619430901,0.0,hard_fault_cluster,0.28600000000000003,True
9,N5143,observe,0.33169519901275635,1.1580692462623121,1.1177372694015504,0.39865648224949835,0.7527450100705029,0.33169519901275635,0.22571705281734467,1.287815323770046,1.5399957358837126,0.0022571705281734466,0.4198516011238098,0.027121679857373238,0.027121679857373238,1.5709139071404934,0.04124319180846214,0.12896500527858734,0.021012376993894577,30183.734375,12769.83203125,17413.90234375,30238.4375,12790.80859375,17447.62890625,-0.0018123378977179527,-0.001642665476538241,-0.0019367607310414314,-0.18123378977179527,4.377157913520932,1.0150480806827544,4.187528864014894,1.0287490427494048,0.8479898899793625,1.4037936136126516,1.1580692462623121,17.554469154626133,17.554469154626133,greedy,1.1580692462623121,0.0,hard_fault_cluster,0.11599999999999988,True
10,N507,control1,0.36343029141426086,1.3458981409668922,1.2257203698158263,0.13688609153032302,0.87483379162848,0.36343029141426086,0.22268046438694,1.0878788590431212,0.9115003049373627,0.0022268046438694,0.4206520617008209,0.02485736645758152,0.02485736645758152,-0.3263414305448532,0.04033796489238739,0.12568658590316772,0.020174548029899597,30242.53515625,12787.9892578125,17454.546875,30160.16796875,12751.75,17408.41796875,0.0027235543821007013,0.002833851147443056,0.0026428017299622297,0.27235543821007013,4.2813343200832605,0.7685420715808868,4.095680946949869,0.7491766297817231,1.2062399834394455,1.0831135646253824,1.3458981409668922,18.900367295593025,18.900367295593025,greedy,1.3458981409668922,0.0,hard_fault_cluster,0.44100000000000006,False
