step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N2219,control1,1.5957680940628052,2.5893833078444004,1.8469659745693205,0.4224334194511175,1.6830991500988604,1.5957680940628052,0.7163988947868347,2.0122387278825045,2.8730642795562744,0.007163988947868347,0.3101164698600769,0.03632713854312897,0.03632713854312897,1.120808869227767,0.07537909597158432,0.18683531880378723,0.051756277680397034,105212.25,42459.421875,62752.82421875,108084.578125,45592.5703125,62492.0078125,-0.02730032056570053,-0.07379159331321716,0.004156249575316906,-2.730032056570053,8.290635630488396,2.08722896322608,7.726091105490923,1.9365922425687314,1.9100494679063558,1.9907394730113446,2.5893833078444004,2.5893833078444004,2.5893833078444004,greedy,2.5893833078444004,0.0,hard_fault_cluster
2,N14033,control1,1.6646029949188232,2.501352494955063,1.9890282273292539,0.23412306129932403,1.625879121720791,1.6646029949188232,0.747579038143158,1.967892098426819,1.4178898751735687,0.007475790381431579,0.34897753596305847,0.02300606109201908,0.02300606109201908,-0.9123344957828522,0.0669962465763092,0.17578864097595215,0.05170596390962601,108084.140625,45592.25,62491.890625,108300.765625,45846.3203125,62454.44921875,-0.002004225505515933,-0.005572664551436901,0.000599140243139118,-0.2004225505515933,7.4702097568660975,3.090382732152939,6.892270932439715,3.2762660396099093,2.500015252828598,1.8578483579307794,2.501352494955063,5.090735802799463,5.090735802799463,greedy,2.501352494955063,0.0,hard_fault_cluster
3,N5319,control0,1.3257780075073242,1.1018356472253799,1.1411519289016723,0.1702785697579384,0.7161931706964969,1.3257780075073242,0.7306811809539795,1.1913266792893409,1.1565602898597716,0.007306811809539795,0.37080708146095276,0.019476572051644325,0.019476572051644325,-0.40792039662599566,0.05739958584308624,0.1659601330757141,0.047222983092069626,108301.46875,45847.5859375,62453.8828125,108165.578125,45653.234375,62512.34765625,0.0012547440128400922,0.004239079542458057,-0.0009361282573081553,0.12547440128400922,6.490116337314248,0.9127718573808671,5.92749802256003,0.8676833337545395,1.2636059418320655,1.2955788500607013,1.1018356472253799,6.192571450024843,6.192571450024843,greedy,1.1018356472253799,0.0,hard_fault_cluster
4,N6992,control0,1.476880431175232,1.5435264840722085,1.5445422291755675,0.22610599800944328,1.0032922146469356,1.476880431175232,0.7580863237380981,1.533169649541378,1.5823847293853759,0.007580863237380981,0.3904580771923065,0.019161203876137733,0.019161203876137733,-0.36484217226505283,0.057708244770765305,0.17055536806583405,0.049622636288404465,108165.7734375,45653.23828125,62512.53515625,107755.203125,45331.171875,62424.03515625,0.0037957506719976664,0.007054623682051897,0.0014157160185277462,0.37957506719976664,6.548072004690766,1.2735561180114747,5.965136358980089,1.2805176305770876,1.639975219964981,1.739262624680996,1.5435264840722085,7.736097934097051,7.736097934097051,greedy,1.5435264840722085,0.0,hard_fault_cluster
5,N6780,control0,1.4466848373413086,1.59919715821743,1.2566095292568207,0.2936109152436256,1.0394781528413295,1.4466848373413086,0.8110328316688538,1.8503189712762833,1.8617711424827574,0.008110328316688538,0.40011170506477356,0.021079862490296364,0.021079862490296364,-0.19230679154396063,0.05697125941514969,0.169765442609787,0.04882770776748657,107755.140625,45331.23828125,62423.90234375,107720.09375,45294.73046875,62425.36328125,0.000325245491694659,0.0008053565979935229,-2.3403496015816927e-05,0.0325245491694659,6.529238635674119,1.4311782324314117,5.905154115054756,1.4557887876033784,1.7100867599248886,1.5498776942491532,1.59919715821743,9.335295092314482,9.335295092314482,greedy,1.59919715821743,0.0,hard_fault_cluster
6,N2849,control0,1.5815001726150513,2.1294507652521135,1.85877149105072,0.32851176410913463,1.384142997413874,1.5815001726150513,0.8375067710876465,1.9273153573274613,1.6304169178009034,0.008375067710876465,0.41320911049842834,0.02262268401682377,0.02262268401682377,-0.0006446409225464578,0.05947082117199898,0.1755383014678955,0.04952917993068695,107712.6328125,45285.04296875,62427.58984375,107224.890625,44955.9296875,62268.9609375,0.00452817976474762,0.007267593406140804,0.0025410063099116087,0.45281797647476196,6.807211572304368,1.9554558873176573,6.162114480976015,2.089762568473816,2.146056628227234,1.9611327362060547,2.1294507652521135,11.464745857566594,11.464745857566594,greedy,2.1294507652521135,0.0,hard_fault_cluster
7,N13662,control0,1.595867395401001,2.2959430627524853,2.4425354838371276,0.4261217350512743,1.4923629907891154,1.595867395401001,0.8860327005386353,2.457351817935705,2.943596220016479,0.008860327005386352,0.41646608710289,0.024192186072468758,0.024192186072468758,0.2580801779031753,0.0573892705142498,0.17368987202644348,0.048548053950071335,107231.90625,44965.015625,62266.890625,106781.3125,44689.71875,62091.59375,0.004202049225568771,0.006122468039393425,0.002815250074490905,0.42020492255687714,6.649151938036084,2.0861310428380966,5.966483273077756,1.8445356792211531,2.2725054204463957,2.6900728276371955,2.2959430627524853,13.76068892031908,13.76068892031908,greedy,2.2959430627524853,0.0,hard_fault_cluster
8,N16937,control0,1.6094443798065186,1.8804640955477954,1.8844539165496825,0.6135127729922533,1.222301662106067,1.6094443798065186,0.8969440460205078,3.2072531484067435,3.279057574272156,0.008969440460205078,0.422260046005249,0.024804221466183662,0.024804221466183662,0.4941933149099349,0.05709856003522873,0.17337268590927124,0.046964384615421295,106781.796875,44690.22265625,62091.578125,106377.796875,44428.0546875,61949.7421875,0.0037834164686501026,0.0058663384988904,0.0022843023762106895,0.37834164686501026,6.631604271009564,1.4731665021181106,5.940293070394546,1.465857053399086,2.3249626755714417,2.5554203242063522,1.8804640955477954,15.641153015866875,15.641153015866875,greedy,1.8804640955477954,0.0,hard_fault_cluster
9,N11975,control0,1.5616304874420166,2.001187687925994,1.9849023222923279,0.421986527312547,1.3007719971518963,1.5616304874420166,0.9215344190597534,2.2036255566403273,3.17740443944931,0.009215344190597535,0.4286189377307892,0.025594184175133705,0.025594184175133705,0.49439557641744614,0.058164726942777634,0.17746172845363617,0.04821951687335968,106377.78125,44428.09375,61949.68359375,106350.453125,44398.5625,61951.890625,0.00025689692120067775,0.0006646976689808071,-3.56261916749645e-05,0.025689692120067775,6.7636012975126505,2.519969040006399,6.053254845086485,2.3276325522363184,2.0112829625606534,2.457186795175075,2.001187687925994,17.64234070379287,17.64234070379287,greedy,2.001187687925994,0.0,hard_fault_cluster
10,N7781,observe,1.772253155708313,2.699142873287201,3.7215897798538204,0.17771234512329104,1.7544428676366806,1.772253155708313,0.9664531946182251,2.15319452136755,2.914205181598663,0.009664531946182251,0.42572131752967834,0.010113680735230446,0.010113680735230446,-2.1577578857541084,0.06523633003234863,0.1820494830608368,0.05199652537703514,106349.984375,44397.9609375,61952.0234375,106570.09375,44599.0,61971.09375,-0.00206967000849545,-0.0045281145721673965,-0.0003078238805755973,-0.206967000849545,7.500199878588319,4.165880852341652,6.767774722073227,5.221654539704322,3.094522352516651,3.892517445757985,2.699142873287201,20.34148357708007,20.34148357708007,greedy,2.699142873287201,0.0,hard_fault_cluster
11,N18172,control0,1.5673866271972656,1.3157383708655834,0.9617549538612364,0.45619814679026605,0.8552299410626293,1.5673866271972656,0.8864325881004333,1.92477353438735,1.3950696766376494,0.008864325881004333,0.42367711663246155,0.026675531640648842,0.026675531640648842,1.2884485353529453,0.05751384422183037,0.16710951924324036,0.0430891290307045,106570.3828125,44599.359375,61971.0234375,105882.703125,44196.55859375,61686.14453125,0.006452821660786867,0.009031536988914013,0.004596969578415155,0.6452821660786867,6.664492541924119,0.8549130674451589,5.979661452118307,0.7348498817533254,1.3618633151054382,1.2059383360296487,1.3157383708655834,21.657221947945654,21.657221947945654,greedy,1.3157383708655834,0.0,hard_fault_cluster
12,N12015,control0,1.5519990921020508,2.0846227779984474,1.7774000406265258,0.5334048829972744,1.355004805698991,1.5519990921020508,0.9034152626991272,2.50705051869154,2.040486240386963,0.009034152626991272,0.431784063577652,0.028418587520718575,0.028418587520718575,1.2311429458856582,0.058786191046237946,0.1733471304178238,0.0453055202960968,105882.9375,44196.90625,61686.03125,105795.8125,44164.68359375,61631.1328125,0.0008228427032008767,0.0007290703942999244,0.0008899654494598508,0.08228427032008767,6.81045295484364,2.161678192615509,6.111577567178756,1.9165694570541383,1.9698819309473037,1.7466591827571392,2.0846227779984474,23.7418447259441,23.7418447259441,greedy,2.0846227779984474,0.0,hard_fault_cluster
13,N11983,control0,1.4746601581573486,2.771442349255085,2.378493571281433,0.4392622785270213,1.8014375270158052,1.4746601581573486,0.9045536518096924,2.2353818908333776,1.4497572004795074,0.009045536518096925,0.43368756771087646,0.02995152957737446,0.02995152957737446,1.2390887010097504,0.058791302144527435,0.17632919549942017,0.04546188563108444,105795.8125,44164.66796875,61631.140625,105656.0703125,44094.5234375,61561.546875,0.0013208668678998947,0.001588249928317964,0.0011291977716609836,0.13208668678998947,6.81363539583981,2.372824952602387,6.11275650979951,1.7715397042036056,2.1634587138891224,1.6318977200984959,2.771442349255085,26.513287075199187,26.513287075199187,greedy,2.771442349255085,0.0,hard_fault_cluster
14,N12071,control0,1.426269292831421,2.6234965860843658,2.3649836301803586,0.4782658988237381,1.7052727809548378,1.426269292831421,0.9082567095756531,2.1630110040307042,1.3486238777637483,0.009082567095756531,0.4344721734523773,0.03183109313249588,0.03183109313249588,1.6630657377839086,0.06015976518392563,0.1789885312318802,0.04480219632387161,105656.2421875,44094.6328125,61561.609375,105500.6875,44022.25,61478.4375,0.0014722716296091676,0.0016415334539487958,0.0013510347343981266,0.14722716296091676,6.956064321100712,2.2336391681432723,6.2509984690696,1.9641701187193394,2.016069869697094,1.5467791809886695,2.6234965860843658,29.136783661283552,29.136783661283552,greedy,2.6234965860843658,0.0,hard_fault_cluster
15,N12055,control0,1.3154654502868652,1.8251695305109021,1.650728952884674,0.4566179755330085,1.1863601948320863,1.3154654502868652,0.8965193033218384,1.8055204957723616,1.359359085559845,0.008965193033218384,0.43424752354621887,0.03384288400411606,0.03384288400411606,1.7333952087163924,0.060794685035943985,0.18053247034549713,0.043447576463222504,105500.5625,44022.21875,61478.34375,105441.40625,43999.7578125,61441.6484375,0.0005607197526842356,0.0005102182039991021,0.0005968819023109972,0.05607197526842356,7.009830690920353,2.0379700767993927,6.312059050425887,2.0242754685878754,1.500405517220497,1.2521189840137958,1.8251695305109021,30.961953191794453,30.961953191794453,greedy,1.8251695305109021,0.0,hard_fault_cluster
16,N12039,control0,1.1206873655319214,1.5377666667103767,2.609381508827209,0.3884623841941356,0.9995483333617449,1.1206873655319214,0.8757753372192383,1.4570869270712137,2.540110564231872,0.008757753372192383,0.3982240557670593,0.016731495037674904,0.016731495037674904,1.5258028437942266,0.06158546358346939,0.1799519658088684,0.03995157778263092,105441.4140625,43999.7734375,61441.640625,105415.453125,43992.640625,61422.81640625,0.0002462119737174362,0.0001621102128410712,0.00030637558666057885,0.02462119737174362,7.051053190603852,1.9812984481453897,6.381673066411167,1.9770407095551492,1.2497744776308537,2.176004922278225,1.5377666667103767,32.49971985850483,32.49971985850483,greedy,1.5377666667103767,0.0,hard_fault_cluster
17,N8089,observe,0.988557755947113,2.358719965815544,2.5395848035812376,0.4780039289593696,1.5331679777801037,0.988557755947113,0.810279130935669,1.5899538281559944,2.0759760618209837,0.00810279130935669,0.3485131561756134,0.0064630042761564255,0.0064630042761564255,2.2267072558403016,0.06010620296001434,0.17776264250278473,0.03814161196351051,105414.8203125,43991.8046875,61423.015625,105319.828125,43952.796875,61367.03125,0.0009011274669319391,0.0008867063443176448,0.0009114560089074075,0.09011274669319391,6.82736243121326,2.023291150331497,6.214805829804391,2.409684734344482,1.6869399428367615,2.581134153008461,2.358719965815544,34.85843982432038,34.85843982432038,greedy,2.358719965815544,0.0,hard_fault_cluster
18,N19193,control0,0.6522389054298401,1.990240866318345,1.547821193933487,0.24951573278754946,1.2936565631069243,0.6522389054298401,0.7094736099243164,1.3009627198800444,0.8378517568111419,0.007094736099243164,0.05650261044502258,-0.0028488803654909134,-0.0028488803654909134,0.46367914557456963,0.055676329880952835,0.16043512523174286,0.028780460357666016,105320.296875,43953.484375,61366.80859375,104478.609375,43512.796875,60965.81640625,0.00799169298261404,0.01002622488886118,0.006534349638968706,0.799169298261404,6.274257717654109,1.0973981990665198,5.74428917048499,1.083196617588401,1.6707539081573486,1.3220618053525686,1.990240866318345,36.84868069063872,36.84868069063872,greedy,1.990240866318345,0.0,hard_fault_cluster
19,N19195,control0,0.7101215124130249,2.3536551155149934,3.37994954586029,0.3046014668792486,1.5298758250847457,0.7101215124130249,0.6861389875411987,1.5297622863203286,2.1337815523147583,0.0068613898754119875,0.05076900124549866,-0.007048172876238823,-0.007048172876238823,0.6220204934477805,0.05380883067846298,0.15696820616722107,0.02716851979494095,104478.640625,43512.81640625,60965.828125,103890.25,43221.53125,60668.71875,0.005631683394312859,0.006694238167256117,0.004873375408351421,0.5631683394312859,6.059973882511258,1.2762099367380142,5.550655771512538,1.2168120604753494,1.9851718425750733,3.113276546597481,2.3536551155149934,39.20233580615372,39.20233580615372,greedy,2.3536551155149934,0.0,hard_fault_cluster
20,N13626,control0,0.7445960640907288,3.3267171412706373,4.001025509834289,0.45783031553030007,2.162366141825914,0.7445960640907288,0.6753295660018921,1.90262167096138,2.627107548713684,0.006753295660018921,0.05190804600715637,-0.006336061283946037,-0.006336061283946037,1.790333909392357,0.05250684916973114,0.15717479586601257,0.026432830840349197,103890.515625,43221.87109375,60668.640625,103534.4453125,43038.0390625,60496.40625,0.003427361138164997,0.004253217950463295,0.0028389357030391693,0.3427361138164997,5.91967842169106,1.5614738330245017,5.4179332931526005,1.4850480422377585,2.404184091091156,3.662719659209251,3.3267171412706373,42.529052947424354,42.529052947424354,greedy,3.3267171412706373,0.0,hard_fault_cluster
21,N13624,control0,0.7030752897262573,2.8488718450069426,3.588906097412109,0.47364010870456696,1.8517666992545128,0.7030752897262573,0.6573851108551025,1.9727425514161585,2.7422955989837643,0.006573851108551025,0.045110851526260376,-0.009890252724289894,-0.009890252724289894,1.8311657229065894,0.05119899660348892,0.1529349535703659,0.024942152202129364,103534.359375,43037.8671875,60496.4921875,103231.1875,42874.18359375,60357.00390625,0.0029282248578965664,0.0038032459560781717,0.002305725123733282,0.29282248578965664,5.767394518479705,1.2339514134824277,5.281773374881595,1.22748109087348,2.086794888973236,3.4564166778326033,2.8488718450069426,45.377924792431294,45.377924792431294,greedy,2.8488718450069426,0.0,hard_fault_cluster
22,N4256,control0,0.6870516538619995,2.654301702976227,3.4013438940048215,0.49686888217926023,1.7252961069345474,0.6870516538619995,0.6412376165390015,2.1353437937796116,2.893258500099182,0.006412376165390015,0.04080420732498169,-0.012109443545341492,-0.012109443545341492,1.8686763593554496,0.050371699035167694,0.15142305195331573,0.024087850004434586,103232.03125,42874.6015625,60357.42578125,102954.6875,42711.140625,60243.546875,0.002686605555936694,0.003812535433098674,0.0018867423059418797,0.2686605555936694,5.666298076510429,1.183466888219118,5.194451946765184,1.1610172756016253,1.9989885494112969,3.3993425571173423,2.654301702976227,48.03222649540752,48.03222649540752,greedy,2.654301702976227,0.0,hard_fault_cluster
23,N12511,control0,0.6814950108528137,2.374507455527782,3.287087774276733,0.3981306107342243,1.5434298460930584,0.6814950108528137,0.6261319518089294,1.8318222251534462,2.742566633224487,0.006261319518089294,0.03566575050354004,-0.014867456629872322,-0.014867456629872322,1.346731582581997,0.0499635711312294,0.14923879504203796,0.02356567233800888,102954.09375,42711.01953125,60243.0703125,102694.109375,42553.125,60140.984375,0.002525245537981391,0.003696810221299529,0.0016945672687143087,0.2525245537981391,5.607621608301997,1.198834296911955,5.149173236917704,1.205578383654356,1.801633356511593,3.271061681732535,2.374507455527782,50.406733950935305,50.406733950935305,greedy,2.374507455527782,0.0,hard_fault_cluster
24,N11941,control0,0.6450075507164001,1.7954036489129066,2.755434000492096,0.44466365382075307,1.1670123717933893,0.6450075507164001,0.6171690225601196,2.0912025317549703,3.0855050563812254,0.006171690225601196,0.046561986207962036,-0.019001787528395653,-0.019001787528395653,0.9372918790578841,0.05094540864229202,0.1529354602098465,0.024358101189136505,102694.03125,42552.9609375,60141.06640625,102963.4921875,42719.6015625,60243.890625,-0.0026239200960844755,-0.003916075918823481,-0.0017097172094509006,-0.26239200960844755,5.692708099260926,1.4658365285396575,5.244082672987133,1.4594614541530608,1.743417763710022,3.233221546411514,1.7954036489129066,52.202137599848214,52.202137599848214,greedy,1.7954036489129066,0.0,hard_fault_cluster
