step,node,type,q_pred,q_pred_context,q_pred_type_context,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N2219,control1,1.5957682132720947,2.5893833972513676,1.8469663500785827,1.5957682132720947,0.7163989543914795,2.0122391317039727,2.8730643630027766,0.007163989543914795,0.31011655926704407,0.03632710129022598,0.03632710129022598,1.1208061545342205,0.07537908852100372,0.18683531880378723,0.05175628513097763,105212.25,42459.421875,62752.82421875,108084.5703125,45592.5703125,62492.0,-0.027300246059894562,-0.07379159331321716,0.0041563743725419044,-2.730024605989456,8.290634907782078,2.0872295372188088,7.726090366020799,1.9365932457149029,1.9100507270544766,1.9907431265525517,2.5893833972513676,2.5893833972513676,2.5893833972513676,greedy,2.5893833972513676,0.0,hard_fault_cluster
2,N14033,control1,1.6646029949188232,2.5013523548841476,1.9890300035476682,1.6646029949188232,0.7475790977478027,1.9678888410329818,1.4178886473178862,0.007475790977478028,0.34897753596305847,0.023006068542599678,0.023006068542599678,-0.9123413324356079,0.0669962540268898,0.17578864097595215,0.05170596390962601,108084.140625,45592.25,62491.890625,108300.765625,45846.3203125,62454.4453125,-0.002004225505515933,-0.005572664551436901,0.000599202758166939,-0.2004225505515933,7.4702105689793825,3.090369580984116,6.892271694261581,3.2762689816951753,2.5000130116939547,1.857847021147609,2.5013523548841476,5.090735752135515,5.090735752135515,greedy,2.5013523548841476,0.0,hard_fault_cluster
3,N5319,control0,1.3257780075073242,1.1018357634544373,1.1411537289619447,1.3257780075073242,0.7306811809539795,1.1913283571600912,1.1565612912178038,0.007306811809539795,0.37080708146095276,0.019476601853966713,0.019476601853966713,-0.4079211428761482,0.05739958956837654,0.1659601330757141,0.047222986817359924,108301.46875,45847.5859375,62453.8828125,108165.578125,45653.234375,62512.34765625,0.0012547440128400922,0.004239079542458057,-0.0009361282573081553,0.12547440128400922,6.4901167396456,0.9127746301889419,5.927498402539641,0.8676841217279434,1.26360774487257,1.295581273213029,1.1018357634544373,6.192571515589952,6.192571515589952,greedy,1.1018357634544373,0.0,hard_fault_cluster
4,N6992,control0,1.4768801927566528,1.5435266733169557,1.5445410370826722,1.4768801927566528,0.7580864429473877,1.5331706881523133,1.5823890089988706,0.007580864429473877,0.39045804738998413,0.019161203876137733,0.019161203876137733,-0.3648438787460328,0.057708241045475006,0.17055536806583405,0.04962262511253357,108165.7734375,45653.23828125,62512.53515625,107755.203125,45331.171875,62424.03515625,0.0037957506719976664,0.007054623682051897,0.0014157160185277462,0.37957506719976664,6.548071751371026,1.2735550808906555,5.965136016253382,1.280515842437744,1.6399756371974945,1.7392565695941449,1.5435266733169557,7.736098188906908,7.736098188906908,greedy,1.5435266733169557,0.0,hard_fault_cluster
5,N6780,control0,1.4466850757598877,1.5991985604166985,1.2566125214099884,1.4466850757598877,0.8110328912734985,1.8503227606415749,1.8617693185806272,0.008110328912734985,0.40011170506477356,0.021079817786812782,0.021079817786812782,-0.19232030928134924,0.056971270591020584,0.16976545751094818,0.04882768541574478,107755.140625,45331.23828125,62423.90234375,107720.09375,45294.734375,62425.36328125,0.000325245491694659,0.000805270450655371,-2.3403496015816927e-05,0.0325245491694659,6.52923976816237,1.4311856389045714,5.905155236367136,1.4557855725288391,1.7100900202989577,1.5498783020675182,1.5991985604166985,9.335296749323607,9.335296749323607,greedy,1.5991985604166985,0.0,hard_fault_cluster
6,N2849,control0,1.581500768661499,2.1294582337141037,1.8587759852409362,1.581500768661499,0.8375068306922913,1.927321183681488,1.6304205298423766,0.008375068306922912,0.41320908069610596,0.022622758522629738,0.022622758522629738,-0.0006129783391952692,0.05947082117199898,0.1755383014678955,0.04952920600771904,107712.6328125,45285.0390625,62427.59375,107224.890625,44955.9296875,62268.9609375,0.00452817976474762,0.00726750772446394,0.0025410689413547516,0.45281797647476196,6.807211706414819,1.955456317663193,6.162114514503628,2.089758814573288,2.146057775616646,1.9611387787759305,2.1294582337141037,11.464754983037711,11.464754983037711,greedy,2.1294582337141037,0.0,hard_fault_cluster
7,N13662,control0,1.59586763381958,2.2959470972418785,2.4425376653671265,1.59586763381958,0.8860327005386353,2.4573651298880574,2.9436164855957028,0.008860327005386352,0.4164661467075348,0.024192186072468758,0.024192186072468758,0.2580859446525573,0.0573892667889595,0.17368987202644348,0.048548080027103424,107231.90625,44965.015625,62266.890625,106781.3125,44689.71484375,62091.59375,0.004202049225568771,0.0061225551180541515,0.002815250074490905,0.42020492255687714,6.649151565507054,2.0861318457126616,5.966482900548726,1.8445363748073578,2.2725131928920748,2.690063822120428,2.2959470972418785,13.76070208027959,13.76070208027959,greedy,2.2959470972418785,0.0,hard_fault_cluster
8,N16937,control0,1.6094441413879395,1.8804595275968312,1.8844526171684264,1.6094441413879395,0.8969439268112183,3.2072435922920706,3.2790509700775146,0.008969439268112183,0.4222600758075714,0.02480420656502247,0.02480420656502247,0.4941622322797774,0.057098567485809326,0.17337265610694885,0.04696439206600189,106781.796875,44690.22265625,62091.578125,106377.796875,44428.0546875,61949.7421875,0.0037834164686501026,0.0058663384988904,0.0022843023762106895,0.37834164686501026,6.631604881957173,1.4731632405519486,5.940293781924993,1.4658570104837418,2.3249615788459774,2.555425815582275,1.8804595275968312,15.64116160787642,15.64116160787642,greedy,1.8804595275968312,0.0,hard_fault_cluster
9,N11975,control0,1.5616304874420166,2.0011850047856568,1.9849088788032532,1.5616304874420166,0.9215342998504639,2.203625964000821,3.177406024932861,0.009215342998504638,0.4286189377307892,0.025594176724553108,0.025594176724553108,0.4943882685899734,0.05816471576690674,0.17746171355247498,0.04821951687335968,106377.78125,44428.09375,61949.68359375,106350.453125,44398.5625,61951.890625,0.00025689692120067775,0.0006646976689808071,-3.56261916749645e-05,0.025689692120067775,6.763600053265691,2.519955520927906,6.053253695834428,2.3276379159092904,2.0112833261489866,2.4572119194269177,2.0011850047856568,17.642346612662077,17.642346612662077,greedy,2.0011850047856568,0.0,hard_fault_cluster
10,N7781,observe,1.7722532749176025,2.699154382944107,3.72159104347229,1.7722532749176025,0.9664531946182251,2.153203892707825,2.914206004142761,0.009664531946182251,0.4257211983203888,0.010113665834069252,0.010113665834069252,-2.157697049379349,0.06523630768060684,0.18204949796199799,0.05199654400348663,106349.984375,44397.9609375,61952.0234375,106570.09375,44599.0,61971.09375,-0.00206967000849545,-0.0045281145721673965,-0.0003078238805755973,-0.206967000849545,7.5001976285129786,4.165884833335876,6.767772483173758,5.221564106941223,3.094523286819458,3.892563197612762,2.699154382944107,20.341500995606186,20.341500995606186,greedy,2.699154382944107,0.0,hard_fault_cluster
