step,node,type,q_pred,q_pred_context,q_pred_type_context,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N1180,control1,1.8881057500839233,2.6944215789437296,2.6863646030426023,1.8881057500839233,0.7165922522544861,2.4292767807841305,2.292814779281616,0.007165922522544861,0.4242992401123047,0.046695321798324585,0.046695321798324585,1.096742860674858,0.09646204113960266,0.21926899254322052,0.07132156938314438,98506.4375,39555.2421875,58951.19140625,102295.140625,42907.65234375,59387.484375,-0.03846147656440735,-0.08475261181592941,-0.007400918751955032,-3.846147656440735,10.409491688013077,2.053590150922537,9.837026007473469,1.9485918007791043,2.5084703773260117,2.6728078763186933,2.6944215789437296,2.6944215789437296,2.6944215789437296,greedy,2.6944215789437296,0.0,hard_fault_cluster
2,N2076,observe,1.7388014793395996,1.6337639331817626,1.3543979227542877,1.7388014793395996,0.7253576517105103,1.470718932338059,1.2295714378356934,0.007253576517105103,0.39719969034194946,0.03596891462802887,0.03596891462802887,0.1337718639150261,0.09518826007843018,0.20070020854473114,0.06828666478395462,102299.25,42914.171875,59385.08203125,103709.71875,44340.77734375,59368.9375,-0.013787674717605114,-0.033243224024772644,0.0002718617324717343,-1.3787674717605114,10.280152574181557,1.6656486869603395,9.709157649427652,1.6353964806348085,1.4579120824113487,1.2715865349862723,1.6337639331817626,4.328185512125492,4.328185512125492,greedy,1.6337639331817626,0.0,hard_fault_cluster
3,N2075,observe,1.741011619567871,2.8301633564755324,2.4451209068298336,1.741011619567871,0.7238538265228271,2.5833637763746085,2.100259172916412,0.007238538265228272,0.4032432436943054,0.03266780078411102,0.03266780078411102,0.003385799210518625,0.09323759377002716,0.1973198801279068,0.06720320880413055,103709.734375,44340.796875,59368.9375,103994.203125,44684.4765625,59309.73046875,-0.0027429319452494383,-0.007750868331640959,0.0009972729021683335,-0.27429319452494383,10.080281004309654,3.1176300651952626,9.51288978382945,2.9336403973028067,2.597084223013371,2.3113598194299265,2.8301633564755324,7.158348868601024,7.158348868601024,greedy,2.8301633564755324,0.0,hard_fault_cluster
4,N3076,control0,1.0658667087554932,1.1110293671488762,1.143357443809509,1.0658667087554932,0.5747243165969849,0.8424063715338707,0.34351487159729,0.005747243165969849,0.40442463755607605,0.03906965255737305,0.03906965255737305,1.0199832461774347,0.08237311244010925,0.18573345243930817,0.055516961961984634,103992.4765625,44678.703125,59313.7734375,103296.390625,43971.6484375,59324.73828125,0.00669361837208271,0.015825318172574043,-0.00018486168119125068,0.669361837208271,8.851105213165283,0.9237517657876014,8.390759736299515,0.9237517657876014,0.8510031312704087,0.9213997691869737,1.1110293671488762,8.269378235749901,8.269378235749901,greedy,1.1110293671488762,0.0,hard_fault_cluster
5,N2077,observe,1.347231388092041,1.4980065755546093,1.5040977120399475,1.347231388092041,0.6364719867706299,1.3410534594208001,1.3202338814735413,0.006364719867706299,0.40591102838516235,0.03626696765422821,0.03626696765422821,-0.7387672422081233,0.08603430539369583,0.18846027553081512,0.05971213057637215,103299.234375,43977.94140625,59321.29296875,103570.2890625,44292.3828125,59277.90625,-0.002623975742608309,-0.007149979937821627,0.0007313852547667921,-0.2623975742608309,9.276169493794441,1.4362727211415767,8.771615277975798,1.412298815101385,1.467962747439742,1.566026031728834,1.4980065755546093,9.76738481130451,9.76738481130451,greedy,1.4980065755546093,0.0,hard_fault_cluster
6,N6272,control0,1.0465302467346191,0.8661783441901206,0.8264379560947417,1.0465302467346191,0.5917555689811707,0.8899778589606285,0.7886874556541442,0.005917555689811707,0.40306562185287476,0.03874713182449341,0.03874713182449341,-0.30454656004905706,0.0714588314294815,0.17757727205753326,0.048292361199855804,103570.71875,44292.83203125,59277.890625,102830.4296875,43656.7265625,59173.703125,0.007147667463868856,0.014361363835632801,0.0017576114041730762,0.7147667463868856,7.776385843753815,0.9811652451753615,7.303508818149567,1.0027792900800705,0.9655762776732445,0.9723631440661848,0.8661783441901206,10.633563155494631,10.633563155494631,greedy,0.8661783441901206,0.0,hard_fault_cluster
7,N2078,observe,1.454040288925171,1.723957931995392,1.8372496366500854,1.454040288925171,0.665803074836731,1.6714627906680108,1.5964377284049986,0.00665803074836731,0.4232628345489502,0.03566984832286835,0.03566984832286835,-1.4617453995347023,0.07915049046278,0.1894952803850174,0.053831830620765686,102830.0234375,43656.3515625,59173.671875,102689.5703125,43732.5078125,58957.0625,0.0013658766401931643,-0.0017444483237341046,0.0036605701316148043,0.13658766401931643,8.6165219694376,2.0954327183961867,8.0904172770679,2.1035801964998244,1.9416707351803781,1.8197994331270457,1.723957931995392,12.357521087490023,12.357521087490023,greedy,1.723957931995392,0.0,hard_fault_cluster
8,N3861,control0,1.1720020771026611,0.9883639007806779,0.9933810412883759,1.1720020771026611,0.6478835940361023,1.0464874163269997,1.1433509826660155,0.006478835940361023,0.43134868144989014,0.03963111340999603,0.03963111340999603,-0.5091905429959298,0.07069176435470581,0.1813252717256546,0.047106314450502396,102689.6484375,43732.5625,58957.0859375,101732.5,42956.10546875,58776.3984375,0.009320788085460663,0.01775466650724411,0.0030647290404886007,0.9320788085460663,7.756691142916679,0.8754340207576752,7.241055112332106,0.9016681170463562,1.1670359641313555,1.164197118803859,0.9883639007806779,13.3458849882707,13.3458849882707,greedy,0.9883639007806779,0.0,hard_fault_cluster
9,N5343,control0,0.9707578420639038,1.1368245601654055,0.617638885974884,0.9707578420639038,0.6117064952850342,1.0396883347630501,0.3197311878204345,0.006117064952850342,0.4513191282749176,0.045080505311489105,0.045080505311489105,0.9760476911067961,0.07009123265743256,0.18801406025886536,0.04776625335216522,101731.84375,42955.3046875,58776.5390625,101418.890625,42609.00390625,58809.890625,0.0030762553215026855,0.008061885833740234,-0.0005674298736266792,0.30762553215026855,7.665910266339779,1.1738792032003404,7.173320015892386,1.205189648270607,0.9781749710440635,0.6462412176281214,1.1368245601654055,14.482709548436105,14.482709548436105,greedy,1.1368245601654055,0.0,hard_fault_cluster
10,N5215,control1,0.8257789611816406,0.9470392793416977,0.8477926254272461,0.8257789611816406,0.6144630908966064,0.9742029167711734,0.9095745563507079,0.006144630908966065,0.45151785016059875,0.046905145049095154,0.046905145049095154,0.7409546126425266,0.06750957667827606,0.18150241672992706,0.04555538296699524,101419.53125,42609.6015625,58809.92578125,101461.359375,42684.140625,58777.22265625,-0.00041242671431973577,-0.0017493489431217313,0.0005560817080549896,-0.04124267143197358,7.412325903773308,1.0093904581665993,6.916299726814032,0.9955850747227669,0.8220007546246052,0.915891067199409,0.9470392793416977,15.429748827777804,15.429748827777804,greedy,0.9470392793416977,0.0,hard_fault_cluster
