step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N14039,control1,1.0701631307601929,5.102223106473684,4.021345424652099,0.34799130655825133,3.3164450192078943,1.0701631307601929,-0.22370050847530365,1.9804437677189708,0.9837234318256378,-0.0022370050847530364,0.1455942690372467,0.1111132949590683,-0.22370050847530365,1.875184541866183,-0.022012963891029358,-0.033253833651542664,-0.023610785603523254,115693.671875,41944.0390625,73749.6328125,111738.8125,39493.3671875,72245.4453125,0.03418388590216637,0.058427177369594574,0.02039586380124092,3.4183885902166367,-2.313883602619171,0.9767045653238892,-2.2294431924819946,0.9521382278576492,2.9276224713772536,2.122429885120364,5.102223106473684,5.102223106473684,5.102223106473684,greedy,5.102223106473684,0.0,hard_fault_cluster
2,N13662,control0,1.000062346458435,5.646908399276436,5.711947345733642,0.6276806356199085,3.6704904595296832,1.000062346458435,-0.20545637607574463,3.6068869973253457,2.5728079319000243,-0.0020545637607574463,0.13289108872413635,0.06546340882778168,-0.20545637607574463,3.6703365753404795,-0.01813538372516632,-0.028173942118883133,-0.038418881595134735,111739.1875,39493.77734375,72245.40625,109990.984375,38723.15625,71267.828125,0.01564539037644863,0.019512468948960304,0.013531353324651718,1.5645390376448631,-1.953531339764595,4.40881905422546,-1.8485366143286228,4.437408064464107,3.9818230981938543,3.9411574771953752,5.646908399276436,10.74913150575012,10.74913150575012,greedy,5.646908399276436,0.0,hard_fault_cluster
3,N13644,control0,0.6188190579414368,3.730651789531112,3.8272671937942504,0.8882791379466652,2.424923663195223,0.6188190579414368,-0.18792657554149628,3.4322270596399904,2.6675164222717287,-0.0018792657554149628,0.11402806639671326,0.029168348759412766,-0.18792657554149628,3.1771007625199856,-0.027770832180976868,-0.03803132474422455,-0.06238911300897598,109990.6796875,38722.7734375,71267.90625,108844.5703125,37996.9921875,70847.578125,0.010420058853924274,0.018743008375167847,0.005897860042750835,1.0420058853924274,-2.9358414448797703,2.706955886501819,-2.8167727747932076,2.6685547596402466,2.679632630012929,3.138621073802933,3.730651789531112,14.479783295281232,14.479783295281232,greedy,3.730651789531112,0.0,hard_fault_cluster
4,N9217,observe,0.4648762345314026,2.3380769896321,2.2005571365356444,0.4042859837878495,1.519750043260865,0.4648762345314026,-0.19305725395679474,2.4282178342808036,2.3517542362213133,-0.0019305725395679474,0.05960002541542053,-0.028220709413290024,-0.19305725395679474,2.784686699924059,-0.036151573061943054,-0.06351978331804276,-0.07644807547330856,108845.0078125,37997.4453125,70847.5625,108098.0703125,37410.9765625,70687.09375,0.006862395443022251,0.015434426255524158,0.002264986280351877,0.6862395443022251,-3.83643526956439,2.7546054173819723,-3.6704767970368266,2.7471741963736713,2.2153088572900743,2.1504882647725756,2.3380769896321,16.81786028491333,16.81786028491333,greedy,2.3380769896321,0.0,hard_fault_cluster
5,N3292,observe,0.3914083242416382,2.605698367673904,1.5753084778785704,0.9908534494228662,1.6937039389880377,0.3914083242416382,-0.02987857162952423,5.5326626432128245,4.402347224950789,-0.0002987857162952423,0.17694851756095886,-0.058381278067827225,-0.058381278067827225,6.300275963293388,-0.011185616254806519,-0.025929879397153854,-0.07371252030134201,108095.828125,37407.734375,70688.09375,107683.453125,37088.859375,70594.59375,0.0038149021565914154,0.008524307049810886,0.0013227121671661735,0.38149021565914154,-1.2068214751780033,4.381507876925171,-1.1406265879049897,4.26119664054364,3.4224168054759496,2.557234059646725,2.605698367673904,19.423558652587232,19.423558652587232,greedy,2.605698367673904,0.0,hard_fault_cluster
6,N8937,observe,1.8557225465774536,6.32040484547615,4.420651435852051,1.1676202529668807,4.108263149559498,1.8557225465774536,1.0772453546524048,5.483862450718879,3.619922423362732,0.010772453546524048,0.4100598394870758,0.17307908833026886,0.17307908833026886,3.405962533354759,0.04065747559070587,0.0503881461918354,-0.057851724326610565,107685.4375,37092.0390625,70593.3984375,107557.7265625,37002.7734375,70554.953125,0.0011859629303216934,0.002406597835943103,0.0005446021095849574,0.11859629303216934,5.316072002053261,2.648086304962635,4.378328669816256,2.4486068442463873,4.5433417648077015,3.4320757112652065,6.32040484547615,25.743963498063383,25.743963498063383,greedy,6.32040484547615,0.0,hard_fault_cluster
7,N2921,observe,3.2599878311157227,3.255519994720817,2.984020137786865,0.6318368220701813,2.116087996568531,3.2599878311157227,2.0039610862731934,3.356483152136206,2.855574822425842,0.020039610862731934,0.49212342500686646,0.1562713235616684,0.1562713235616684,0.7803217881917953,0.03954663872718811,0.08027084171772003,-0.042691610753536224,107557.71875,37002.78125,70554.9375,107516.5,36947.33203125,70569.171875,0.00038322448381222785,0.0014985149027779698,-0.0002017488150158897,0.038322448381222785,6.114896282553673,5.397284464538098,4.4947219751775265,6.082038693130016,3.1689896166324614,3.0553554252535102,3.255519994720817,28.9994834927842,28.9994834927842,greedy,3.255519994720817,0.0,hard_fault_cluster
8,N3778,observe,5.140726089477539,3.6242844849824905,3.183436012268066,0.6238053676486015,2.355784915238619,5.140726089477539,3.1876533031463623,3.6638554528355596,2.93724011182785,0.03187653303146362,0.5670986175537109,0.15235333144664764,0.15235333144664764,0.803986688554287,0.06067880243062973,0.12159615755081177,-0.03602250665426254,107516.5,36946.8984375,70569.6015625,107348.3515625,36773.6484375,70574.703125,0.0015639314660802484,0.004689162131398916,-7.229121547425166e-05,0.15639314660802484,9.407886877655983,3.9223813074827194,6.9028819017112255,3.6030705469846724,3.2647836491465574,2.888635931611061,3.6242844849824905,32.62376797776669,32.62376797776669,greedy,3.6242844849824905,0.0,hard_fault_cluster
9,N13525,observe,8.602588653564453,3.8625754803419117,2.8296158730983736,0.49807257086038587,2.5106740622222428,8.602588653564453,5.024326801300049,3.2636882632970807,2.2356057226657864,0.05024326801300049,0.6299465894699097,0.14614899456501007,0.14614899456501007,0.17698584318160993,0.10730461776256561,0.19221757352352142,-0.0018327757716178894,107348.15625,36773.8671875,70574.2890625,107438.484375,36858.953125,70579.53125,-0.0008414501789957285,-0.0023137610405683517,-7.427899981848896e-05,-0.08414501789957285,15.90093757212162,4.390616176128387,12.023080725222826,5.722765538692474,3.375863969326019,2.4004941956698893,3.8625754803419117,36.4863434581086,36.4863434581086,greedy,3.8625754803419117,0.0,hard_fault_cluster
10,N13541,observe,12.27922248840332,3.3495654240250587,2.326831245422363,0.6956661401689053,2.1772175256162885,12.27922248840332,7.1742448806762695,3.4296473816037176,2.4352444887161253,0.0717424488067627,0.6847894191741943,0.19324782490730286,0.19324782490730286,1.5068481123447417,0.14825083315372467,0.22542206943035126,0.055116213858127594,107438.46875,36858.9375,70579.53125,107296.1015625,36779.7421875,70516.359375,0.0013251043856143951,0.002148605417460203,0.00089504529023543,0.13251043856143951,22.19257602095604,4.845105179548264,16.66695649176836,5.938485153913498,3.0629149496555326,2.3407472532242535,3.3495654240250587,39.83590888213366,39.83590888213366,greedy,3.3495654240250587,0.0,hard_fault_cluster
11,N13589,observe,16.8111629486084,2.652197166811675,2.0641855120658876,0.44187625763006505,1.7239281584275887,16.8111629486084,9.854186058044434,2.554360895883292,1.9916772127151487,0.09854186058044434,0.7587347030639648,0.28097066283226013,0.28097066283226013,0.5545153261721133,0.21483173966407776,0.2427869290113449,0.12273681908845901,107296.0859375,36779.7265625,70516.359375,107182.6796875,36703.8203125,70478.859375,0.0010569468140602112,0.0020638068672269583,0.0005317914765328169,0.10569468140602112,31.61833068728447,3.628576258048415,24.01696314662695,3.7781935247033833,2.403730943799019,1.90305502563715,2.652197166811675,42.48810604894533,42.48810604894533,greedy,2.652197166811675,0.0,hard_fault_cluster
