step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N677,control1,1.1168158054351807,5.195570966899395,3.487211090326309,0.6961501559615135,3.377121128484607,1.1168158054351807,0.34677964448928833,4.894374212622642,3.795842862129211,0.0034677964448928834,0.28206971287727356,0.033641040325164795,0.033641040325164795,1.5340142226219178,0.06386370211839676,0.15087544918060303,0.038793690502643585,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766790896654129,3.4942662078142166,6.481475383043289,3.2652274447679517,4.528477603197097,3.2782315398566424,5.195570966899395,5.195570966899395,5.195570966899395,greedy,5.195570966899395,0.0,hard_fault_cluster
2,N2155,observe,1.4575918912887573,4.636662480831147,3.02266663312912,0.8750435423851013,3.0138306125402456,1.4575918912887573,0.4267200827598572,4.572458404302597,3.4284608602523803,0.004267200827598572,0.328512579202652,0.025838786736130714,0.025838786736130714,1.4333604621887206,0.06906919926404953,0.15618103742599487,0.046529222279787064,30261.64453125,12861.6591796875,17399.984375,30654.43359375,13195.8447265625,17458.587890625,-0.012979766353964806,-0.025983082130551338,-0.003368021221831441,-1.2979766353964806,7.359478795900941,4.625249487757683,7.02005964377895,4.483807379603387,4.099363976716996,3.250838152617216,4.636662480831147,9.832233447730541,9.832233447730541,greedy,4.636662480831147,0.0,hard_fault_cluster
3,N502,control1,1.136641263961792,1.9932407453656196,2.2384092569351197,0.00983849912881855,1.2956064844876527,1.136641263961792,0.37319499254226685,1.660915419459343,2.2476751923561094,0.0037319499254226686,0.3409149944782257,0.019188987091183662,0.019188987091183662,-2.9936150550842284,0.05883442237973213,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.275826217606664,2.647662936449051,5.981538232881576,2.682473074197769,2.443329617381096,2.4390358786284922,1.9932407453656196,11.825474193096161,11.825474193096161,greedy,1.9932407453656196,0.0,hard_fault_cluster
4,N762,control1,0.9115521311759949,1.6590995612740516,1.5053839087486267,0.15617728739976885,1.0784147148281336,0.9115521311759949,0.32202398777008057,1.4059925124049186,1.5965489506721495,0.003220239877700806,0.3624855875968933,0.019666338339447975,0.019666338339447975,-0.7823286172747612,0.05198005586862564,0.13194745779037476,0.02993897721171379,30665.79296875,13173.8115234375,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058493930846453,0.0005887742736376822,0.25089667178690434,5.539695912972093,1.4731348806619644,5.283428168389946,1.0966199511289596,1.629747100174427,1.6955108983069658,1.6590995612740516,13.484573754370214,13.484573754370214,greedy,1.6590995612740516,0.0,hard_fault_cluster
5,N3644,control0,0.805537223815918,1.2148812113702299,2.8909492850303646,-0.17069806307554236,0.7896727873906494,0.805537223815918,0.30319929122924805,0.5936375916004181,2.2721435248851773,0.0030319929122924806,0.38020479679107666,0.01869981922209263,0.01869981922209263,-2.282556665241718,0.047893036156892776,0.12865088880062103,0.026215199381113052,30589.82421875,13108.3330078125,17481.4921875,30413.380859375,12975.103515625,17438.27734375,0.005768041126430035,0.010163725353777409,0.0024720339570194483,0.5768041126430035,5.111202726140618,0.21935050219297414,4.869778393302113,0.023333905860781722,1.4198042720556259,2.733530970588326,1.2148812113702299,14.699454965740443,14.699454965740443,greedy,1.2148812113702299,0.0,hard_fault_cluster
6,N3742,control0,0.6937358379364014,1.059236894622445,2.4386599779129026,0.1515198601037264,0.6885039815045894,0.6937358379364014,0.3078024983406067,0.9237467311322689,2.3657408773899076,0.003078024983406067,0.3990585505962372,0.021758990362286568,0.021758990362286568,-0.030763707756996217,0.04705922305583954,0.13186313211917877,0.02587750554084778,30413.5234375,12975.26171875,17438.26171875,30344.982421875,12903.083984375,17441.8984375,0.0022536362521350384,0.005562718957662582,-0.0002085482410620898,0.22536362521350384,5.035483794286847,0.9868088245391845,4.788312677759677,1.014672577381134,0.987811079621315,2.52206288293004,1.059236894622445,15.75869186036289,15.75869186036289,greedy,1.059236894622445,0.0,hard_fault_cluster
7,N557,control1,0.6533501148223877,0.9808420784771443,1.872419512271881,0.04898878708481788,0.6375473510101438,0.6533501148223877,0.24271903932094574,0.41174188084900376,1.1945412367582322,0.0024271903932094573,0.40311381220817566,0.022870978340506554,0.022870978340506554,-0.11249110236763954,0.04444229602813721,0.12833572924137115,0.023628223687410355,30349.296875,12903.6318359375,17445.6640625,30269.640625,12834.7265625,17434.9140625,0.002624648855999112,0.005339990835636854,0.0006161989294923842,0.2624648855999112,4.709819620475173,0.5703246128559113,4.510627107229084,0.6129006868600846,0.7526031479239464,1.6171015276014804,0.9808420784771443,16.739533938840033,16.739533938840033,greedy,0.9808420784771443,0.0,hard_fault_cluster
8,N5143,observe,0.36736035346984863,1.0235815370082855,1.1617720961570739,0.3519715321063995,0.6653279990553855,0.36736035346984863,0.23019300401210785,1.0885105492174625,1.834112322330475,0.0023019300401210785,0.4160754680633545,0.026418795809149742,0.026418795809149742,1.5976198072731496,0.04233310744166374,0.12953756749629974,0.021866686642169952,30263.919921875,12833.173828125,17430.74609375,30312.20703125,12845.5205078125,17466.685546875,-0.0015955339185893536,-0.0009620909113436937,-0.0020618424750864506,-0.15955339185893536,4.489922543987632,0.9711757619678973,4.297463694121689,0.9874510486423969,0.7457649409770966,1.706929026097059,1.0235815370082855,17.76311547584832,17.76311547584832,greedy,1.0235815370082855,0.0,hard_fault_cluster
9,N507,control1,0.370630145072937,0.9460951808094978,1.3104047656059263,0.01558774620294573,0.6149618675261737,0.370630145072937,0.22373278439044952,0.6818654790520667,1.088482141494751,0.0022373278439044952,0.41756126284599304,0.024767844006419182,0.024767844006419182,-0.13529571920633315,0.04092738404870033,0.12624114751815796,0.02060636505484581,30316.212890625,12842.646484375,17473.56640625,30219.009765625,12792.693359375,17426.31640625,0.0032063082326203585,0.0038896286860108376,0.002704084385186434,0.32063082326203585,4.341239033266902,0.6972985917329789,4.15486356196925,0.6781910175085069,0.9408229097723961,1.2457646266371012,0.9460951808094978,18.709210656657817,18.709210656657817,greedy,0.9460951808094978,0.0,hard_fault_cluster
10,N3756,control0,0.25668635964393616,1.1236029620468615,2.5004714727401733,0.1419070436060429,0.73034192533046,0.25668635964393616,0.21992971003055573,1.0301678001880645,2.477514588832855,0.002199297100305557,0.4230891764163971,0.02435874007642269,0.02435874007642269,-0.3357038363814354,0.04069872200489044,0.12909716367721558,0.020405486226081848,30215.29296875,12796.1953125,17419.09765625,30191.1171875,12765.6796875,17425.4375,0.0008001173846423626,0.002384742023423314,-0.0003639593778643757,0.08001173846423626,4.314160650596023,1.0289500325918197,4.130944313015789,1.0426937252283095,1.1212176248431205,2.7174748542159795,1.1236029620468615,19.832813618704677,19.832813618704677,greedy,1.1236029620468615,0.0,hard_fault_cluster
