line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_62_N3997 /1 undetected,output,,__tpi_op_62_N3997,__tpi_op_62_N3997,1,undetected,__tpi_op_62_N3997,__tpi_op_62_N3997,__tpi_op_62_N3997,sa1,1
2,N51865 /1 undetected,output,,N51865,N51865,1,undetected,N51865,N51865,N51865,sa1,1
3,N6964 /1 undetected,output,,N6964,N6964,1,undetected,N6964,N6964,N6964,sa1,1
4,N53127 /1 undetected,output,,N53127,N53127,1,undetected,N53127,N53127,N53127,sa1,1
5,test_en->__tpi_cp_66_N6008 /0 undetected,input_edge,test_en,__tpi_cp_66_N6008,__tpi_cp_66_N6008,0,undetected,__tpi_cp_66_N6008,__tpi_cp_66_N6008,__tpi_cp_66_N6008,sa0,1
6,N6008 /0 undetected,output,,N6008,N6008,0,undetected,N6008,N6008,N6008,sa0,1
7,__tpi_not_test_en->__tpi_cp_223_N6867 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_223_N6867,__tpi_cp_223_N6867,1,undetected,__tpi_cp_223_N6867,__tpi_cp_223_N6867,__tpi_cp_223_N6867,sa1,1
8,N5047 /1 undetected,output,,N5047,N5047,1,undetected,N5047,N5047,N5047,sa1,1
9,N40420 /1 undetected,output,,N40420,N40420,1,undetected,N40420,N40420,N40420,sa1,1
10,N14279 /1 undetected,output,,N14279,N14279,1,undetected,N14279,N14279,N14279,sa1,1
11,N14272 /1 undetected,output,,N14272,N14272,1,undetected,N14272,N14272,N14272,sa1,1
12,N57753 /1 undetected,output,,N57753,N57753,1,undetected,N57753,N57753,N57753,sa1,1
13,N57691 /1 undetected,output,,N57691,N57691,1,undetected,N57691,N57691,N57691,sa1,1
14,N5777 /1 undetected,output,,N5777,N5777,1,undetected,N5777,N5777,N5777,sa1,1
15,test_en->__tpi_cp_165_N18678 /0 undetected,input_edge,test_en,__tpi_cp_165_N18678,__tpi_cp_165_N18678,0,undetected,__tpi_cp_165_N18678,__tpi_cp_165_N18678,__tpi_cp_165_N18678,sa0,1
16,test_en->__tpi_cp_351_N18577 /0 undetected,input_edge,test_en,__tpi_cp_351_N18577,__tpi_cp_351_N18577,0,undetected,__tpi_cp_351_N18577,__tpi_cp_351_N18577,__tpi_cp_351_N18577,sa0,1
17,test_en->__tpi_cp_346_N18591 /0 undetected,input_edge,test_en,__tpi_cp_346_N18591,__tpi_cp_346_N18591,0,undetected,__tpi_cp_346_N18591,__tpi_cp_346_N18591,__tpi_cp_346_N18591,sa0,1
18,test_en->__tpi_cp_170_N18686 /0 undetected,input_edge,test_en,__tpi_cp_170_N18686,__tpi_cp_170_N18686,0,undetected,__tpi_cp_170_N18686,__tpi_cp_170_N18686,__tpi_cp_170_N18686,sa0,1
