step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N3693,control0,-0.3805569112300873,0.8481714743375778,1.0374540269374848,0.33792299211025234,0.5513114583194256,-0.3805569112300873,0.16775842010974884,0.7624489319324492,0.9647501349449158,0.0016775842010974885,0.23404216766357422,0.1296057105064392,0.1296057105064392,0.9671452674269677,0.07004764676094055,0.13899384438991547,0.029721446335315704,98766.9375,39794.03125,58972.90234375,101563.8046875,42034.8046875,59529.0,-0.028317848220467567,-0.0563092865049839,-0.009429714642465115,-2.8317848220467567,7.302128806710243,0.42725209400057795,7.079105708748102,0.40978711351752284,0.6135962501168251,1.0653314328193662,0.9671452674269677,0.9671452674269677,0.9671452674269677,greedy,0.9671452674269677,0.0,hard_fault_cluster
2,N1990,observe,-0.7760464549064636,0.1468559775967151,0.11839904338121413,0.030505429538898163,0.09545638543786482,-0.7760464549064636,0.08650057017803192,0.01247969711199403,-0.02315042857080698,0.0008650057017803193,0.33841922879219055,0.07639714330434799,0.07639714330434799,0.976083395644091,0.06635328382253647,0.15514354407787323,0.030176237225532532,101568.015625,42041.46875,59526.546875,103137.546875,43166.91015625,59970.6328125,-0.015453007072210312,-0.026769792661070824,-0.00746030081063509,-1.5453007072210312,6.798226095736027,0.22161099284887315,6.676052810624242,0.27619647949934006,-0.061950281821191305,-0.008465791130438438,0.976083395644091,1.9432286630710587,1.9432286630710587,greedy,0.976083395644091,0.0,hard_fault_cluster
3,N3898,control1,0.3142886161804199,2.9950324639678,2.4771556973457334,0.4887465323507785,1.94677110157907,0.3142886161804199,0.23457489907741547,2.9286017060279845,2.278812658786774,0.0023457489907741545,0.3411785066127777,0.06317152082920074,0.06317152082920074,1.4085173323750495,0.07767190039157867,0.16753526031970978,0.04172133281826973,103138.109375,43167.515625,59970.59375,103267.71875,43418.1640625,59849.5546875,-0.0012566584628075361,-0.005806413479149342,0.0020183068700134754,-0.1256658462807536,8.064936459064484,3.353310710787773,7.8416266441345215,3.415634948611259,2.8858677342534063,2.4238665288686754,1.4085173323750495,3.351745995446108,3.351745995446108,greedy,1.4085173323750495,0.0,hard_fault_cluster
4,N2092,observe,0.8513326048851013,4.888405919447541,3.871360731124878,0.8059634568914771,3.177463847640902,0.8513326048851013,0.328649640083313,4.8381800387054685,3.7923614501953127,0.00328649640083313,0.34062811732292175,0.05641143023967743,0.05641143023967743,1.3451091223955154,0.08304858952760696,0.16852600872516632,0.04811469465494156,103267.546875,43417.92578125,59849.625,103861.515625,44028.38671875,59833.1328125,-0.005751746706664562,-0.01406011264771223,0.00027556042186915874,-0.5751746706664562,8.689920023083687,4.225141243338585,8.401124220341444,4.121299628615379,4.4176899045705795,3.6748145908117293,1.3451091223955154,4.696855117841624,4.696855117841624,greedy,1.3451091223955154,0.0,hard_fault_cluster
5,N5343,control0,-0.37221288681030273,-0.28359579101204874,-0.3269155457615852,0.27778674110770224,-0.1843372641578317,-0.37221288681030273,0.11332756280899048,-0.3469809689372778,-0.649379312992096,0.0011332756280899047,0.3394753038883209,0.06518031656742096,0.06518031656742096,2.36801149867475,0.06676064431667328,0.14672993123531342,0.033108413219451904,103861.0078125,44027.796875,59833.2109375,104038.9609375,43894.2890625,60144.671875,-0.0017133776564151049,0.003032352775335312,-0.005205485969781876,-0.1713377656415105,6.854572311043739,-0.022118093445897158,6.720691401511431,-0.004327105358243044,-0.600284268707037,-0.47261430803686383,2.36801149867475,7.064866616516374,7.064866616516374,greedy,2.36801149867475,0.0,hard_fault_cluster
6,N3890,control1,0.10753856599330902,4.324022742913804,4.563079309463501,0.6181842233386124,2.8106147828939725,0.10753856599330902,0.17629645764827728,3.5930669514404148,2.6083672165870664,0.0017629645764827729,0.3404449224472046,0.058226682245731354,0.058226682245731354,1.0940012913942336,0.0722939670085907,0.15282632410526276,0.03624824434518814,104039.828125,43895.28125,60144.546875,103723.4453125,43726.4453125,59997.0,0.003040977753698826,0.0038463345263153315,0.0024532044772058725,0.3040977753698826,7.4639198407530785,3.532232824265957,7.288027485832572,3.334349528253078,3.637846279144287,3.4651532500237225,1.0940012913942336,8.158867907910608,8.158867907910608,greedy,1.0940012913942336,0.0,hard_fault_cluster
7,N3865,control0,-0.29776909947395325,1.8827432188391686,1.2752097725868226,0.6895233187079429,1.2237830922454596,-0.29776909947395325,0.14261874556541443,2.3314089515805243,1.808137834072113,0.0014261874556541444,0.33689072728157043,0.06003149598836899,0.06003149598836899,2.1087957429885864,0.062284037470817566,0.1445133239030838,0.03239227086305618,103723.375,43726.3125,59997.0625,103621.6640625,43564.953125,60056.7109375,0.0009805980371311307,0.0036902122665196657,-0.0009941892931237817,0.09805980371311307,6.43105398863554,2.4496537387371067,6.2790663074702024,2.4674400031566623,1.668834286928177,1.701448646336794,2.1087957429885864,10.267663650899195,10.267663650899195,greedy,2.1087957429885864,0.0,hard_fault_cluster
8,N2081,observe,0.5586158633232117,6.675783400330692,5.639122152328491,1.1030483802314848,4.33925921021495,0.5586158633232117,0.2539750337600708,6.525346151133999,5.948939037322997,0.002539750337600708,0.34617185592651367,0.05402234196662903,0.05402234196662903,1.8917641339544204,0.07498866319656372,0.15967637300491333,0.04224392771720886,103621.6796875,43564.875,60056.8046875,103681.890625,43794.33984375,59887.546875,-0.0005810650764033198,-0.005267198663204908,0.0028182952664792538,-0.058106507640331984,7.806863695383072,6.709882667157799,7.575865663588047,6.709882667157799,6.147813754016534,5.721159469562117,1.8917641339544204,12.159427784853616,12.159427784853616,greedy,1.8917641339544204,0.0,hard_fault_cluster
9,N3861,control0,-0.1993412971496582,1.1336225616931914,0.7355316758155822,0.384409223794937,0.7368546651005744,-0.1993412971496582,0.14201809465885162,1.284278029128909,1.0509518802165985,0.0014201809465885162,0.32233789563179016,0.05469316244125366,0.05469316244125366,1.435248224660754,0.04956849291920662,0.14056317508220673,0.031373076140880585,103681.875,43794.44140625,59887.4296875,103519.453125,43542.0234375,59977.43359375,0.0015665406826883554,0.00576369883492589,-0.0015028847847133875,0.15665406826883554,5.153560549020767,0.5834220743924379,5.006027106195688,0.5362283087521791,0.8649588339030743,0.8893911148235201,1.435248224660754,13.59467600951437,13.59467600951437,greedy,1.435248224660754,0.0,hard_fault_cluster
10,N3877,control0,-0.4220831096172333,0.6698987853294238,0.4091645777225494,0.2795280885463581,0.4354342104641255,-0.4220831096172333,0.10869905352592468,0.905355537100695,0.6744907677173614,0.0010869905352592468,0.3279721438884735,0.057944051921367645,0.057944051921367645,1.1072263678885066,0.04668709635734558,0.13700060546398163,0.02721507102251053,103519.484375,43542.0546875,59977.4296875,103257.5625,43263.46875,59994.09375,0.0025301699060946703,0.00639808876439929,-0.0002778389025479555,0.25301699060946703,4.83535274118185,0.2071479742298834,4.710370412096381,0.1939831801573746,0.5315661743516102,0.527226396590704,1.1072263678885066,14.701902377402876,14.701902377402876,greedy,1.1072263678885066,0.0,hard_fault_cluster
11,N3881,control0,-0.5479663610458374,0.6488670421391726,0.4837881922721863,0.25351914890110494,0.42176357739046216,-0.5479663610458374,0.08364143967628479,0.7915336301550269,0.5977380335330963,0.0008364143967628479,0.33385413885116577,0.06008525192737579,0.06008525192737579,0.9500848737731576,0.045801855623722076,0.1355031281709671,0.024547673761844635,103257.5625,43263.48828125,59994.0703125,103037.65625,43046.67578125,59990.984375,0.0021296865306794643,0.005011443048715591,5.1437375077512115e-05,0.21296865306794643,4.723912253975868,0.3630635956302285,4.616117235273123,0.3743010828271508,0.5130173455923797,0.5758767510391772,0.9500848737731576,15.651987251176033,15.651987251176033,greedy,0.9500848737731576,0.0,hard_fault_cluster
12,N3894,control1,-0.07645899057388306,4.663736566901207,4.920195245742797,0.6124496379494667,3.031428768485785,-0.07645899057388306,0.1294652372598648,3.8833863496780396,3.2051962614059444,0.001294652372598648,0.34733977913856506,0.056733742356300354,0.056733742356300354,1.2504603612422942,0.0543200857937336,0.14788861572742462,0.029583878815174103,103037.75,43046.8125,59990.9375,102651.9765625,42884.2890625,59767.6875,0.0037440010346472263,0.0037755046505481005,0.003721395507454872,0.37440010346472263,5.618207558989525,5.233651023805141,5.478558324277401,5.3712500628829,4.205361244082451,4.087325996533036,1.2504603612422942,16.902447612418328,16.902447612418328,greedy,1.2504603612422942,0.0,hard_fault_cluster
