[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_dual_lr5e5/epoch_006/alpha_0p10_decay_64
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 budgets=iscas99__b15_1:278
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.256831 sequence=8.114896
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.307003
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.753097
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.898962 sequence=12.652059
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.141123
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.052063
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.150004
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.366102 sequence=17.516106
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.073830
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.399407
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.850000
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.105322
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.503991
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.104367
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.948102 sequence=29.052469
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.797511
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.190086
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.188644
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.345340
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.045094
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.332301 sequence=41.377395
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.945680 sequence=43.323075
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.820171 sequence=45.143246
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.864003
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.805588 sequence=48.669591
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.807281 sequence=49.476873
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.856120 sequence=50.332992
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985744 sequence=53.318736
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.643399
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.115513
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807891 sequence=57.923404
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.669577
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.647865
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831771 sequence=61.479636
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.614031
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615070 sequence=65.229102
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.941387
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.771132
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.371903
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.868859
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.327663
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=73.012125
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738027 sequence=78.750153
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.812946
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.749956
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.889993
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.498116 sequence=86.388109
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295819 sequence=87.683928
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395245 sequence=89.079173
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943222 sequence=90.022395
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944241 sequence=90.966636
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.964086 sequence=91.930722
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916483 sequence=92.847205
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940914 sequence=93.788119
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953488 sequence=94.741608
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.699111
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_reliable_context=0.959511 sequence=96.658622
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.902132 sequence=97.560755
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004439 sequence=98.565193
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=1.114180 sequence=99.679373
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065801 sequence=100.745174
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725392 sequence=102.470566
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.369278
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917928 sequence=104.287206
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024028 sequence=105.311234
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.029667 sequence=106.340902
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967599 sequence=107.308501
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.853638 sequence=108.162139
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406626 sequence=109.568765
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.791076 sequence=110.359841
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245284 sequence=111.605125
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756676 sequence=112.361801
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391537 sequence=113.753338
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758380 sequence=114.511718
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557464 sequence=116.069182
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.770160 sequence=116.839342
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843700 sequence=117.683042
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272582 sequence=118.955624
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117102 sequence=120.072726
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813394 sequence=120.886120
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269409 sequence=122.155529
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752138 sequence=122.907667
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527494 sequence=124.435161
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320239 sequence=125.755400
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515749 sequence=127.271149
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689438 sequence=128.960587
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671019 sequence=130.631606
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992342 sequence=131.623948
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991923 sequence=132.615871
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112731 sequence=133.728603
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311989 sequence=135.040592
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=93 node=N3785 type=control0 q_typed_reliable_context=1.010800 sequence=136.051391
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=94 node=N3827 type=control0 q_typed_reliable_context=2.631303 sequence=138.682695
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386739 sequence=144.069434
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=96 node=N3820 type=control0 q_typed_reliable_context=1.424080 sequence=145.493513
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217618 sequence=146.711131
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466191 sequence=148.177322
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.527273 sequence=149.704595
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386282 sequence=151.090877
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331841 sequence=152.422718
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462480 sequence=153.885198
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321318 sequence=155.206517
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.783298 sequence=156.989814
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444218 sequence=158.434032
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=106 node=N3799 type=control0 q_typed_reliable_context=1.443681 sequence=159.877713
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350894 sequence=161.228607
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=108 node=N3792 type=control0 q_typed_reliable_context=1.323319 sequence=162.551926
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224016 sequence=163.775941
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716818 sequence=165.492759
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312546 sequence=166.805305
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.660053 sequence=168.465358
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336572 sequence=169.801929
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392744 sequence=172.194673
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972797 sequence=174.167471
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152274 sequence=176.319744
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926533 sequence=179.246277
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978783 sequence=182.225060
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026080 sequence=185.251140
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353161 sequence=187.604301
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391950 sequence=189.996251
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535725 sequence=192.531976
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362523 sequence=194.894500
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516259 sequence=196.410759
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650564 sequence=198.061323
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932197 sequence=199.993520
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.280639 sequence=201.274159
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544327 sequence=202.818486
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965593 sequence=204.784079
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771891 sequence=207.555969
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783625 sequence=211.339594
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.607083 sequence=215.946677
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088060 sequence=219.034737
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671795 sequence=220.706532
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528722 sequence=223.235254
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.319628 sequence=225.554882
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436147 sequence=226.991030
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004580 sequence=227.995610
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.548255 sequence=229.543865
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.639728 sequence=233.183592
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.788596 sequence=238.972188
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763968 sequence=244.736156
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120802 sequence=247.856958
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.670873 sequence=250.527831
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=145 node=N7679 type=observe q_typed_reliable_context=1.379887 sequence=251.907718
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_reliable_context=2.827096 sequence=254.734813
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.849318 sequence=255.584132
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333429 sequence=257.917561
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=149 node=N725 type=observe q_typed_reliable_context=2.700030 sequence=260.617590
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_reliable_context=2.854035 sequence=263.471626
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=151 node=N6948 type=observe q_typed_reliable_context=2.923660 sequence=266.395286
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=152 node=N3467 type=control1 q_typed_reliable_context=1.712943 sequence=268.108229
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=153 node=N5617 type=observe q_typed_reliable_context=4.153623 sequence=272.261852
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=154 node=N2580 type=control1 q_typed_reliable_context=1.735247 sequence=273.997099
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=2.214925 sequence=276.212024
