[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_within_lr2e4/epoch_008/alpha_0p10_decay_64
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 budgets=iscas99__b15_1:278
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.255914 sequence=8.113978
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.306085
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.752179
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.893969 sequence=12.646148
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.135212
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.046152
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.144093
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.369568 sequence=17.513662
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.071385
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.396962
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.847556
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.102877
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.501546
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.101923
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.946717 sequence=29.048639
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.793681
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.186257
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.184814
