[b15-round2/typed_balanced/alpha_0p20] [gmean] 2026-07-20T18:54:08 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_balanced/alpha_0p20
[b15-round2/typed_balanced/alpha_0p20] [gmean] 2026-07-20T18:54:08 budgets=iscas99__b15_1:278
[b15-round2/typed_balanced/alpha_0p20] [gmean] 2026-07-20T18:54:08 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_balanced/alpha_0p20] [gmean] 2026-07-20T18:54:08 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.250716 sequence=5.250716
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.836675 sequence=10.087391
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.143793 sequence=12.231183
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.800463 sequence=14.031647
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.255816 sequence=15.287462
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.320422 sequence=16.607884
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.019479 sequence=17.627363
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.091085 sequence=18.718448
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.236370 sequence=19.954818
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.155229 sequence=21.110047
[b15-round2/typed_balanced/alpha_0p20] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.499939 sequence=23.609986
