[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 budgets=iscas99__b15_1:278
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.204712 sequence=5.204712
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.941387
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.050227 sequence=11.991615
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.781629 sequence=13.773244
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.192686 sequence=14.965930
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.335392 sequence=16.301321
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.992737 sequence=17.294059
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.070348 sequence=18.364407
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.169766 sequence=19.534173
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.156245 sequence=20.690418
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.501455 sequence=23.191874
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.245822 sequence=24.437696
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=13 node=N5203 type=control1 q_typed_residual_context=1.267720 sequence=25.705416
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=14 node=N2083 type=observe q_typed_residual_context=1.473692 sequence=27.179108
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=15 node=N3605 type=observe q_typed_residual_context=2.701379 sequence=29.880487
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.641910 sequence=32.522398
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=2.458452 sequence=34.980850
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=18 node=N737 type=control1 q_typed_residual_context=3.722737 sequence=38.703587
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=2.643027 sequence=41.346614
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.855314 sequence=47.201928
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=21 node=N496 type=control1 q_typed_residual_context=3.222474 sequence=50.424402
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=22 node=N7516 type=observe q_typed_residual_context=2.713072 sequence=53.137474
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=5.772685 sequence=58.910160
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=24 node=N580 type=control1 q_typed_residual_context=2.126046 sequence=61.036206
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=25 node=N5234 type=observe q_typed_residual_context=1.118681 sequence=62.154887
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=26 node=N7511 type=control1 q_typed_residual_context=4.226873 sequence=66.381759
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=6.904290 sequence=73.286050
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=3.994315 sequence=77.280365
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=29 node=N1372 type=observe q_typed_residual_context=1.996111 sequence=79.276476
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=4.325036 sequence=83.601512
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=31 node=N2044 type=observe q_typed_residual_context=1.195282 sequence=84.796794
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=6.215618 sequence=91.012412
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=3.240990 sequence=94.253402
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=34 node=N2040 type=observe q_typed_residual_context=4.466836 sequence=98.720238
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=4.278065 sequence=102.998303
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=36 node=N7891 type=control1 q_typed_residual_context=3.320000 sequence=106.318303
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=37 node=N4557 type=control0 q_typed_residual_context=0.843517 sequence=107.161820
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=4.762844 sequence=111.924664
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=39 node=N7587 type=control1 q_typed_residual_context=1.139725 sequence=113.064389
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.209444 sequence=118.273833
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=1.987887 sequence=120.261720
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=1.894594 sequence=122.156315
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=43 node=N3903 type=control0 q_typed_residual_context=0.996254 sequence=123.152569
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=44 node=N4656 type=control0 q_typed_residual_context=2.610305 sequence=125.762875
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=45 node=N713 type=observe q_typed_residual_context=1.975152 sequence=127.738027
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_residual_context=2.428092 sequence=130.166118
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=47 node=N724 type=observe q_typed_residual_context=2.544411 sequence=132.710529
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=1.746543 sequence=134.457072
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=49 node=N7886 type=control1 q_typed_residual_context=1.190035 sequence=135.647107
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=50 node=N3896 type=control0 q_typed_residual_context=1.067935 sequence=136.715042
