[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_rank/alpha_0p20
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 budgets=iscas99__b15_1:278
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.355413 sequence=5.355413
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.836675 sequence=10.192088
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.193262 sequence=12.385350
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.919893 sequence=14.305243
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.246552 sequence=15.551794
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.328313 sequence=16.880107
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.995215 sequence=17.875322
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.262300 sequence=19.137622
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.249847 sequence=20.387468
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.535097 sequence=21.922565
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.220474 sequence=23.143039
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.038203 sequence=24.181242
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.169882 sequence=28.351123
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.635116 sequence=30.986239
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.447461 sequence=34.433700
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.419867 sequence=36.853567
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.306151 sequence=42.159718
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.429426 sequence=48.589145
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=7.013710 sequence=55.602854
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.326548 sequence=60.929402
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.904297 sequence=66.833699
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.854920 sequence=73.688619
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.245083 sequence=79.933702
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.371496 sequence=82.305198
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.254108 sequence=88.559306
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.651322 sequence=96.210627
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=8.106380 sequence=104.317007
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=3.026384 sequence=107.343391
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_residual_context=4.001072 sequence=111.344463
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=5.814954 sequence=117.159417
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=5.714095 sequence=122.873512
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_residual_context=4.812716 sequence=127.686229
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=33 node=N7891 type=control1 q_typed_residual_context=4.208399 sequence=131.894628
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=34 node=N2042 type=observe q_typed_residual_context=7.910000 sequence=139.804628
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=35 node=N5234 type=observe q_typed_residual_context=3.329130 sequence=143.133758
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=36 node=N2044 type=observe q_typed_residual_context=1.136906 sequence=144.270665
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=37 node=N3799 type=control0 q_typed_residual_context=0.894599 sequence=145.165264
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=5.977489 sequence=151.142753
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=39 node=N3855 type=control0 q_typed_residual_context=0.836516 sequence=151.979269
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=40 node=N2040 type=observe q_typed_residual_context=0.967539 sequence=152.946808
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=41 node=N7881 type=control1 q_typed_residual_context=3.125363 sequence=156.072170
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=1.911187 sequence=157.983358
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=43 node=N7883 type=control1 q_typed_residual_context=1.442526 sequence=159.425883
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=44 node=N3756 type=control0 q_typed_residual_context=1.093945 sequence=160.519828
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=45 node=N3903 type=control0 q_typed_residual_context=1.088556 sequence=161.608384
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=46 node=N4656 type=control0 q_typed_residual_context=2.043700 sequence=163.652084
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=47 node=N4663 type=control0 q_typed_residual_context=2.180014 sequence=165.832098
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=48 node=N713 type=observe q_typed_residual_context=2.024734 sequence=167.856831
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=49 node=N724 type=observe q_typed_residual_context=2.141265 sequence=169.998096
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=50 node=N4670 type=control0 q_typed_residual_context=2.148450 sequence=172.146546
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=51 node=N3701 type=control0 q_typed_residual_context=1.006818 sequence=173.153364
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=52 node=N704 type=observe q_typed_residual_context=1.499998 sequence=174.653362
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=53 node=N4677 type=control0 q_typed_residual_context=1.869282 sequence=176.522644
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=54 node=N7886 type=control1 q_typed_residual_context=1.091462 sequence=177.614106
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=55 node=N3911 type=control0 q_typed_residual_context=1.174338 sequence=178.788444
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.502507 sequence=180.290951
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=57 node=N3896 type=control0 q_typed_residual_context=1.224616 sequence=181.515567
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.522838 sequence=183.038405
