step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,candidate_prior_score,candidate_prior_correction,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,new_n11212_,control0,2.2285168170928955,3.1074996480345725,3.759858107566833,0.3739795061945915,2.0198747712224723,3.2074996480345725,3.1074996480345725,3.1074996480345725,0.9758599996566772,1.1385329961776733,1.0,0.1,3,3,1,0.0,1.0,2,2,1,0.0,2.2285168170928955,2.309760332107544,2.9124428808689116,3.8597312211990356,0.02309760332107544,0.05083043873310089,0.07256752997636795,1.8032656908035278,2.5914156436920166,0.017841115593910217,0.15172240138053894,-0.1160401701927185,0.07256752997636795,-0.6008438605070113,0.028461236506700516,0.021431252360343933,0.021945323795080185,482.03729248046875,174.17120361328125,307.8660888671875,495.862060546875,190.70074462890625,305.16131591796875,-0.028679871931672096,-0.09490398317575455,0.008785550482571125,-2.8679871931672096,5.2284515127539635,2.2556393325328825,3.4417056161910295,2.1677665174007417,2.815635040402413,3.6046127840876583,3.1074996480345725,3.1074996480345725,3.1074996480345725,greedy,3.1074996480345725,0.0,hard_fault_cluster,0.2969233945901301,False
2,__buf_split_7391,observe,2.245049476623535,2.189679112583399,2.3074848651885986,0.3324577791988849,1.4232914231792093,2.2272719881731824,2.189679112583399,2.189679112583399,0.35369330089918544,-0.2688333988189697,0.38184877239506915,0.09844964370054085,3,2,1,0.0,0.32331685919950426,2,1,1,0.0,2.245049476623535,2.5197908878326416,1.9703845217823983,1.9636207938194274,0.025197908878326417,0.04849579185247421,0.07626847922801971,0.917730450630188,1.877202033996582,0.310829758644104,0.2288564145565033,0.3928031027317047,0.07626847922801971,0.6893617445230483,0.02885260060429573,0.015493735671043396,0.02240847423672676,495.833740234375,191.497802734375,304.3359375,516.0634765625,205.20791625976562,310.8555908203125,-0.04079943522810936,-0.07159410417079926,-0.021422555670142174,-4.079943522810936,5.481319427490234,1.5753236234188082,3.5342749021947384,1.5280441105365754,1.6784582734107971,1.922289865911007,2.189679112583399,5.297178760617971,5.297178760617971,greedy,2.189679112583399,0.0,hard_fault_cluster,0.08835189730035868,False
3,new_n9485_,control0,2.0229082107543945,1.8256392373889685,2.187282538414001,0.3845332967489957,1.1866655043028296,1.7939867654694746,1.8256392373889685,1.8256392373889685,0.2572808811386561,-0.7060077786445618,-0.326572292339883,0.09692332344763442,1,3,0,0.0,-0.10961928782605872,1,2,0,0.0,2.0229082107543945,2.7182886600494385,2.293878161162138,2.8281614542007443,0.027182886600494383,0.006086759269237518,0.08446121960878372,0.7676163911819458,2.191258668899536,0.07324382662773132,0.06672662496566772,0.07976102828979492,0.08446121960878372,0.8016793748736382,0.024625055491924286,-0.00918964296579361,0.017509371042251587,515.7314453125,205.2847900390625,310.4466247558594,524.22021484375,210.36785888671875,313.8523864746094,-0.016459669917821884,-0.024761058390140533,-0.0109705226495862,-1.6459669917821884,5.265255428850651,1.2806155109405517,3.163193019106984,1.1364844346046448,1.3796984061598776,1.8378363164514302,1.8256392373889685,7.12281799800694,7.12281799800694,greedy,1.8256392373889685,0.0,hard_fault_cluster,0.04327196811539191,False
4,__buf_split_7396,observe,1.854818344116211,3.8343716400861743,2.369659495353699,0.957093613743782,2.4923415660560133,3.8149632818109507,3.8343716400861743,3.8343716400861743,0.1983080804347992,-1.1139646768569946,-0.20339784836349237,0.09542066659691884,3,2,1,0.0,-0.3734583209921882,2,1,1,0.0,1.854818344116211,2.5428626537323,2.3760311728715893,1.4058941483497618,0.025428626537322998,-0.0019837766885757446,0.0749550610780716,0.8477551341056824,1.7726575136184692,0.3350362330675125,0.33046263456344604,0.339609831571579,0.0749550610780716,5.749057341814042,0.025237232446670532,-0.0012875981628894806,0.019904326647520065,524.66796875,210.48193359375,314.18603515625,529.082763671875,213.98959350585938,315.0931396484375,-0.008414454758167267,-0.0166648980230093,-0.0028871572576463223,-0.8414454758167267,5.141540959477425,4.33798030614853,3.178177673369646,3.803584036231041,1.7537940084934234,1.6653141207247972,3.8343716400861743,10.957189638093114,10.957189638093114,greedy,3.8343716400861743,0.0,hard_fault_cluster,0.060475161987041025,False
5,new_n10155_,control1,1.7106188535690308,2.9543125981092455,2.390803241729736,0.7903671008348464,1.9203031887710096,2.9543125981092455,2.9543125981092455,2.9543125981092455,0.3328322929179535,1.059694766998291,0.0,0.09394130628134759,3,2,1,0.0,0.8620991192778167,2,1,1,0.0,1.7106188535690308,2.622468948364258,3.2310661673545833,2.9819495677948,0.02622468948364258,-0.03987237811088562,0.014302210882306099,1.3805508613586426,2.055598735809326,-0.10184278339147568,-0.12300731241703033,-0.08067825436592102,0.014302210882306099,3.212734095454216,0.022078752517700195,-0.02093798667192459,0.01740758866071701,526.4384155273438,212.0517120361328,314.38671875,528.882080078125,213.1990966796875,315.6829833984375,-0.004641881212592125,-0.005410871934145689,-0.004123153164982796,-0.4641881212592125,4.844646411016583,2.648943543434143,2.8670680415816605,2.6337178230285643,2.003686618804932,2.2513551524281503,2.9543125981092455,13.91150223620236,13.91150223620236,greedy,2.9543125981092455,0.0,hard_fault_cluster,0.03257178141401672,False
6,new_n11264_,control0,1.6351133584976196,2.0553707563877106,3.212699055671692,0.1521185266971588,1.3359909916520119,2.0651464087348117,2.0553707563877106,2.0553707563877106,0.1844950169324875,-0.5188746452331543,0.10570000423210464,0.09248488132162049,3,3,1,0.0,0.3608110113565858,2,2,1,0.0,1.6351133584976196,2.539119005203247,1.160589201003313,2.532792556285858,0.02539119005203247,-0.006136447191238403,-0.023439249023795128,0.875495433807373,1.825387954711914,0.09976924955844879,0.19405265152454376,0.005485847592353821,-0.023439249023795128,0.8355931402742862,-0.0011240914463996887,-0.0544007383286953,0.004209920763969421,531.7235107421875,215.300048828125,316.4234619140625,531.6853637695312,216.26617431640625,315.419189453125,7.174212078098208e-05,-0.004487344529479742,0.003173824166879058,0.007174212078098208,2.403270611539483,-0.24838649399578575,0.5165107944048941,-0.29364883072674275,1.0097957976162433,1.706367268450558,2.0553707563877106,15.96687299259007,15.96687299259007,greedy,2.0553707563877106,0.0,hard_fault_cluster,0.010197144799456161,False
7,__buf_split_7404,observe,1.7213003635406494,3.4563371638953684,3.57245934009552,0.14758588060736658,2.2466191565319895,3.4794245117425793,3.4563371638953684,3.4563371638953684,0.19706973433494568,-0.24100685119628906,0.25356491069709525,0.09105103613800342,3,2,1,0.0,0.17756222410531497,2,1,1,0.0,1.7213003635406494,2.641005516052246,1.2552243342995641,1.4318231999874114,0.02641005516052246,-0.11463725566864014,-0.012801168486475945,0.650206446647644,1.3866976499557495,0.3905147463083267,0.3740837574005127,0.40694573521614075,-0.012801168486475945,0.6166031178832054,0.020424671471118927,-0.024462006986141205,0.018745914101600647,532.1904296875,216.21734619140625,315.9730529785156,530.3201904296875,215.494140625,314.8260498046875,0.0035142293199896812,0.0033448082394897938,0.0036300665233284235,0.3514229319989681,4.670671494677663,1.7742114481329918,2.6995182340033352,1.7271000561118126,1.8443493694067001,2.0864468119083903,3.4563371638953684,19.42321015648544,19.42321015648544,greedy,3.4563371638953684,0.0,hard_fault_cluster,0.11981082501313714,False
8,new_n13587_,control0,1.6344350576400757,1.2205654057115316,2.7736363530158994,-0.02841160222887991,0.7933675137124956,1.1871419475941616,1.2205654057115316,1.2205654057115316,0.20769576728343964,0.0,-0.3728656195005278,0.08963942066351505,3,3,1,0.0,-0.40501770974484397,2,2,1,0.0,1.6344350576400757,2.7042548656463623,0.6119347114115954,2.282586061954498,0.027042548656463623,-0.10595092177391052,-0.021939577534794807,0.30438414216041565,1.32444429397583,0.030553624033927917,0.08319245278835297,-0.02208520472049713,-0.021939577534794807,-0.5034768120199442,0.008179020136594772,-0.04363536462187767,0.00954752042889595,530.0744018554688,215.64247131347656,314.4319152832031,529.2323608398438,214.97547912597656,314.25689697265625,0.0015885336324572563,0.0030930463690310717,0.000556617509573698,0.15885336324572563,3.5002173017710447,0.4062938086688519,1.488480835687369,0.3145825646817685,0.731352024897933,2.100514421593398,1.2205654057115316,20.64377556219697,20.64377556219697,greedy,1.2205654057115316,0.0,hard_fault_cluster,0.019361084220716376,False
9,new_n11258_,observe,1.7740576267242432,3.5134244716167453,4.984290361404418,-1.7150686621665951,2.2837259065508846,3.601674161875205,3.5134244716167453,3.5134244716167453,0.06108608744865343,-3.401981830596924,1.0,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.7740576267242432,2.5288426876068115,-1.764573473930359,-0.6324666500091551,0.025288426876068117,0.1311860978603363,-0.04603573679924011,0.9358882904052734,2.175708293914795,0.30392514169216156,0.2916375398635864,0.3162127435207367,-0.04603573679924011,-5.832444598674774,0.0036691278219223022,-0.049562543630599976,0.008111320436000824,529.4033813476562,215.09796142578125,314.305419921875,528.723388671875,214.74319458007812,313.98016357421875,0.0012844509910792112,0.0016493268776685,0.0010348416399210691,0.12844509910792112,2.8497197329998016,-4.6124025201797485,0.9876145198941231,-4.508288941383362,0.8245829582214359,1.0126458609849216,3.5134244716167453,24.157200033813716,24.157200033813716,greedy,3.5134244716167453,0.0,hard_fault_cluster,0.08951911220715165,False
10,new_n11163_,control1,1.5096802711486816,1.9684320248663423,1.6061653733253478,0.28722677901387217,1.2794808161631226,1.949582656989804,1.9684320248663423,1.9684320289083739,0.20094519608355618,0.3694647252559662,-0.21695489437784043,0.08688150562628433,2,2,0,0.0,-0.05552140873554958,2,1,1,4.6523499178108274e-08,1.5096802711486816,2.8097310066223145,1.5749581351876258,1.476572048664093,0.028097310066223145,0.01767618954181671,0.0009010452777147293,0.6734834909439087,1.5848028659820557,0.05222923681139946,0.002842150628566742,0.10161632299423218,0.0009010452777147293,0.865644981265068,-0.0015838146209716797,-0.07332254946231842,0.0037608109414577484,528.372802734375,214.619140625,313.7536315917969,525.4808959960938,213.6258544921875,311.85504150390625,0.005473231431096792,0.004628133960068226,0.006051213014870882,0.5473231431096792,2.652250589802861,0.6722857367992401,0.5442765508778393,0.5323944699764251,1.3771194368600845,1.2944409132003782,1.9684320289083739,26.12563206272209,26.12563206272209,greedy,1.9684320289083739,0.0,hard_fault_cluster,0.0,True
