node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_25___aig_not_13357,2,0,1,0,1
__aig_and_13356,1,1,0,0,0
__aig_and_13360,1,1,0,0,0
__aig_and_13362,1,0,1,0,0
__aig_and_13364,1,1,0,0,0
__aig_not_13357,1,0,1,0,0
__aig_not_13361,1,0,1,0,0
__aig_not_13365,1,0,1,0,0
__buf_split_7258,1,0,1,0,0
__buf_split_7259,1,0,1,0,0
__buf_split_7260,1,0,1,0,0
__buf_split_7261,1,0,1,0,0
__buf_split_7262,1,0,1,0,0
__tpi_cp_0_new_n6932,1,0,0,0,1
__tpi_cp_100___aig_not_1361,1,0,0,0,1
__tpi_cp_101___aig_not_13373,1,0,0,0,1
__tpi_cp_102___aig_not_1334,1,0,0,0,1
__tpi_cp_103___aig_not_1370,1,0,0,0,1
__tpi_cp_106_new_n971,1,0,0,1,0
__tpi_cp_107___aig_not_1415,1,0,0,0,1
__tpi_cp_108_new_n1011,1,0,0,1,0
__tpi_cp_10___aig_and_1405,1,0,0,1,0
__tpi_cp_110___aig_not_1413,1,0,0,0,1
__tpi_cp_111_new_n1003,1,0,0,1,0
__tpi_cp_112___buf_split_950,1,0,0,0,1
__tpi_cp_113_new_n957,1,0,0,1,0
__tpi_cp_114___buf_split_929,1,0,0,0,1
__tpi_cp_115___aig_not_1287,1,0,0,0,1
__tpi_cp_116___aig_not_13405,1,0,0,0,1
__tpi_cp_117___aig_not_13401,1,0,0,0,1
__tpi_cp_118___aig_not_13403,1,0,0,0,1
__tpi_cp_119___aig_not_1278,1,0,0,0,1
__tpi_cp_11___aig_and_1333,1,0,0,1,0
__tpi_cp_120___aig_not_1296,1,0,0,0,1
__tpi_cp_123___aig_not_13399,1,0,0,0,1
__tpi_cp_124___aig_not_13409,1,0,0,0,1
__tpi_cp_125___aig_not_13415,1,0,0,0,1
__tpi_cp_126___aig_not_13411,1,0,0,0,1
__tpi_cp_127___aig_not_1260,1,0,0,0,1
__tpi_cp_128___aig_not_1377,1,0,0,0,1
__tpi_cp_129___buf_split_941,1,0,0,0,1
__tpi_cp_12___aig_and_1387,1,0,0,1,0
__tpi_cp_130___buf_split_1021,1,0,0,0,1
__tpi_cp_131___buf_split_970,1,0,0,0,1
__tpi_cp_132___buf_split_1009,1,0,0,0,1
__tpi_cp_133___buf_split_980,1,0,0,0,1
__tpi_cp_134___buf_split_967,1,0,0,0,1
__tpi_cp_135___buf_split_993,1,0,0,0,1
__tpi_cp_136___aig_not_1359,1,0,0,0,1
__tpi_cp_137___buf_split_1008,1,0,0,0,1
__tpi_cp_138___aig_not_1332,1,0,0,0,1
__tpi_cp_140___aig_not_1368,1,0,0,0,1
__tpi_cp_141___aig_not_1386,1,0,0,0,1
__tpi_cp_142___aig_and_13400,1,0,0,1,0
__tpi_cp_143___aig_and_13404,1,0,0,1,0
__tpi_cp_144___aig_and_13356,1,0,0,1,0
__tpi_cp_145___aig_and_13360,1,0,0,1,0
__tpi_cp_146___aig_and_13364,1,0,0,1,0
__tpi_cp_147_new_n1007,1,0,0,1,0
__tpi_cp_14___aig_and_1369,1,0,0,1,0
__tpi_cp_156_new_n994,1,0,0,1,0
__tpi_cp_157___buf_split_1022,1,0,0,0,1
__tpi_cp_158___aig_and_1291,1,0,0,1,0
__tpi_cp_159_new_n959,1,0,0,1,0
__tpi_cp_160___aig_and_1327,1,0,0,1,0
__tpi_cp_161___buf_split_962,1,0,0,0,1
__tpi_cp_162___aig_and_1309,1,0,0,1,0
__tpi_cp_163___aig_not_1398,1,0,0,1,0
__tpi_cp_16___aig_not_13341,1,0,0,0,1
__tpi_cp_17___aig_not_1416,1,0,0,0,1
__tpi_cp_18___aig_not_1362,1,0,0,0,1
__tpi_cp_19___aig_not_1380,1,0,0,0,1
__tpi_cp_1___aig_and_1261,1,0,0,1,0
__tpi_cp_21___aig_not_1247,1,0,0,0,1
__tpi_cp_22___buf_split_989,1,0,0,0,1
__tpi_cp_23___aig_not_1254,1,0,0,0,1
__tpi_cp_26___aig_not_1406,1,0,0,0,1
__tpi_cp_27___aig_not_1352,1,0,0,0,1
__tpi_cp_28___aig_not_1388,1,0,0,0,1
__tpi_cp_29___aig_not_1316,1,0,0,0,1
__tpi_cp_30___aig_not_1305,1,0,0,0,1
__tpi_cp_31___aig_not_1343,1,0,0,0,1
__tpi_cp_32___buf_split_915,1,0,0,0,1
__tpi_cp_33___buf_split_928,1,0,0,0,1
__tpi_cp_34___buf_split_954,1,0,0,0,1
__tpi_cp_35___buf_split_7247,1,0,0,0,1
__tpi_cp_36___buf_split_963,1,0,0,0,1
__tpi_cp_37___aig_not_13413,1,0,0,0,1
__tpi_cp_38___buf_split_937,1,0,0,0,1
__tpi_cp_39___buf_split_924,1,0,0,0,1
__tpi_cp_41___buf_split_943,1,0,0,0,1
__tpi_cp_43___buf_split_930,1,0,0,0,1
__tpi_cp_44___buf_split_944,1,0,0,0,1
__tpi_cp_45___buf_split_931,1,0,0,0,1
__tpi_cp_47___buf_split_956,1,0,0,0,1
__tpi_cp_49___buf_split_957,1,0,0,0,1
__tpi_cp_4___aig_and_1315,1,0,0,1,0
__tpi_cp_50___aig_and_13410,1,0,0,1,0
__tpi_cp_51___aig_not_13407,1,0,0,0,1
__tpi_cp_52___aig_and_13338,1,0,0,0,1
__tpi_cp_53___aig_and_13362,1,0,0,0,1
__tpi_cp_54___buf_split_7263,1,0,0,0,1
__tpi_cp_55___buf_split_7265,1,0,0,0,1
__tpi_cp_57___aig_and_1293,1,0,0,0,1
__tpi_cp_60___buf_split_913,1,0,0,0,1
__tpi_cp_61___buf_split_939,1,0,0,0,1
__tpi_cp_62___buf_split_926,1,0,0,0,1
__tpi_cp_63___buf_split_965,1,0,0,0,1
__tpi_cp_65___aig_not_1256,1,0,0,0,1
__tpi_cp_67___buf_split_1003,1,0,0,0,1
__tpi_cp_69___buf_split_1016,1,0,0,0,1
__tpi_cp_70___buf_split_968,1,0,0,0,1
__tpi_cp_71___buf_split_981,1,0,0,0,1
__tpi_cp_72___buf_split_1007,1,0,0,0,1
__tpi_cp_73___buf_split_1020,1,0,0,0,1
__tpi_cp_74___buf_split_994,1,0,0,0,1
__tpi_cp_75___aig_not_1418,1,0,0,0,1
__tpi_cp_76___aig_not_1364,1,0,0,0,1
__tpi_cp_77___aig_not_1346,1,0,0,0,1
__tpi_cp_78___buf_split_936,1,0,0,0,1
__tpi_cp_81___buf_split_949,1,0,0,0,1
__tpi_cp_82___buf_split_975,1,0,0,0,1
__tpi_cp_85___aig_not_13353,1,0,0,0,1
__tpi_cp_87___aig_not_1317,1,0,0,0,1
__tpi_cp_88___buf_split_923,1,0,0,0,1
__tpi_cp_89___aig_not_1335,1,0,0,0,1
__tpi_cp_90___aig_not_1407,1,0,0,0,1
__tpi_cp_91___buf_split_1013,1,0,0,0,1
__tpi_cp_92___aig_not_1353,1,0,0,0,1
__tpi_cp_93___aig_not_1371,1,0,0,0,1
__tpi_cp_94___aig_not_1379,1,0,0,0,1
__tpi_cp_95___aig_not_1389,1,0,0,0,1
__tpi_cp_96___aig_not_1344,1,0,0,0,1
__tpi_cp_97___buf_split_900,1,0,0,0,1
__tpi_cp_98___aig_not_1253,1,0,0,0,1
__tpi_cp_99___buf_split_942,1,0,0,0,1
__tpi_cp_9___aig_and_1351,1,0,0,1,0
