line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__aig_and_153 /0 undetected,output,,__aig_and_153,__aig_and_153,0,undetected,__aig_and_153,__aig_and_153,__aig_and_153,sa0,1
2,__tpi_not_test_en->__tpi_cp_73_II1885 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_73_II1885,__tpi_cp_73_II1885,1,undetected,__tpi_cp_73_II1885,__tpi_cp_73_II1885,__tpi_cp_73_II1885,sa1,1
3,__tpi_cp_73_II1885 /1 undetected,output,,__tpi_cp_73_II1885,__tpi_cp_73_II1885,1,undetected,__tpi_cp_73_II1885,__tpi_cp_73_II1885,__tpi_cp_73_II1885,sa1,1
4,II1885 /1 undetected,output,,II1885,II1885,1,undetected,II1885,II1885,II1885,sa1,1
5,C_17 /1 undetected,output,,C_17,C_17,1,undetected,C_17,C_17,C_17,sa1,1
6,__tpi_not_test_en->__tpi_cp_16___aig_not_377 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_16___aig_not_377,__tpi_cp_16___aig_not_377,1,undetected,__tpi_cp_16___aig_not_377,__tpi_cp_16___aig_not_377,__tpi_cp_16___aig_not_377,sa1,1
7,__aig_not_377 /1 undetected,output,,__aig_not_377,__aig_not_377,1,undetected,__aig_not_377,__aig_not_377,__aig_not_377,sa1,1
8,__tpi_not_test_en->__tpi_cp_72___buf_split_362 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_72___buf_split_362,__tpi_cp_72___buf_split_362,1,undetected,__tpi_cp_72___buf_split_362,__tpi_cp_72___buf_split_362,__tpi_cp_72___buf_split_362,sa1,1
9,__buf_split_362 /1 undetected,output,,__buf_split_362,__buf_split_362,1,undetected,__buf_split_362,__buf_split_362,__buf_split_362,sa1,1
10,__aig_not_374 /1 undetected,output,,__aig_not_374,__aig_not_374,1,undetected,__aig_not_374,__aig_not_374,__aig_not_374,sa1,1
11,__tpi_not_test_en->__tpi_cp_94___aig_not_474 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,1,undetected,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,sa1,1
12,__tpi_cp_94___aig_not_474 /1 undetected,output,,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,1,undetected,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,__tpi_cp_94___aig_not_474,sa1,1
13,__aig_not_474 /1 undetected,output,,__aig_not_474,__aig_not_474,1,undetected,__aig_not_474,__aig_not_474,__aig_not_474,sa1,1
14,C_26 /1 undetected,output,,C_26,C_26,1,undetected,C_26,C_26,C_26,sa1,1
15,__tpi_not_test_en->__tpi_cp_32___aig_not_405 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_32___aig_not_405,__tpi_cp_32___aig_not_405,1,undetected,__tpi_cp_32___aig_not_405,__tpi_cp_32___aig_not_405,__tpi_cp_32___aig_not_405,sa1,1
16,__aig_not_405 /1 undetected,output,,__aig_not_405,__aig_not_405,1,undetected,__aig_not_405,__aig_not_405,__aig_not_405,sa1,1
17,__tpi_not_test_en->__tpi_cp_90___buf_split_373 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_90___buf_split_373,__tpi_cp_90___buf_split_373,1,undetected,__tpi_cp_90___buf_split_373,__tpi_cp_90___buf_split_373,__tpi_cp_90___buf_split_373,sa1,1
18,__buf_split_373 /1 undetected,output,,__buf_split_373,__buf_split_373,1,undetected,__buf_split_373,__buf_split_373,__buf_split_373,sa1,1
19,__aig_not_402 /1 undetected,output,,__aig_not_402,__aig_not_402,1,undetected,__aig_not_402,__aig_not_402,__aig_not_402,sa1,1
20,__tpi_not_test_en->__tpi_cp_10___aig_not_450 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_10___aig_not_450,__tpi_cp_10___aig_not_450,1,undetected,__tpi_cp_10___aig_not_450,__tpi_cp_10___aig_not_450,__tpi_cp_10___aig_not_450,sa1,1
21,__aig_not_450 /1 undetected,output,,__aig_not_450,__aig_not_450,1,undetected,__aig_not_450,__aig_not_450,__aig_not_450,sa1,1
22,__tpi_not_test_en->__tpi_cp_61_II1956 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_61_II1956,__tpi_cp_61_II1956,1,undetected,__tpi_cp_61_II1956,__tpi_cp_61_II1956,__tpi_cp_61_II1956,sa1,1
23,II1956 /1 undetected,output,,II1956,II1956,1,undetected,II1956,II1956,II1956,sa1,1
24,__tpi_not_test_en->__tpi_cp_60___aig_not_441 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,1,undetected,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,sa1,1
25,__tpi_cp_60___aig_not_441 /1 undetected,output,,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,1,undetected,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,__tpi_cp_60___aig_not_441,sa1,1
26,__aig_not_441 /1 undetected,output,,__aig_not_441,__aig_not_441,1,undetected,__aig_not_441,__aig_not_441,__aig_not_441,sa1,1
27,C_23 /1 undetected,output,,C_23,C_23,1,undetected,C_23,C_23,C_23,sa1,1
28,__tpi_not_test_en->__tpi_cp_6_II1560 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_6_II1560,__tpi_cp_6_II1560,1,undetected,__tpi_cp_6_II1560,__tpi_cp_6_II1560,__tpi_cp_6_II1560,sa1,1
29,II1560 /1 undetected,output,,II1560,II1560,1,undetected,II1560,II1560,II1560,sa1,1
30,__buf_split_290 /1 undetected,output,,__buf_split_290,__buf_split_290,1,undetected,__buf_split_290,__buf_split_290,__buf_split_290,sa1,1
31,__aig_not_440 /1 undetected,output,,__aig_not_440,__aig_not_440,1,undetected,__aig_not_440,__aig_not_440,__aig_not_440,sa1,1
