line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_109___buf_split_10341 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_109___buf_split_10341,__tpi_cp_109___buf_split_10341,1,undetected,__tpi_cp_109___buf_split_10341,__tpi_cp_109___buf_split_10341,__tpi_cp_109___buf_split_10341,sa1,1
2,__tpi_not_test_en->__tpi_cp_112___buf_split_10245 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_112___buf_split_10245,__tpi_cp_112___buf_split_10245,1,undetected,__tpi_cp_112___buf_split_10245,__tpi_cp_112___buf_split_10245,__tpi_cp_112___buf_split_10245,sa1,1
3,__tpi_not_test_en->__tpi_cp_113___buf_split_9813 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_113___buf_split_9813,__tpi_cp_113___buf_split_9813,1,undetected,__tpi_cp_113___buf_split_9813,__tpi_cp_113___buf_split_9813,__tpi_cp_113___buf_split_9813,sa1,1
4,__tpi_not_test_en->__tpi_cp_108___buf_split_7416 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_108___buf_split_7416,__tpi_cp_108___buf_split_7416,1,undetected,__tpi_cp_108___buf_split_7416,__tpi_cp_108___buf_split_7416,__tpi_cp_108___buf_split_7416,sa1,1
5,__tpi_not_test_en->__tpi_cp_3_new_n11264_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_3_new_n11264_,__tpi_cp_3_new_n11264_,1,undetected,__tpi_cp_3_new_n11264_,__tpi_cp_3_new_n11264_,__tpi_cp_3_new_n11264_,sa1,1
6,test_en->__tpi_cp_30_new_n11263_ /0 undetected,input_edge,test_en,__tpi_cp_30_new_n11263_,__tpi_cp_30_new_n11263_,0,undetected,__tpi_cp_30_new_n11263_,__tpi_cp_30_new_n11263_,__tpi_cp_30_new_n11263_,sa0,1
7,__tpi_not_test_en->__tpi_cp_4_new_n13587_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_4_new_n13587_,__tpi_cp_4_new_n13587_,1,undetected,__tpi_cp_4_new_n13587_,__tpi_cp_4_new_n13587_,__tpi_cp_4_new_n13587_,sa1,1
8,__tpi_not_test_en->__tpi_cp_103_new_n11237_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_103_new_n11237_,__tpi_cp_103_new_n11237_,1,undetected,__tpi_cp_103_new_n11237_,__tpi_cp_103_new_n11237_,__tpi_cp_103_new_n11237_,sa1,1
9,new_n11222_ /1 undetected,output,,new_n11222_,new_n11222_,1,undetected,new_n11222_,new_n11222_,new_n11222_,sa1,1
10,__buf_split_7389 /1 undetected,output,,__buf_split_7389,__buf_split_7389,1,undetected,__buf_split_7389,__buf_split_7389,__buf_split_7389,sa1,1
11,new_n11214_->__tpi_cp_6_new_n11214_ /0 undetected,input_edge,new_n11214_,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,0,undetected,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,sa0,1
12,test_en->__tpi_cp_6_new_n11214_ /0 undetected,input_edge,test_en,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,0,undetected,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,__tpi_cp_6_new_n11214_,sa0,1
13,test_en->__tpi_cp_102_new_n11220_ /0 undetected,input_edge,test_en,__tpi_cp_102_new_n11220_,__tpi_cp_102_new_n11220_,0,undetected,__tpi_cp_102_new_n11220_,__tpi_cp_102_new_n11220_,__tpi_cp_102_new_n11220_,sa0,1
14,__tpi_not_test_en->__tpi_cp_137___buf_split_7382 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_137___buf_split_7382,__tpi_cp_137___buf_split_7382,1,undetected,__tpi_cp_137___buf_split_7382,__tpi_cp_137___buf_split_7382,__tpi_cp_137___buf_split_7382,sa1,1
15,__buf_split_7382 /1 undetected,output,,__buf_split_7382,__buf_split_7382,1,undetected,__buf_split_7382,__buf_split_7382,__buf_split_7382,sa1,1
16,__tpi_not_test_en->__tpi_cp_118_new_n11213_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_118_new_n11213_,__tpi_cp_118_new_n11213_,1,undetected,__tpi_cp_118_new_n11213_,__tpi_cp_118_new_n11213_,__tpi_cp_118_new_n11213_,sa1,1
17,new_n11213_ /1 undetected,output,,new_n11213_,new_n11213_,1,undetected,new_n11213_,new_n11213_,new_n11213_,sa1,1
18,__tpi_not_test_en->__tpi_cp_0_new_n11212_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,1,undetected,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,sa1,1
19,__tpi_cp_0_new_n11212_ /1 undetected,output,,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,1,undetected,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,__tpi_cp_0_new_n11212_,sa1,1
20,new_n11212_ /1 undetected,output,,new_n11212_,new_n11212_,1,undetected,new_n11212_,new_n11212_,new_n11212_,sa1,1
21,test_en->__tpi_cp_117_new_n11211_ /0 undetected,input_edge,test_en,__tpi_cp_117_new_n11211_,__tpi_cp_117_new_n11211_,0,undetected,__tpi_cp_117_new_n11211_,__tpi_cp_117_new_n11211_,__tpi_cp_117_new_n11211_,sa0,1
22,new_n11211_ /0 undetected,output,,new_n11211_,new_n11211_,0,undetected,new_n11211_,new_n11211_,new_n11211_,sa0,1
23,test_en->__tpi_cp_119_new_n11210_ /0 undetected,input_edge,test_en,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,0,undetected,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,sa0,1
24,__tpi_cp_119_new_n11210_ /1 undetected,output,,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,1,undetected,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,__tpi_cp_119_new_n11210_,sa1,1
25,new_n11210_ /0 undetected,output,,new_n11210_,new_n11210_,0,undetected,new_n11210_,new_n11210_,new_n11210_,sa0,1
26,test_en->__tpi_cp_121_new_n11209_ /0 undetected,input_edge,test_en,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,0,undetected,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,sa0,1
27,__tpi_cp_121_new_n11209_ /1 undetected,output,,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,1,undetected,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,__tpi_cp_121_new_n11209_,sa1,1
28,new_n11209_ /0 undetected,output,,new_n11209_,new_n11209_,0,undetected,new_n11209_,new_n11209_,new_n11209_,sa0,1
29,new_n11208_ /1 undetected,output,,new_n11208_,new_n11208_,1,undetected,new_n11208_,new_n11208_,new_n11208_,sa1,1
30,new_n11207_ /1 undetected,output,,new_n11207_,new_n11207_,1,undetected,new_n11207_,new_n11207_,new_n11207_,sa1,1
31,test_en->__tpi_cp_82_new_n11206_ /0 undetected,input_edge,test_en,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,0,undetected,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,sa0,1
32,__tpi_cp_82_new_n11206_ /1 undetected,output,,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,1,undetected,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,__tpi_cp_82_new_n11206_,sa1,1
33,new_n11206_ /0 undetected,output,,new_n11206_,new_n11206_,0,undetected,new_n11206_,new_n11206_,new_n11206_,sa0,1
34,new_n11205_ /1 undetected,output,,new_n11205_,new_n11205_,1,undetected,new_n11205_,new_n11205_,new_n11205_,sa1,1
35,new_n11204_ /1 undetected,output,,new_n11204_,new_n11204_,1,undetected,new_n11204_,new_n11204_,new_n11204_,sa1,1
36,__buf_split_7380 /1 undetected,output,,__buf_split_7380,__buf_split_7380,1,undetected,__buf_split_7380,__buf_split_7380,__buf_split_7380,sa1,1
37,__buf_split_7379 /1 undetected,output,,__buf_split_7379,__buf_split_7379,1,undetected,__buf_split_7379,__buf_split_7379,__buf_split_7379,sa1,1
