node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_and_31990,1,1,0,0,0
__aig_not_31979,1,0,1,0,0
__aig_not_31981,1,0,1,0,0
__aig_not_31983,1,0,1,0,0
__aig_not_31985,1,0,1,0,0
__aig_not_31987,1,0,1,0,0
__aig_not_31989,1,0,1,0,0
__aig_not_61925,1,0,1,0,0
__aig_not_61930,1,0,1,0,0
__buf_split_20794,1,0,1,0,0
__buf_split_20795,1,0,1,0,0
__buf_split_39848,1,0,1,0,0
__tpi_cp_100___aig_not_63440,1,0,0,0,1
__tpi_cp_101___buf_split_21959,1,0,0,0,1
__tpi_cp_103___buf_split_40250,1,0,0,0,1
__tpi_cp_106___buf_split_22178,1,0,0,0,1
__tpi_cp_108___buf_split_39895,1,0,0,0,1
__tpi_cp_10_new_n15285,1,0,0,0,1
__tpi_cp_110___buf_split_22414,1,0,0,0,1
__tpi_cp_111___buf_split_40203,1,0,0,0,1
__tpi_cp_114___aig_not_33695,1,0,0,0,1
__tpi_cp_115___aig_and_33699,1,0,0,1,0
__tpi_cp_116___aig_not_32177,1,0,0,0,1
__tpi_cp_117___aig_not_32159,1,0,0,0,1
__tpi_cp_118___aig_not_63369,1,0,0,0,1
__tpi_cp_11_new_n16183,1,0,0,0,1
__tpi_cp_122___aig_not_32853,1,0,0,0,1
__tpi_cp_123___buf_split_40515,1,0,0,1,0
__tpi_cp_124___buf_split_40491,1,0,0,0,1
__tpi_cp_125___buf_split_40779,1,0,0,0,1
__tpi_cp_126___aig_and_34077,1,0,0,1,0
__tpi_cp_127___aig_not_62519,1,0,0,0,1
__tpi_cp_128_new_n29386,1,0,0,0,1
__tpi_cp_12___aig_not_62513,1,0,0,0,1
__tpi_cp_13___aig_not_62928,1,0,0,0,1
__tpi_cp_14___aig_not_62510,1,0,0,0,1
__tpi_cp_15___aig_not_62957,1,0,0,0,1
__tpi_cp_16___aig_not_33703,1,0,0,0,1
__tpi_cp_17___aig_and_62556,1,0,0,0,1
__tpi_cp_18___aig_not_62484,1,0,0,0,1
__tpi_cp_1___aig_and_62955,1,0,0,0,1
__tpi_cp_20___aig_not_34073,1,0,0,0,1
__tpi_cp_21___aig_and_62488,1,0,0,1,0
__tpi_cp_22___aig_not_62529,1,0,0,0,1
__tpi_cp_23___aig_not_34045,1,0,0,0,1
__tpi_cp_24___aig_not_28835,1,0,0,0,1
__tpi_cp_25___aig_not_62963,1,0,0,0,1
__tpi_cp_26___aig_not_62455,1,0,0,0,1
__tpi_cp_27___aig_and_32881,1,0,0,0,1
__tpi_cp_28___aig_and_33693,1,0,0,0,1
__tpi_cp_29___aig_not_63448,1,0,0,0,1
__tpi_cp_2___aig_not_62966,1,0,0,0,1
__tpi_cp_30___aig_not_34412,1,0,0,0,1
__tpi_cp_31___aig_not_61980,1,0,0,0,1
__tpi_cp_32___aig_not_61977,1,0,0,0,1
__tpi_cp_34___aig_not_62526,1,0,0,0,1
__tpi_cp_35___aig_and_62376,1,0,0,0,1
__tpi_cp_36___aig_and_33687,1,0,0,0,1
__tpi_cp_38___aig_and_62887,1,0,0,0,1
__tpi_cp_39___aig_not_33682,1,0,0,0,1
__tpi_cp_3___aig_and_34071,1,0,0,0,1
__tpi_cp_40___aig_not_62037,1,0,0,0,1
__tpi_cp_41___aig_and_62042,1,0,0,0,1
__tpi_cp_43___aig_not_62053,1,0,0,0,1
__tpi_cp_45___aig_not_33688,1,0,0,0,1
__tpi_cp_46___aig_and_62922,1,0,0,0,1
__tpi_cp_47___aig_not_34777,1,0,0,0,1
__tpi_cp_49___aig_not_62893,1,0,0,0,1
__tpi_cp_50___aig_and_62524,1,0,0,0,1
__tpi_cp_51___aig_not_63364,1,0,0,0,1
__tpi_cp_53___aig_and_62008,1,0,0,0,1
__tpi_cp_54___aig_and_63373,1,0,0,0,1
__tpi_cp_55___aig_and_34439,1,0,0,0,1
__tpi_cp_57___aig_not_34401,1,0,0,0,1
__tpi_cp_5___aig_and_62482,1,0,0,0,1
__tpi_cp_61___aig_not_34099,1,0,0,0,1
__tpi_cp_62___aig_not_63906,1,0,0,0,1
__tpi_cp_63___aig_not_63825,1,0,0,0,1
__tpi_cp_66___aig_not_32849,1,0,0,0,1
__tpi_cp_68___aig_not_32876,1,0,0,0,1
__tpi_cp_69___aig_not_61965,1,0,0,0,1
__tpi_cp_6___aig_and_63446,1,0,0,1,0
__tpi_cp_70___aig_not_32916,1,0,0,0,1
__tpi_cp_71_new_n29600,1,0,0,0,1
__tpi_cp_72___buf_split_20954,1,0,0,0,1
__tpi_cp_73___buf_split_21941,1,0,0,0,1
__tpi_cp_78_new_n15395,1,0,0,0,1
__tpi_cp_79___aig_not_62044,1,0,0,0,1
__tpi_cp_7_new_n29318,1,0,0,0,1
__tpi_cp_80___aig_not_32137,1,0,0,0,1
__tpi_cp_82_new_n29147,1,0,0,0,1
__tpi_cp_84___aig_not_62448,1,0,0,0,1
__tpi_cp_88___aig_not_62010,1,0,0,0,1
__tpi_cp_8___aig_and_34003,1,0,0,0,1
__tpi_cp_90___aig_not_63829,1,0,0,0,1
__tpi_cp_93___aig_not_32162,1,0,0,0,1
__tpi_cp_96___buf_split_180,1,0,0,0,1
__tpi_cp_98___buf_split_177,1,0,0,0,1
__tpi_cp_99___aig_not_32919,1,0,0,0,1
__tpi_cp_9___buf_split_40826,1,0,0,0,1
new_n15285,1,0,1,0,0
