node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_11_new_n596,2,0,0,2,0
__aig_not_9065,1,0,1,0,0
__aig_not_9067,1,0,1,0,0
__tpi_cp_0_new_n683,1,0,0,1,0
__tpi_cp_100___aig_not_578,1,0,0,0,1
__tpi_cp_102___aig_not_650,1,0,0,0,1
__tpi_cp_103___buf_split_353,1,0,0,0,1
__tpi_cp_104___buf_split_439,1,0,0,1,0
__tpi_cp_12___aig_not_673,1,0,0,0,1
__tpi_cp_13___aig_not_608,1,0,0,0,1
__tpi_cp_14___aig_not_9073,1,0,0,0,1
__tpi_cp_37___aig_not_9151,1,0,0,0,1
__tpi_cp_40___aig_not_9159,1,0,0,0,1
__tpi_cp_41___aig_not_9165,1,0,0,0,1
__tpi_cp_46___aig_not_9155,1,0,0,0,1
__tpi_cp_47___aig_not_497,1,0,0,0,1
__tpi_cp_48___aig_not_533,1,0,0,0,1
__tpi_cp_49___aig_not_551,1,0,0,0,1
__tpi_cp_50___aig_not_569,1,0,0,0,1
__tpi_cp_51___aig_not_587,1,0,0,0,1
__tpi_cp_52___aig_not_623,1,0,0,0,1
__tpi_cp_53___aig_not_641,1,0,0,0,1
__tpi_cp_54___aig_not_659,1,0,0,0,1
__tpi_cp_55___aig_not_677,1,0,0,0,1
__tpi_cp_56___aig_not_515,1,0,0,0,1
__tpi_cp_61___aig_and_9086,1,0,0,0,1
__tpi_cp_62___aig_and_9094,1,0,0,0,1
__tpi_cp_63___aig_and_9098,1,0,0,0,1
__tpi_cp_64___buf_split_437,1,0,0,0,1
__tpi_cp_65___aig_and_9070,1,0,0,0,1
__tpi_cp_66___buf_split_502,1,0,0,0,1
__tpi_cp_67___aig_and_9090,1,0,0,0,1
__tpi_cp_69_new_n628,1,0,0,0,1
__tpi_cp_70___aig_and_530,1,0,0,0,1
__tpi_cp_71___aig_and_512,1,0,0,0,1
__tpi_cp_72___aig_and_9162,1,0,0,1,0
__tpi_cp_73___aig_not_565,1,0,0,0,1
__tpi_cp_75___aig_not_619,1,0,0,0,1
__tpi_cp_76___aig_not_601,1,0,0,0,1
__tpi_cp_78___aig_not_502,1,0,0,0,1
__tpi_cp_79___aig_not_520,1,0,0,0,1
__tpi_cp_80___aig_not_556,1,0,0,0,1
__tpi_cp_81___aig_not_574,1,0,0,0,1
__tpi_cp_82___aig_not_610,1,0,0,0,1
__tpi_cp_83___aig_not_592,1,0,0,0,1
__tpi_cp_84___aig_not_538,1,0,0,0,1
__tpi_cp_85___aig_not_628,1,0,0,0,1
__tpi_cp_86___aig_not_664,1,0,0,0,1
__tpi_cp_87___aig_not_682,1,0,0,0,1
__tpi_cp_88___aig_not_646,1,0,0,0,1
__tpi_cp_89___aig_not_542,1,0,0,0,1
__tpi_cp_90___aig_not_506,1,0,0,0,1
__tpi_cp_93___aig_and_9080,1,0,0,1,0
__tpi_cp_96_new_n668,1,0,0,1,0
