line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,U707->U707_PO /1 undetected,input_edge,U707,U707_PO,U707_PO,1,undetected,U707_PO,U707_PO,U707_PO,sa1,1
2,__aig_not_404 /1 undetected,output,,__aig_not_404,__aig_not_404,1,undetected,__aig_not_404,__aig_not_404,__aig_not_404,sa1,1
3,GT_142_U6->__tpi_cp_29_GT_142_U6 /0 undetected,input_edge,GT_142_U6,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,0,undetected,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,sa0,1
4,test_en->__tpi_cp_29_GT_142_U6 /0 undetected,input_edge,test_en,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,0,undetected,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,__tpi_cp_29_GT_142_U6,sa0,1
5,test_en->__tpi_cp_78_GT_146_U6 /0 undetected,input_edge,test_en,__tpi_cp_78_GT_146_U6,__tpi_cp_78_GT_146_U6,0,undetected,__tpi_cp_78_GT_146_U6,__tpi_cp_78_GT_146_U6,__tpi_cp_78_GT_146_U6,sa0,1
6,__tpi_not_test_en->__tpi_cp_27___aig_not_979 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_27___aig_not_979,__tpi_cp_27___aig_not_979,1,undetected,__tpi_cp_27___aig_not_979,__tpi_cp_27___aig_not_979,__tpi_cp_27___aig_not_979,sa1,1
7,__aig_not_983->__aig_and_989 /1 undetected,input_edge,__aig_not_983,__aig_and_989,__aig_and_989,1,undetected,__aig_and_989,__aig_and_989,__aig_and_989,sa1,1
8,__aig_not_984 /1 undetected,output,,__aig_not_984,__aig_not_984,1,undetected,__aig_not_984,__aig_not_984,__aig_not_984,sa1,1
9,__aig_not_716->__aig_and_724 /1 undetected,input_edge,__aig_not_716,__aig_and_724,__aig_and_724,1,undetected,__aig_and_724,__aig_and_724,__aig_and_724,sa1,1
10,__tpi_not_test_en->__tpi_cp_18___aig_not_717 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,1,undetected,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,sa1,1
11,__tpi_cp_18___aig_not_717 /1 undetected,output,,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,1,undetected,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,__tpi_cp_18___aig_not_717,sa1,1
12,__aig_not_717 /1 undetected,output,,__aig_not_717,__aig_not_717,1,undetected,__aig_not_717,__aig_not_717,__aig_not_717,sa1,1
13,__tpi_not_test_en->__tpi_cp_4_U636 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_4_U636,__tpi_cp_4_U636,1,undetected,__tpi_cp_4_U636,__tpi_cp_4_U636,__tpi_cp_4_U636,sa1,1
14,__tpi_not_test_en->__tpi_cp_14___aig_not_727 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_14___aig_not_727,__tpi_cp_14___aig_not_727,1,undetected,__tpi_cp_14___aig_not_727,__tpi_cp_14___aig_not_727,__tpi_cp_14___aig_not_727,sa1,1
15,__tpi_not_test_en->__tpi_cp_87_U635 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_87_U635,__tpi_cp_87_U635,1,undetected,__tpi_cp_87_U635,__tpi_cp_87_U635,__tpi_cp_87_U635,sa1,1
16,__tpi_cp_87_U635 /0 undetected,output,,__tpi_cp_87_U635,__tpi_cp_87_U635,0,undetected,__tpi_cp_87_U635,__tpi_cp_87_U635,__tpi_cp_87_U635,sa0,1
17,__tpi_not_test_en->__tpi_cp_1_U634 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_1_U634,__tpi_cp_1_U634,1,undetected,__tpi_cp_1_U634,__tpi_cp_1_U634,__tpi_cp_1_U634,sa1,1
