checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
round8_incumbent	typed_return_pred	subckt_0230	prefix_0320	320	15	__aig_and_46051::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0009999999999843467	0.0009999999999843467	0.0	0	0.532559829747559	0.7037037037037037	0.2
round8_incumbent	typed_return_pred	subckt_0230	prefix_0448	448	15	__aig_not_23178::observe	observe	__aig_not_33479::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.8007018419281481	0.8641975308641975	0.7333333333333333
round8_incumbent	typed_return_pred	subckt_0230	prefix_0576	576	15	__aig_and_24744::observe	observe	__aig_and_21604::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.5499186571022691	0.7534246575342466	0.3
round8_incumbent	typed_return_pred	subckt_0230	prefix_0704	704	15	__aig_not_46005::observe	observe	__aig_not_20202::control0	control0	0	0	0	0.06699999999998374	0.002999999999997449	0.023999999999979593	0.020999999999982144	0	0.4609932298519181	0.7162162162162162	0.2222222222222222
round8_incumbent	typed_return_pred	subckt_0230	prefix_0767	767	15	__aig_and_25947::observe	observe	__aig_and_25947::observe	observe	1	1	1	0.0	0.0030000000000085514	0.0030000000000085514	0.0	0	0.6309613656143768	0.847457627118644	0.25
round8_incumbent	typed_return_pred	subckt_0360	prefix_0320	320	15	GT_146_U7::observe	observe	__aig_and_1237::observe	observe	0	1	0	0.10699999999999044	0.03300000000000525	0.13999999999999568	0.10699999999999044	0	0.5360683296558428	0.6823529411764706	0.3157894736842105
round8_incumbent	typed_return_pred	subckt_0360	prefix_0448	448	15	__aig_and_629::observe	observe	GT_134_U6::control1	control1	0	0	0	0.2569999999999961	0.020999999999993246	0.18199999999999328	0.16100000000000003	0	0.4698435777009087	0.686046511627907	0.5263157894736842
round8_incumbent	typed_return_pred	subckt_0360	prefix_0576	576	15	__buf_split_1022::observe	observe	__aig_and_629::observe	observe	0	1	0	0.0	0.01700000000001145	0.01700000000001145	0.0	0	0.7136529935746752	0.8450704225352113	0.5
round8_incumbent	typed_return_pred	subckt_0360	prefix_0704	704	15	U917::control0	control0	__aig_and_899::control0	control0	0	1	0	0.031999999999987594	-0.023999999999990695	0.007999999999996898	0.031999999999987594	1	0.14890813059502434	0.5806451612903226	0.6333333333333333
round8_incumbent	typed_return_pred	subckt_0360	prefix_0767	767	15	__aig_and_420::control1	control1	U751::control0	control0	0	0	0	0.15199999999999658	-0.051000000000001044	0.13100000000000334	0.18200000000000438	1	-0.05576098271316714	0.4657534246575342	0.4411764705882353
