epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_aux_rank_loss,train_oracle_aux_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_same_type_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_aux_pairs,train_oracle_aux_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.0,0.32779457145615626,0.12691860214660042,0.009657929700456168,0.0972879928977866,0.0,0.2731236776238994,1.0,0.04740732967069274,0.011088764360609179,1.092385845531489,1.092385845531489,0.0,2.027896026910352,0.8465030424666015,1.2501004639228708,0.0,1.0,1.0,1.252690221133985,0.4798056091132917,0.5515570546451368,0.0,0.0,0.0,0.0,2.1256694542734245,1.4403438944565623,0.0,0.0,0.0,499.42105263157896,172.42105263157896,0.0,0.0,12.0,0.5,19.0,19.0,0.0,0.30867718160152435,0.11688525676727295,0.007575454842299223,0.08497510999441146,0.0,0.2984076738357544,1.0,0.035650485381484034,0.008536253549391404,0.4389384440757567,0.4389384440757567,0.0,1.2328261591494083,0.5165064826607704,1.1886355683207512,0.0,1.0,1.0,5.0
2,2,0.0,0.3731915829213042,0.12706538446639715,0.009461664986845694,0.10020410298909012,0.0,0.27819573134183884,1.0,0.046427458132568156,0.027406635673933602,1.2337200610980195,1.2337200610980195,0.0,3.7666924351115565,0.9537149771950728,2.1359891807415377,0.0,1.0,2.0,2.5987290206708407,0.49758075883514,0.569664401443381,0.0,0.0,0.0,0.0,2.2345076485684046,1.488458645971198,0.0,0.0,0.0,496.36842105263156,147.94736842105263,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.3258571162819862,0.11946158856153488,0.007457919465377927,0.08608837351202965,0.0,0.3011989176273346,1.0,0.03448447175323963,0.06436285457748454,0.6427898382022249,0.6427898382022249,0.0,3.0518631394486873,0.7721421555615962,1.6002488691359757,0.0,1.0,2.0,5.0
3,4,0.0,0.444473705597614,0.12630174681544304,0.009269364337485871,0.10242644687624354,0.0,0.28236736102323784,1.0,0.046611517716787364,0.037441629283720385,1.391484776731551,1.391484776731551,0.0,7.362791314132903,1.0954959440915493,5.282546042862936,0.0,1.0,4.0,2.5192587250157406,0.4516997023632652,0.5137871158750433,0.0,0.0,0.0,0.0,2.1240089316117134,1.4899912256943553,0.0,0.0,0.0,530.3157894736842,178.89473684210526,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.36869133487343786,0.12099140025675297,0.007476245542056859,0.08918599709868431,0.0,0.30406456142663957,1.0,0.032583167357370255,0.07403565498243551,0.6717596165754003,0.6717596165754003,0.0,4.909762927419541,0.6819007726386189,3.21481310762465,0.0,1.0,4.0,5.0
4,8,0.0,0.5244078337165871,0.12586482805445007,0.009070776899247185,0.1056515273000849,0.0,0.2868045543957698,1.0,0.04468807839102259,0.041318194917727466,1.5603621583766796,1.5603621583766796,0.0,12.751144590104415,1.217715735724644,10.679399679380689,0.0,1.0,8.0,2.611037204140111,0.5067768849824604,0.5771236874555287,0.0,0.0,0.0,0.0,2.1834761908179834,1.5056311833231073,0.0,0.0,0.0,457.8421052631579,147.05263157894737,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.4238488718867302,0.12371860239654779,0.008123522833921015,0.09638053867965937,0.0,0.3086037240922451,1.0,0.0324355059536174,0.039454656574935146,0.597807691588514,0.597807691588514,0.0,7.475663946913483,0.548265358194476,5.79429047612939,0.0,1.0,8.0,5.0
5,16,0.0,0.6014361781999469,0.1283020610725017,0.009187808387459404,0.11032610374355786,0.0,0.29335077969651474,1.0,0.041528854782595055,0.0360147039810984,1.6700096992451803,1.6700096992451803,0.0,19.194611950683313,1.40345326849141,17.761294864959424,0.0,1.0,16.0,2.6528181904240657,0.5146870017051697,0.5828352711702648,0.0,0.0,0.0,0.0,2.2442213108665063,1.5259646491000527,0.0,0.0,0.0,494.6842105263158,165.3684210526316,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.49043082594871523,0.1292418141849339,0.009408493002410978,0.10234016496688128,0.0,0.3059462118893862,1.0,0.03755525517044589,0.030561361296486213,0.6398097265805973,0.6398097265805973,0.0,9.596207334332576,0.4516075902581633,8.171916305544801,0.0,1.0,16.0,5.0
6,32,0.0,0.6656838458913722,0.1344850142118766,0.009670528174243182,0.12315885063358828,0.0,0.29946185339634357,1.0,0.040162808966430784,0.024517995802306968,2.0301931487380576,2.0301931487380576,0.0,32.66033677551841,1.8845701296536943,32.145295611362506,0.0,1.0,32.0,2.6174431098134896,0.48850817115683304,0.5571650486243399,0.0,0.0,0.0,0.0,2.2037124194596944,1.5265141913765354,0.0,0.0,0.0,498.3157894736842,177.10526315789474,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.5722340920008719,0.1373008037917316,0.010262492942274548,0.1130398282315582,0.0,0.3059805786237121,1.0,0.045439225336303936,0.024389731945888116,1.3431129076180923,1.3431129076180923,0.0,27.434381878885326,1.2300519430218855,26.738228848778363,0.0,1.0,32.0,5.0
7,32,0.0,0.6656838449110326,0.13448501418736813,0.009670528179604412,0.12315884954296052,0.0,0.2994618532983096,1.0,0.04016280930035895,0.024517995787325737,2.030193158428855,2.030193158428855,0.0,32.66033677836099,1.8845701373099364,32.14527142403229,0.0,1.0,32.0,2.652131933914988,0.5184733224542517,0.5941535689328846,0.0,0.0,0.0,0.0,2.188334722267954,1.529814745250501,0.0,0.0,0.0,474.2105263157895,157.47368421052633,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.5722340897656977,0.13730080449022353,0.010262492985930294,0.1130398279055953,0.0,0.3059805784374475,1.0,0.045439225767040625,0.024389732079305303,1.3431129067323808,1.3431129067323808,0.0,27.434381876694534,1.2300519555921483,26.737773908199436,0.0,1.0,32.0,5.0
8,32,0.0,0.6656838470677796,0.13448501413835115,0.009670528158159485,0.12315885020468972,0.0,0.29946185295519073,1.0,0.04016280913799021,0.0245179958061439,2.0301931612854403,2.0301931612854403,0.0,32.66033677697774,1.8845701372204255,32.145683836476344,0.0,1.0,32.0,2.6394644285503186,0.5003450606998644,0.5590367677964663,0.0,0.0,0.0,0.0,2.2024403245825517,1.5444905067745007,0.0,0.0,0.0,483.0,173.6315789473684,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.5722340909764171,0.13730080402456224,0.010262493105256,0.11303982869721949,0.0,0.3059805788099766,1.0,0.04543922594166361,0.02438973210214499,1.3431129227389875,1.3431129227389875,0.0,27.434381876089173,1.23005195790538,26.736477098216245,0.0,1.0,32.0,5.0
9,32,0.0,0.6656838419945225,0.1344850141260969,0.009670528201049342,0.12315885070711374,0.0,0.29946185386200486,1.0,0.04016280917168938,0.02451799572256313,2.0301931554688686,2.0301931554688686,0.0,32.6603367798551,1.8845701377111492,32.146315086671834,0.0,1.0,32.0,2.570682927181846,0.47938294473447296,0.5388397841077102,0.0,0.0,0.0,0.0,2.104555977018256,1.5205683645449186,0.0,0.0,0.0,500.89473684210526,169.8421052631579,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.5722340901382268,0.1373008041176945,0.010262493070331401,0.11303982837125659,0.0,0.3059805784374475,1.0,0.04543922590673901,0.024389732086308413,1.3431129198450207,1.3431129198450207,0.0,27.43438186358326,1.2300519532112504,26.7346334247437,0.0,1.0,32.0,5.0
10,32,0.0,0.6656838478765598,0.13448501449372424,0.00967052819568811,0.12315884858712946,0.0,0.29946185231797007,1.0,0.040162809242151286,0.02451799585324316,2.030193140024823,2.030193140024823,0.0,32.6603367724801,1.8845701293784836,32.14623596087285,0.0,1.0,32.0,2.613765917326275,0.4948154656510604,0.5489252868451571,0.0,0.0,0.0,0.0,2.1765379905700684,1.5342335763730501,0.0,0.0,0.0,500.05263157894734,168.73684210526315,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.5722340890206397,0.13730080407112838,0.010262492985930294,0.113039828883484,0.0,0.305980578251183,1.0,0.045439225336303936,0.02438973199278962,1.3431129191374793,1.3431129191374793,0.0,27.434381880515865,1.230051960298806,26.732872890314137,0.0,1.0,32.0,5.0
