line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_125___aig_not_25385 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_125___aig_not_25385,__tpi_cp_125___aig_not_25385,1,undetected,__tpi_cp_125___aig_not_25385,__tpi_cp_125___aig_not_25385,__tpi_cp_125___aig_not_25385,sa1,1
2,__tpi_not_test_en->__tpi_cp_38___aig_not_24155 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_38___aig_not_24155,__tpi_cp_38___aig_not_24155,1,undetected,__tpi_cp_38___aig_not_24155,__tpi_cp_38___aig_not_24155,__tpi_cp_38___aig_not_24155,sa1,1
3,__tpi_not_test_en->__tpi_cp_51___aig_not_23017 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_51___aig_not_23017,__tpi_cp_51___aig_not_23017,1,undetected,__tpi_cp_51___aig_not_23017,__tpi_cp_51___aig_not_23017,__tpi_cp_51___aig_not_23017,sa1,1
4,__tpi_not_test_en->__tpi_cp_62___buf_split_13463 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_62___buf_split_13463,__tpi_cp_62___buf_split_13463,1,undetected,__tpi_cp_62___buf_split_13463,__tpi_cp_62___buf_split_13463,__tpi_cp_62___buf_split_13463,sa1,1
5,__tpi_not_test_en->__tpi_cp_111___aig_not_22985 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_111___aig_not_22985,__tpi_cp_111___aig_not_22985,1,undetected,__tpi_cp_111___aig_not_22985,__tpi_cp_111___aig_not_22985,__tpi_cp_111___aig_not_22985,sa1,1
6,test_en->__tpi_cp_147_new_n10488 /0 undetected,input_edge,test_en,__tpi_cp_147_new_n10488,__tpi_cp_147_new_n10488,0,undetected,__tpi_cp_147_new_n10488,__tpi_cp_147_new_n10488,__tpi_cp_147_new_n10488,sa0,1
7,__tpi_not_test_en->__tpi_cp_43___aig_and_24170 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_43___aig_and_24170,__tpi_cp_43___aig_and_24170,1,undetected,__tpi_cp_43___aig_and_24170,__tpi_cp_43___aig_and_24170,__tpi_cp_43___aig_and_24170,sa1,1
8,__tpi_not_test_en->__tpi_cp_31___aig_not_24171 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_31___aig_not_24171,__tpi_cp_31___aig_not_24171,1,undetected,__tpi_cp_31___aig_not_24171,__tpi_cp_31___aig_not_24171,__tpi_cp_31___aig_not_24171,sa1,1
9,test_en->__tpi_cp_130___aig_and_24163 /0 undetected,input_edge,test_en,__tpi_cp_130___aig_and_24163,__tpi_cp_130___aig_and_24163,0,undetected,__tpi_cp_130___aig_and_24163,__tpi_cp_130___aig_and_24163,__tpi_cp_130___aig_and_24163,sa0,1
10,__tpi_not_test_en->__tpi_cp_110___aig_not_23007 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_110___aig_not_23007,__tpi_cp_110___aig_not_23007,1,undetected,__tpi_cp_110___aig_not_23007,__tpi_cp_110___aig_not_23007,__tpi_cp_110___aig_not_23007,sa1,1
11,__tpi_not_test_en->__tpi_cp_41_new_n11001 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_41_new_n11001,__tpi_cp_41_new_n11001,1,undetected,__tpi_cp_41_new_n11001,__tpi_cp_41_new_n11001,__tpi_cp_41_new_n11001,sa1,1
12,test_en->__tpi_cp_26___aig_and_25368 /0 undetected,input_edge,test_en,__tpi_cp_26___aig_and_25368,__tpi_cp_26___aig_and_25368,0,undetected,__tpi_cp_26___aig_and_25368,__tpi_cp_26___aig_and_25368,__tpi_cp_26___aig_and_25368,sa0,1
13,test_en->__tpi_cp_32___aig_and_25361 /0 undetected,input_edge,test_en,__tpi_cp_32___aig_and_25361,__tpi_cp_32___aig_and_25361,0,undetected,__tpi_cp_32___aig_and_25361,__tpi_cp_32___aig_and_25361,__tpi_cp_32___aig_and_25361,sa0,1
14,__tpi_not_test_en->__tpi_cp_116___aig_not_22991 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_116___aig_not_22991,__tpi_cp_116___aig_not_22991,1,undetected,__tpi_cp_116___aig_not_22991,__tpi_cp_116___aig_not_22991,__tpi_cp_116___aig_not_22991,sa1,1
15,__tpi_not_test_en->__tpi_cp_37___aig_not_24177 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_37___aig_not_24177,__tpi_cp_37___aig_not_24177,1,undetected,__tpi_cp_37___aig_not_24177,__tpi_cp_37___aig_not_24177,__tpi_cp_37___aig_not_24177,sa1,1
