line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_219_new_n5554_ /1 undetected,output,,__tpi_op_219_new_n5554_,__tpi_op_219_new_n5554_,1,undetected,__tpi_op_219_new_n5554_,__tpi_op_219_new_n5554_,__tpi_op_219_new_n5554_,sa1,1
2,__tpi_op_206_new_n5628_ /1 undetected,output,,__tpi_op_206_new_n5628_,__tpi_op_206_new_n5628_,1,undetected,__tpi_op_206_new_n5628_,__tpi_op_206_new_n5628_,__tpi_op_206_new_n5628_,sa1,1
3,__tpi_op_194_new_n5767_ /1 undetected,output,,__tpi_op_194_new_n5767_,__tpi_op_194_new_n5767_,1,undetected,__tpi_op_194_new_n5767_,__tpi_op_194_new_n5767_,__tpi_op_194_new_n5767_,sa1,1
4,__tpi_op_193_new_n5699_ /1 undetected,output,,__tpi_op_193_new_n5699_,__tpi_op_193_new_n5699_,1,undetected,__tpi_op_193_new_n5699_,__tpi_op_193_new_n5699_,__tpi_op_193_new_n5699_,sa1,1
5,__tpi_op_144_new_n5553_ /0 undetected,output,,__tpi_op_144_new_n5553_,__tpi_op_144_new_n5553_,0,undetected,__tpi_op_144_new_n5553_,__tpi_op_144_new_n5553_,__tpi_op_144_new_n5553_,sa0,1
6,__tpi_op_141_new_n5766_ /0 undetected,output,,__tpi_op_141_new_n5766_,__tpi_op_141_new_n5766_,0,undetected,__tpi_op_141_new_n5766_,__tpi_op_141_new_n5766_,__tpi_op_141_new_n5766_,sa0,1
7,__tpi_op_140_new_n5698_ /0 undetected,output,,__tpi_op_140_new_n5698_,__tpi_op_140_new_n5698_,0,undetected,__tpi_op_140_new_n5698_,__tpi_op_140_new_n5698_,__tpi_op_140_new_n5698_,sa0,1
8,__tpi_op_65_new_n5627_ /0 undetected,output,,__tpi_op_65_new_n5627_,__tpi_op_65_new_n5627_,0,undetected,__tpi_op_65_new_n5627_,__tpi_op_65_new_n5627_,__tpi_op_65_new_n5627_,sa0,1
9,__buf_split_5635->new_n7985_ /1 undetected,input_edge,__buf_split_5635,new_n7985_,new_n7985_,1,undetected,new_n7985_,new_n7985_,new_n7985_,sa1,1
10,test_en->__tpi_cp_251___buf_split_4157 /0 undetected,input_edge,test_en,__tpi_cp_251___buf_split_4157,__tpi_cp_251___buf_split_4157,0,undetected,__tpi_cp_251___buf_split_4157,__tpi_cp_251___buf_split_4157,__tpi_cp_251___buf_split_4157,sa0,1
11,test_en->__tpi_cp_128_new_n5973_ /0 undetected,input_edge,test_en,__tpi_cp_128_new_n5973_,__tpi_cp_128_new_n5973_,0,undetected,__tpi_cp_128_new_n5973_,__tpi_cp_128_new_n5973_,__tpi_cp_128_new_n5973_,sa0,1
12,test_en->__tpi_cp_89_new_n5913_ /0 undetected,input_edge,test_en,__tpi_cp_89_new_n5913_,__tpi_cp_89_new_n5913_,0,undetected,__tpi_cp_89_new_n5913_,__tpi_cp_89_new_n5913_,__tpi_cp_89_new_n5913_,sa0,1
13,test_en->__tpi_cp_131_new_n5889_ /0 undetected,input_edge,test_en,__tpi_cp_131_new_n5889_,__tpi_cp_131_new_n5889_,0,undetected,__tpi_cp_131_new_n5889_,__tpi_cp_131_new_n5889_,__tpi_cp_131_new_n5889_,sa0,1
14,__tpi_not_test_en->__tpi_cp_254___buf_split_4049 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_254___buf_split_4049,__tpi_cp_254___buf_split_4049,1,undetected,__tpi_cp_254___buf_split_4049,__tpi_cp_254___buf_split_4049,__tpi_cp_254___buf_split_4049,sa1,1
15,__tpi_not_test_en->__tpi_cp_44_new_n5863_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_44_new_n5863_,__tpi_cp_44_new_n5863_,1,undetected,__tpi_cp_44_new_n5863_,__tpi_cp_44_new_n5863_,__tpi_cp_44_new_n5863_,sa1,1
