node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_26574,1,0,1,0,0
__buf_split_29742,1,0,1,0,0
__tpi_cp_0___aig_not_26533,1,0,0,0,1
__tpi_cp_11___aig_not_45325,1,0,0,0,1
__tpi_cp_12___aig_not_26588,1,0,0,0,1
__tpi_cp_15___aig_and_26584,1,0,0,0,1
__tpi_cp_16___aig_not_45278,1,0,0,1,0
__tpi_cp_1___aig_and_33334,1,0,0,0,1
__tpi_cp_21___aig_and_26009,1,0,0,0,1
__tpi_cp_22___aig_not_45390,1,0,0,0,1
__tpi_cp_23___aig_not_26596,1,0,0,0,1
__tpi_cp_24___aig_not_45388,1,0,0,0,1
__tpi_cp_25___aig_and_46210,1,0,0,0,1
__tpi_cp_26___aig_and_26586,1,0,0,1,0
__tpi_cp_27___aig_and_45421,1,0,0,0,1
__tpi_cp_29___aig_and_45394,1,0,0,0,1
__tpi_cp_2___aig_not_26526,1,0,0,1,0
__tpi_cp_30___buf_split_21704,1,0,0,1,0
__tpi_cp_31___aig_and_45275,1,0,0,0,1
__tpi_cp_34___aig_and_33481,1,0,0,1,0
__tpi_cp_38___aig_and_45434,1,0,0,1,0
__tpi_cp_39___aig_and_45431,1,0,0,0,1
__tpi_cp_3___aig_and_33371,1,0,0,0,1
__tpi_cp_40___aig_and_25987,1,0,0,0,1
__tpi_cp_44___aig_and_26571,1,0,0,0,1
__tpi_cp_46___aig_and_43612,1,0,0,0,1
__tpi_cp_48___aig_not_46238,1,0,0,0,1
__tpi_cp_4___aig_and_26004,1,0,0,0,1
__tpi_cp_50___aig_and_45283,1,0,0,1,0
__tpi_cp_51___aig_and_45330,1,0,0,1,0
__tpi_cp_52___aig_and_45286,1,0,0,1,0
__tpi_cp_53___aig_and_21616,1,0,0,1,0
__tpi_cp_56___aig_and_45333,1,0,0,0,1
__tpi_cp_57___aig_and_25942,1,0,0,0,1
__tpi_cp_58___aig_and_20254,1,0,0,0,1
__tpi_cp_59___aig_and_43655,1,0,0,0,1
__tpi_cp_5___aig_and_33484,1,0,0,0,1
__tpi_cp_60___aig_and_43648,1,0,0,0,1
__tpi_cp_61___aig_and_25939,1,0,0,0,1
__tpi_cp_63___aig_not_45294,1,0,0,0,1
__tpi_cp_66___aig_and_25928,1,0,0,0,1
__tpi_cp_69___aig_and_46202,1,0,0,0,1
__tpi_cp_70___aig_and_21613,1,0,0,0,1
__tpi_cp_71_new_n12656,1,0,0,0,1
__tpi_cp_7___aig_and_26595,1,0,0,0,1
__tpi_cp_8___aig_not_45280,1,0,0,0,1
__tpi_cp_9___aig_not_26604,1,0,0,0,1
