line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_109___aig_not_46413 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_109___aig_not_46413,__tpi_cp_109___aig_not_46413,1,undetected,__tpi_cp_109___aig_not_46413,__tpi_cp_109___aig_not_46413,__tpi_cp_109___aig_not_46413,sa1,1
2,__tpi_not_test_en->__tpi_cp_35___aig_not_46244 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_35___aig_not_46244,__tpi_cp_35___aig_not_46244,1,undetected,__tpi_cp_35___aig_not_46244,__tpi_cp_35___aig_not_46244,__tpi_cp_35___aig_not_46244,sa1,1
3,__tpi_not_test_en->__tpi_cp_48___aig_not_46238 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_48___aig_not_46238,__tpi_cp_48___aig_not_46238,1,undetected,__tpi_cp_48___aig_not_46238,__tpi_cp_48___aig_not_46238,__tpi_cp_48___aig_not_46238,sa1,1
4,__tpi_not_test_en->__tpi_cp_25___aig_and_46210 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_25___aig_and_46210,__tpi_cp_25___aig_and_46210,1,undetected,__tpi_cp_25___aig_and_46210,__tpi_cp_25___aig_and_46210,__tpi_cp_25___aig_and_46210,sa1,1
5,__tpi_not_test_en->__tpi_cp_69___aig_and_46202 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_69___aig_and_46202,__tpi_cp_69___aig_and_46202,1,undetected,__tpi_cp_69___aig_and_46202,__tpi_cp_69___aig_and_46202,__tpi_cp_69___aig_and_46202,sa1,1
6,test_en->__tpi_cp_75___aig_and_45306 /0 undetected,input_edge,test_en,__tpi_cp_75___aig_and_45306,__tpi_cp_75___aig_and_45306,0,undetected,__tpi_cp_75___aig_and_45306,__tpi_cp_75___aig_and_45306,__tpi_cp_75___aig_and_45306,sa0,1
7,__tpi_not_test_en->__tpi_cp_72___aig_not_45297 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_72___aig_not_45297,__tpi_cp_72___aig_not_45297,1,undetected,__tpi_cp_72___aig_not_45297,__tpi_cp_72___aig_not_45297,__tpi_cp_72___aig_not_45297,sa1,1
8,__tpi_not_test_en->__tpi_cp_39___aig_and_45431 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_39___aig_and_45431,__tpi_cp_39___aig_and_45431,1,undetected,__tpi_cp_39___aig_and_45431,__tpi_cp_39___aig_and_45431,__tpi_cp_39___aig_and_45431,sa1,1
9,test_en->__tpi_cp_50___aig_and_45283 /0 undetected,input_edge,test_en,__tpi_cp_50___aig_and_45283,__tpi_cp_50___aig_and_45283,0,undetected,__tpi_cp_50___aig_and_45283,__tpi_cp_50___aig_and_45283,__tpi_cp_50___aig_and_45283,sa0,1
10,__tpi_not_test_en->__tpi_cp_8___aig_not_45280 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_8___aig_not_45280,__tpi_cp_8___aig_not_45280,1,undetected,__tpi_cp_8___aig_not_45280,__tpi_cp_8___aig_not_45280,__tpi_cp_8___aig_not_45280,sa1,1
11,test_en->__tpi_cp_16___aig_not_45278 /0 undetected,input_edge,test_en,__tpi_cp_16___aig_not_45278,__tpi_cp_16___aig_not_45278,0,undetected,__tpi_cp_16___aig_not_45278,__tpi_cp_16___aig_not_45278,__tpi_cp_16___aig_not_45278,sa0,1
12,__tpi_not_test_en->__tpi_cp_31___aig_and_45275 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_31___aig_and_45275,__tpi_cp_31___aig_and_45275,1,undetected,__tpi_cp_31___aig_and_45275,__tpi_cp_31___aig_and_45275,__tpi_cp_31___aig_and_45275,sa1,1
13,test_en->__tpi_cp_94___aig_not_45334 /0 undetected,input_edge,test_en,__tpi_cp_94___aig_not_45334,__tpi_cp_94___aig_not_45334,0,undetected,__tpi_cp_94___aig_not_45334,__tpi_cp_94___aig_not_45334,__tpi_cp_94___aig_not_45334,sa0,1
14,__tpi_not_test_en->__tpi_cp_27___aig_and_45421 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_27___aig_and_45421,__tpi_cp_27___aig_and_45421,1,undetected,__tpi_cp_27___aig_and_45421,__tpi_cp_27___aig_and_45421,__tpi_cp_27___aig_and_45421,sa1,1
15,__tpi_not_test_en->__tpi_cp_56___aig_and_45333 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_56___aig_and_45333,__tpi_cp_56___aig_and_45333,1,undetected,__tpi_cp_56___aig_and_45333,__tpi_cp_56___aig_and_45333,__tpi_cp_56___aig_and_45333,sa1,1
16,test_en->__tpi_cp_51___aig_and_45330 /0 undetected,input_edge,test_en,__tpi_cp_51___aig_and_45330,__tpi_cp_51___aig_and_45330,0,undetected,__tpi_cp_51___aig_and_45330,__tpi_cp_51___aig_and_45330,__tpi_cp_51___aig_and_45330,sa0,1
17,__tpi_not_test_en->__tpi_cp_21___aig_and_26009 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_21___aig_and_26009,__tpi_cp_21___aig_and_26009,1,undetected,__tpi_cp_21___aig_and_26009,__tpi_cp_21___aig_and_26009,__tpi_cp_21___aig_and_26009,sa1,1
18,__tpi_not_test_en->__tpi_cp_11___aig_not_45325 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___aig_not_45325,__tpi_cp_11___aig_not_45325,1,undetected,__tpi_cp_11___aig_not_45325,__tpi_cp_11___aig_not_45325,__tpi_cp_11___aig_not_45325,sa1,1
19,__tpi_not_test_en->__tpi_cp_4___aig_and_26004 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_4___aig_and_26004,__tpi_cp_4___aig_and_26004,1,undetected,__tpi_cp_4___aig_and_26004,__tpi_cp_4___aig_and_26004,__tpi_cp_4___aig_and_26004,sa1,1
20,__tpi_not_test_en->__tpi_cp_9___aig_not_26604 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9___aig_not_26604,__tpi_cp_9___aig_not_26604,1,undetected,__tpi_cp_9___aig_not_26604,__tpi_cp_9___aig_not_26604,__tpi_cp_9___aig_not_26604,sa1,1
21,__tpi_not_test_en->__tpi_cp_29___aig_and_45394 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_29___aig_and_45394,__tpi_cp_29___aig_and_45394,1,undetected,__tpi_cp_29___aig_and_45394,__tpi_cp_29___aig_and_45394,__tpi_cp_29___aig_and_45394,sa1,1
22,__tpi_not_test_en->__tpi_cp_22___aig_not_45390 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_22___aig_not_45390,__tpi_cp_22___aig_not_45390,1,undetected,__tpi_cp_22___aig_not_45390,__tpi_cp_22___aig_not_45390,__tpi_cp_22___aig_not_45390,sa1,1
23,__tpi_not_test_en->__tpi_cp_24___aig_not_45388 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_24___aig_not_45388,__tpi_cp_24___aig_not_45388,1,undetected,__tpi_cp_24___aig_not_45388,__tpi_cp_24___aig_not_45388,__tpi_cp_24___aig_not_45388,sa1,1
24,__tpi_not_test_en->__tpi_cp_115_new_n12656 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_115_new_n12656,__tpi_cp_115_new_n12656,1,undetected,__tpi_cp_115_new_n12656,__tpi_cp_115_new_n12656,__tpi_cp_115_new_n12656,sa1,1
25,test_en->__tpi_cp_2___aig_not_26526 /0 undetected,input_edge,test_en,__tpi_cp_2___aig_not_26526,__tpi_cp_2___aig_not_26526,0,undetected,__tpi_cp_2___aig_not_26526,__tpi_cp_2___aig_not_26526,__tpi_cp_2___aig_not_26526,sa0,1
26,__tpi_not_test_en->__tpi_cp_1___aig_and_33334 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_1___aig_and_33334,__tpi_cp_1___aig_and_33334,1,undetected,__tpi_cp_1___aig_and_33334,__tpi_cp_1___aig_and_33334,__tpi_cp_1___aig_and_33334,sa1,1
