line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,test_en->__tpi_cp_294_new_n24683 /0 undetected,input_edge,test_en,__tpi_cp_294_new_n24683,__tpi_cp_294_new_n24683,0,undetected,__tpi_cp_294_new_n24683,__tpi_cp_294_new_n24683,__tpi_cp_294_new_n24683,sa0,1
2,test_en->__tpi_cp_48___aig_and_57368 /0 undetected,input_edge,test_en,__tpi_cp_48___aig_and_57368,__tpi_cp_48___aig_and_57368,0,undetected,__tpi_cp_48___aig_and_57368,__tpi_cp_48___aig_and_57368,__tpi_cp_48___aig_and_57368,sa0,1
3,__tpi_not_test_en->__tpi_cp_281___aig_not_57367 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_281___aig_not_57367,__tpi_cp_281___aig_not_57367,1,undetected,__tpi_cp_281___aig_not_57367,__tpi_cp_281___aig_not_57367,__tpi_cp_281___aig_not_57367,sa1,1
4,__tpi_not_test_en->__tpi_cp_280_new_n24682 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_280_new_n24682,__tpi_cp_280_new_n24682,1,undetected,__tpi_cp_280_new_n24682,__tpi_cp_280_new_n24682,__tpi_cp_280_new_n24682,sa1,1
5,__tpi_not_test_en->__tpi_cp_266___aig_and_57366 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_266___aig_and_57366,__tpi_cp_266___aig_and_57366,1,undetected,__tpi_cp_266___aig_and_57366,__tpi_cp_266___aig_and_57366,__tpi_cp_266___aig_and_57366,sa1,1
6,__tpi_not_test_en->__tpi_cp_49___aig_not_57365 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_49___aig_not_57365,__tpi_cp_49___aig_not_57365,1,undetected,__tpi_cp_49___aig_not_57365,__tpi_cp_49___aig_not_57365,__tpi_cp_49___aig_not_57365,sa1,1
7,__tpi_not_test_en->__tpi_cp_300___aig_not_57364 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_300___aig_not_57364,__tpi_cp_300___aig_not_57364,1,undetected,__tpi_cp_300___aig_not_57364,__tpi_cp_300___aig_not_57364,__tpi_cp_300___aig_not_57364,sa1,1
8,__tpi_not_test_en->__tpi_cp_271___aig_not_57375 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_271___aig_not_57375,__tpi_cp_271___aig_not_57375,1,undetected,__tpi_cp_271___aig_not_57375,__tpi_cp_271___aig_not_57375,__tpi_cp_271___aig_not_57375,sa1,1
9,test_en->__tpi_cp_45___aig_and_57373 /0 undetected,input_edge,test_en,__tpi_cp_45___aig_and_57373,__tpi_cp_45___aig_and_57373,0,undetected,__tpi_cp_45___aig_and_57373,__tpi_cp_45___aig_and_57373,__tpi_cp_45___aig_and_57373,sa0,1
10,__tpi_not_test_en->__tpi_cp_124___aig_not_57372 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_124___aig_not_57372,__tpi_cp_124___aig_not_57372,1,undetected,__tpi_cp_124___aig_not_57372,__tpi_cp_124___aig_not_57372,__tpi_cp_124___aig_not_57372,sa1,1
11,__tpi_not_test_en->__tpi_cp_53___aig_not_57370 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_53___aig_not_57370,__tpi_cp_53___aig_not_57370,1,undetected,__tpi_cp_53___aig_not_57370,__tpi_cp_53___aig_not_57370,__tpi_cp_53___aig_not_57370,sa1,1
12,test_en->__tpi_cp_293_new_n24681 /0 undetected,input_edge,test_en,__tpi_cp_293_new_n24681,__tpi_cp_293_new_n24681,0,undetected,__tpi_cp_293_new_n24681,__tpi_cp_293_new_n24681,__tpi_cp_293_new_n24681,sa0,1
13,test_en->__tpi_cp_73___aig_and_57363 /0 undetected,input_edge,test_en,__tpi_cp_73___aig_and_57363,__tpi_cp_73___aig_and_57363,0,undetected,__tpi_cp_73___aig_and_57363,__tpi_cp_73___aig_and_57363,__tpi_cp_73___aig_and_57363,sa0,1
14,__tpi_not_test_en->__tpi_cp_278___aig_not_57362 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_278___aig_not_57362,__tpi_cp_278___aig_not_57362,1,undetected,__tpi_cp_278___aig_not_57362,__tpi_cp_278___aig_not_57362,__tpi_cp_278___aig_not_57362,sa1,1
15,__tpi_not_test_en->__tpi_cp_125___aig_not_57357 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_125___aig_not_57357,__tpi_cp_125___aig_not_57357,1,undetected,__tpi_cp_125___aig_not_57357,__tpi_cp_125___aig_not_57357,__tpi_cp_125___aig_not_57357,sa1,1
16,test_en->__tpi_cp_47___aig_and_57355 /0 undetected,input_edge,test_en,__tpi_cp_47___aig_and_57355,__tpi_cp_47___aig_and_57355,0,undetected,__tpi_cp_47___aig_and_57355,__tpi_cp_47___aig_and_57355,__tpi_cp_47___aig_and_57355,sa0,1
17,test_en->__tpi_cp_182_new_n24645 /0 undetected,input_edge,test_en,__tpi_cp_182_new_n24645,__tpi_cp_182_new_n24645,0,undetected,__tpi_cp_182_new_n24645,__tpi_cp_182_new_n24645,__tpi_cp_182_new_n24645,sa0,1
18,__tpi_not_test_en->__tpi_cp_83_new_n24647 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_83_new_n24647,__tpi_cp_83_new_n24647,1,undetected,__tpi_cp_83_new_n24647,__tpi_cp_83_new_n24647,__tpi_cp_83_new_n24647,sa1,1
