node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_and_5,2,0,0,0,2
__aig_and_54164,2,0,0,0,2
__tpi_cp_259___aig_not_4086,2,0,1,0,1
__tpi_cp_317___buf_split_32441,2,0,1,0,1
__tpi_cp_32___aig_not_5667,2,0,1,0,1
__tpi_cp_56___aig_not_1,2,0,1,0,1
__aig_and_20,1,0,0,0,1
__aig_and_4,1,0,0,0,1
__aig_and_4090,1,0,0,0,1
__aig_and_4091,1,0,0,0,1
__aig_and_5117,1,0,0,0,1
__aig_and_5118,1,0,0,0,1
__aig_and_54162,1,0,0,0,1
__aig_and_5671,1,0,0,0,1
__aig_and_5672,1,0,0,0,1
__aig_not_1,1,0,1,0,0
__aig_not_4086,1,0,1,0,0
__aig_not_4583,1,0,1,0,0
__aig_not_4587,1,0,1,0,0
__aig_not_4590,1,0,1,0,0
__aig_not_5113,1,0,1,0,0
__aig_not_55901,1,0,1,0,0
__aig_not_55904,1,0,1,0,0
__aig_not_5667,1,0,1,0,0
__buf_split_2457,1,0,1,0,0
__buf_split_2750,1,0,1,0,0
__buf_split_2752,1,0,1,0,0
__buf_split_3056,1,1,0,0,0
__buf_split_3059,1,0,1,0,0
__buf_split_32441,1,0,1,0,0
__buf_split_32443,1,0,1,0,0
__buf_split_3384,1,0,1,0,0
__tpi_cp_0___aig_not_55363,1,0,0,0,1
__tpi_cp_100___aig_not_57278,1,0,0,0,1
__tpi_cp_101___aig_not_5119,1,0,0,1,0
__tpi_cp_103___aig_and_57250,1,0,0,0,1
__tpi_cp_104___aig_not_57263,1,0,0,0,1
__tpi_cp_105___aig_and_57260,1,0,0,1,0
__tpi_cp_106___aig_and_4551,1,0,0,0,1
__tpi_cp_107___aig_not_55340,1,0,0,0,1
__tpi_cp_108___aig_not_57255,1,0,0,0,1
__tpi_cp_109___aig_not_4580,1,0,0,0,1
__tpi_cp_10___buf_split_32438,1,0,0,0,1
__tpi_cp_110___buf_split_2721,1,0,0,1,0
__tpi_cp_111___aig_not_5106,1,0,0,0,1
__tpi_cp_112___aig_and_4553,1,0,0,1,0
__tpi_cp_114___aig_not_4528,1,0,0,0,1
__tpi_cp_115___aig_not_57258,1,0,0,0,1
__tpi_cp_116___buf_split_2715,1,0,0,0,1
__tpi_cp_117___aig_not_55370,1,0,0,0,1
__tpi_cp_118___aig_not_4058,1,0,0,0,1
__tpi_cp_119___aig_not_55375,1,0,0,0,1
__tpi_cp_11_new_n23822,1,0,0,1,0
__tpi_cp_120___aig_not_4026,1,0,0,0,1
__tpi_cp_121___aig_not_4576,1,0,0,0,1
__tpi_cp_122_asqrt_43_,1,0,0,0,1
__tpi_cp_123___aig_not_55372,1,0,0,0,1
__tpi_cp_124___aig_not_57372,1,0,0,0,1
__tpi_cp_125___aig_not_57357,1,0,0,0,1
__tpi_cp_127___aig_not_54167,1,0,0,0,1
__tpi_cp_129___aig_not_4554,1,0,0,0,1
__tpi_cp_12___aig_not_5675,1,0,0,0,1
__tpi_cp_130___aig_and_55373,1,0,0,1,0
__tpi_cp_131___aig_not_55362,1,0,0,0,1
__tpi_cp_133___aig_not_5075,1,0,0,0,1
__tpi_cp_134_new_n23831,1,0,0,1,0
__tpi_cp_135___aig_not_57246,1,0,0,1,0
__tpi_cp_136___aig_not_57251,1,0,0,0,1
__tpi_cp_138___aig_not_57259,1,0,0,0,1
__tpi_cp_139___aig_and_5669,1,0,0,1,0
__tpi_cp_13___aig_not_5104,1,0,0,0,1
__tpi_cp_140___aig_and_4526,1,0,0,1,0
__tpi_cp_141___aig_not_56059,1,0,0,1,0
__tpi_cp_142___aig_not_5120,1,0,0,0,1
__tpi_cp_143_new_n2341,1,0,0,1,0
__tpi_cp_144___aig_and_2,1,0,0,1,0
__tpi_cp_145___aig_and_4577,1,0,0,1,0
__tpi_cp_147___aig_and_5676,1,0,0,0,1
__tpi_cp_148___aig_and_4538,1,0,0,1,0
__tpi_cp_150_new_n2112,1,0,0,1,0
__tpi_cp_155___aig_and_55318,1,0,0,1,0
__tpi_cp_156___aig_and_54162,1,0,0,1,0
__tpi_cp_158___aig_and_5,1,0,0,1,0
__tpi_cp_160___aig_and_53597,1,0,0,1,0
__tpi_cp_164___aig_and_4,1,0,0,1,0
__tpi_cp_166___aig_and_20,1,0,0,1,0
__tpi_cp_169___aig_and_5052,1,0,0,1,0
__tpi_cp_16___aig_not_5095,1,0,0,0,1
__tpi_cp_170_new_n23823,1,0,0,1,0
__tpi_cp_173___aig_and_55361,1,0,0,1,0
__tpi_cp_175___buf_split_32116,1,0,0,0,1
__tpi_cp_176___aig_not_55388,1,0,0,0,1
__tpi_cp_177___aig_not_4561,1,0,0,0,1
__tpi_cp_178_new_n2130,1,0,0,1,0
__tpi_cp_179___aig_and_4560,1,0,0,1,0
__tpi_cp_17___aig_not_4525,1,0,0,0,1
__tpi_cp_180___aig_not_55379,1,0,0,0,1
__tpi_cp_182_new_n24645,1,0,0,1,0
__tpi_cp_183___aig_not_5674,1,0,0,0,1
__tpi_cp_185___aig_not_5673,1,0,0,0,1
__tpi_cp_186_new_n2104,1,0,0,0,1
__tpi_cp_187___aig_not_4569,1,0,0,0,1
__tpi_cp_188___aig_and_57273,1,0,0,1,0
__tpi_cp_189___aig_not_56032,1,0,0,1,0
__tpi_cp_18___aig_not_5083,1,0,0,0,1
__tpi_cp_191_asqrt_2_,1,0,0,0,1
__tpi_cp_193___aig_not_55368,1,0,0,1,0
__tpi_cp_194___aig_and_55910,1,0,0,1,0
__tpi_cp_195___aig_not_56036,1,0,0,1,0
__tpi_cp_196___aig_not_55382,1,0,0,1,0
__tpi_cp_197___aig_not_57252,1,0,0,1,0
__tpi_cp_198___aig_not_57277,1,0,0,1,0
__tpi_cp_199___aig_not_57244,1,0,0,1,0
__tpi_cp_1___buf_split_32439,1,0,0,0,1
__tpi_cp_200___aig_not_57242,1,0,0,0,1
__tpi_cp_201___aig_and_4579,1,0,0,1,0
__tpi_cp_202___aig_and_5092,1,0,0,1,0
__tpi_cp_207___aig_not_5087,1,0,0,0,1
