node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_and_23,3,1,0,0,2
__tpi_cp_109_new_n9353,2,0,0,2,0
__aig_and_20,1,0,0,0,1
__aig_and_22,1,0,0,0,1
__aig_and_5,1,0,0,0,1
__aig_and_66,1,0,0,0,1
__aig_not_1,1,0,1,0,0
__aig_not_20430,1,0,1,0,0
__aig_not_20433,1,0,1,0,0
__aig_not_21512,1,0,1,0,0
__aig_not_26,1,0,1,0,0
__aig_not_3,1,0,1,0,0
__buf_split_10,1,0,1,0,0
__buf_split_11970,1,0,1,0,0
__buf_split_11972,1,0,1,0,0
__buf_split_5,1,0,1,0,0
__tpi_cp_100_new_n9329,1,0,0,0,1
__tpi_cp_101___aig_not_21490,1,0,0,0,1
__tpi_cp_107_new_n8872,1,0,0,0,1
__tpi_cp_10___aig_not_21431,1,0,0,0,1
__tpi_cp_110_new_n8891,1,0,0,0,1
__tpi_cp_113___aig_not_21494,1,0,0,0,1
__tpi_cp_114_new_n9337,1,0,0,0,1
__tpi_cp_115___buf_split_12586,1,0,0,0,1
__tpi_cp_116___aig_not_21445,1,0,0,0,1
__tpi_cp_118___aig_not_20423,1,0,0,0,1
__tpi_cp_119___aig_not_19344,1,0,0,0,1
__tpi_cp_11___aig_and_28,1,0,0,0,1
__tpi_cp_120___aig_not_20425,1,0,0,0,1
__tpi_cp_121___aig_not_20331,1,0,0,0,1
__tpi_cp_124___buf_split_19188,1,0,0,1,0
__tpi_cp_125___aig_not_32911,1,0,0,0,1
__tpi_cp_126___aig_not_31527,1,0,0,0,1
__tpi_cp_127___aig_not_31533,1,0,0,0,1
__tpi_cp_128___aig_and_30174,1,0,0,0,1
__tpi_cp_12___aig_not_21417,1,0,0,0,1
__tpi_cp_130___aig_and_20372,1,0,0,1,0
__tpi_cp_131___buf_split_12545,1,0,0,1,0
__tpi_cp_132___aig_and_20361,1,0,0,1,0
__tpi_cp_133___aig_and_21430,1,0,0,1,0
__tpi_cp_134___aig_not_21488,1,0,0,0,1
__tpi_cp_135___aig_and_21409,1,0,0,1,0
__tpi_cp_136___aig_not_21451,1,0,0,0,1
__tpi_cp_137___aig_not_20397,1,0,0,0,1
__tpi_cp_138___aig_and_4,1,0,0,1,0
__tpi_cp_139___aig_and_20432,1,0,0,1,0
__tpi_cp_13___aig_not_21454,1,0,0,0,1
__tpi_cp_140___aig_not_21461,1,0,0,0,1
__tpi_cp_141___aig_not_32909,1,0,0,0,1
__tpi_cp_142___aig_not_32901,1,0,0,0,1
__tpi_cp_143___aig_and_5,1,0,0,1,0
__tpi_cp_144___aig_not_34312,1,0,0,0,1
__tpi_cp_145___aig_not_31543,1,0,0,0,1
__tpi_cp_146___aig_and_32913,1,0,0,1,0
__tpi_cp_149___aig_and_23,1,0,0,1,0
__tpi_cp_14___aig_not_21468,1,0,0,0,1
__tpi_cp_153___aig_not_31525,1,0,0,0,1
__tpi_cp_154___aig_not_21403,1,0,0,0,1
__tpi_cp_155___aig_and_19303,1,0,0,0,1
__tpi_cp_157___aig_not_30223,1,0,0,0,1
__tpi_cp_158___aig_not_32918,1,0,0,0,1
__tpi_cp_159___aig_not_32904,1,0,0,0,1
__tpi_cp_15___aig_not_20368,1,0,0,0,1
__tpi_cp_160___aig_not_19346,1,0,0,0,1
__tpi_cp_166___aig_and_19374,1,0,0,1,0
__tpi_cp_167___aig_not_21469,1,0,0,0,1
__tpi_cp_169___aig_and_73,1,0,0,1,0
__tpi_cp_171_new_n13642,1,0,0,1,0
__tpi_cp_175___aig_and_20346,1,0,0,0,1
__tpi_cp_179___aig_and_20405,1,0,0,0,1
__tpi_cp_181___aig_not_21509,1,0,0,0,1
__tpi_cp_18___aig_and_34306,1,0,0,1,0
__tpi_cp_1_new_n8862,1,0,0,1,0
__tpi_cp_21___aig_and_32903,1,0,0,1,0
__tpi_cp_23___aig_not_21505,1,0,0,0,1
__tpi_cp_24___aig_and_32885,1,0,0,1,0
__tpi_cp_25___aig_and_34317,1,0,0,0,1
__tpi_cp_26___aig_not_20410,1,0,0,0,1
__tpi_cp_27___aig_and_34289,1,0,0,0,1
