line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,test_en->__tpi_cp_322___aig_not_39944 /0 undetected,input_edge,test_en,__tpi_cp_322___aig_not_39944,__tpi_cp_322___aig_not_39944,0,undetected,__tpi_cp_322___aig_not_39944,__tpi_cp_322___aig_not_39944,__tpi_cp_322___aig_not_39944,sa0,1
2,__tpi_not_test_en->__tpi_cp_231___buf_split_23252 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_231___buf_split_23252,__tpi_cp_231___buf_split_23252,1,undetected,__tpi_cp_231___buf_split_23252,__tpi_cp_231___buf_split_23252,__tpi_cp_231___buf_split_23252,sa1,1
3,test_en->__tpi_cp_325_new_n17227 /0 undetected,input_edge,test_en,__tpi_cp_325_new_n17227,__tpi_cp_325_new_n17227,0,undetected,__tpi_cp_325_new_n17227,__tpi_cp_325_new_n17227,__tpi_cp_325_new_n17227,sa0,1
4,test_en->__tpi_cp_66___aig_and_39936 /0 undetected,input_edge,test_en,__tpi_cp_66___aig_and_39936,__tpi_cp_66___aig_and_39936,0,undetected,__tpi_cp_66___aig_and_39936,__tpi_cp_66___aig_and_39936,__tpi_cp_66___aig_and_39936,sa0,1
5,__tpi_not_test_en->__tpi_cp_232___buf_split_23246 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_232___buf_split_23246,__tpi_cp_232___buf_split_23246,1,undetected,__tpi_cp_232___buf_split_23246,__tpi_cp_232___buf_split_23246,__tpi_cp_232___buf_split_23246,sa1,1
6,test_en->__tpi_cp_259_new_n16588 /0 undetected,input_edge,test_en,__tpi_cp_259_new_n16588,__tpi_cp_259_new_n16588,0,undetected,__tpi_cp_259_new_n16588,__tpi_cp_259_new_n16588,__tpi_cp_259_new_n16588,sa0,1
7,test_en->__tpi_cp_132___aig_and_38440 /0 undetected,input_edge,test_en,__tpi_cp_132___aig_and_38440,__tpi_cp_132___aig_and_38440,0,undetected,__tpi_cp_132___aig_and_38440,__tpi_cp_132___aig_and_38440,__tpi_cp_132___aig_and_38440,sa0,1
8,__tpi_not_test_en->__tpi_cp_35___aig_not_38438 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_35___aig_not_38438,__tpi_cp_35___aig_not_38438,1,undetected,__tpi_cp_35___aig_not_38438,__tpi_cp_35___aig_not_38438,__tpi_cp_35___aig_not_38438,sa1,1
9,__tpi_not_test_en->__tpi_cp_238___buf_split_22383 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_238___buf_split_22383,__tpi_cp_238___buf_split_22383,1,undetected,__tpi_cp_238___buf_split_22383,__tpi_cp_238___buf_split_22383,__tpi_cp_238___buf_split_22383,sa1,1
10,__tpi_not_test_en->__tpi_cp_185___aig_not_38435 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_185___aig_not_38435,__tpi_cp_185___aig_not_38435,1,undetected,__tpi_cp_185___aig_not_38435,__tpi_cp_185___aig_not_38435,__tpi_cp_185___aig_not_38435,sa1,1
11,test_en->__tpi_cp_250_new_n16583 /0 undetected,input_edge,test_en,__tpi_cp_250_new_n16583,__tpi_cp_250_new_n16583,0,undetected,__tpi_cp_250_new_n16583,__tpi_cp_250_new_n16583,__tpi_cp_250_new_n16583,sa0,1
12,test_en->__tpi_cp_230___aig_and_38430 /0 undetected,input_edge,test_en,__tpi_cp_230___aig_and_38430,__tpi_cp_230___aig_and_38430,0,undetected,__tpi_cp_230___aig_and_38430,__tpi_cp_230___aig_and_38430,__tpi_cp_230___aig_and_38430,sa0,1
13,__tpi_not_test_en->__tpi_cp_260___buf_split_22377 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_260___buf_split_22377,__tpi_cp_260___buf_split_22377,1,undetected,__tpi_cp_260___buf_split_22377,__tpi_cp_260___buf_split_22377,__tpi_cp_260___buf_split_22377,sa1,1
14,test_en->__tpi_cp_323___aig_not_38421 /0 undetected,input_edge,test_en,__tpi_cp_323___aig_not_38421,__tpi_cp_323___aig_not_38421,0,undetected,__tpi_cp_323___aig_not_38421,__tpi_cp_323___aig_not_38421,__tpi_cp_323___aig_not_38421,sa0,1
15,__tpi_not_test_en->__tpi_cp_235___buf_split_22371 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_235___buf_split_22371,__tpi_cp_235___buf_split_22371,1,undetected,__tpi_cp_235___buf_split_22371,__tpi_cp_235___buf_split_22371,__tpi_cp_235___buf_split_22371,sa1,1
16,__tpi_not_test_en->__tpi_cp_293___aig_not_36960 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_293___aig_not_36960,__tpi_cp_293___aig_not_36960,1,undetected,__tpi_cp_293___aig_not_36960,__tpi_cp_293___aig_not_36960,__tpi_cp_293___aig_not_36960,sa1,1
17,__tpi_not_test_en->__tpi_cp_295___buf_split_21530 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_295___buf_split_21530,__tpi_cp_295___buf_split_21530,1,undetected,__tpi_cp_295___buf_split_21530,__tpi_cp_295___buf_split_21530,__tpi_cp_295___buf_split_21530,sa1,1
18,__tpi_not_test_en->__tpi_cp_38___aig_not_36957 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_38___aig_not_36957,__tpi_cp_38___aig_not_36957,1,undetected,__tpi_cp_38___aig_not_36957,__tpi_cp_38___aig_not_36957,__tpi_cp_38___aig_not_36957,sa1,1
19,test_en->__tpi_cp_326___buf_split_21528 /0 undetected,input_edge,test_en,__tpi_cp_326___buf_split_21528,__tpi_cp_326___buf_split_21528,0,undetected,__tpi_cp_326___buf_split_21528,__tpi_cp_326___buf_split_21528,__tpi_cp_326___buf_split_21528,sa0,1
20,test_en->__tpi_cp_273_new_n15951 /0 undetected,input_edge,test_en,__tpi_cp_273_new_n15951,__tpi_cp_273_new_n15951,0,undetected,__tpi_cp_273_new_n15951,__tpi_cp_273_new_n15951,__tpi_cp_273_new_n15951,sa0,1
21,test_en->__tpi_cp_252___aig_and_36952 /0 undetected,input_edge,test_en,__tpi_cp_252___aig_and_36952,__tpi_cp_252___aig_and_36952,0,undetected,__tpi_cp_252___aig_and_36952,__tpi_cp_252___aig_and_36952,__tpi_cp_252___aig_and_36952,sa0,1
22,__tpi_not_test_en->__tpi_cp_32___aig_not_36951 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_32___aig_not_36951,__tpi_cp_32___aig_not_36951,1,undetected,__tpi_cp_32___aig_not_36951,__tpi_cp_32___aig_not_36951,__tpi_cp_32___aig_not_36951,sa1,1
23,test_en->__tpi_cp_358___buf_split_21523 /0 undetected,input_edge,test_en,__tpi_cp_358___buf_split_21523,__tpi_cp_358___buf_split_21523,0,undetected,__tpi_cp_358___buf_split_21523,__tpi_cp_358___buf_split_21523,__tpi_cp_358___buf_split_21523,sa0,1
24,__tpi_not_test_en->__tpi_cp_291___buf_split_21524 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_291___buf_split_21524,__tpi_cp_291___buf_split_21524,1,undetected,__tpi_cp_291___buf_split_21524,__tpi_cp_291___buf_split_21524,__tpi_cp_291___buf_split_21524,sa1,1
25,__tpi_not_test_en->__tpi_cp_297___aig_not_36921 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_297___aig_not_36921,__tpi_cp_297___aig_not_36921,1,undetected,__tpi_cp_297___aig_not_36921,__tpi_cp_297___aig_not_36921,__tpi_cp_297___aig_not_36921,sa1,1
26,test_en->__tpi_cp_78___aig_and_36920 /0 undetected,input_edge,test_en,__tpi_cp_78___aig_and_36920,__tpi_cp_78___aig_and_36920,0,undetected,__tpi_cp_78___aig_and_36920,__tpi_cp_78___aig_and_36920,__tpi_cp_78___aig_and_36920,sa0,1
27,__tpi_not_test_en->__tpi_cp_215___aig_not_36919 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_215___aig_not_36919,__tpi_cp_215___aig_not_36919,1,undetected,__tpi_cp_215___aig_not_36919,__tpi_cp_215___aig_not_36919,__tpi_cp_215___aig_not_36919,sa1,1
28,test_en->__tpi_cp_303___buf_split_21505 /0 undetected,input_edge,test_en,__tpi_cp_303___buf_split_21505,__tpi_cp_303___buf_split_21505,0,undetected,__tpi_cp_303___buf_split_21505,__tpi_cp_303___buf_split_21505,__tpi_cp_303___buf_split_21505,sa0,1
