node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
4563,2,0,0,0,2
1869,1,0,0,0,1
1874,1,0,0,0,1
1879,1,0,0,0,1
1884,1,0,0,0,1
__buf_split_1057,1,0,1,0,0
__buf_split_1060,1,0,1,0,0
__buf_split_1075,1,0,1,0,0
__buf_split_1087,1,0,1,0,0
__buf_split_1176,1,0,1,0,0
__buf_split_1179,1,0,1,0,0
__buf_split_1716,1,0,1,0,0
__buf_split_1717,1,0,1,0,0
__buf_split_1726,1,0,1,0,0
__buf_split_1727,1,0,1,0,0
__buf_split_573,1,0,1,0,0
__buf_split_579,1,0,1,0,0
__buf_split_585,1,0,1,0,0
__buf_split_591,1,0,1,0,0
__tpi_cp_0___aig_not_818,1,0,0,0,1
__tpi_cp_100_n_2421,1,0,0,1,0
__tpi_cp_101_n_2238,1,0,0,0,1
__tpi_cp_102___aig_and_220,1,0,0,1,0
__tpi_cp_103___aig_and_215,1,0,0,1,0
__tpi_cp_104___aig_and_230,1,0,0,1,0
__tpi_cp_105_n_4921,1,0,0,1,0
__tpi_cp_106___aig_and_161,1,0,0,1,0
__tpi_cp_107___aig_and_225,1,0,0,1,0
__tpi_cp_108_n_4982,1,0,0,1,0
__tpi_cp_10___aig_not_312,1,0,0,0,1
__tpi_cp_111_n_3434,1,0,0,1,0
__tpi_cp_113_n_1788,1,0,0,1,0
__tpi_cp_114_n_914,1,0,0,0,1
__tpi_cp_115___aig_not_162,1,0,0,0,1
__tpi_cp_116___aig_not_1276,1,0,0,0,1
__tpi_cp_117___aig_not_1271,1,0,0,0,1
__tpi_cp_118___aig_not_406,1,0,0,0,1
__tpi_cp_119___aig_not_154,1,0,0,0,1
__tpi_cp_11___aig_not_296,1,0,0,0,1
__tpi_cp_120___aig_and_1183,1,0,0,1,0
__tpi_cp_124_n_1790,1,0,0,1,0
__tpi_cp_125_n_3645,1,0,0,1,0
__tpi_cp_126_n_3407,1,0,0,1,0
__tpi_cp_128___aig_and_1199,1,0,0,1,0
__tpi_cp_12___aig_not_291,1,0,0,0,1
__tpi_cp_130___aig_and_1194,1,0,0,1,0
__tpi_cp_132___buf_split_1063,1,0,0,1,0
__tpi_cp_135_n_3423,1,0,0,1,0
__tpi_cp_136___buf_split_675,1,0,0,1,0
__tpi_cp_137___buf_split_680,1,0,0,0,1
__tpi_cp_13_n_4035,1,0,0,0,1
__tpi_cp_140_n_5139,1,0,0,0,1
__tpi_cp_143_n_5103,1,0,0,0,1
__tpi_cp_145_n_5203,1,0,0,0,1
__tpi_cp_146_n_5201,1,0,0,0,1
__tpi_cp_147___aig_not_1263,1,0,0,0,1
__tpi_cp_148_n_1196,1,0,0,0,1
__tpi_cp_149___buf_split_1175,1,0,0,0,1
__tpi_cp_14___aig_not_281,1,0,0,0,1
__tpi_cp_150___aig_not_9,1,0,0,0,1
__tpi_cp_151___buf_split_681,1,0,0,1,0
__tpi_cp_153_n_3721,1,0,0,1,0
__tpi_cp_158_n_3429,1,0,0,1,0
__tpi_cp_159___buf_split_1064,1,0,0,1,0
__tpi_cp_15___aig_not_302,1,0,0,0,1
__tpi_cp_160_n_854,1,0,0,0,1
__tpi_cp_162___aig_not_307,1,0,0,0,1
__tpi_cp_163___aig_not_286,1,0,0,0,1
__tpi_cp_164_n_2277,1,0,0,0,1
__tpi_cp_168_n_2057,1,0,0,0,1
__tpi_cp_169_n_1202,1,0,0,0,1
__tpi_cp_16___aig_not_692,1,0,0,0,1
__tpi_cp_172___aig_and_407,1,0,0,0,1
__tpi_cp_173___aig_not_888,1,0,0,1,0
__tpi_cp_174___aig_not_821,1,0,0,1,0
__tpi_cp_175___aig_not_828,1,0,0,1,0
__tpi_cp_177_n_3437,1,0,0,1,0
__tpi_cp_178_n_3652,1,0,0,1,0
__tpi_cp_179___aig_and_160,1,0,0,0,1
__tpi_cp_17_n_3648,1,0,0,1,0
__tpi_cp_180_n_848,1,0,0,1,0
__tpi_cp_181___aig_and_698,1,0,0,1,0
__tpi_cp_182___aig_and_325,1,0,0,1,0
__tpi_cp_183___aig_and_155,1,0,0,0,1
__tpi_cp_184___aig_and_165,1,0,0,0,1
__tpi_cp_185___buf_split_883,1,0,0,1,0
__tpi_cp_186___buf_split_676,1,0,0,1,0
__tpi_cp_187___buf_split_670,1,0,0,1,0
__tpi_cp_188___buf_split_1081,1,0,0,0,1
__tpi_cp_189___buf_split_668,1,0,0,1,0
__tpi_cp_18_n_3410,1,0,0,1,0
__tpi_cp_190_n_2052,1,0,0,1,0
__tpi_cp_191___buf_split_261,1,0,0,0,1
__tpi_cp_192_n_1870,1,0,0,1,0
__tpi_cp_193___buf_split_884,1,0,0,1,0
__tpi_cp_194___buf_split_880,1,0,0,1,0
__tpi_cp_195___buf_split_260,1,0,0,0,1
__tpi_cp_196___buf_split_682,1,0,0,1,0
__tpi_cp_197___buf_split_888,1,0,0,1,0
__tpi_cp_198___buf_split_259,1,0,0,0,1
__tpi_cp_199___buf_split_1065,1,0,0,1,0
__tpi_cp_19_n_3426,1,0,0,1,0
__tpi_cp_1___aig_not_885,1,0,0,0,1
__tpi_cp_200___buf_split_458,1,0,0,1,0
__tpi_cp_202___buf_split_669,1,0,0,1,0
__tpi_cp_203___buf_split_570,1,0,0,0,1
__tpi_cp_204___aig_not_280,1,0,0,0,1
__tpi_cp_208___buf_split_1082,1,0,0,0,1
__tpi_cp_209___buf_split_674,1,0,0,1,0
__tpi_cp_20___aig_and_903,1,0,0,1,0
__tpi_cp_210___aig_and_1234,1,0,0,0,1
__tpi_cp_211_n_3415,1,0,0,0,1
__tpi_cp_212___aig_and_1286,1,0,0,1,0
__tpi_cp_213___aig_not_292,1,0,0,0,1
__tpi_cp_214_n_913,1,0,0,0,1
__tpi_cp_215_n_1117,1,0,0,0,1
__tpi_cp_216___buf_split_258,1,0,0,0,1
__tpi_cp_217___aig_not_691,1,0,0,0,1
__tpi_cp_218___aig_not_1291,1,0,0,0,1
__tpi_cp_219_n_4928,1,0,0,0,1
__tpi_cp_21_n_1874,1,0,0,1,0
__tpi_cp_220_n_896,1,0,0,0,1
__tpi_cp_221___aig_not_1232,1,0,0,0,1
__tpi_cp_222_n_5183,1,0,0,0,1
__tpi_cp_223_n_5007,1,0,0,1,0
__tpi_cp_224___aig_not_301,1,0,0,0,1
__tpi_cp_225___buf_split_1285,1,0,0,0,1
__tpi_cp_226_n_4984,1,0,0,0,1
__tpi_cp_227_n_5212,1,0,0,0,1
__tpi_cp_229_n_1888,1,0,0,0,1
__tpi_cp_23___aig_not_318,1,0,0,0,1
__tpi_cp_24___aig_and_13,1,0,0,1,0
__tpi_cp_25_n_1884,1,0,0,1,0
__tpi_cp_26___buf_split_881,1,0,0,0,1
__tpi_cp_27_n_5136,1,0,0,1,0
__tpi_cp_28_n_2240,1,0,0,0,1
__tpi_cp_29___aig_and_11,1,0,0,1,0
__tpi_cp_2___aig_not_807,1,0,0,0,1
__tpi_cp_30_n_1879,1,0,0,1,0
__tpi_cp_31___aig_and_166,1,0,0,1,0
__tpi_cp_32_n_5030,1,0,0,1,0
__tpi_cp_33_n_1869,1,0,0,1,0
__tpi_cp_34___aig_and_1202,1,0,0,0,1
__tpi_cp_35_n_1581,1,0,0,1,0
__tpi_cp_36_n_2486,1,0,0,1,0
__tpi_cp_37___aig_and_1302,1,0,0,0,1
__tpi_cp_38___aig_not_158,1,0,0,0,1
__tpi_cp_39___aig_not_1233,1,0,0,0,1
__tpi_cp_3___aig_not_826,1,0,0,0,1
__tpi_cp_40___aig_not_1197,1,0,0,0,1
__tpi_cp_43___aig_not_1192,1,0,0,0,1
__tpi_cp_47_n_2417,1,0,0,1,0
__tpi_cp_48_n_2420,1,0,0,1,0
__tpi_cp_49___aig_not_1247,1,0,0,0,1
__tpi_cp_4_n_3431,1,0,0,1,0
__tpi_cp_52___aig_not_1258,1,0,0,0,1
__tpi_cp_59_n_793,1,0,0,1,0
__tpi_cp_5___aig_not_117,1,0,0,0,1
__tpi_cp_61___aig_not_14,1,0,0,0,1
__tpi_cp_62___aig_not_300,1,0,0,1,0
__tpi_cp_65_n_842,1,0,0,0,1
__tpi_cp_66_n_3413,1,0,0,1,0
__tpi_cp_67_n_3838,1,0,0,0,1
__tpi_cp_69_n_3557,1,0,0,0,1
__tpi_cp_6___aig_not_121,1,0,0,0,1
__tpi_cp_71___aig_not_753,1,0,0,0,1
__tpi_cp_72_n_3573,1,0,0,0,1
__tpi_cp_73___aig_not_316,1,0,0,1,0
__tpi_cp_75___aig_not_869,1,0,0,0,1
__tpi_cp_76_n_3651,1,0,0,1,0
__tpi_cp_77___aig_and_288,1,0,0,1,0
__tpi_cp_79_n_3115,1,0,0,0,1
__tpi_cp_7___aig_not_109,1,0,0,0,1
__tpi_cp_80_n_3138,1,0,0,0,1
__tpi_cp_81_n_3125,1,0,0,0,1
__tpi_cp_82_n_3122,1,0,0,0,1
__tpi_cp_83___aig_not_323,1,0,0,0,1
__tpi_cp_84___aig_not_697,1,0,0,0,1
__tpi_cp_85___aig_not_755,1,0,0,1,0
__tpi_cp_86_n_3112,1,0,0,0,1
__tpi_cp_88_n_2425,1,0,0,1,0
__tpi_cp_89_n_3135,1,0,0,0,1
__tpi_cp_8___aig_not_113,1,0,0,0,1
__tpi_cp_90___buf_split_1089,1,0,0,0,1
__tpi_cp_91_n_3119,1,0,0,0,1
__tpi_cp_92_n_2270,1,0,0,0,1
__tpi_cp_93_n_3414,1,0,0,1,0
__tpi_cp_94_n_2239,1,0,0,0,1
__tpi_cp_95_n_2430,1,0,0,1,0
__tpi_cp_96_n_2426,1,0,0,1,0
__tpi_cp_97_n_2418,1,0,0,1,0
__tpi_cp_98_n_2241,1,0,0,0,1
__tpi_cp_99_n_2431,1,0,0,1,0
__tpi_cp_9___aig_not_328,1,0,0,0,1
