checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
r21	typed_return_pred	subckt_0020	prefix_0320	320	15	__aig_and_11111::observe	observe	__aig_and_12630::observe	observe	0	1	0	0.0	0.012999999999985246	0.012999999999985246	0.0	0	0.6287787209787742	0.7804878048780488	0.4
r21	typed_return_pred	subckt_0020	prefix_0448	448	15	__aig_and_24142::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.09300000000000974	0.008999999999992347	0.051000000000001044	0.0420000000000087	0	0.7678126990693306	0.8955223880597015	0.75
r21	typed_return_pred	subckt_0020	prefix_0576	576	15	__aig_and_12677::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.07800000000000029	0.007999999999996898	0.042999999999993044	0.034999999999996145	0	0.6197797868009122	0.8225806451612904	0.42857142857142855
r21	typed_return_pred	subckt_0020	prefix_0704	704	15	__buf_split_6990::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.028999999999990145	-0.028999999999990145	0.0	1	0.13617619485048055	0.6153846153846154	0.5
r21	typed_return_pred	subckt_0020	prefix_0767	767	15	__buf_split_7472::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.026000000000003798	-0.026000000000003798	0.0	1	nan	nan	nan
r21	typed_return_pred	subckt_0197	prefix_0320	320	15	__buf_split_21178::observe	observe	__aig_and_35154::control1	control1	0	0	0	0.17300000000000093	0.0180000000000069	0.12400000000001299	0.10600000000000609	0	0.24093544077473367	0.5949367088607594	0.3333333333333333
r21	typed_return_pred	subckt_0197	prefix_0448	448	15	__buf_split_21281::observe	observe	__aig_not_34626::observe	observe	0	1	0	0.0	0.01300000000000745	0.01300000000000745	0.0	0	0.7629271414291484	0.9152542372881356	0.75
r21	typed_return_pred	subckt_0197	prefix_0576	576	15	__buf_split_22163::observe	observe	__buf_split_22163::observe	observe	1	1	1	0.0	0.048000000000003595	0.048000000000003595	0.0	0	0.6071181408711075	0.7662337662337663	0.5
r21	typed_return_pred	subckt_0197	prefix_0704	704	15	__aig_not_36061::control0	control0	__aig_and_36039::control1	control1	0	0	0	0.033999999999989594	-0.027999999999994696	0.005999999999994898	0.033999999999989594	1	-0.04539206495016018	0.46153846153846156	0.5833333333333334
r21	typed_return_pred	subckt_0197	prefix_0767	767	15	__aig_not_36086::control0	control0	__aig_and_36039::control1	control1	0	0	0	0.032999999999994145	-0.058000000000002494	0.006999999999990347	0.06499999999999284	1	-0.37596030887070225	0.23684210526315788	0.23529411764705882
r21	typed_return_pred	subckt_0347	prefix_0320	320	15	__buf_split_344::observe	observe	__aig_and_1260::observe	observe	0	1	0	0.0	0.017000000000000348	0.017000000000000348	0.0	0	0.6957155643796871	0.8709677419354839	0.625
r21	typed_return_pred	subckt_0347	prefix_0448	448	15	__buf_split_161::observe	observe	__buf_split_161::observe	observe	1	1	1	0.0	0.010999999999994348	0.010999999999994348	0.0	0	0.8183170883849714	1.0	nan
r21	typed_return_pred	subckt_0347	prefix_0576	576	15	5111::control0	control0	1384::control1	control1	0	0	0	0.043999999999999595	-0.031999999999998696	0.012000000000000899	0.043999999999999595	1	-0.24743582965269678	0.21428571428571427	0.42857142857142855
r21	typed_return_pred	subckt_0347	prefix_0704	704	15	1883::control0	control0	1384::control1	control1	0	0	0	0.041999999999997595	-0.025999999999992696	0.0160000000000049	0.041999999999997595	1	-0.451848057057532	0.23404255319148937	0.5263157894736842
r21	typed_return_pred	subckt_0347	prefix_0767	767	15	1875::control1	control1	1384::control1	control1	0	1	0	0.041999999999997595	-0.024000000000001798	0.017999999999995797	0.041999999999997595	1	0.30929478706587094	0.8571428571428571	0.7142857142857143
r23	typed_return_pred	subckt_0020	prefix_0320	320	15	__aig_and_11111::observe	observe	__aig_and_12630::observe	observe	0	1	0	0.0	0.012999999999985246	0.012999999999985246	0.0	0	0.5394847014314926	0.7439024390243902	0.45
r23	typed_return_pred	subckt_0020	prefix_0448	448	15	__aig_and_24142::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.09300000000000974	0.008999999999992347	0.051000000000001044	0.0420000000000087	0	0.6926145481295507	0.8656716417910447	0.75
r23	typed_return_pred	subckt_0020	prefix_0576	576	15	__aig_and_12677::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.07800000000000029	0.007999999999996898	0.042999999999993044	0.034999999999996145	0	0.3380617018914066	0.6935483870967742	0.42857142857142855
r23	typed_return_pred	subckt_0020	prefix_0704	704	15	__buf_split_6990::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.028999999999990145	-0.028999999999990145	0.0	1	0.13617619485048055	0.6153846153846154	0.5
r23	typed_return_pred	subckt_0020	prefix_0767	767	15	__buf_split_7472::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.026000000000003798	-0.026000000000003798	0.0	1	nan	nan	nan
r23	typed_return_pred	subckt_0197	prefix_0320	320	15	__buf_split_21178::observe	observe	__aig_and_35154::control1	control1	0	0	0	0.17300000000000093	0.0180000000000069	0.12400000000001299	0.10600000000000609	0	0.24093544077473367	0.5949367088607594	0.3333333333333333
r23	typed_return_pred	subckt_0197	prefix_0448	448	15	__buf_split_21281::observe	observe	__aig_not_34626::observe	observe	0	1	0	0.0	0.01300000000000745	0.01300000000000745	0.0	0	0.7629271414291484	0.9152542372881356	0.75
r23	typed_return_pred	subckt_0197	prefix_0576	576	15	__buf_split_22163::observe	observe	__buf_split_22163::observe	observe	1	1	1	0.0	0.048000000000003595	0.048000000000003595	0.0	0	0.6071181408711075	0.7662337662337663	0.5
r23	typed_return_pred	subckt_0197	prefix_0704	704	15	__aig_not_36061::control0	control0	__aig_and_36039::control1	control1	0	0	0	0.033999999999989594	-0.027999999999994696	0.005999999999994898	0.033999999999989594	1	-0.04539206495016018	0.46153846153846156	0.5833333333333334
r23	typed_return_pred	subckt_0197	prefix_0767	767	15	__aig_not_36090::control1	control1	__aig_and_36039::control1	control1	0	1	0	0.032999999999994145	-0.026000000000003798	0.006999999999990347	0.032999999999994145	1	-0.30690637458832837	0.2894736842105263	0.23529411764705882
r23	typed_return_pred	subckt_0347	prefix_0320	320	15	__aig_and_1260::observe	observe	__aig_and_1260::observe	observe	1	1	1	0.0	0.017000000000000348	0.017000000000000348	0.0	0	0.6957155643796871	0.8709677419354839	0.625
r23	typed_return_pred	subckt_0347	prefix_0448	448	15	__buf_split_161::observe	observe	__buf_split_161::observe	observe	1	1	1	0.0	0.010999999999994348	0.010999999999994348	0.0	0	0.8183170883849714	1.0	nan
r23	typed_return_pred	subckt_0347	prefix_0576	576	15	5111::control0	control0	1384::control1	control1	0	0	0	0.043999999999999595	-0.031999999999998696	0.012000000000000899	0.043999999999999595	1	-0.18557687223952257	0.2857142857142857	0.5714285714285714
r23	typed_return_pred	subckt_0347	prefix_0704	704	15	1883::control0	control0	1384::control1	control1	0	0	0	0.041999999999997595	-0.025999999999992696	0.0160000000000049	0.041999999999997595	1	-0.29969513988509777	0.3191489361702128	0.5263157894736842
r23	typed_return_pred	subckt_0347	prefix_0767	767	15	1875::control1	control1	1384::control1	control1	0	1	0	0.041999999999997595	-0.024000000000001798	0.017999999999995797	0.041999999999997595	1	0.30929478706587094	0.8571428571428571	0.7142857142857143
