[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_marginal/decay_32
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 budgets=iscas99__b15_1:278
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.216913 sequence=5.216913
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.733598 sequence=9.950511
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.054335 sequence=12.004846
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.758709 sequence=13.763555
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.174599 sequence=14.938154
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.328313 sequence=16.266467
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.930696 sequence=17.197163
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.202216 sequence=18.399379
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.224711 sequence=19.624091
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.446109 sequence=21.070199
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.158576 sequence=22.228776
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.071796 sequence=23.300572
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.120083 sequence=27.420655
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.501730 sequence=29.922385
