[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_return/decay_0
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.211244 sequence=5.211244
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.947919
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.066747 sequence=12.014665
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.819893 sequence=13.834558
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.208573 sequence=15.043131
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.313412 sequence=16.356543
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.889284 sequence=17.245827
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.201847 sequence=18.447674
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.301420 sequence=19.749094
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.420531 sequence=21.169625
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.158921 sequence=22.328547
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.117627 sequence=23.446173
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.078952 sequence=27.525125
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.480027 sequence=30.005153
