node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_104,1,0,1,0,0
__buf_split_105,1,0,1,0,0
__buf_split_110,1,0,1,0,0
__buf_split_111,1,0,1,0,0
__buf_split_116,1,0,1,0,0
__buf_split_117,1,0,1,0,0
__buf_split_261,1,0,1,0,0
__buf_split_78,1,0,1,0,0
__buf_split_79,1,0,1,0,0
__buf_split_82,1,0,1,0,0
__buf_split_83,1,0,1,0,0
__buf_split_86,1,0,1,0,0
__buf_split_87,1,0,1,0,0
__buf_split_90,1,0,1,0,0
__buf_split_91,1,0,1,0,0
__buf_split_94,1,0,1,0,0
__buf_split_95,1,0,1,0,0
__buf_split_98,1,0,1,0,0
__buf_split_99,1,0,1,0,0
__tpi_cp_11___aig_and_191,1,0,0,1,0
__tpi_cp_1___aig_and_189,1,0,0,0,1
__tpi_cp_2_n_279,1,0,0,0,1
__tpi_cp_3___buf_split_204,1,0,0,0,1
__tpi_cp_5___aig_not_156,1,0,0,1,0
__tpi_cp_8___aig_and_159,1,0,0,1,0
