benchmark_id,sequence_id,step,net,type,insertion_sequence,delta_test_coverage,status
subckt_0020,structural:subckt_0020:00,1,__buf_split_7025,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,2,new_n5599,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,3,__aig_not_12684,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,4,new_n5600,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,5,new_n9467,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,6,new_n5580,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,7,__buf_split_7027,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,8,new_n9466,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,9,__aig_and_12694,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,10,new_n5596,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""}]",0.0,ok
