[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.230106 sequence=5.230106
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.966781
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.073441 sequence=12.040222
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.756892 sequence=13.797113
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.188108 sequence=14.985221
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.342933 sequence=16.328154
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.952582 sequence=17.280736
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.101187 sequence=18.381922
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.139314 sequence=19.521236
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.196988 sequence=20.718225
