step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,typed_residual_correction,typed_residual_effective_alpha,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,__buf_split_73,control1,3.452993869781494,7.155232226550579,5.999999999999999,1.1169659623503685,4.650900947257877,7.305232226550579,1.0,0.15,3.452993869781494,0.5635067820549011,6.5024819463491434,5.999999999999999,0.005635067820549011,0.2429695725440979,0.030568944290280342,0.5635067820549011,0.030568944290280342,0.09515995159745216,0.1191181093454361,0.07120179384946823,0.030568944290280342,2.186856924295425,0.07984919846057892,0.1191181093454361,0.07120179384946823,588.238037109375,240.5786590576172,347.65936279296875,589.982177734375,249.68820190429688,340.2939453125,-0.0029650251381099224,-0.037865132093429565,0.021185729652643204,-0.29650251381099224,8.578995572403073,6.6764748370647435,8.133438777644187,6.6764748370647435,5.934081429243088,5.432152929008008,7.155232226550579,7.155232226550579,7.155232226550579,greedy,7.155232226550579,0.0,hard_fault_cluster,,False
2,__aig_and_190,observe,1.6851001977920532,3.1409898255765443,2.1769391536712646,0.6533068554103375,2.0416433866247536,3.290989825576544,1.0,0.15,1.6851001977920532,0.40668386220932007,3.5432192876935007,2.8128272414207456,0.0040668386220932004,0.23776906728744507,0.001149442046880722,0.40668386220932007,0.001149442046880722,0.04572960548102856,0.06291075050830841,0.028548460453748703,0.001149442046880722,0.7589829385280609,0.03800680860877037,0.06291075050830841,0.028548460453748703,590.359375,251.34140014648438,339.0179443359375,592.019775390625,251.68853759765625,340.33123779296875,-0.0028125247918069363,-0.0013811391545459628,-0.0038738169241696596,-0.2812524791806936,4.208514165133238,3.5399573606252672,3.9026391869410872,3.839803437590599,2.9916679859161377,2.4847862546145913,3.1409898255765443,10.296222052127124,10.296222052127124,greedy,3.1409898255765443,0.0,hard_fault_cluster,,False
3,__buf_split_149,control0,1.3236325979232788,3.724070422500372,2.4745552659034726,0.7662823717296122,2.4206457746252417,3.8740704225003717,1.0,0.15,1.3236325979232788,0.3607752323150635,3.8888830944895747,2.8584818243980403,0.003607752323150635,0.2486412227153778,-0.0007319822907447815,0.3607752323150635,-0.0007319822907447815,0.03821465186774731,0.055657632648944855,0.02077167108654976,-0.0007319822907447815,1.516298510432243,0.02807929366827011,0.055657632648944855,0.02077167108654976,592.5931396484375,252.16505432128906,340.4281005859375,589.246826171875,247.509521484375,341.7372741699219,0.005646898876875639,0.018462244421243668,-0.0038456683978438377,0.5646898876875639,3.16797261685133,3.0953654932975767,2.897940179333091,2.417901186943054,3.2204532891511914,2.588873742818832,3.724070422500372,14.020292474627496,14.020292474627496,greedy,3.724070422500372,0.0,hard_fault_cluster,,False
4,159,control0,1.201002836227417,3.6640968520753088,2.142923104763031,0.8754891911707818,2.381662953848951,3.8140968520753087,1.0,0.15,1.201002836227417,0.37404316663742065,4.61374397072941,3.7195195674896238,0.0037404316663742065,0.2722390294075012,-0.005072377622127533,0.37404316663742065,-0.005072377622127533,0.03677822835743427,0.056068502366542816,0.01748795434832573,-0.005072377622127533,0.8674542233347893,0.023303136229515076,0.056068502366542816,0.01748795434832573,588.0010986328125,245.90626525878906,342.0948486328125,583.040771484375,241.3697509765625,341.6710510253906,0.008435915224254131,0.01844814419746399,0.0012388307368382812,0.8435915224254131,2.6992844119668007,5.924745140820741,2.422556320205331,3.56312190130353,3.6448493957519528,2.9144259456545116,3.6640968520753088,17.684389326702806,17.684389326702806,greedy,3.6640968520753088,0.0,hard_fault_cluster,,False
5,__buf_split_270,control0,1.218141794204712,3.8695518746972084,2.042409014701843,1.2837671265006065,2.5152087185531857,4.019551874697209,1.0,0.15,1.218141794204712,0.4354602098464966,5.874419155716896,4.310235559940338,0.004354602098464966,0.2922429144382477,-0.0030913986265659332,0.4354602098464966,-0.0030913986265659332,0.03871390223503113,0.060350820422172546,0.01707698404788971,-0.0030913986265659332,2.3981884908676143,0.023091498762369156,0.060350820422172546,0.01707698404788971,584.1276245117188,242.84364318847656,341.2839660644531,578.7291259765625,238.906494140625,339.8226318359375,0.009241984225809574,0.016212690621614456,0.004281871952116489,0.9241984225809574,2.7415186874568462,4.356658432483673,2.4172420790418983,4.9826525425910955,4.293167400360107,3.406083904504776,3.8695518746972084,21.553941201400015,21.553941201400015,greedy,3.8695518746972084,0.0,hard_fault_cluster,,False
6,428,control0,1.1196402311325073,3.290626585185528,1.6945171952247617,1.1227186849713324,2.1389072803705935,3.440626585185528,1.0,0.15,1.1196402311325073,0.45119911432266235,5.046238797903061,3.8261581778526303,0.004511991143226623,0.3030890226364136,-0.0031118299812078476,0.45119911432266235,-0.0031118299812078476,0.03746836073696613,0.06001995503902435,0.014916766434907913,-0.0031118299812078476,2.5916398817300794,0.0199175663292408,0.06001995503902435,0.014916766434907913,578.8058471679688,238.99806213378906,339.80780029296875,578.51806640625,239.54722595214844,338.9708251953125,0.0004971973830834031,-0.0022977751214057207,0.00246308371424675,0.04971973830834031,2.4398439172655344,3.588223638534546,2.1037784540094435,2.952437534332275,3.326623463630676,2.7013172751665113,3.290626585185528,24.844567786585543,24.844567786585543,greedy,3.290626585185528,0.0,hard_fault_cluster,,False
7,154,control0,1.0854610204696655,3.9941152650117875,1.8583008885383605,1.4010272139310838,2.5961749222576618,4.144115265011788,1.0,0.15,1.0854610204696655,0.47776222229003906,5.8091048955917355,4.128690886497497,0.0047776222229003905,0.31260034441947937,0.0011829845607280731,0.47776222229003906,0.0011829845607280731,0.03837798163294792,0.06272008270025253,0.01403588056564331,0.0011829845607280731,4.208581153154373,0.019036948680877686,0.06272008270025253,0.01403588056564331,577.0939331054688,237.4632110595703,339.6307373046875,573.47412109375,234.2257843017578,339.24835205078125,0.00627248315140605,0.013633382506668568,0.00112588529009372,0.627248315140605,2.3826400749385357,4.399835987091064,2.0234311698004603,3.45112256526947,3.746570086479187,3.0382920640707014,3.9941152650117875,28.83868305159733,28.83868305159733,greedy,3.9941152650117875,0.0,hard_fault_cluster,,False
8,__aig_not_335,control0,0.9874298572540283,2.2098563140630723,1.3243186473846436,0.6855544048547745,1.436406604140997,2.359856314063072,1.0,0.15,0.9874298572540283,0.47145259380340576,2.875470215082169,2.3142503857612606,0.004714525938034057,0.3259468972682953,0.0013894382864236832,0.47145259380340576,0.0013894382864236832,0.039218200370669365,0.06538784503936768,0.013048555701971054,0.0013894382864236832,1.9801900362968445,0.01704060658812523,0.06538784503936768,0.013048555701971054,574.2352294921875,235.82894897460938,338.40631103515625,574.5913696289062,236.34381103515625,338.24755859375,-0.0006201990181580186,-0.0021832012571394444,0.00046911786193959415,-0.06201990181580186,2.1769026909023523,1.5501249378919602,1.8222711668349802,1.5022562092542648,2.0521158576011658,1.874127717614174,2.2098563140630723,31.0485393656604,31.0485393656604,greedy,2.2098563140630723,0.0,hard_fault_cluster,,False
9,__buf_split_204,observe,0.8487362265586853,2.3085341998934745,1.2170399606227875,0.7317363050580024,1.5005472299307585,2.441543558878783,0.8867290599020571,0.15,0.8487362265586853,0.40851205587387085,2.0257731294631958,1.4176989197731018,0.004085120558738708,0.3296281695365906,0.0034943632781505585,0.40851205587387085,0.0034943632781505585,0.04038617946207523,0.06757278740406036,0.013199571520090103,0.0034943632781505585,3.475019223988056,0.01824086159467697,0.06757278740406036,0.013199571520090103,574.6629028320312,236.57020568847656,338.09271240234375,574.8154907226562,237.7864532470703,337.029052734375,-0.00026552591589279473,-0.005141169764101505,0.003146059112623334,-0.026552591589279473,2.2360925786197186,2.5437430262565615,1.9270877642557025,2.685636055469513,1.6484087169170378,1.4861154616624117,2.3085341998934745,33.357073565553875,33.357073565553875,greedy,2.3085341998934745,0.0,hard_fault_cluster,,False
10,__aig_and_352,control1,0.6841048002243042,2.465373634546995,1.6773613214492797,0.8071441777050494,1.6024928624555468,2.615373634546995,1.0,0.15,0.6841048002243042,0.36664700508117676,3.05030931904912,2.726422619819641,0.003666470050811768,0.33063051104545593,0.004987096413969994,0.36664700508117676,0.004987096413969994,0.0383040364831686,0.06456400454044342,0.012044068425893784,0.004987096413969994,3.241106582954526,0.01593327522277832,0.06456400454044342,0.012044068425893784,574.6488647460938,237.55831909179688,337.0905456542969,577.11181640625,238.71923828125,338.392578125,-0.004286011680960655,-0.004886880982667208,-0.0038625600282102823,-0.4286011680960655,1.9649616237729788,1.7825832156091928,1.6862360476516187,1.6782486227899789,1.803388052433729,1.9494151510670779,2.465373634546995,35.82244720010087,35.82244720010087,greedy,2.465373634546995,0.0,hard_fault_cluster,,False
11,__aig_and_327,observe,0.6049150228500366,2.8146009844541546,1.5852467000484467,0.6596465104818343,1.8294906398952007,2.9384089742939796,0.8253865989321667,0.15,0.6049150228500366,0.35632234811782837,2.8944695398211477,2.1483846664428707,0.0035632234811782838,0.35022076964378357,0.0037240199744701385,0.35632234811782837,0.0037240199744701385,0.03321587294340134,0.049440428614616394,0.01699131727218628,0.0037240199744701385,1.7679341027140616,0.017204299569129944,0.049440428614616394,0.01699131727218628,578.2307739257812,239.56597900390625,338.664794921875,577.6162719726562,238.79306030273438,338.8232116699219,0.001062727882526815,0.003226329106837511,-0.0004677685792557895,0.1062727882526815,2.080476325005293,4.080443076491356,1.810441548936069,3.765155629515648,2.448922288417816,1.9149843168258665,2.8146009844541546,38.63704818455502,38.63704818455502,greedy,2.8146009844541546,0.0,hard_fault_cluster,,False
