node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_0___aig_not_199,1,0,0,1,0
__tpi_cp_12___buf_split_188,1,0,0,0,1
__tpi_cp_13___buf_split_183,1,0,0,0,1
__tpi_cp_14___buf_split_26,1,0,0,0,1
__tpi_cp_15___buf_split_37,1,0,0,0,1
__tpi_cp_16___buf_split_178,1,0,0,0,1
__tpi_cp_17_II613,1,0,0,0,1
__tpi_cp_19___aig_not_175,1,0,0,0,1
__tpi_cp_1___buf_split_146,1,0,0,1,0
__tpi_cp_20_II675,1,0,0,0,1
__tpi_cp_23___buf_split_44,1,0,0,0,1
__tpi_cp_24___buf_split_38,1,0,0,0,1
__tpi_cp_3_II611_3,1,0,0,1,0
__tpi_cp_9___aig_and_68,1,0,0,1,0
