step,node,type,q_pred,q_pred_mean,q_pred_std,q_pred_lcb,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,score_pred_mean,score_pred_std,score_pred_lcb,reward_pred,reward_pred_mean,reward_pred_std,reward_pred_lcb,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,return_pred_mean,return_pred_std,return_pred_lcb,typed_marginal_pred,typed_marginal_pred_mean,typed_marginal_pred_std,typed_marginal_pred_lcb,typed_return_pred,typed_return_pred_mean,typed_return_pred_std,typed_return_pred_lcb,typed_sa_reduction_total_pred,typed_sa_reduction_total_pred_mean,typed_sa_reduction_total_pred_std,typed_sa_reduction_total_pred_lcb,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_mean,guarded_reward_std,guarded_reward_lcb,guarded_reward_context,hard_reduction_total_pred,hard_reduction_total_pred_mean,hard_reduction_total_pred_std,hard_reduction_total_pred_lcb,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,derived_hard_reduction_hybrid_pred_mean,derived_hard_reduction_hybrid_pred_std,derived_hard_reduction_hybrid_pred_lcb,hybrid_pred,hybrid_pred_mean,hybrid_pred_std,hybrid_pred_lcb,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_mean,bounded_residual_hybrid_pred_std,bounded_residual_hybrid_pred_lcb,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,5.195585359632969,3.4872208595275875,4.8682666510343555,4.972210048809648,5.240062654324405,5.195585359632969,5.195585359632969,0.44477294691436414,0.1,3,2,1,0.0,1.0,2,1,1,0.0,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,0.34677982330322266,0.34677982330322266,0.0,0.34677982330322266,4.894380804896355,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.0247904062271118,1.0247904062271118,0.012046805582940578,1.0247904062271118,1.5382179021835327,1.5382179021835327,0.3456072509288788,1.5382179021835327,-0.04741077125072479,-0.04741077125072479,0.03214260935783386,-0.04741077125072479,-0.07539448142051697,0.026029448956251144,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.534015839099884,0.06386370956897736,0.06386370956897736,0.0,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.340892791748047,-2.340892791748047,0.0,-2.340892791748047,6.766791820526123,6.766791820526123,0.0,6.766791820526123,3.4942673456668856,6.481476306915283,6.481476306915283,0.0,6.481476306915283,3.2652305138111113,4.528486633300781,3.278238040097057,5.240062654324405,5.240062654324405,5.240062654324405,greedy,5.240062654324405,0.0,hard_fault_cluster,,False
2,N2155,observe,1.4575923681259155,1.4575923681259155,1.1920928955078125e-07,1.4575923681259155,4.636674737110734,3.006955659389496,4.330467998236418,4.2822391886152325,4.730616043392082,4.636674737110734,4.636674737110734,1.0,0.09394130628134759,3,2,1,0.0,1.0,2,1,1,0.0,1.4575923681259155,1.4575923681259155,1.1920928955078125e-07,1.4575923681259155,0.4267202615737915,0.4267202615737915,0.0,0.4267202615737915,4.572461058944463,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.1253776550292969,1.1253776550292969,0.09998901188373566,1.1253776550292969,1.564356803894043,1.564356803894043,0.39701494574546814,1.564356803894043,0.012043760158121586,0.012043760158121586,0.04580095782876015,0.012043760158121586,0.08139079064130783,0.007469069212675095,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.4333636718988418,0.06906921416521072,0.06906921416521072,0.0,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979637384414673,-1.2979637384414673,0.0,-1.2979637384414673,7.359480381011963,7.359480381011963,0.0,7.359480381011963,4.625235028266906,7.020061016082764,7.020061016082764,0.0,7.020061016082764,4.483814806938171,4.099376782774925,3.2381424620747565,4.730616043392082,9.970678697716487,9.970678697716487,greedy,4.730616043392082,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,1.9932617104053496,1.9800602316856382,1.881977677345276,2.064757458508015,2.0653748774443876,1.9932617104053496,1.9932617104053496,0.8171492367603549,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,0.37319517135620117,0.37319517135620117,0.0,0.37319517135620117,1.6609295278787615,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,1.0007976293563843,1.0007976293563843,0.028144879266619682,1.0007976293563843,1.4779715538024902,1.4779715538024902,0.31635069847106934,1.4779715538024902,-0.023586099967360497,-0.023586099967360497,0.04455612227320671,-0.023586099967360497,0.0017244666814804077,0.014115210622549057,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,-2.9935012358427047,0.05883442237973213,0.05883442237973213,3.725290298461914e-09,0.05883442237973213,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.038081955164670944,-0.038081955164670944,0.0,-0.038081955164670944,6.275826930999756,6.275826930999756,0.0,6.275826930999756,2.6476535499095917,5.981538772583008,5.981538772583008,0.0,5.981538772583008,2.682520979642868,2.443325373530388,2.1402613578736784,2.0653748774443876,12.036053575160874,12.036053575160874,greedy,2.0653748774443876,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,0.911552369594574,0.0,0.911552369594574,1.7198928320407867,1.5053794860839842,1.613517415523529,1.6676935911774633,1.7508249265395965,1.7198928320407867,1.7198928320407867,0.3731122806241278,0.08290291181804005,3,2,1,0.0,1.0,2,1,1,0.0,0.911552369594574,0.911552369594574,0.0,0.911552369594574,0.3220241069793701,0.3220241069793701,0.0,0.3220241069793701,1.5913344889879226,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,0.9247560501098633,0.9247560501098633,0.00801295880228281,0.9247560501098633,1.5027527809143066,1.5027527809143066,0.3236885964870453,1.5027527809143066,-0.019947972148656845,-0.019947972148656845,0.040628183633089066,-0.019947972148656845,-0.0060859546065330505,0.023646939545869827,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,-0.7614172405004502,0.05198005959391594,0.05198005959391594,3.725290298461914e-09,0.05198005959391594,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.2508966624736786,0.2508966624736786,0.0,0.2508966624736786,5.539696216583252,5.539696216583252,0.0,5.539696216583252,1.547010521888733,5.283428192138672,5.283428192138672,0.0,5.283428192138672,1.3737158942222596,1.7604919791221618,1.8640600903332234,1.7508249265395965,13.786878501700471,13.786878501700471,greedy,1.7508249265395965,0.0,hard_fault_cluster,,False
5,N3756,control0,0.7222639918327332,0.7222639918327332,5.960464477539063e-08,0.7222639918327332,1.1350162813439966,2.4619440138339996,1.0619213473051787,1.0687325897905975,1.172003634003122,1.1350162813439966,1.2845764782304485,0.47492700910309826,0.0778800783071405,2,3,0,0.0,0.9203909412702715,2,2,1,1.9203909412702715,0.7222639918327332,0.7222639918327332,5.960464477539063e-08,0.7222639918327332,0.3096170425415039,0.3096170425415039,0.0,0.3096170425415039,1.0247295629233122,2.416571521759033,0.0030961704254150392,0.3825477063655853,0.021352248266339302,0.021352248266339302,0.0,0.021352248266339302,0.798520565032959,0.798520565032959,0.01654716208577156,0.798520565032959,1.5718930959701538,1.5718930959701538,0.3445602059364319,1.5718930959701538,0.01703493855893612,0.01703493855893612,0.049749333411455154,0.01703493855893612,0.12761682271957397,-0.02319077029824257,0.021352248266339302,0.021352248266339302,0.0,0.021352248266339302,0.04712394058704372,0.04944486543536186,0.04944486543536186,3.725290298461914e-09,0.04944486543536186,0.13231855630874634,0.027719702571630478,30589.94140625,13108.470703125,17481.470703125,30546.474609375,13047.279296875,17499.1953125,0.0014209506334736943,0.004668081179261208,-0.0010139084188267589,0.14209505915641785,0.14209505915641785,0.0,0.14209505915641785,5.275455474853516,5.275455474853516,0.0,5.275455474853516,1.5217430129647254,5.027228355407715,5.027228355407715,0.0,5.027228355407715,1.5250234618782996,1.0813900515437125,2.598281787857413,1.172003634003122,14.958882135703593,14.958882135703593,greedy,1.172003634003122,0.0,hard_fault_cluster,,False
6,N3644,control0,0.7473799586296082,0.7473799586296082,5.960464477539063e-08,0.7473799586296082,1.3282985873520374,2.74238029718399,1.250379638373852,1.3345842303708195,1.3221034810407104,1.3282985873520374,1.3282985873520374,-0.08467706355927021,0.07316156289466418,3,3,1,0.0,-1.0,2,2,1,0.0,0.7473799586296082,0.7473799586296082,5.960464477539063e-08,0.7473799586296082,0.30260205268859863,0.30260205268859863,0.0,0.30260205268859863,0.9084999516606331,2.3785500824451447,0.003026020526885986,0.3963528275489807,0.020910533145070076,0.020910533145070076,0.0,0.020910533145070076,0.7257596850395203,0.7257596850395203,0.02429400570690632,0.7257596850395203,1.4993551969528198,1.4993551969528198,0.3356804847717285,1.4993551969528198,0.03582565858960152,0.03582565858960152,0.04618509113788605,0.03582565858960152,0.13297486305236816,0.0039920322597026825,0.020910533145070076,0.020910533145070076,0.0,0.020910533145070076,-0.7125822287797927,0.04656637832522392,0.04656637832522392,3.725290298461914e-09,0.04656637832522392,0.1306353211402893,0.02538181096315384,30546.369140625,13047.166015625,17499.203125,30307.25,12886.3046875,17420.9453125,0.007828070782124996,0.012329216115176678,0.0044720787554979324,0.7828070521354675,0.7828070521354675,0.0,0.7828070521354675,4.98015022277832,4.98015022277832,0.0,4.98015022277832,0.7510713666677475,4.737515449523926,4.737515449523926,0.0,4.737515449523926,0.7258689016103745,1.2300308495759964,2.622932094708085,1.3221034810407104,16.280985616744303,16.280985616744303,greedy,1.3221034810407104,0.0,hard_fault_cluster,,False
7,N557,control1,0.68563312292099,0.68563312292099,0.0,0.68563312292099,0.905235150717199,1.8884651124477385,0.8536859560757875,0.9265968576278538,0.9189083500459947,0.905235150717199,0.905235150717199,0.1989438763376114,0.06872892787909722,3,2,1,0.0,0.0189220873167972,2,1,1,0.0,0.68563312292099,0.68563312292099,0.0,0.68563312292099,0.23965980112552643,0.23965980112552643,0.0,0.23965980112552643,0.37360076949000354,1.3321642026305198,0.0023965980112552643,0.40346747636795044,0.02250211499631405,0.02250211499631405,0.0,0.02250211499631405,0.8037869334220886,0.8037869334220886,0.0004587263101711869,0.8037869334220886,1.4353452920913696,1.4353452920913696,0.3040843904018402,1.4353452920913696,0.07178105413913727,0.07178105413913727,0.05074002221226692,0.07178105413913727,0.10751981288194656,0.10779951512813568,0.02250211499631405,0.02250211499631405,0.0,0.02250211499631405,-0.344882789477706,0.0443466417491436,0.0443466417491436,3.725290298461914e-09,0.0443466417491436,0.12802337110042572,0.023537203669548035,30311.650390625,12886.970703125,17424.6796875,30250.439453125,12827.25390625,17423.185546875,0.0020193865057080984,0.0046338895335793495,8.574852836318314e-05,0.20193864405155182,0.20193864405155182,0.0,0.20193864405155182,4.6968255043029785,4.6968255043029785,0.0,4.6968255043029785,0.5527827644348144,4.500204086303711,4.500204086303711,0.0,4.500204086303711,0.6074439042806625,0.7552926234900952,1.7150032658502459,0.9189083500459947,17.1998939667903,17.1998939667903,greedy,0.9189083500459947,0.0,hard_fault_cluster,,False
8,N5143,observe,0.38603755831718445,0.38603755831718445,0.0,0.38603755831718445,1.0331733268499375,1.1689570665359497,0.9309501415491104,0.8721718100011349,1.070250658455947,1.0331733268499375,1.0331733268499375,0.5742649458389255,0.0645648526427892,3,2,1,0.0,1.0,2,1,1,0.0,0.38603755831718445,0.38603755831718445,0.0,0.38603755831718445,0.2283715158700943,0.2283715158700943,0.0,0.2283715158700943,1.1191809993982313,1.779066729545593,0.002283715158700943,0.4162377417087555,0.026413993909955025,0.026413993909955025,0.0,0.026413993909955025,0.8665299415588379,0.8665299415588379,0.12441929429769516,0.8665299415588379,1.6585251092910767,1.6585251092910767,0.3667035400867462,1.6585251092910767,0.05346394702792168,0.05346394702792168,0.06517838686704636,0.05346394702792168,0.1375426948070526,0.061561357229948044,0.026413993909955025,0.026413993909955025,0.0,0.026413993909955025,1.6038418650627135,0.04229022189974785,0.04229022189974785,3.725290298461914e-09,0.04229022189974785,0.12924142181873322,0.021821647882461548,30244.71484375,12825.67578125,17419.0390625,30301.10546875,12842.3359375,17458.76953125,-0.0018644786905497313,-0.0012989690294489264,-0.00228086463175714,-0.186447873711586,-0.186447873711586,0.0,-0.186447873711586,4.483807563781738,4.483807563781738,0.0,4.483807563781738,0.9720365607738495,4.292718410491943,4.292718410491943,0.0,4.292718410491943,0.9867276155948639,0.7656237959861755,1.6772905334830281,1.070250658455947,18.270144625246246,18.270144625246246,greedy,1.070250658455947,0.0,hard_fault_cluster,,False
9,N507,control1,0.3719978630542755,0.3719978630542755,0.0,0.3719978630542755,1.0697660818696022,1.5579685866832733,1.0034601807594299,1.0357491228729487,1.1113380864379245,1.0697660818696022,1.0697660818696022,0.6854064819743604,0.06065306597126335,3,2,1,0.0,1.0,2,1,1,0.0,0.3719978630542755,0.3719978630542755,0.0,0.3719978630542755,0.2226191908121109,0.2226191908121109,0.0,0.2226191908121109,0.8636301517486572,1.0604465007781982,0.002226191908121109,0.4176916480064392,0.02488635666668415,0.02488635666668415,0.0,0.02488635666668415,0.7726066708564758,0.7726066708564758,0.0172239001840353,0.7726066708564758,1.8317009210586548,1.8317009210586548,0.32440900802612305,1.8317009210586548,0.03786883130669594,0.03786883130669594,0.05606002360582352,0.03786883130669594,0.04865626245737076,0.1063622534275055,0.02488635666668415,0.02488635666668415,0.0,0.02488635666668415,-0.12726819038391118,0.04077808931469917,0.04077808931469917,0.0,0.04077808931469917,0.12578241527080536,0.02044009044766426,30305.1640625,12839.4873046875,17465.67578125,30211.44140625,12790.1455078125,17421.296875,0.003092629835009575,0.0038429724518209696,0.002540921326726675,0.3092629909515381,0.3092629909515381,0.0,0.3092629909515381,4.325314521789551,4.325314521789551,0.0,4.325314521789551,0.67086729824543,4.139685153961182,4.139685153961182,0.0,4.139685153961182,0.654753605723381,0.9453559771180152,1.3529238996654749,1.1113380864379245,19.38148271168417,19.38148271168417,greedy,1.1113380864379245,0.0,hard_fault_cluster,,False
10,N3742,control0,0.2627548575401306,0.2627548575401306,0.0,0.2627548575401306,1.1557924635708332,2.5186593055725095,1.0833867534995079,1.1105947541072965,1.1873925724820191,1.1557924635708332,1.1557924635708332,0.5545991830502942,0.05697828247309231,3,3,1,0.0,0.7437570022241436,2,2,1,0.0,0.2627548575401306,0.2627548575401306,0.0,0.2627548575401306,0.21972011029720306,0.21972011029720306,0.0,0.21972011029720306,1.0311062172055243,2.4647654235363006,0.002197201102972031,0.4235575497150421,0.02454344369471073,0.02454344369471073,0.0,0.02454344369471073,0.7364934086799622,0.7364934086799622,0.004647223744541407,0.7364934086799622,1.818558692932129,1.818558692932129,0.3479795455932617,1.818558692932129,0.04695969820022583,0.04695969820022583,0.05403709411621094,0.04695969820022583,0.1294384002685547,0.04090098664164543,0.02454344369471073,0.02454344369471073,0.0,0.02454344369471073,-0.26351527869701385,0.040670283138751984,0.040670283138751984,0.0,0.040670283138751984,0.12884944677352905,0.020379342138767242,30207.65625,12793.62109375,17414.03515625,30180.51953125,12760.9091796875,17419.609375,0.0008983390871435404,0.002556892577558756,-0.00032009920687414706,0.08983390778303146,0.08983390778303146,0.0,0.08983390778303146,4.311291694641113,4.311291694641113,0.0,4.311291694641113,1.0542094308137895,4.12809419631958,4.12809419631958,0.0,4.12809419631958,1.0517864304780962,1.1213539496064187,2.713669955804944,1.1873925724820191,20.56887528416619,20.56887528416619,greedy,1.1873925724820191,0.0,hard_fault_cluster,,False
