step,node,type,q_pred,q_pred_mean,q_pred_std,q_pred_lcb,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,score_pred_mean,score_pred_std,score_pred_lcb,reward_pred,reward_pred_mean,reward_pred_std,reward_pred_lcb,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,return_pred_mean,return_pred_std,return_pred_lcb,typed_marginal_pred,typed_marginal_pred_mean,typed_marginal_pred_std,typed_marginal_pred_lcb,typed_return_pred,typed_return_pred_mean,typed_return_pred_std,typed_return_pred_lcb,typed_sa_reduction_total_pred,typed_sa_reduction_total_pred_mean,typed_sa_reduction_total_pred_std,typed_sa_reduction_total_pred_lcb,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_mean,guarded_reward_std,guarded_reward_lcb,guarded_reward_context,hard_reduction_total_pred,hard_reduction_total_pred_mean,hard_reduction_total_pred_std,hard_reduction_total_pred_lcb,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,derived_hard_reduction_hybrid_pred_mean,derived_hard_reduction_hybrid_pred_std,derived_hard_reduction_hybrid_pred_lcb,hybrid_pred,hybrid_pred_mean,hybrid_pred_std,hybrid_pred_lcb,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_mean,bounded_residual_hybrid_pred_std,bounded_residual_hybrid_pred_lcb,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,5.195585038363934,3.4872208595275875,4.868266358971596,4.9722098399847745,5.24064119436476,5.195585038363934,5.195585038363934,0.4505615600082614,0.1,3,2,1,0.0,1.0,2,1,1,0.0,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,0.34677982330322266,0.34677982330322266,0.0,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.0730133056640625,1.0730133056640625,0.06877011060714722,1.0730133056640625,1.5494296550750732,1.5494296550750732,0.44270002841949463,1.5494296550750732,-0.04443497210741043,-0.04443497210741043,0.034212253987789154,-0.04443497210741043,-0.07539448142051697,0.026029448956251144,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.06386370956897736,0.0,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.340892791748047,-2.340892791748047,0.0,-2.340892791748047,6.766791820526123,6.766791820526123,0.0,6.766791820526123,3.494267354011536,6.481476306915283,6.481476306915283,0.0,6.481476306915283,3.265230522155762,4.528486633300781,3.278238040097057,5.24064119436476,5.24064119436476,5.24064119436476,greedy,5.24064119436476,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,1.457592248916626,0.0,1.457592248916626,4.636674811020494,3.0069554209709164,4.330468057841062,4.282239153210074,4.7306161173018415,4.636674811020494,4.636674811020494,1.0,0.09394130628134759,3,2,1,0.0,1.0,2,1,1,0.0,1.457592248916626,1.457592248916626,0.0,1.457592248916626,0.4267202615737915,0.4267202615737915,0.0,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.1517783403396606,1.1517783403396606,0.16818836331367493,1.1517783403396606,1.5756945610046387,1.5756945610046387,0.5058797597885132,1.5756945610046387,0.020499154925346375,0.020499154925346375,0.04144931212067604,0.020499154925346375,0.08139079064130783,0.007469069212675095,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.433363882899284,0.06906921416521072,0.06906921416521072,0.0,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979637384414673,-1.2979637384414673,0.0,-1.2979637384414673,7.359480381011963,7.359480381011963,0.0,7.359480381011963,4.625235252380371,7.020061016082764,7.020061016082764,0.0,7.020061016082764,4.483815031051636,4.0993773072958,3.2381428061425694,4.7306161173018415,9.971257311666601,9.971257311666601,greedy,4.7306161173018415,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,1.9932622301578524,1.980060064792633,1.881978142261505,2.0647577129006387,2.078616180936285,1.9932622301578524,1.9932622301578524,0.9671869728772277,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,0.37319517135620117,0.37319517135620117,0.0,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,1.0331847667694092,1.0331847667694092,0.09056634455919266,1.0331847667694092,1.4870374202728271,1.4870374202728271,0.40315139293670654,1.4870374202728271,-0.01918945461511612,-0.01918945461511612,0.046954672783613205,-0.01918945461511612,0.0017244666814804077,0.014115210622549057,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.05883442610502243,0.0,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.038081955164670944,-0.038081955164670944,0.0,-0.038081955164670944,6.275826930999756,6.275826930999756,0.0,6.275826930999756,2.647661045789719,5.981538772583008,5.981538772583008,0.0,5.981538772583008,2.682521609067917,2.443326911330223,2.140263416171074,2.078616180936285,12.049873492602886,12.049873492602886,greedy,2.078616180936285,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,0.911552369594574,0.0,0.911552369594574,1.7198925173282624,1.5053794860839842,1.613517129421234,1.6676933866143226,1.7518034865840808,1.7198925173282624,1.7198925173282624,0.3849197640471108,0.08290291181804005,3,2,1,0.0,1.0,2,1,1,0.0,0.911552369594574,0.911552369594574,0.0,0.911552369594574,0.3220241069793701,0.3220241069793701,0.0,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,0.9547251462936401,0.9547251462936401,0.06172187998890877,0.9547251462936401,1.5113341808319092,1.5113341808319092,0.41129937767982483,1.5113341808319092,-0.015478210523724556,-0.015478210523724556,0.04201730713248253,-0.015478210523724556,-0.0060859546065330505,0.023646939545869827,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.05198005586862564,0.0,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.2508966624736786,0.2508966624736786,0.0,0.2508966624736786,5.539696216583252,5.539696216583252,0.0,5.539696216583252,1.547010235786438,5.283428192138672,5.283428192138672,0.0,5.283428192138672,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7518034865840808,13.801676979186967,13.801676979186967,greedy,1.7518034865840808,0.0,hard_fault_cluster,,False
5,N3644,control0,0.8055379390716553,0.8055379390716553,0.0,0.8055379390716553,1.2149060480296612,2.8909715652465815,1.1540496602654458,1.3351747138425707,1.1724154851351232,1.2149060480296612,1.2149060480296612,-0.5455896272595575,0.0778800783071405,3,3,1,0.0,-1.0,2,2,1,0.0,0.8055379390716553,0.8055379390716553,0.0,0.8055379390716553,0.30319952964782715,0.30319952964782715,0.0,0.30319952964782715,0.5936396986246109,2.2721435248851773,0.0030319952964782716,0.3802046775817871,0.018699781969189644,0.018699781969189644,0.0,0.018699781969189644,0.7397385239601135,0.7397385239601135,0.01130699086934328,0.7397385239601135,1.4121088981628418,1.4121088981628418,0.4101795554161072,1.4121088981628418,0.02781824767589569,0.02781824767589569,0.045841459184885025,0.02781824767589569,0.12112761288881302,-0.01255795732140541,0.018699781969189644,0.018699781969189644,0.0,0.018699781969189644,-2.282573111951351,0.04789303243160248,0.04789303243160248,0.0,0.04789303243160248,0.12865088880062103,0.026215199381113052,30589.82421875,13108.3330078125,17481.4921875,30413.380859375,12975.103515625,17438.27734375,0.005768041126430035,0.010163725353777409,0.0024720339570194483,0.5768041014671326,0.5768041014671326,0.0,0.5768041014671326,5.111202716827393,5.111202716827393,0.0,5.111202716827393,0.2193464004993439,4.869778156280518,4.869778156280518,0.0,4.869778156280518,0.02334001354873183,1.4198170036077498,2.73353854984045,1.1724154851351232,14.97409246432209,14.97409246432209,greedy,1.1724154851351232,0.0,hard_fault_cluster,,False
6,N3756,control0,0.6937283277511597,0.6937283277511597,0.0,0.6937283277511597,1.0592403591424226,2.438646417856216,0.9919751636683941,1.0078294423706828,1.0893298110209813,1.0592403591424226,1.0592403591424226,0.4112740445673704,0.07316156289466418,3,3,1,0.0,0.5213965413921344,2,2,1,0.0,0.6937283277511597,0.6937283277511597,0.0,0.6937283277511597,0.30780118703842163,0.30780118703842163,0.0,0.30780118703842163,0.9237510226666926,2.3657284438610073,0.0030780118703842164,0.3990587890148163,0.021759213879704475,0.021759213879704475,0.0,0.021759213879704475,0.8248170614242554,0.8248170614242554,0.051002830266952515,0.8248170614242554,1.6493552923202515,1.6493552923202515,0.4288419187068939,1.6493552923202515,0.03190900385379791,0.03190900385379791,0.0518203042447567,0.03190900385379791,0.1276819407939911,-0.004026997834444046,0.021759213879704475,0.021759213879704475,0.0,0.021759213879704475,-0.030634123682975856,0.04705914482474327,0.04705914482474327,0.0,0.04705914482474327,0.13186287879943848,0.02587738260626793,30413.51953125,12975.2578125,17438.26171875,30344.974609375,12903.07421875,17441.900390625,0.0022537647746503353,0.005563172046095133,-0.00020866024715360254,0.22537647187709808,0.22537647187709808,0.0,0.22537647187709808,5.03547477722168,5.03547477722168,0.0,5.03547477722168,0.986806225180626,4.788304805755615,4.788304805755615,0.0,4.788304805755615,1.0146671348810197,0.9877953857183456,2.5220483896136283,1.0893298110209813,16.063422275343072,16.063422275343072,greedy,1.0893298110209813,0.0,hard_fault_cluster,,False
7,N557,control1,0.6533419489860535,0.6533419489860535,0.0,0.6533419489860535,0.9779344230145216,1.8701671600341796,0.9208834685385228,0.986031298737973,0.9867921684936785,0.9779344230145216,0.9779344230145216,0.12887943625046344,0.06872892787909722,3,2,1,0.0,-0.07815807289550476,2,1,1,0.0,0.6533419489860535,0.6533419489860535,0.0,0.6533419489860535,0.24271710216999054,0.24271710216999054,0.0,0.24271710216999054,0.4113408158719539,1.1945370942354203,0.0024271710216999054,0.4031139314174652,0.02287116087973118,0.02287116087973118,0.0,0.02287116087973118,0.8235179781913757,0.8235179781913757,0.03488248214125633,0.8235179781913757,1.4528555870056152,1.4528555870056152,0.382569283246994,1.4528555870056152,0.07708702236413956,0.07708702236413956,0.0546993650496006,0.07708702236413956,0.10871938616037369,0.10861605405807495,0.02287116087973118,0.02287116087973118,0.0,0.02287116087973118,-0.1128738309442997,0.044442228972911835,0.044442228972911835,0.0,0.044442228972911835,0.12833552062511444,0.023628119379281998,30349.2890625,12903.625,17445.6640625,30269.642578125,12834.72265625,17434.919921875,0.0026243277825415134,0.005339766386896372,0.0006158630712889135,0.2624327838420868,0.2624327838420868,0.0,0.2624327838420868,4.709811210632324,4.709811210632324,0.0,4.709811210632324,0.5699369513988495,4.5106201171875,4.5106201171875,0.0,4.5106201171875,0.6123836439847946,0.7513114228844643,1.6162546934187412,0.9867921684936785,17.05021444383675,17.05021444383675,greedy,0.9867921684936785,0.0,hard_fault_cluster,,False
8,N5143,observe,0.3673509657382965,0.3673509657382965,0.0,0.3673509657382965,1.0317113199830055,1.1631514608860016,0.9297807988524436,0.8711707492023706,1.082166366336238,1.0317113199830055,1.0317113199830055,0.7814630451087603,0.0645648526427892,3,2,1,0.0,1.0,2,1,1,0.0,0.3673509657382965,0.3673509657382965,0.0,0.3673509657382965,0.23019050061702728,0.23019050061702728,0.0,0.23019050061702728,1.1185721050202846,1.8547722935676574,0.002301905006170273,0.4160756468772888,0.026419075205922127,0.026419075205922127,0.0,0.026419075205922127,0.8689435720443726,0.8689435720443726,0.1592208296060562,0.8689435720443726,1.6703665256500244,1.6703665256500244,0.46401944756507874,1.6703665256500244,0.0659375861287117,0.0659375861287117,0.059313297271728516,0.0659375861287117,0.13779568672180176,0.06256857514381409,0.026419075205922127,0.026419075205922127,0.0,0.026419075205922127,1.6033428572118282,0.04233304411172867,0.04233304411172867,0.0,0.04233304411172867,0.1295374482870102,0.02186659350991249,30263.919921875,12833.169921875,17430.75,30312.212890625,12845.51953125,17466.693359375,-0.0015957275172695518,-0.0009623194928281009,-0.002062066225335002,-0.1595727503299713,-0.1595727503299713,0.0,-0.1595727503299713,4.4899139404296875,4.4899139404296875,0.0,4.4899139404296875,0.9715089333057403,4.297456741333008,4.297456741333008,0.0,4.297456741333008,0.9877856504917144,0.7569547951221466,1.7141145047545432,1.082166366336238,18.13238081017299,18.13238081017299,greedy,1.082166366336238,0.0,hard_fault_cluster,,False
9,N507,control1,0.3706168830394745,0.3706168830394745,0.0,0.3706168830394745,0.9459783005714416,1.3103838205337524,0.8925616681575774,0.9732812393903733,0.9825092624882465,0.9459783005714416,0.9459783005714416,0.6022937395137263,0.06065306597126335,3,2,1,0.0,0.8655353209960835,2,1,1,0.0,0.3706168830394745,0.3706168830394745,0.0,0.3706168830394745,0.22372789680957794,0.22372789680957794,0.0,0.22372789680957794,0.6817526251077652,1.088454008102417,0.0022372789680957794,0.41756293177604675,0.02476746402680874,0.02476746402680874,0.0,0.02476746402680874,0.7968250513076782,0.7968250513076782,0.06251934170722961,0.7968250513076782,1.843766689300537,1.843766689300537,0.41132640838623047,1.843766689300537,0.04537977650761604,0.04537977650761604,0.0582893043756485,0.04537977650761604,0.05073045939207077,0.10733579099178314,0.02476746402680874,0.02476746402680874,0.0,0.02476746402680874,-0.13560355126857762,0.04092741757631302,0.04092741757631302,0.0,0.04092741757631302,0.12624089419841766,0.020606331527233124,30316.21875,12842.6455078125,17473.57421875,30219.013671875,12792.69140625,17426.322265625,0.0032063720282167196,0.0038897048216313124,0.0027041949797421694,0.32063719630241394,0.32063719630241394,0.0,0.32063719630241394,4.3412370681762695,4.3412370681762695,0.0,4.3412370681762695,0.6972719722986221,4.154865741729736,4.154865741729736,0.0,4.154865741729736,0.6781613403558732,0.9408084839582442,1.2457464441657065,0.9825092624882465,19.114890072661236,19.114890072661236,greedy,0.9825092624882465,0.0,hard_fault_cluster,,False
10,N3742,control0,0.2566690146923065,0.2566690146923065,0.0,0.2566690146923065,1.1245535320043565,2.5004498600959777,1.0541600227355956,1.0811847258508207,1.1558510111268954,1.1245535320043565,1.1245535320043565,0.5492878648512974,0.05697828247309231,3,3,1,0.0,0.8614184161297374,2,2,1,0.0,0.2566690146923065,0.2566690146923065,0.0,0.2566690146923065,0.21992550790309906,0.21992550790309906,0.0,0.21992550790309906,1.0310439437627792,2.477508163452148,0.0021992550790309907,0.42308804392814636,0.02435927279293537,0.02435927279293537,0.0,0.02435927279293537,0.7654061317443848,0.7654061317443848,0.056257814168930054,0.7654061317443848,1.8237135410308838,1.8237135410308838,0.4307096600532532,1.8237135410308838,0.052992455661296844,0.052992455661296844,0.05605578050017357,0.052992455661296844,0.12961310148239136,0.04109945520758629,0.02435927279293537,0.02435927279293537,0.0,0.02435927279293537,-0.3305933314561844,0.0406983345746994,0.0406983345746994,0.0,0.0406983345746994,0.12909717857837677,0.020405083894729614,30215.302734375,12796.197265625,17419.10546875,30191.12109375,12765.6748046875,17425.447265625,0.0008003110415302217,0.0023852759040892124,-0.00036407134030014277,0.08003110438585281,0.08003110438585281,0.0,0.08003110438585281,4.314118385314941,4.314118385314941,0.0,4.314118385314941,1.0295841467380524,4.130904674530029,4.130904674530029,0.0,4.130904674530029,1.0433100295066833,1.1211900234222412,2.717414866685867,1.1558510111268954,20.27074108378813,20.27074108378813,greedy,1.1558510111268954,0.0,hard_fault_cluster,,False
