[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_rank_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 budgets=iscas99__b15_1:278
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.260850 sequence=5.260850
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.991466
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.038058 sequence=12.029524
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.746977 sequence=13.776501
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.172657 sequence=14.949158
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.319148 sequence=16.268306
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.910231 sequence=17.178537
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.047680 sequence=18.226217
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.081816 sequence=19.308032
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.190147 sequence=20.498179
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.520862 sequence=23.019041
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.177943 sequence=24.196985
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.234796 sequence=25.431781
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.542430 sequence=26.974211
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.893109 sequence=29.867321
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.125491 sequence=32.992812
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.991451 sequence=34.984263
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.874459 sequence=39.858722
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369741 sequence=46.228462
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908002 sequence=52.136465
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871418 sequence=55.007882
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.176641 sequence=62.184523
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=5.343945 sequence=67.528468
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.402222 sequence=73.930690
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_residual_context=3.458452 sequence=77.389142
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=1.595735 sequence=78.984877
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_residual_context=4.468038 sequence=83.452915
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_residual_context=6.087182 sequence=89.540097
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_residual_context=4.047923 sequence=93.588020
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.903402 sequence=94.491422
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.342511 sequence=102.833933
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=0.419926 sequence=103.253858
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=6.106626 sequence=109.360485
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_residual_context=3.600869 sequence=112.961353
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_residual_context=1.245108 sequence=114.206461
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_residual_context=0.796150 sequence=115.002611
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=2.313032 sequence=117.315642
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_residual_context=0.937428 sequence=118.253070
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_residual_context=3.064830 sequence=121.317900
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N3889 type=control0 q_typed_residual_context=0.876253 sequence=122.194152
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N3882 type=control0 q_typed_residual_context=1.004822 sequence=123.198974
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N3805 type=control0 q_typed_residual_context=0.990128 sequence=124.189103
