[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/epoch_012/a0p40_h1_c2
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.497338 sequence=15.042752
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.371051
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N5143 type=observe q_typed_reliable_context=1.162675 sequence=17.533726
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N3742 type=control0 q_typed_reliable_context=1.261498 sequence=18.795224
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_reliable_context=1.365688 sequence=20.160912
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N557 type=control1 q_typed_reliable_context=1.341790 sequence=21.502702
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=0.920821 sequence=22.423523
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5234 type=observe q_typed_reliable_context=0.989710 sequence=23.413233
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=3.419548 sequence=26.832781
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.646149 sequence=29.478929
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N2082 type=observe q_typed_reliable_context=2.094111 sequence=31.573040
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N2314 type=control1 q_typed_reliable_context=2.359856 sequence=33.932896
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N737 type=control1 q_typed_reliable_context=3.143010 sequence=37.075906
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_reliable_context=2.941044 sequence=40.016950
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_reliable_context=2.814987 sequence=42.831937
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_reliable_context=6.445669 sequence=49.277606
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=5.240934 sequence=54.518540
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_reliable_context=7.492589 sequence=62.011129
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N724 type=observe q_typed_reliable_context=5.543467 sequence=67.554595
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=7.129547 sequence=74.684143
