[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_toplist_sa/epoch_012/a0p10_h1_c2
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 budgets=iscas99__b15_1:278
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.228302 sequence=14.773717
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.102015
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_reliable_context=0.939320 sequence=17.041335
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218367 sequence=18.259703
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_reliable_context=1.201416 sequence=19.461119
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.405941 sequence=20.867060
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.179407 sequence=22.046466
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.022725 sequence=23.069192
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=4.178596 sequence=27.247787
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.435274 sequence=29.683061
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.247583 sequence=32.930644
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_reliable_context=2.220799 sequence=35.151443
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_reliable_context=5.108224 sequence=40.259668
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_reliable_context=6.231659 sequence=46.491326
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_reliable_context=6.812587 sequence=53.303914
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_reliable_context=5.126709 sequence=58.430622
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=5.704274 sequence=64.134897
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_reliable_context=6.732920 sequence=70.867817
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_reliable_context=6.045086 sequence=76.912902
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_reliable_context=2.374751 sequence=79.287653
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_reliable_context=6.110352 sequence=85.398005
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=7.451366 sequence=92.849371
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=7.905968 sequence=100.755339
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_reliable_context=2.826357 sequence=103.581696
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_reliable_context=4.178083 sequence=107.759779
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_reliable_context=6.634018 sequence=114.393798
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.700000 sequence=123.093798
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=4.761854 sequence=127.855652
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=7.874242 sequence=135.729894
