step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,__buf_split_384,control1,2.227910041809082,4.1307774662971495,2.2608762383461,0.9460375905036927,2.6850053530931475,4.230777466297149,4.1307774662971495,1.0,0.1,3,2,1,0.0,2.227910041809082,0.6341747045516968,5.720447942614555,4.562360143661499,0.006341747045516968,0.29831451177597046,0.04011917859315872,2.236794948577881,5.059743404388428,0.2676732987165451,0.26863253116607666,0.26671406626701355,0.04011917859315872,2.4311657136678697,0.1119123101234436,0.0807604044675827,0.10286492854356766,253.63516235351562,109.2513656616211,144.3837890625,237.53599548339844,105.93775939941406,131.59823608398438,0.06347371637821198,0.03033011220395565,0.0885525494813919,6.3473716378211975,11.865524895489216,3.470266636610031,11.359804483130574,3.4122191274166105,4.23999750316143,3.073184551820159,4.230777466297149,4.230777466297149,4.230777466297149,greedy,4.230777466297149,0.0,hard_fault_cluster,,False
2,new_n30440_,observe,2.1877427101135254,4.437760133743287,3.0361430883407587,1.2209093189239504,2.8845440869331362,4.5317014400246345,4.437760133743287,1.0,0.09394130628134759,3,2,1,0.0,2.1877427101135254,0.8804035186767578,6.162781345844269,5.999999999999999,0.008804035186767579,0.30538418889045715,0.04517899453639984,2.3888440132141113,5.461156845092773,0.2262841835618019,0.25398677587509155,0.19858159124851227,0.04517899453639984,1.5781707549095152,0.07816540449857712,0.04404999315738678,0.07469828426837921,238.2251434326172,106.05769348144531,132.16744995117188,253.478759765625,115.15242767333984,138.32632446289062,-0.0640302523970604,-0.0857527032494545,-0.04659902676939964,-6.403025239706039,8.74212296307087,6.240896768569946,8.047936078161001,6.240896768569946,4.580981826782226,4.495220918133855,4.5317014400246345,8.762478906321784,8.762478906321784,greedy,4.5317014400246345,0.0,hard_fault_cluster,,False
3,__buf_split_375,control1,2.269132614135742,4.646284002661705,2.921466135978698,0.9840478104352951,3.0200846017301086,4.734533692920165,4.646284002661705,1.0,0.08824969025845955,3,2,1,0.0,2.269132614135742,1.4266983270645142,5.934694615006447,5.006114530563353,0.014266983270645142,0.3175707161426544,0.005468027666211128,2.658273458480835,6.59583854675293,0.23576566576957703,0.18317881226539612,0.28835251927375793,0.005468027666211128,-0.3856497436761859,0.0879499614238739,0.03474019467830658,0.08561918139457703,252.8375701904297,115.05389404296875,137.78367614746094,251.7704620361328,114.95353698730469,136.81692504882812,0.004220528528094292,0.0008722612983547151,0.007016441319137812,0.42205285280942917,10.227162497118115,6.066183196306229,9.153037731070071,6.066183196306229,4.886937165260315,3.880580622851849,4.734533692920165,13.497012599241948,13.497012599241948,greedy,4.734533692920165,0.0,hard_fault_cluster,,False
4,__buf_split_26100,observe,2.6066067218780518,5.010377656072378,3.4596791267395015,1.0411663751304148,3.256745476447046,5.093280567890418,5.010377656072378,1.0,0.08290291181804005,3,2,1,0.0,2.6066067218780518,2.241697072982788,5.213613656163216,5.061788272857665,0.02241697072982788,0.37173694372177124,-0.0007349830120801926,3.21889591217041,8.332076072692871,0.28080493211746216,0.21417203545570374,0.3474378287792206,-0.0007349830120801926,1.8716645923256874,0.09228040277957916,0.03251960128545761,0.09503323584794998,251.48947143554688,114.74351501464844,136.74595642089844,254.72850036621094,116.20706176757812,138.5214385986328,-0.012879381887614727,-0.01275494135916233,-0.012983799912035465,-1.2879381887614727,11.469002367928624,6.0621268004179,9.788280800450593,6.067818233370781,4.482022507488728,4.351344722583891,5.093280567890418,18.590293167132366,18.590293167132366,greedy,5.093280567890418,0.0,hard_fault_cluster,,False
5,__buf_split_25700,control1,2.870670795440674,4.633905984163285,3.425489664077759,0.8345607483386994,3.012038889706135,4.711786062470425,4.633905984163285,1.0,0.0778800783071405,3,2,1,0.0,2.870670795440674,2.640895366668701,3.926728956401348,2.8109813213348387,0.02640895366668701,0.3582868278026581,-0.010923219844698906,3.4430270195007324,8.60458755493164,0.2947564572095871,0.226419597864151,0.3630933165550232,-0.010923219844698906,2.0200315150618553,0.08676769584417343,0.0261714905500412,0.09015624225139618,255.90550231933594,116.46534729003906,139.44015502929688,260.75,118.50814056396484,142.24185180664062,-0.01893080770969391,-0.017539924010634422,-0.020092466846108437,-1.8930807709693909,11.306741731241345,5.134866880774498,9.334262621123344,6.45274217069149,3.8333268284797666,3.356820938438177,4.711786062470425,23.30207922960279,23.30207922960279,greedy,4.711786062470425,0.0,hard_fault_cluster,,False
6,__buf_split_24710,control0,2.8711466789245605,4.83873663417995,3.93384895324707,0.960237146243453,3.145178812216968,4.911898197074614,4.83873663417995,1.0,0.07316156289466418,3,3,1,0.0,2.8711466789245605,2.894815444946289,4.060799973830581,4.096776700019836,0.02894815444946289,0.34837403893470764,-0.004912244156002998,3.4528329372406006,8.30091381072998,0.22555439919233322,0.2723286747932434,0.17878012359142303,-0.004912244156002998,4.240548363588751,0.017994504421949387,-0.029014814645051956,0.027227085083723068,260.59014892578125,118.93618774414062,141.65396118164062,269.26202392578125,122.90959167480469,146.3524169921875,-0.033277831971645355,-0.03340786322951317,-0.033168546855449677,-3.3277831971645355,4.689353642985225,1.384110790900886,2.52192624239251,0.8600367207452655,3.0748599741607907,3.32331839973107,4.911898197074614,28.213977426677403,28.213977426677403,greedy,4.911898197074614,0.0,hard_fault_cluster,,False
7,__buf_split_28249,control0,2.7747507095336914,2.547670182734728,2.0124181866645814,0.7213619594275952,1.6559856187775732,2.6002599134706617,2.547670182734728,0.7651760671786648,0.06872892787909722,3,3,1,0.0,2.7747507095336914,2.928910493850708,2.3726086723059416,2.3296252369880674,0.02928910493850708,0.3584461212158203,-0.004455113783478737,3.3690757751464844,8.178483009338379,0.23128489404916763,0.2448098361492157,0.21775995194911957,-0.004455113783478737,3.6034079638868572,0.0033826977014541626,-0.03989420458674431,0.014437496662139893,268.2286071777344,122.57025146484375,145.65835571289062,273.085693359375,125.18116760253906,147.90452575683594,-0.018108010292053223,-0.021301385015249252,-0.015420811250805855,-1.8108010292053223,3.2627251502126455,0.9629842341691255,1.0693836151622236,0.7515484393388032,1.5280496679246425,1.876423338614404,2.6002599134706617,30.814237340148065,30.814237340148065,greedy,2.6002599134706617,0.0,hard_fault_cluster,,False
8,__buf_split_27191,control1,2.708585023880005,1.9505767978727817,1.30949068069458,0.42230205014348027,1.2678749186173082,2.015141650515571,1.9505767978727817,1.0,0.0645648526427892,3,2,1,0.0,2.708585023880005,2.8442394733428955,1.7753508590161802,1.3961609482765198,0.028442394733428956,0.36054614186286926,-0.012708066031336784,3.3022634983062744,8.3089017868042,0.2958151251077652,0.24738609790802002,0.3442441523075104,-0.012708066031336784,1.819044600650668,0.018356584012508392,-0.029472816735506058,0.02921326458454132,273.2043151855469,125.20037078857422,148.0039520263672,279.7511901855469,128.552490234375,151.19869995117188,-0.023963293060660362,-0.02677403762936592,-0.021585557609796524,-2.3963293060660362,4.667189808562398,1.916338202059269,2.543541253078729,1.6473722901940346,1.4037599839270114,1.2112447332963348,2.015141650515571,32.829378990663635,32.829378990663635,greedy,2.015141650515571,0.0,hard_fault_cluster,,False
9,__buf_split_23848,control0,2.5359435081481934,1.6423094945121557,1.3100748896598815,0.3951963906828314,1.0675011714329012,1.6715945905579357,1.6423094945121557,0.48282960765173843,0.06065306597126335,3,3,1,0.0,2.5359435081481934,2.646763563156128,1.47027498469688,1.6643743395805357,0.02646763563156128,0.34815236926078796,-0.004581684246659279,3.0306453704833984,7.5167951583862305,0.19509098678827286,0.21478405594825745,0.17539791762828827,-0.004581684246659279,1.8999574910337105,-0.0002463310956954956,-0.043638281524181366,0.011554848402738571,280.5830078125,128.92091369628906,151.66207885742188,283.23760986328125,130.02037048339844,153.21725463867188,-0.009461021982133389,-0.008528148755431175,-0.010254216380417347,-0.9461021982133389,2.617548769339919,0.6173786645429209,0.6359123601578176,0.47335771970916535,1.0282466886099428,1.2649286244786344,1.6715945905579357,34.50097358122157,34.50097358122157,greedy,1.6715945905579357,0.0,hard_fault_cluster,,False
10,new_n33302_,control1,2.5177414417266846,2.007025817483664,1.5049247503280638,0.4092438177764416,1.3045667813643815,2.0640040999567564,2.007025817483664,1.0,0.05697828247309231,3,2,1,0.0,2.5177414417266846,2.6745946407318115,1.9193558201193808,1.700576055049896,0.026745946407318116,0.36594411730766296,-0.013329794630408287,3.08510160446167,7.953644752502441,0.24532224237918854,0.17457470297813416,0.3160697817802429,-0.013329794630408287,1.0114384394884108,0.027008056640625,-0.020734883844852448,0.03688831627368927,282.29534912109375,129.5849151611328,152.71044921875,282.9684753417969,129.13967895507812,153.82879638671875,-0.002384474966675043,0.0034358645789325237,-0.0073233176954090595,-0.2384474966675043,5.362070510163903,2.2638097381591797,3.366121875587851,2.2973607397079467,1.7179959148168564,1.749523254185915,2.0640040999567564,36.56497768117833,36.56497768117833,greedy,2.0640040999567564,0.0,hard_fault_cluster,,False
