line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_14___aig_not_12013 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_14___aig_not_12013,__tpi_cp_14___aig_not_12013,1,undetected,__tpi_cp_14___aig_not_12013,__tpi_cp_14___aig_not_12013,__tpi_cp_14___aig_not_12013,sa1,1
2,__tpi_not_test_en->__tpi_cp_12___aig_not_12009 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12___aig_not_12009,__tpi_cp_12___aig_not_12009,1,undetected,__tpi_cp_12___aig_not_12009,__tpi_cp_12___aig_not_12009,__tpi_cp_12___aig_not_12009,sa1,1
3,__tpi_not_test_en->__tpi_cp_9___aig_not_12005 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9___aig_not_12005,__tpi_cp_9___aig_not_12005,1,undetected,__tpi_cp_9___aig_not_12005,__tpi_cp_9___aig_not_12005,__tpi_cp_9___aig_not_12005,sa1,1
4,__tpi_not_test_en->__tpi_cp_10___aig_not_12001 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_10___aig_not_12001,__tpi_cp_10___aig_not_12001,1,undetected,__tpi_cp_10___aig_not_12001,__tpi_cp_10___aig_not_12001,__tpi_cp_10___aig_not_12001,sa1,1
5,__tpi_not_test_en->__tpi_cp_11___aig_not_11997 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___aig_not_11997,__tpi_cp_11___aig_not_11997,1,undetected,__tpi_cp_11___aig_not_11997,__tpi_cp_11___aig_not_11997,__tpi_cp_11___aig_not_11997,sa1,1
6,__aig_not_11987 /1 undetected,output,,__aig_not_11987,__aig_not_11987,1,undetected,__aig_not_11987,__aig_not_11987,__aig_not_11987,sa1,1
7,__aig_not_11983 /1 undetected,output,,__aig_not_11983,__aig_not_11983,1,undetected,__aig_not_11983,__aig_not_11983,__aig_not_11983,sa1,1
8,__buf_split_6564 /1 undetected,output,,__buf_split_6564,__buf_split_6564,1,undetected,__buf_split_6564,__buf_split_6564,__buf_split_6564,sa1,1
9,__buf_split_6565 /1 undetected,output,,__buf_split_6565,__buf_split_6565,1,undetected,__buf_split_6565,__buf_split_6565,__buf_split_6565,sa1,1
10,__buf_split_6568 /1 undetected,output,,__buf_split_6568,__buf_split_6568,1,undetected,__buf_split_6568,__buf_split_6568,__buf_split_6568,sa1,1
11,__tpi_not_test_en->__tpi_cp_20___buf_split_6553 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_20___buf_split_6553,__tpi_cp_20___buf_split_6553,1,undetected,__tpi_cp_20___buf_split_6553,__tpi_cp_20___buf_split_6553,__tpi_cp_20___buf_split_6553,sa1,1
12,__tpi_not_test_en->__tpi_cp_6___aig_and_11958 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_6___aig_and_11958,__tpi_cp_6___aig_and_11958,1,undetected,__tpi_cp_6___aig_and_11958,__tpi_cp_6___aig_and_11958,__tpi_cp_6___aig_and_11958,sa1,1
13,__tpi_not_test_en->__tpi_cp_15___aig_not_11945 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_15___aig_not_11945,__tpi_cp_15___aig_not_11945,1,undetected,__tpi_cp_15___aig_not_11945,__tpi_cp_15___aig_not_11945,__tpi_cp_15___aig_not_11945,sa1,1
14,__aig_not_11943 /1 undetected,output,,__aig_not_11943,__aig_not_11943,1,undetected,__aig_not_11943,__aig_not_11943,__aig_not_11943,sa1,1
15,__tpi_not_test_en->__tpi_cp_19_new_n6228 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_19_new_n6228,__tpi_cp_19_new_n6228,1,undetected,__tpi_cp_19_new_n6228,__tpi_cp_19_new_n6228,__tpi_cp_19_new_n6228,sa1,1
16,__tpi_not_test_en->__tpi_cp_16___buf_split_1419 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_16___buf_split_1419,__tpi_cp_16___buf_split_1419,1,undetected,__tpi_cp_16___buf_split_1419,__tpi_cp_16___buf_split_1419,__tpi_cp_16___buf_split_1419,sa1,1
