line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,test_en->__tpi_cp_17___aig_and_255 /0 undetected,input_edge,test_en,__tpi_cp_17___aig_and_255,__tpi_cp_17___aig_and_255,0,undetected,__tpi_cp_17___aig_and_255,__tpi_cp_17___aig_and_255,__tpi_cp_17___aig_and_255,sa0,1
2,test_en->__tpi_cp_20___aig_and_261 /0 undetected,input_edge,test_en,__tpi_cp_20___aig_and_261,__tpi_cp_20___aig_and_261,0,undetected,__tpi_cp_20___aig_and_261,__tpi_cp_20___aig_and_261,__tpi_cp_20___aig_and_261,sa0,1
3,test_en->__tpi_cp_21___aig_and_267 /0 undetected,input_edge,test_en,__tpi_cp_21___aig_and_267,__tpi_cp_21___aig_and_267,0,undetected,__tpi_cp_21___aig_and_267,__tpi_cp_21___aig_and_267,__tpi_cp_21___aig_and_267,sa0,1
4,__tpi_not_test_en->__tpi_cp_3_U373 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_3_U373,__tpi_cp_3_U373,1,undetected,__tpi_cp_3_U373,__tpi_cp_3_U373,__tpi_cp_3_U373,sa1,1
5,__tpi_not_test_en->__tpi_cp_12_GTE_67_U6 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12_GTE_67_U6,__tpi_cp_12_GTE_67_U6,1,undetected,__tpi_cp_12_GTE_67_U6,__tpi_cp_12_GTE_67_U6,__tpi_cp_12_GTE_67_U6,sa1,1
6,__tpi_not_test_en->__tpi_cp_9_ADD_65_U5 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9_ADD_65_U5,__tpi_cp_9_ADD_65_U5,1,undetected,__tpi_cp_9_ADD_65_U5,__tpi_cp_9_ADD_65_U5,__tpi_cp_9_ADD_65_U5,sa1,1
7,__tpi_not_test_en->__tpi_cp_2_ADD_65_U31 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_2_ADD_65_U31,__tpi_cp_2_ADD_65_U31,1,undetected,__tpi_cp_2_ADD_65_U31,__tpi_cp_2_ADD_65_U31,__tpi_cp_2_ADD_65_U31,sa1,1
8,test_en->__tpi_cp_18___aig_and_397 /0 undetected,input_edge,test_en,__tpi_cp_18___aig_and_397,__tpi_cp_18___aig_and_397,0,undetected,__tpi_cp_18___aig_and_397,__tpi_cp_18___aig_and_397,__tpi_cp_18___aig_and_397,sa0,1
9,__tpi_not_test_en->__tpi_cp_10_ADD_65_U28 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_10_ADD_65_U28,__tpi_cp_10_ADD_65_U28,1,undetected,__tpi_cp_10_ADD_65_U28,__tpi_cp_10_ADD_65_U28,__tpi_cp_10_ADD_65_U28,sa1,1
10,__tpi_not_test_en->__tpi_cp_1_ADD_65_U26 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_1_ADD_65_U26,__tpi_cp_1_ADD_65_U26,1,undetected,__tpi_cp_1_ADD_65_U26,__tpi_cp_1_ADD_65_U26,__tpi_cp_1_ADD_65_U26,sa1,1
11,test_en->__tpi_cp_15___aig_and_390 /0 undetected,input_edge,test_en,__tpi_cp_15___aig_and_390,__tpi_cp_15___aig_and_390,0,undetected,__tpi_cp_15___aig_and_390,__tpi_cp_15___aig_and_390,__tpi_cp_15___aig_and_390,sa0,1
12,__tpi_not_test_en->__tpi_cp_5_ADD_65_U12 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_5_ADD_65_U12,__tpi_cp_5_ADD_65_U12,1,undetected,__tpi_cp_5_ADD_65_U12,__tpi_cp_5_ADD_65_U12,__tpi_cp_5_ADD_65_U12,sa1,1
13,test_en->__tpi_cp_14___aig_and_366 /0 undetected,input_edge,test_en,__tpi_cp_14___aig_and_366,__tpi_cp_14___aig_and_366,0,undetected,__tpi_cp_14___aig_and_366,__tpi_cp_14___aig_and_366,__tpi_cp_14___aig_and_366,sa0,1
