node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_15_U352,2,0,0,2,0
__tpi_cp_8_R248_U8,2,0,0,0,2
R248_U23,1,0,1,0,0
R248_U49,1,0,1,0,0
R248_U51,1,0,1,0,0
R248_U57,1,0,1,0,0
__aig_and_405,1,0,0,0,1
__buf_split_529,1,0,1,0,0
__buf_split_540,1,0,1,0,0
__buf_split_547,1,0,1,0,0
__buf_split_550,1,0,1,0,0
__buf_split_553,1,0,1,0,0
__buf_split_556,1,0,1,0,0
__buf_split_558,1,0,1,0,0
__tpi_cp_0___buf_split_539,1,0,0,1,0
__tpi_cp_13_U312,1,0,0,0,1
__tpi_cp_17_R248_U56,1,0,0,0,1
__tpi_cp_19_R248_U69,1,0,0,0,1
__tpi_cp_1_U456,1,0,0,0,1
__tpi_cp_21_R248_U60,1,0,0,0,1
__tpi_cp_22___buf_split_527,1,0,0,0,1
__tpi_cp_7___buf_split_557,1,0,0,1,0
